,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1646.3999999999999,1343.8,2355.9,1895.0,1684.4999999999998,1139.8000000000002,1199.6999999999998,1635.6999999999998,682.49,1437.3,1594.1000000000001,1355.6,1469.9,1138.5,2005.1999999999998,1317.1000000000001,1719.6000000000004,1752.8,854.5,1411.8999999999999,681.84,698.53,712.78,1683.1,1155.1,1053.1999999999998,1312.2,1697.6999999999998,2218.3,1304.8,1974.6,1538.7,2289.7999999999997,1711.8000000000002,2269.3999999999996,1467.0,1769.3,1559.4,2192.2999999999997,1487.9,1881.6,1685.8999999999999,1236.3,1235.3000000000002,1105.7,660.96,576.62,392.63,693.45,851.3,880.2,1888.5,335.47,506.34000000000003,1623.8000000000002,898.7000000000002,1150.8999999999999,1459.8000000000002,432.12,2065.1,1547.1,458.71000000000004,2093.1,273.82,363.49,367.0899999999999,804.04,1663.6,262.24,2416.4,1484.5999999999997,2368.7,780.25,1342.3,647.14,851.4000000000001,1359.0,1300.0,348.66999999999996,334.15,1092.5,1389.5,1636.0,2038.6000000000001,938.3999999999999,1511.4,1873.3,1312.2,338.5400000000001,1850.7,1240.7,299.72,336.69,545.23,1704.5,1933.1,513.12,1233.2
2021,1130.3,1119.6,1801.8,1128.5,704.8599999999999,970.5,921.6,1346.9,756.9,1174.6,1024.7,1119.6,1019.0999999999999,918.1999999999999,870.0,1178.0,1186.7,921.8,797.8199999999999,911.1,611.0600000000001,719.6,573.1,1069.8,1111.9,993.3,1372.8,872.7,678.0999999999999,761.2400000000001,998.9,1194.8999999999999,1993.5,998.0,1966.5,1177.7,1469.5000000000002,876.3,1569.4999999999998,1051.6,1178.6,707.3299999999999,923.7,1190.7,1193.1,707.49,785.76,315.4,673.14,791.9300000000001,779.8,969.9999999999999,311.14,336.88,1059.6,788.3,975.93,993.2,617.5000000000001,1226.4,1176.5,366.1600000000001,1274.4,284.42,293.48,346.23,720.02,1061.1000000000001,353.49,2073.0,999.3999999999999,2000.4999999999998,705.13,979.9000000000001,716.2600000000001,702.3900000000001,1117.6000000000001,985.8,313.53000000000003,323.63,871.5000000000001,979.9000000000001,998.6,1064.0,759.38,1083.1000000000001,869.1,1258.0,309.19,1222.9,1050.1,301.65000000000003,322.23,696.78,1147.1,1710.4,687.12,941.4
2022,863.6,608.1,949.1999999999999,868.5,838.0,437.71000000000004,703.1099999999999,799.8,526.0699999999999,733.03,585.2700000000001,689.34,556.21,375.32,1378.8,690.05,653.07,691.13,413.81,631.18,469.54,458.34999999999997,370.25,780.6999999999999,694.4100000000001,656.01,1457.4,941.8,975.9,860.1,1248.9,774.4599999999999,1656.2,768.6,1641.6000000000001,698.02,861.3,583.35,1366.8,766.23,849.6,987.1000000000001,645.77,591.96,465.21000000000004,366.83,1115.0000000000002,314.36,585.33,521.11,469.78,854.9000000000001,307.83000000000004,699.96,836.9999999999999,544.5899999999999,492.18000000000006,790.35,824.2,923.7,663.8499999999999,322.73,710.3000000000001,289.87,302.28,298.15999999999997,423.03,812.7,466.34,889.07,699.44,1575.8,370.9,632.85,348.4,537.8299999999999,567.16,543.13,293.73,308.56,552.28,668.8199999999999,744.6,947.1000000000001,464.33,618.4499999999999,1369.1999999999998,598.56,316.78,789.16,548.34,303.23999999999995,298.67,858.4000000000001,560.9000000000001,901.0,429.99999999999994,652.9399999999999
2023,358.81,233.14,469.29,377.98999999999995,353.38000000000005,183.58,251.51,536.13,341.46000000000004,260.6,341.04999999999995,256.79999999999995,308.12,218.20999999999998,368.96,258.44,400.90000000000003,291.0,276.39,430.37,282.61,278.37,238.75,277.84999999999997,511.7099999999999,438.27,547.15,324.64,271.95,361.39,331.14000000000004,266.84,1130.8999999999999,265.88,1127.1,242.69,561.35,360.19000000000005,702.47,266.76,282.76,330.37,398.0400000000001,210.86,222.85999999999999,244.51,332.66,269.76,315.38,309.15999999999997,245.91,232.7,263.90000000000003,251.23000000000002,311.44000000000005,317.65000000000003,346.57,306.46000000000004,274.14,254.93,266.9,249.97,425.11,243.27,242.45999999999998,259.25,228.03000000000003,310.83,320.66,424.46,240.04000000000002,386.61,256.14,226.2,253.27,337.98,263.23,241.57999999999998,249.24,281.28999999999996,312.89,232.23,250.94,339.13,251.69,245.42000000000002,338.44,261.84000000000003,267.96000000000004,261.66999999999996,293.65999999999997,251.94,240.95,264.48,363.31999999999994,240.94,230.98,406.07000000000005
2024,539.27,262.7,339.68,568.1899999999999,564.8900000000001,174.53,300.24,494.27,320.15999999999997,304.14,271.98,296.95000000000005,259.1,175.15,467.55,310.63000000000005,325.91,375.01,226.35000000000002,373.15,259.88,240.93999999999997,214.93000000000004,229.09000000000003,449.46,399.4,512.9300000000001,461.98,311.62,565.62,431.29999999999995,313.4,1110.6,318.53,1043.8000000000002,217.04000000000002,521.48,308.07,741.1800000000001,312.36,318.41,420.41999999999996,349.40000000000003,232.82999999999998,255.21,229.26000000000002,324.11,246.43,348.77,288.98,229.07,240.99999999999997,253.96999999999997,317.6,341.35,293.36,347.67,348.51,298.65000000000003,183.86,228.41,259.64,349.56,255.78,228.13000000000002,250.10000000000002,214.21,353.24,270.39,346.32000000000005,271.71,334.40000000000003,309.26,171.02000000000004,218.11999999999998,292.74,212.45000000000002,205.52,217.91000000000003,267.32,279.95000000000005,239.31,275.65999999999997,350.25,227.23999999999998,221.39,461.52,272.5,243.66,271.61,214.44000000000003,235.16,262.92,297.35,269.36,141.64,265.48999999999995,285.53999999999996
2025,299.4,200.28,304.07000000000005,304.74,308.18,150.14999999999998,230.83000000000004,479.03999999999996,297.84,237.47,253.25000000000003,228.69000000000003,231.97,150.23,325.86,308.94000000000005,266.12,264.2,209.67000000000002,337.53000000000003,246.88,233.54,210.64999999999998,189.8,436.84,390.6,378.18999999999994,281.63,215.0,307.56999999999994,148.35000000000002,243.32999999999998,1051.6000000000001,228.51000000000002,1019.5,88.24,503.36999999999995,290.25,633.6199999999999,239.93,235.75,306.38,328.79,196.89,194.42,210.22,246.60000000000002,232.99,298.05,268.61,211.31,205.05,222.46999999999997,287.35,279.48,275.44,225.95,281.11,240.95000000000005,179.59000000000003,218.62,232.89999999999998,328.78,246.56999999999996,210.09,256.34,208.5,278.43,227.57,261.14,217.04,291.18,216.15,159.23999999999998,197.99,267.82,194.02999999999997,196.36999999999998,214.89999999999998,263.32,271.02000000000004,197.3,202.68,277.29,215.37000000000003,219.93,318.47,248.28,232.04000000000002,199.42000000000002,196.93,178.36999999999998,261.02,209.02,221.37,141.2,196.78,272.55
2026,776.49,620.8299999999999,483.75,766.8399999999999,709.18,377.31,491.09000000000003,615.75,492.63000000000005,397.72,428.89,662.42,389.68,371.09999999999997,637.96,435.03999999999996,424.53000000000003,462.12,273.06999999999994,543.54,456.4,394.90999999999997,314.49000000000007,447.89,594.23,575.37,467.25,538.8100000000001,499.44000000000005,624.3199999999999,548.77,455.16999999999996,1426.6000000000001,597.02,1412.8,420.27000000000004,635.61,488.89000000000004,1014.9000000000001,758.8199999999999,671.87,526.85,568.42,672.1,679.2599999999999,265.83,244.05000000000004,260.86,800.4000000000001,407.15999999999997,355.09999999999997,372.68000000000006,237.17,251.92000000000002,784.84,414.34999999999997,670.57,772.57,273.4,723.38,388.62,266.0,526.6899999999999,276.88,273.2,276.49,353.17999999999995,548.3199999999999,220.29,389.28999999999996,453.47,571.59,219.36999999999998,399.05,260.19,425.28,361.16,339.99,259.68,254.41,445.29,395.47,674.16,778.42,354.19,354.1600000000001,552.24,465.89,255.61999999999998,421.73,382.70000000000005,255.25,282.45,469.25,420.29999999999995,635.96,234.24,399.1
2027,434.87,260.88,300.17,209.45,498.77,157.16,381.34000000000003,478.51000000000005,302.94,382.28,272.15999999999997,361.93,253.88,169.14,634.71,455.84000000000003,265.44,448.3399999999999,210.37,363.51,251.68,229.35999999999999,218.98999999999998,108.74000000000001,449.15,396.25,338.49,520.54,311.94000000000005,393.34,157.52,384.98999999999995,320.21000000000004,363.34999999999997,1022.0,100.32999999999998,492.27000000000004,264.96999999999997,546.66,387.6,367.57,544.8000000000001,356.24,243.26999999999998,240.26,208.96,344.65,237.23000000000002,392.32,272.05,226.92,239.18,237.35999999999999,233.48999999999998,362.68,274.69,222.62,375.04,248.62,147.04000000000002,223.62,245.38,323.72,257.97,214.32999999999998,239.55000000000004,216.98999999999998,367.57,267.71000000000004,350.96999999999997,306.67999999999995,429.0,236.43,164.17,200.71999999999997,291.75,192.54,199.64999999999998,214.16,237.88000000000002,273.81,241.38,250.1,396.74,227.68,209.58999999999997,567.73,301.9,232.32000000000002,318.84000000000003,194.37,225.45,239.72,291.89,239.43,123.36,235.8,282.58000000000004
2028,524.29,516.74,421.21999999999997,463.12,855.7599999999999,288.85,554.1999999999999,518.71,362.59,555.76,328.46,549.5600000000001,284.17,529.3100000000001,1145.6999999999998,559.29,352.70000000000005,733.52,228.97,417.16,289.14,287.65,230.82999999999998,572.1999999999999,479.6499999999999,432.93,795.6000000000001,680.3399999999999,870.52,866.78,431.6,570.93,432.65999999999997,677.09,1241.3999999999999,633.99,541.78,347.18,430.33,569.09,568.92,1088.5,366.22,443.37000000000006,440.35,208.36,886.3,234.68,654.9499999999999,271.19,237.02,490.72999999999996,236.69000000000003,787.7099999999999,616.7700000000001,299.42,351.07,606.28,800.72,570.1600000000001,238.35,260.67,370.72,243.83000000000004,223.07000000000002,263.89,228.65999999999997,602.6899999999999,313.39,314.63000000000005,483.95000000000005,652.18,419.31999999999994,341.65,211.47,305.85,234.37000000000003,220.87,230.36,245.42000000000002,302.15999999999997,445.71999999999997,552.05,608.78,240.14999999999998,234.79999999999998,1122.7,451.83000000000004,239.3,624.79,231.7,242.95000000000002,260.01000000000005,646.52,312.56,231.38000000000002,430.76,267.99
