date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,3779.0,3780.0,3088.0,3778.0,3790.0,3790.0,3789.0,3828.0,3860.0,3769.0,3748.0,3769.0,3835.0,3791.0,3790.0,3783.0,3820.0,2908.0,3842.0,2897.0,3688.0,3842.0,3134.0,3778.0,2928.0,3841.0,3850.0,3757.0,3782.0,3790.0,3776.0,3791.0,3775.0,3791.0,3778.0,3783.0,3825.0,3850.0,3776.0,3791.0,3778.0,3769.0,2573.0,3790.0,3791.0,3844.0,3587.0,3175.0,3783.0,3855.0,3833.0,3782.0,3201.0,2915.0,3802.0,3863.0,3801.0,3800.0,2977.0,3778.0,3645.0,3253.0,2513.0,3621.0,3046.0,3773.0,3825.0,3802.0,3635.0,3817.0,3791.0,2505.0,3644.0,3770.0,3843.0,3862.0,3810.0,3818.0,3039.0,3387.0,3728.0,3769.0,3791.0,3802.0,3839.0,3831.0,3783.0,3800.0,3450.0,3783.0,3808.0,3016.0,3223.0,3800.0,3833.0,3787.0,3255.0,3866.0
2021-12-31,3244.0,3607.0,3149.0,3316.0,2951.0,3767.0,3535.0,3419.0,3896.0,3527.0,2514.0,3822.0,3424.0,3436.0,3145.0,3753.0,3206.0,2877.0,3305.0,2683.0,2317.0,3879.0,3530.0,3003.0,2833.0,3522.0,2685.0,3360.0,2978.0,3687.0,5067.0,3595.0,2777.0,3248.0,3374.0,3170.0,2458.0,2338.0,2588.0,3848.0,3334.0,3445.0,2521.0,3856.0,3878.0,3893.0,2447.0,2520.0,3881.0,3744.0,3882.0,3400.0,2563.0,2296.0,3642.0,3612.0,3881.0,3766.0,2269.0,3450.0,2619.0,2363.0,2213.0,2624.0,3768.0,2582.0,3882.0,3218.0,3711.0,2261.0,3703.0,2067.0,2452.0,3628.0,3743.0,3896.0,3526.0,2966.0,3727.0,2651.0,2703.0,3615.0,3453.0,3127.0,3787.0,2336.0,3519.0,3822.0,2561.0,3488.0,3252.0,3422.0,2545.0,3880.0,3202.0,3517.0,3880.0,3201.0
2022-12-31,2310.0,2310.0,1507.0,2311.0,2323.0,2313.0,2312.0,2308.0,2322.0,2310.0,2306.0,2310.0,2314.0,2313.0,2319.0,2310.0,2273.0,2323.0,2306.0,2309.0,1249.0,2309.0,1674.0,2312.0,2274.0,3643.0,1665.0,2315.0,2306.0,2323.0,6300.0,2316.0,2310.0,2315.0,2310.0,2310.0,2267.0,2308.0,2308.0,2316.0,2311.0,2310.0,2231.0,2314.0,2315.0,2305.0,1185.0,1546.0,2325.0,2317.0,2309.0,2311.0,1746.0,1156.0,2325.0,2318.0,2322.0,2323.0,1214.0,2316.0,1362.0,1291.0,1346.0,1137.0,1585.0,1794.0,2309.0,2322.0,1773.0,1084.0,2313.0,1155.0,1610.0,2310.0,2314.0,2320.0,2285.0,2267.0,1584.0,1505.0,2322.0,2310.0,2315.0,2278.0,2307.0,2295.0,2310.0,2322.0,1781.0,2308.0,2272.0,1552.0,1123.0,2284.0,2305.0,2304.0,2303.0,2286.0
2023-12-31,1634.0,1577.0,1643.0,1601.0,1564.0,1447.0,1718.0,1562.0,2065.0,1699.0,1477.0,1522.0,1598.0,1632.0,1293.0,1719.0,1596.0,1717.0,1649.0,1633.0,1628.0,2086.0,1665.0,1386.0,1613.0,1475.0,1317.0,1703.0,1458.0,1624.0,1751.0,1391.0,1427.0,1500.0,1477.0,1412.0,1475.0,1860.0,1427.0,1358.0,1712.0,1684.0,1275.0,1523.0,1638.0,1701.0,1326.0,1698.0,2157.0,1473.0,1399.0,1459.0,1420.0,1717.0,1288.0,1571.0,1370.0,1489.0,1715.0,1383.0,1733.0,1414.0,1527.0,1539.0,1750.0,1732.0,1451.0,1571.0,1721.0,1428.0,1429.0,1670.0,1721.0,1458.0,1538.0,1340.0,1566.0,1669.0,1733.0,1495.0,1542.0,1410.0,1253.0,1398.0,1474.0,1605.0,1342.0,1525.0,1679.0,1465.0,1584.0,1693.0,1683.0,2153.0,1246.0,1495.0,1579.0,1629.0
2024-12-31,1982.0,4040.0,3299.0,1989.0,1964.0,3497.0,3089.0,3355.0,4107.0,2896.0,3377.0,4039.0,3371.0,3370.0,2009.0,3022.0,3351.0,2526.0,3290.0,3403.0,1937.0,4080.0,3273.0,3297.0,1974.0,2012.0,3628.0,2860.0,3342.0,2454.0,1995.0,1936.0,2010.0,3335.0,1984.0,3279.0,2645.0,2014.0,2020.0,2599.0,3969.0,2972.0,2012.0,4041.0,4046.0,4083.0,2052.0,3349.0,3993.0,3332.0,3943.0,2976.0,1924.0,3594.0,4054.0,2293.0,4063.0,4030.0,3244.0,3320.0,1959.0,1992.0,1989.0,2793.0,1919.0,2749.0,2797.0,1932.0,3243.0,2048.0,1906.0,1935.0,2187.0,3279.0,3276.0,4109.0,1863.0,1889.0,1910.0,3412.0,1968.0,3241.0,4033.0,3484.0,3027.0,1950.0,1999.0,3102.0,1933.0,2810.0,3291.0,2492.0,2808.0,4056.0,3096.0,3612.0,1833.0,1965.0
2025-12-31,1516.0,1829.0,2099.0,1497.0,1798.0,1854.0,1908.0,1931.0,1927.0,1875.0,1947.0,1866.0,1986.0,1805.0,1326.0,1901.0,1973.0,1889.0,1865.0,1904.0,1848.0,2183.0,1993.0,1799.0,1889.0,1239.0,1922.0,1899.0,1875.0,1838.0,1231.0,1325.0,1410.0,1879.0,1351.0,1272.0,1903.0,1176.0,1361.0,1169.0,1958.0,1849.0,1309.0,1842.0,1870.0,1936.0,1873.0,2474.0,1650.0,1813.0,1195.0,1280.0,2069.0,2232.0,1716.0,1288.0,1645.0,1538.0,2260.0,1633.0,1210.0,2028.0,1272.0,2213.0,1993.0,2331.0,1305.0,1207.0,2597.0,1127.0,1219.0,1267.0,2229.0,1294.0,1294.0,1582.0,1277.0,1248.0,1991.0,2436.0,1188.0,1300.0,1880.0,1887.0,1630.0,1164.0,1888.0,1329.0,2020.0,1221.0,1344.0,1976.0,2082.0,2207.0,1509.0,1318.0,2076.0,1155.0
2026-12-31,1576.0,1317.0,1205.0,1543.0,1317.0,1408.0,1412.0,1364.0,1362.0,1380.0,1252.0,1329.0,1213.0,1308.0,1293.0,1350.0,1256.0,1362.0,1262.0,1266.0,1188.0,1436.0,1236.0,1329.0,1255.0,1436.0,889.2,1274.0,1323.0,1274.0,1363.0,1462.0,1523.0,1294.0,1473.0,1421.0,1143.0,1290.0,1503.0,1371.0,1254.0,1275.0,1564.0,1345.0,1404.0,1402.0,1228.0,1179.0,1306.0,1362.0,1325.0,1355.0,1248.0,1201.0,1345.0,1378.0,1294.0,1416.0,1370.0,1425.0,1434.0,1199.0,1425.0,1147.0,1550.0,1278.0,1402.0,1439.0,1227.0,1346.0,1418.0,1460.0,1581.0,1422.0,1467.0,1163.0,1536.0,1544.0,1536.0,1078.0,1735.0,1373.0,1350.0,1288.0,1346.0,1460.0,1247.0,1421.0,1251.0,1368.0,1439.0,1491.0,1177.0,1387.0,1332.0,1472.0,1601.0,1450.0
2027-12-31,2087.0,3028.0,2811.0,2084.0,3046.0,2946.0,2934.0,2834.0,3771.0,2298.0,2741.0,2228.0,2831.0,3059.0,1921.0,2966.0,2835.0,2979.0,3061.0,2851.0,1683.0,3942.0,2953.0,2941.0,2755.0,2028.0,2684.0,2763.0,2719.0,2953.0,2128.0,2209.0,2055.0,2752.0,2031.0,2881.0,2440.0,2005.0,2044.0,1936.0,2937.0,2933.0,1939.0,2122.0,3240.0,2779.0,1346.0,2404.0,2025.0,2042.0,2030.0,2108.0,1481.0,2250.0,1974.0,2085.0,3122.0,2082.0,2259.0,2753.0,2100.0,1598.0,2284.0,2098.0,1715.0,3055.0,1918.0,2097.0,2270.0,2038.0,2058.0,2188.0,2267.0,2108.0,2609.0,2029.0,2118.0,2134.0,1702.0,2400.0,1863.0,2101.0,2541.0,2681.0,2120.0,2217.0,1885.0,2057.0,1451.0,2088.0,2066.0,1682.0,2173.0,3824.0,1885.0,3176.0,1330.0,2263.0
2028-12-31,1800.0,2779.0,2781.0,1800.0,2788.0,2711.0,2580.0,1921.0,2805.0,2658.0,2781.0,2780.0,2791.0,2786.0,2399.0,2775.0,2753.0,1883.0,2785.0,2804.0,2012.0,2790.0,1846.0,2781.0,1992.0,1867.0,2793.0,2401.0,2780.0,2770.0,1886.0,2783.0,1794.0,2787.0,2761.0,2781.0,2767.0,2785.0,2746.0,2779.0,2788.0,2720.0,2491.0,2710.0,2753.0,2716.0,2163.0,2159.0,2801.0,2790.0,2780.0,2779.0,2709.0,2577.0,2802.0,2798.0,2796.0,2802.0,2219.0,2780.0,1984.0,2253.0,2313.0,2040.0,2492.0,2726.0,2714.0,2797.0,2837.0,2767.0,2772.0,2072.0,2163.0,2780.0,2787.0,2798.0,2701.0,2708.0,2493.0,2734.0,2601.0,2781.0,2789.0,2800.0,2788.0,2713.0,2777.0,2774.0,2710.0,2779.0,2744.0,2493.0,2035.0,2797.0,2791.0,2701.0,2798.0,2792.0
