date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,4093.0,4093.0,4061.0,4093.0,4096.0,3838.0,3465.0,4013.0,4119.0,4032.0,4093.0,4085.0,4108.0,4105.0,3543.0,4085.0,4026.0,4001.0,4122.0,4124.0,2113.0,4133.0,3161.0,4093.0,2945.0,5508.0,3030.0,3946.0,4092.0,4049.0,4092.0,4071.0,4087.0,4106.0,4086.0,4092.0,4059.0,4119.0,4090.0,4080.0,4056.0,4011.0,2978.0,3878.0,4090.0,4082.0,2929.0,3109.0,4114.0,4094.0,4111.0,4089.0,3000.0,3309.0,4105.0,4124.0,4110.0,4108.0,3264.0,4091.0,3248.0,2993.0,3385.0,2562.0,4156.0,3004.0,4057.0,4102.0,4115.0,4076.0,4086.0,4013.0,2503.0,4089.0,4124.0,4129.0,3955.0,3997.0,4168.0,3590.0,3878.0,4092.0,4105.0,4113.0,4129.0,3888.0,4077.0,4094.0,3000.0,4087.0,4036.0,4151.0,2371.0,4113.0,4121.0,4072.0,4114.0,4118.0
2021-12-31,1293.0,732.0,856.4,1284.0,1156.0,970.2,1085.0,1226.0,716.6,1106.0,818.2,825.4,681.0,1207.0,1032.0,1057.0,737.9,1213.0,1151.0,1174.0,1324.0,700.3,1132.0,1220.0,1201.0,1110.0,680.3,1192.0,797.0,966.1,1360.0,1075.0,1370.0,819.5,1301.0,1176.0,1249.0,1535.0,1383.0,1038.0,741.6,1192.0,1068.0,975.7,894.9,878.0,818.0,1209.0,1084.0,1086.0,1027.0,1167.0,1139.0,892.1,735.6,1191.0,922.6,750.6,1326.0,847.9,1353.0,925.1,1260.0,708.3,1164.0,992.5,923.3,1244.0,1214.0,1145.0,1103.0,1284.0,1247.0,1219.0,1143.0,952.5,1249.0,1384.0,1146.0,980.9,1427.0,1183.0,784.1,698.3,1087.0,1196.0,1083.0,1088.0,1110.0,1179.0,1320.0,1100.0,943.6,1248.0,827.8,1206.0,1328.0,1167.0
2022-12-31,4129.0,3858.0,3872.0,4099.0,4054.0,4092.0,4132.0,4147.0,4717.0,4082.0,3854.0,3933.0,3897.0,4128.0,4071.0,4130.0,3877.0,4133.0,4160.0,4221.0,4129.0,4687.0,4197.0,3981.0,4173.0,4203.0,3598.0,4044.0,3736.0,4072.0,3754.0,4060.0,4079.0,3788.0,2781.0,4026.0,4187.0,2955.0,4040.0,2680.0,3853.0,4081.0,2949.0,4096.0,3976.0,4084.0,2218.0,3796.0,4634.0,4153.0,3545.0,4023.0,4118.0,3706.0,3857.0,4136.0,3925.0,3819.0,3736.0,3779.0,2963.0,2643.0,3071.0,2721.0,2959.0,4139.0,4022.0,3607.0,3686.0,3452.0,3937.0,3011.0,3920.0,4007.0,4168.0,2688.0,3551.0,3657.0,2960.0,3625.0,3124.0,4041.0,3836.0,3717.0,3523.0,2946.0,4023.0,4088.0,4121.0,3995.0,4140.0,2939.0,2887.0,4631.0,3843.0,3857.0,3555.0,2930.0
2023-12-31,2356.0,3020.0,2849.0,2345.0,2550.0,2866.0,2498.0,2432.0,3061.0,2412.0,2755.0,2934.0,2881.0,2792.0,2382.0,2400.0,2863.0,2365.0,2436.0,2410.0,2816.0,3065.0,2808.0,2336.0,2434.0,2482.0,2885.0,2411.0,3023.0,2850.0,2407.0,2654.0,2177.0,3035.0,2284.0,2866.0,2357.0,2159.0,2138.0,3038.0,2872.0,2413.0,2532.0,2872.0,2872.0,2876.0,2861.0,2866.0,3043.0,2384.0,3055.0,2332.0,2853.0,2863.0,3043.0,2388.0,3022.0,3040.0,3201.0,3024.0,2444.0,2833.0,2339.0,2666.0,2848.0,2872.0,2871.0,2348.0,2862.0,3013.0,2403.0,2524.0,2865.0,2351.0,2876.0,3059.0,2378.0,2320.0,2844.0,2828.0,2402.0,2326.0,3034.0,3047.0,2874.0,2439.0,2466.0,2401.0,2855.0,2327.0,2333.0,2875.0,2640.0,3110.0,3060.0,2761.0,2720.0,2513.0
2024-12-31,2658.0,2357.0,2211.0,2662.0,2327.0,2702.0,2607.0,2280.0,2998.0,2739.0,2501.0,2848.0,2365.0,2498.0,2285.0,2761.0,2369.0,2435.0,2321.0,2811.0,2381.0,3001.0,2462.0,2377.0,2459.0,2669.0,1991.0,2468.0,2356.0,2686.0,2287.0,2636.0,2092.0,2297.0,2706.0,2314.0,2501.0,2100.0,2135.0,2785.0,2264.0,2684.0,2269.0,2745.0,2891.0,2961.0,2006.0,2503.0,2925.0,2756.0,2910.0,2258.0,2292.0,2121.0,2175.0,2643.0,2879.0,2173.0,2172.0,2262.0,2086.0,2217.0,1956.0,1979.0,2242.0,2309.0,2947.0,2152.0,2494.0,1986.0,2720.0,1802.0,2363.0,2804.0,2770.0,2869.0,2681.0,2308.0,2234.0,2421.0,2525.0,2795.0,2270.0,2204.0,2842.0,1849.0,2202.0,2670.0,2290.0,2431.0,2348.0,2231.0,2139.0,2914.0,2288.0,2589.0,2915.0,2249.0
2025-12-31,1955.0,1632.0,1540.0,1953.0,1587.0,1819.0,1804.0,1617.0,1972.0,1937.0,1748.0,1988.0,1684.0,1760.0,1638.0,1905.0,1709.0,1961.0,1633.0,2118.0,1534.0,1953.0,1771.0,1487.0,1762.0,2547.0,1354.0,1665.0,1638.0,1855.0,6079.0,1769.0,1584.0,1574.0,1955.0,1512.0,1752.0,1488.0,1597.0,1850.0,1634.0,1920.0,1950.0,1851.0,1939.0,1972.0,1520.0,1821.0,1920.0,1874.0,1938.0,1541.0,1499.0,1818.0,1370.0,1805.0,1905.0,1458.0,1815.0,1464.0,1630.0,1687.0,1715.0,1489.0,2034.0,1525.0,1957.0,1413.0,1819.0,1342.0,1786.0,1514.0,2103.0,1958.0,1880.0,1919.0,1799.0,1532.0,2014.0,1817.0,1935.0,1963.0,1507.0,1472.0,1903.0,1635.0,1746.0,1813.0,1516.0,1650.0,1622.0,1941.0,1680.0,1921.0,1450.0,1779.0,1908.0,1531.0
2026-12-31,3542.0,3541.0,2660.0,3542.0,3549.0,3214.0,2934.0,2885.0,3616.0,2872.0,2856.0,3542.0,2965.0,3543.0,2960.0,3536.0,2997.0,2851.0,3598.0,3059.0,2167.0,3592.0,2895.0,2738.0,2891.0,2924.0,2923.0,2854.0,2757.0,3547.0,2946.0,3546.0,3535.0,2758.0,3544.0,2684.0,2922.0,3300.0,3368.0,3543.0,3061.0,2868.0,2275.0,3545.0,3547.0,3599.0,2115.0,2664.0,3555.0,3305.0,3590.0,3543.0,2954.0,2357.0,3555.0,3618.0,3554.0,3555.0,2522.0,3287.0,2256.0,2309.0,2379.0,2130.0,2611.0,2978.0,3591.0,3259.0,2592.0,2552.0,3542.0,2246.0,2591.0,3542.0,3596.0,3621.0,3493.0,2742.0,2610.0,2221.0,2218.0,3542.0,3518.0,2750.0,3594.0,2447.0,2787.0,3556.0,2955.0,3543.0,2792.0,2567.0,2137.0,3556.0,2801.0,3540.0,2370.0,2540.0
2027-12-31,2931.0,2931.0,2347.0,2931.0,2931.0,2933.0,2934.0,2227.0,3007.0,2931.0,2993.0,2931.0,2997.0,2931.0,2935.0,2931.0,2975.0,2267.0,2993.0,3019.0,1820.0,2983.0,2183.0,2931.0,2985.0,2278.0,2800.0,2929.0,2929.0,2934.0,2929.0,2936.0,2929.0,2932.0,2929.0,2929.0,2975.0,2999.0,2929.0,2932.0,2934.0,2929.0,1956.0,2933.0,2939.0,2991.0,1987.0,2205.0,2956.0,3008.0,2979.0,2929.0,3073.0,2104.0,2956.0,3013.0,2955.0,2956.0,2576.0,2929.0,2323.0,1964.0,2420.0,2154.0,2421.0,3084.0,2977.0,2949.0,2229.0,2412.0,2933.0,2361.0,2098.0,2931.0,2991.0,3009.0,2953.0,2977.0,2425.0,2283.0,3005.0,2931.0,2932.0,2955.0,2975.0,2985.0,2929.0,2956.0,3081.0,2929.0,2963.0,2419.0,2108.0,2515.0,2976.0,2932.0,2325.0,3001.0
2028-12-31,1851.0,2226.0,1885.0,1850.0,2199.0,1860.0,1861.0,1809.0,1914.0,1850.0,2010.0,1850.0,1949.0,1859.0,1750.0,1850.0,1985.0,2014.0,1886.0,2318.0,1713.0,1887.0,2082.0,1775.0,2141.0,2365.0,1614.0,1792.0,1798.0,1852.0,1831.0,1853.0,1822.0,1709.0,1792.0,1695.0,1957.0,1585.0,1814.0,1860.0,1829.0,1771.0,1756.0,1859.0,1859.0,1887.0,1555.0,2465.0,1868.0,1914.0,1883.0,1819.0,1832.0,2027.0,1809.0,1911.0,1870.0,1867.0,2049.0,1708.0,1627.0,1692.0,1658.0,1803.0,1687.0,2250.0,1886.0,1837.0,2341.0,1513.0,1860.0,1503.0,2133.0,1849.0,1899.0,2343.0,1856.0,1870.0,1668.0,2344.0,1901.0,1849.0,1682.0,1614.0,1884.0,1555.0,1663.0,1877.0,1973.0,1834.0,1863.0,1617.0,1809.0,2285.0,1740.0,1842.0,1889.0,1508.0
