,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1815.1999999999998,1808.2,2282.7,1821.5,1983.1000000000001,1875.4,1875.2000000000003,1967.6,1413.4000000000003,1808.1,1542.9,1808.1,1571.3,1875.2000000000003,2219.2999999999997,1807.6999999999998,1757.2000000000003,1927.8999999999999,1603.1000000000001,1454.7,758.3,1519.9,674.64,1808.7999999999997,1473.6000000000001,1036.6999999999998,2391.6000000000004,1929.5000000000002,2017.6999999999998,2018.6000000000001,2050.2000000000003,1864.2,2320.6,1871.2,2312.6,1807.6,2166.2000000000003,1547.5,2182.8,1869.1,1873.3000000000002,2095.8,1389.1,1834.1,1834.8999999999999,1540.7,1449.4999999999998,425.62,1947.9000000000003,1506.8,1595.3,2068.8,346.06,1641.8999999999999,1947.6,1368.1,1942.3,1946.4999999999998,1492.1999999999998,2111.0000000000005,1672.6000000000001,401.03999999999996,2111.7,352.63000000000005,347.1,584.5100000000001,1692.5,1950.5,1079.3,2333.7000000000003,1871.7000000000003,2704.2,1829.8000000000002,1808.1,1481.4,1531.8,1949.7000000000003,1790.3000000000002,369.78999999999996,396.82,1463.9,1808.1,1867.5,1950.9999999999998,1591.7,1681.3,2152.6,1950.6,529.87,2326.2,1875.6999999999998,333.91,426.44000000000005,1941.3000000000002,1604.7,2322.8,1026.0,1567.8000000000002
2021,1855.0,1350.9999999999998,709.5300000000001,1858.9000000000003,1445.0,1225.4,1607.3,1061.3999999999999,787.0,1662.2,744.2,1521.8999999999999,697.4799999999999,1243.8,1763.5,1672.7,674.94,1550.8999999999999,611.32,904.1000000000001,935.4,722.87,632.1899999999999,1168.5,932.3000000000001,1059.5,783.6800000000001,1803.1999999999998,1582.1,1926.7,1837.3000000000002,1703.4,2209.7,1605.6,2127.9,907.9000000000001,1111.4999999999998,975.3,2172.0,1733.6999999999998,1513.6999999999998,1801.3999999999999,931.1999999999999,1440.3999999999999,1452.0,567.69,717.41,424.95000000000005,724.6999999999998,763.47,691.8900000000001,1445.0,443.65,400.64,1542.0,804.1099999999999,1058.1000000000001,1428.2,603.15,1404.9999999999998,833.72,517.29,818.4,370.80999999999995,385.83000000000004,398.98,759.72,1677.3000000000002,419.85,615.3199999999999,1599.5000000000002,1824.1000000000001,932.27,1250.3,525.05,737.94,609.95,622.86,392.36,429.12999999999994,790.3499999999999,1445.7,1464.3000000000002,1551.0,771.9500000000002,738.1100000000001,1738.1,1496.1,452.06,1432.1000000000001,615.0400000000001,395.42,471.84999999999997,332.87,679.5200000000001,1045.3,648.6800000000001,725.25
2022,486.16999999999996,310.83000000000004,473.9,522.64,519.3299999999999,318.13,380.96000000000004,625.53,446.1,367.80999999999995,409.55999999999995,351.7,365.17,323.17999999999995,581.5,459.88,429.1,430.83,302.71000000000004,487.84999999999997,391.15,351.71000000000004,309.51,341.57,570.51,527.03,425.87,467.31999999999994,382.28,506.27000000000004,501.29,398.04999999999995,1499.5,395.26,1281.5,242.94,621.48,424.94,1082.1,399.95000000000005,372.44,507.41999999999996,500.70000000000005,349.53000000000003,332.98,308.25,414.57000000000005,323.42,453.29,357.09000000000003,304.98,325.77,306.02,456.27,433.14,363.78000000000003,462.1,439.07000000000005,401.12,327.4,330.09000000000003,319.31000000000006,484.50000000000006,315.82,302.79999999999995,286.81,294.53000000000003,482.85,403.78999999999996,358.08000000000004,360.43,494.6,390.68,270.33,272.77000000000004,360.3500000000001,321.46999999999997,296.69,294.48,322.06,365.61,312.41999999999996,365.12,500.24999999999994,304.61,297.24,546.9599999999999,442.01,311.19,325.88,311.40000000000003,288.29999999999995,323.72,402.99,290.78,405.65999999999997,420.56,355.65
2023,849.9,516.64,570.85,865.4000000000001,773.3,365.88,612.0899999999999,670.88,500.75000000000006,619.1999999999999,502.62,603.28,480.15999999999997,349.0,1175.9,613.31,521.4,588.2499999999999,331.90999999999997,563.64,414.74999999999994,402.88,336.10999999999996,472.06999999999994,629.8399999999999,612.52,515.75,785.0100000000001,785.73,795.5300000000001,1086.2,650.25,2021.1,643.45,1567.1000000000001,424.5799999999999,694.89,533.81,1509.1,653.4799999999999,774.8299999999999,927.0,584.28,487.83000000000004,419.61,326.11,912.32,304.52,572.22,423.71000000000004,391.29,622.5799999999999,270.16999999999996,641.9,746.7300000000001,450.53000000000003,454.23999999999995,672.2500000000001,570.75,745.78,414.73,267.0,587.92,303.85,296.43,282.8,355.35,691.32,490.02,437.06,597.5699999999999,681.08,560.1999999999999,466.74,277.63,448.2199999999999,416.23999999999995,397.72,271.5,295.01,435.62,509.03999999999996,609.74,863.5,393.28,384.73,1151.6999999999998,504.15999999999997,269.11,760.8100000000001,399.16,273.7,306.82,484.52,459.96999999999997,679.83,349.17,443.65999999999997
2024,740.5,682.5699999999999,675.82,754.0400000000001,642.8300000000002,669.23,446.23,636.36,552.52,408.3,474.06999999999994,658.4599999999999,531.37,666.6700000000001,837.8,436.88000000000005,641.12,438.1600000000001,458.78999999999996,540.96,408.09000000000003,491.8,272.03,706.0899999999999,578.52,537.1099999999999,1970.6,578.8399999999999,584.3299999999999,568.33,683.77,437.82,1512.7000000000003,667.6,1358.6000000000001,718.05,634.37,454.82,1065.7,699.96,637.46,746.19,517.94,691.1600000000001,689.52,523.3399999999999,935.3000000000001,270.7,745.62,365.28000000000003,521.79,286.59000000000003,272.66999999999996,545.14,738.44,388.85,875.0000000000001,799.6000000000001,922.0,746.6999999999999,354.27000000000004,301.09000000000003,501.64,284.09,281.95,258.36,483.24,454.83,423.23999999999995,783.5,353.79,478.02000000000004,507.38,342.80999999999995,500.9,527.24,338.97,309.96,264.20000000000005,272.03000000000003,408.57,337.11,677.3600000000001,798.5899999999999,488.13,315.59,803.9,353.06,276.04,374.45,403.88,285.32,252.36,767.72,507.82000000000005,430.56,315.74,370.09
2025,423.24,330.49,549.66,481.6,440.40999999999997,311.56000000000006,366.06,711.5100000000001,503.45,364.77000000000004,536.6,356.5,493.97,306.87,516.7199999999999,363.26,504.19000000000005,399.4,334.53999999999996,589.64,414.93999999999994,402.18000000000006,323.48,394.06000000000006,667.4599999999999,600.85,323.82,413.5799999999999,377.43,430.45000000000005,445.83,382.67999999999995,1551.3999999999999,378.11,1488.5,363.57,737.1,527.29,1154.6000000000001,392.34,371.25,432.56,577.55,341.31000000000006,334.30000000000007,329.92,226.04000000000002,244.95000000000002,264.65000000000003,424.24999999999994,376.8,338.58,255.89,207.38,496.36,438.38999999999993,384.33,377.33,216.5,438.83,525.1800000000001,257.59999999999997,612.8500000000001,258.84999999999997,259.0,249.99,347.26,440.82,217.29999999999998,463.96000000000004,363.24,453.54999999999995,213.63000000000005,321.19,309.23,437.95,449.66,415.39,262.97999999999996,263.22,486.46999999999997,328.89,367.46000000000004,521.04,371.7700000000001,501.2,497.94000000000005,408.1,265.72,366.89,457.5900000000001,260.5,271.64,208.23000000000002,442.9,742.62,229.04,585.4399999999999
2026,1133.2,658.69,424.74,1142.3000000000002,1192.4,526.34,787.0699999999999,538.22,416.40000000000003,837.85,336.68,742.96,299.6,637.09,1502.8,842.42,359.1,1033.8999999999999,265.53000000000003,452.32,314.14000000000004,315.54,271.74,292.05999999999995,524.0799999999999,481.57000000000005,301.36,1159.7,968.5,1207.6000000000001,1372.5,893.4000000000001,1394.8999999999999,801.2199999999999,1395.6999999999998,262.98999999999995,565.73,373.34999999999997,1397.0,862.9,719.85,1350.2,449.6,677.84,683.81,273.95,782.0,260.95,783.61,336.53999999999996,253.43,809.4000000000001,251.21999999999997,617.21,756.4,339.78000000000003,406.9000000000001,687.83,615.67,783.5999999999999,254.70999999999998,254.82,422.38,274.44000000000005,248.39999999999998,299.51000000000005,263.9,880.5999999999999,559.65,320.49,766.3,920.5999999999999,417.29999999999995,501.32,251.65999999999997,339.39000000000004,280.93,250.92,247.91000000000003,290.57000000000005,341.84,674.7,684.2999999999998,736.41,265.49,265.18,1468.6,717.08,253.26000000000002,804.5,262.49,259.13,241.5,380.1,256.55,362.5900000000001,418.05999999999995,338.78
2027,411.24,332.55,755.87,416.75999999999993,393.83,221.42000000000002,295.75,614.3800000000001,470.88000000000005,294.71999999999997,451.89000000000004,339.37,440.94,222.49999999999997,459.22,312.27,570.26,304.16999999999996,261.90999999999997,516.15,356.55,410.67999999999995,274.54,258.16,589.57,517.9,1327.8,415.97,323.59000000000003,517.8199999999999,395.75000000000006,303.41999999999996,1365.0,398.14000000000004,1379.1,315.2,645.17,478.63,948.6999999999999,327.33000000000004,345.81,418.13000000000005,499.96,255.48,247.99,282.65000000000003,514.34,253.92000000000002,476.36999999999995,342.85,318.28,255.21000000000004,261.29999999999995,505.34999999999997,488.43,352.40000000000003,420.77,506.46999999999997,582.47,446.33,502.75000000000006,267.58000000000004,477.25,267.17,262.5,248.62000000000003,295.37,413.16,351.81,539.22,273.01,543.85,362.45000000000005,246.0,259.76,459.47,454.11,340.16999999999996,253.18,268.86,374.40999999999997,249.76,396.99,522.72,298.09000000000003,478.50000000000006,430.19,311.43,262.68,276.49999999999994,399.33,272.84999999999997,268.39,444.32,448.19,469.84999999999997,327.57000000000005,572.14
2028,1147.8999999999999,940.6000000000001,1884.2000000000003,1163.1,1052.1000000000001,1130.5,974.5999999999999,1302.5,867.3000000000002,946.0,1157.9,944.1000000000001,1003.1999999999999,997.3000000000001,1192.4,945.0,1163.2,920.2,910.3900000000001,959.9000000000001,765.48,830.97,667.68,1068.6000000000001,1029.9,1038.1,2192.4,1053.9,952.9000000000001,1075.4,1006.4,1099.3000000000002,2042.1000000000001,1246.3999999999999,2010.2999999999997,1058.8999999999999,1288.4,1031.9,1699.1,1016.9,1204.1000000000001,993.6,966.7,1005.3,1005.3,897.3800000000001,935.84,351.95000000000005,1053.1,827.0600000000001,952.9,857.6,348.59000000000003,909.9599999999999,1251.9999999999998,815.45,1167.7,1059.2,968.64,1238.4,1341.0,396.19,949.5999999999999,367.74,359.39,443.36,878.3999999999999,1244.3,786.54,943.1000000000001,1160.8999999999999,1201.8,1054.1399999999999,934.4399999999999,816.44,838.15,932.1999999999999,1065.2,360.14,401.54999999999995,835.5,930.3799999999999,1013.7,1250.8999999999999,865.95,1196.2000000000003,1136.9,1080.1999999999998,360.84,1038.9999999999998,1082.8999999999999,339.25,415.1,1019.4999999999999,1139.3,1426.9,715.52,943.5
