,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1450.9,1129.7,821.77,1474.0,1267.3,1009.3000000000001,1077.3,969.6,657.84,1225.2,901.76,1169.9,854.28,1038.8,1928.6,1126.1,735.18,1252.0000000000002,613.29,1035.7,704.7800000000001,677.14,619.63,1321.7000000000003,921.4,997.9000000000001,759.1,1467.6000000000001,1579.1,1127.2,1726.8,1308.3999999999999,2112.6,1416.3,2033.4000000000003,853.6999999999999,1101.3,1019.3,2002.0,1286.6000000000001,1040.14,1440.1999999999998,1081.1,1102.3999999999999,1004.0999999999999,588.74,558.4300000000001,309.97,415.00000000000006,822.5000000000001,726.04,1366.6,292.57,269.93,1331.3999999999999,881.4000000000001,823.6999999999999,930.14,259.43000000000006,1490.8000000000002,891.69,370.81,918.0,304.04,288.06,314.98,813.0999999999999,1327.9000000000003,270.75,528.0699999999999,1229.1,1738.5,535.34,1131.2,497.46000000000004,733.3999999999999,525.27,598.33,305.17999999999995,320.92,868.51,1146.8,1323.1,1517.4999999999998,827.8900000000001,780.1399999999999,1886.0,1137.1000000000001,320.06,1356.4999999999998,604.4200000000001,289.75,345.58,240.31,969.4999999999999,967.1000000000001,324.46,730.51
2021,702.65,375.26,442.42999999999995,781.35,501.0,316.64,493.39,594.6,437.65000000000003,565.49,379.25000000000006,475.90999999999997,345.70000000000005,315.02,859.2,575.61,419.33,485.88000000000005,277.41,480.15,355.0,348.15,287.85999999999996,343.45,566.76,520.34,537.5,671.0400000000001,456.28999999999996,588.4100000000001,788.94,586.76,1462.0,540.5299999999999,1250.9,264.52,618.37,419.89,1154.8999999999999,570.87,494.46,637.33,485.57000000000005,412.56,395.24,282.38,307.26,276.12,476.92,339.29,276.22,392.71999999999997,268.13,222.32,548.73,343.38,427.57,506.12,238.57000000000002,385.74,324.96999999999997,289.33000000000004,466.58,275.22,257.1,289.49,301.58000000000004,498.53,325.14,350.41,408.64,584.67,197.01,268.63,266.17999999999995,335.06,311.77000000000004,299.07,281.19,276.65,350.21,354.24999999999994,409.39,485.71999999999997,287.75,298.98,915.2,444.25,267.84,430.29999999999995,303.00999999999993,264.42,260.39000000000004,343.09000000000003,307.62,366.03,314.43,359.80999999999995
2022,690.65,334.28,348.5799999999999,699.0,535.92,223.03,332.04,522.1,344.04,437.85,327.74,293.17999999999995,287.82,236.56,928.3,368.24,349.23,469.94999999999993,242.00000000000006,388.92,294.89,260.15,237.60999999999999,260.83,487.84999999999997,450.24000000000007,408.77,528.5699999999999,408.86,539.47,860.5,495.4,1106.1,339.63000000000005,1122.0,143.69,539.17,338.24,902.8,404.34,477.36,734.4100000000001,383.71,333.74,267.30000000000007,236.56,619.53,255.20999999999998,449.44999999999993,296.03999999999996,251.51,375.81,256.89,478.14,459.51,322.18,333.19,492.53,365.69,194.64000000000001,249.42999999999998,259.33,374.34000000000003,244.01999999999998,239.73000000000002,242.7,242.63,496.04999999999995,277.03999999999996,344.53999999999996,369.85,453.13,364.74999999999994,220.48999999999998,225.69000000000003,297.84,231.89000000000001,220.29999999999998,235.53999999999996,259.57000000000005,296.65,335.03000000000003,331.12,558.17,240.22000000000003,246.09000000000003,964.1000000000001,384.86,247.45999999999998,518.63,229.93,266.28,259.44,303.21999999999997,258.63,198.72000000000003,245.60000000000002,293.61
2023,496.48999999999995,297.58000000000004,410.97,501.69000000000005,478.53,192.39,318.74,549.8299999999999,350.14,321.70000000000005,330.22,319.02,301.99,277.21,574.25,323.04,381.24,351.85,259.14,418.58,273.49,268.13,246.86000000000004,356.41999999999996,482.8,457.98,751.0999999999999,416.47,300.19,595.77,461.83000000000004,330.99,1109.8999999999999,336.37000000000006,1101.2,323.73,546.16,320.79,692.62,335.14,362.0,524.1700000000001,405.2900000000001,229.79000000000002,223.77000000000004,225.76999999999998,468.90999999999997,256.92,439.87,286.55,227.46999999999997,229.57999999999996,245.34,311.65,462.70000000000005,298.21999999999997,392.84000000000003,393.80000000000007,323.20000000000005,266.57,267.90000000000003,232.98000000000002,376.66999999999996,259.73,240.94,246.23000000000002,238.46000000000004,400.41,312.59000000000003,518.9300000000001,304.77000000000004,437.87999999999994,264.15,172.4,238.72,319.07,237.68,208.11999999999998,244.93,253.23999999999998,300.74,221.50000000000003,346.63,461.09000000000003,249.3,225.15000000000003,570.85,337.79,234.75000000000003,294.93,245.56,252.42,234.02,291.68,329.19,205.77,295.39,305.78
2024,1010.1000000000001,790.95,537.02,1014.3,1189.3999999999999,821.4000000000001,831.03,575.6,429.09000000000003,830.6800000000001,420.92,829.4100000000001,392.82000000000005,819.59,1312.4999999999998,836.1800000000001,493.82000000000005,970.0000000000001,388.22999999999996,476.24,342.47,350.65,255.43,501.15,549.74,517.9399999999999,1549.3,1075.6999999999998,897.3999999999999,1212.3,973.0999999999999,848.5,1310.3,841.51,1318.3999999999999,888.17,588.47,424.34999999999997,1186.7,849.5999999999999,853.1999999999999,1239.1,482.27,808.8399999999999,807.59,384.34999999999997,586.05,264.67,762.13,396.44000000000005,377.09,854.8000000000001,267.76,640.6,982.3,337.82,934.5,922.8000000000001,706.1399999999999,885.0,290.07,266.68,481.99,244.31,268.19,278.82,350.92,983.5999999999999,313.18,553.22,854.47,835.6999999999998,619.8,824.7900000000001,339.51000000000005,402.93000000000006,503.91999999999996,264.75,265.52000000000004,266.29,377.71999999999997,809.9200000000001,847.96,988.9,323.13,278.85,1310.3,936.2,276.06,991.5,286.21,263.16999999999996,282.83,755.8600000000001,407.92999999999995,1052.7,572.3199999999999,554.3
2025,746.03,392.77,441.71999999999997,570.13,787.45,414.52,487.75,534.39,421.88000000000005,482.65,362.78999999999996,469.85,331.76,407.34999999999997,940.8000000000001,486.97,419.61,584.12,311.24,465.39,303.33,315.80999999999995,260.5,463.85,519.48,483.52,589.31,700.1700000000001,465.53999999999996,778.14,604.4,497.53999999999996,1131.1999999999998,495.77,1200.6999999999998,434.44,575.2,395.79999999999995,879.9000000000001,514.2099999999999,467.40999999999997,881.9,463.90000000000003,407.21,404.14,288.45,782.85,268.54,535.76,309.06,298.73,426.61,270.93,501.08000000000004,543.8100000000001,331.39000000000004,525.91,511.18,610.2,408.77,285.10999999999996,292.3,448.27000000000004,281.16,280.37,268.51,292.51,501.5,419.38000000000005,431.49,430.53,597.92,486.44999999999993,389.57,277.28000000000003,340.57,275.23,243.61,271.63,303.74999999999994,345.65999999999997,390.27000000000004,422.09000000000003,492.27000000000004,259.41999999999996,252.74,922.8999999999999,527.8,283.77,663.89,302.55999999999995,273.7,315.06,604.0400000000001,381.54999999999995,690.45,346.43000000000006,411.63
2026,330.97,301.84000000000003,385.23,248.17999999999998,361.3,251.75,378.99,568.0999999999999,388.82,377.43,340.74,343.15000000000003,292.72999999999996,253.58,650.06,373.55,378.21999999999997,433.71999999999997,253.60999999999999,440.24000000000007,323.05,319.21,258.37,336.6,519.44,491.2,404.26000000000005,527.2,337.07,259.49,246.37999999999997,415.76,420.26,362.18999999999994,852.6,190.41,578.56,386.80999999999995,248.70999999999998,402.81,420.0199999999999,391.59000000000003,455.74999999999994,310.57,290.71,252.51999999999998,202.68,252.35000000000002,408.87999999999994,304.94,272.32,302.81,231.8,190.85000000000002,405.45,314.01,350.43,331.63000000000005,195.86999999999998,284.89,270.67,235.14999999999998,427.90999999999997,233.84,250.96,234.88000000000002,263.58,437.14,206.67,328.76,340.75,422.40999999999997,198.74,221.19,232.17999999999998,334.48,280.84999999999997,262.49,240.69,256.84,324.35999999999996,295.86,300.64000000000004,446.03,258.54999999999995,258.89,595.95,337.86,246.84,307.60999999999996,274.87,240.65999999999997,252.65999999999997,317.92,262.34,349.97,212.4,322.33000000000004
2027,70.945,215.92999999999998,258.47999999999996,95.11,310.15999999999997,184.54999999999998,265.07,496.51,288.91,279.46999999999997,241.38000000000002,253.75,223.0,183.72,389.7199999999999,292.77,268.17999999999995,288.95,208.39000000000001,313.5,254.66,240.23,215.45999999999998,229.15,442.97999999999996,384.28999999999996,297.05,351.24,210.41,302.06,150.65,303.53,239.0,221.41000000000003,239.37,179.09,492.8,288.36,181.0,353.11,250.24999999999997,301.22999999999996,338.95000000000005,224.50000000000003,221.95999999999998,200.33,206.2,197.03,279.01,262.34,233.98999999999998,219.74,200.7,180.77,270.61,270.75,268.32,260.24,191.54,168.26,219.77,187.71,306.71999999999997,213.7,201.41000000000003,226.68,226.14999999999998,365.11,185.29,257.23999999999995,244.51,359.18,153.86999999999998,209.74,204.92,272.14,208.59000000000003,199.01999999999998,181.42999999999998,223.65,238.77,210.68,206.45,305.38,228.7,222.31,344.6,326.81999999999994,202.68,228.93,231.69,206.89000000000001,244.09000000000003,113.48,209.27999999999997,190.56999999999996,177.16,273.82
2028,576.38,287.08000000000004,379.81,577.7900000000001,643.3299999999999,262.40000000000003,398.11,516.6800000000001,343.18,321.01,328.48999999999995,331.5,292.13,275.08,765.5600000000001,361.65000000000003,361.69,451.67,247.70000000000002,380.69,291.79,276.39,248.1,288.62,459.63,451.0,659.55,551.03,384.18000000000006,663.8299999999999,615.52,350.65000000000003,1064.1000000000001,439.37,1056.8999999999999,225.57000000000002,523.1999999999999,345.81,747.8100000000001,432.73,483.57000000000005,722.11,408.24,297.9,263.12,241.61999999999998,519.1800000000001,251.82999999999998,430.0,291.09000000000003,248.23000000000002,290.74000000000007,244.33,372.31,413.12,293.97,430.39000000000004,416.45000000000005,323.5,329.05,247.67000000000002,259.6,370.53,255.44,238.31,236.85999999999999,244.82000000000002,423.96999999999997,340.11,278.13,304.64,418.81000000000006,283.08,271.53,243.02999999999997,295.35,365.48,220.64000000000001,238.01999999999998,259.32,286.43,271.14000000000004,310.54,416.11,247.07999999999998,299.46999999999997,733.56,369.42,247.06,445.58,288.65999999999997,250.17999999999998,253.53999999999996,379.38,301.20000000000005,510.1,282.84,475.4799999999999
2029,860.28,562.8199999999999,1123.7,937.9000000000001,977.2,349.41999999999996,642.6600000000001,711.44,616.45,652.5600000000001,658.0600000000001,735.62,579.02,512.36,702.6500000000001,636.44,762.7800000000001,665.8199999999999,353.7,620.81,474.53000000000003,476.43000000000006,360.9,531.51,685.7,629.54,1920.5,853.31,468.34,984.0,612.05,669.04,1624.0,742.38,1615.3000000000002,607.2199999999999,742.4,529.62,1195.8,735.4999999999999,648.14,583.0100000000001,612.27,560.44,543.6700000000001,401.78,767.02,284.35999999999996,744.72,444.84,427.59000000000003,402.4,272.98,628.3600000000001,637.65,453.8,645.98,778.78,668.91,619.84,609.02,249.48999999999998,728.7500000000001,262.24,266.88,267.57,403.73999999999995,717.5300000000001,507.88999999999993,1246.8999999999999,587.1800000000001,1823.4000000000003,712.96,451.54999999999995,336.99000000000007,573.4499999999999,544.01,440.73,275.38,275.98999999999995,480.87,485.12,669.35,829.3999999999999,404.61,572.26,699.64,543.8900000000001,271.96000000000004,622.8199999999999,487.77,272.33,256.09,679.9599999999999,695.1500000000001,708.75,429.62,664.97
2030,846.2,756.0699999999999,1144.9,861.0999999999999,1037.3000000000002,956.3000000000002,606.4,899.4,703.35,606.59,679.67,755.8900000000001,690.18,820.8600000000001,1007.2,609.12,822.2,585.34,693.38,710.3100000000001,570.85,679.12,498.59999999999997,1058.0000000000002,724.6,698.87,1386.1,838.8999999999999,730.2,812.2499999999999,903.9,770.68,1735.0,767.9,1729.7000000000003,771.3499999999999,960.4000000000001,628.0899999999999,1306.7000000000003,827.98,809.5300000000001,837.8,697.1500000000001,792.3,831.4,705.3,862.9200000000001,366.58,981.59,534.36,756.87,831.5999999999999,318.08000000000004,590.57,1018.5,557.87,779.49,890.23,692.4000000000001,946.0,995.3,324.96000000000004,673.09,351.42,329.75000000000006,313.29,709.2799999999999,837.8000000000001,601.28,951.4,967.9,760.6899999999999,815.3,755.8800000000001,647.74,689.58,702.16,594.84,354.79,323.11,666.65,755.8700000000001,954.6000000000001,898.12,624.73,866.1999999999999,940.4000000000001,972.6,310.29,850.5,583.42,323.51,315.9,637.2600000000001,694.58,1555.5000000000002,588.28,820.5
2031,1168.0,866.83,1018.5999999999999,1234.7,1116.3000000000002,970.1,857.85,865.3,669.7,806.3599999999999,664.87,909.0999999999999,640.9399999999999,978.3,1281.6999999999998,829.7,737.1999999999999,913.1999999999999,649.4499999999999,712.61,550.01,596.21,484.26,1028.9,735.9000000000001,714.5999999999999,2099.8999999999996,1013.1000000000001,893.0999999999999,1108.0,1077.7,916.8,1921.2,1086.5,1760.6,1044.4,878.6,630.0400000000001,1467.2,920.2,941.7,1200.5,699.79,888.2,910.0000000000001,550.65,1068.1699999999998,335.9,1076.3000000000002,546.78,648.4499999999999,944.7,340.03,1172.6000000000001,1024.5,569.13,1083.3,1079.6000000000001,843.3,1017.5,788.8,320.34000000000003,671.0200000000001,322.59999999999997,305.55,322.24999999999994,612.37,909.5,750.11,986.8,988.4,949.8,921.9000000000001,941.3,524.08,663.4100000000001,621.77,566.67,311.89,349.93999999999994,580.85,938.9000000000001,1039.6999999999998,1195.8,569.36,678.99,1225.3,1085.8,321.68,1031.8,608.3000000000001,324.61,317.69,801.21,657.95,1115.2,706.01,723.97
