,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,516.82,501.21,795.3000000000001,560.85,746.9399999999999,616.3199999999999,520.3399999999999,881.4000000000001,675.8500000000001,511.95000000000005,691.0999999999999,512.93,667.78,509.46000000000004,866.5999999999999,515.3199999999999,680.89,665.3199999999999,524.19,742.1,582.0899999999999,581.95,500.49000000000007,713.0699999999999,798.4000000000001,750.0,1111.3,550.92,642.6,684.55,735.17,571.46,1850.3,527.5999999999999,1818.1,614.8700000000001,970.2,716.59,1426.4999999999998,567.99,595.51,729.29,750.9000000000001,520.27,523.95,450.69999999999993,646.67,328.98,637.39,671.45,571.78,661.1600000000001,306.5,662.5500000000001,729.97,632.36,632.79,632.9799999999999,625.3700000000001,891.2999999999998,646.47,313.76,771.4,329.79999999999995,304.57,337.80000000000007,591.15,574.63,503.40000000000003,580.5600000000001,564.25,1615.4,690.7400000000001,501.14,476.57,632.9100000000001,589.6399999999999,600.29,299.40000000000003,313.17,657.67,501.13,560.9,649.24,569.4,587.28,894.9000000000001,574.94,307.34000000000003,853.6999999999999,593.06,334.19,299.8,437.99,700.9,1058.4,446.44,636.45
2021,875.53,420.73,455.44,873.7,840.1999999999999,318.34999999999997,683.5899999999999,610.5200000000001,470.99000000000007,630.97,396.9,599.7900000000001,367.8,296.74,1041.1,635.5699999999999,456.64,796.6,284.89,515.27,411.15000000000003,384.35,273.29,445.2,587.11,543.04,550.76,821.61,568.86,855.7,910.3999999999999,711.3,1480.9999999999998,672.01,1344.8000000000002,294.3,660.8899999999999,467.65,1112.3,704.52,706.34,953.2,530.66,450.81999999999994,421.6500000000001,312.90000000000003,827.0,305.50000000000006,765.8499999999999,387.67999999999995,346.79999999999995,440.12000000000006,294.9,436.04999999999995,578.42,383.36999999999995,520.4300000000001,543.5400000000001,492.0,434.83000000000004,374.22,285.35999999999996,490.93999999999994,300.44000000000005,296.96,294.04,352.40000000000003,523.33,514.6,408.69,444.4,732.22,430.96000000000004,288.7,269.04,386.6,355.26,312.87,306.04,308.34000000000003,394.71999999999997,412.78999999999996,471.46000000000004,595.46,327.04999999999995,308.61,1034.0,444.30999999999995,284.85,706.28,348.86,308.29999999999995,271.15000000000003,405.15999999999997,356.9,464.38999999999993,447.02,389.48
2022,1293.1,1059.9,537.3,1294.2,1215.6000000000001,731.2900000000001,1068.8,721.67,641.4799999999999,1282.5,557.91,1245.4,527.63,701.0899999999999,1603.9,1285.2,494.07000000000005,1291.0,448.49,735.47,587.96,525.14,498.37,728.4300000000001,711.1300000000001,738.92,555.93,1272.8,1070.3,1271.1000000000001,1438.3,1283.3,1798.8000000000002,931.0,1779.5,707.6399999999999,777.3,696.73,1617.3999999999999,1313.7,700.57,1421.9,726.3000000000001,1030.9,1085.8,407.9,499.47,320.63,412.25,625.5600000000001,521.0,1226.4,332.58000000000004,268.95000000000005,781.7,665.24,780.8100000000001,710.23,300.07,936.8000000000001,564.52,373.11,687.5,335.90999999999997,333.62,318.89,567.17,1086.2,335.82,477.82,1327.5,1312.5,424.07000000000005,1040.9,385.90000000000003,592.85,486.5,505.08000000000004,331.55,315.02,648.45,1239.6000000000001,840.3,785.99,539.0600000000001,524.01,1650.7,1005.0999999999999,322.78,1219.1000000000001,495.59000000000003,340.46999999999997,313.79,228.38000000000002,506.27000000000004,814.1,298.45,592.64
2023,787.9300000000001,364.61,477.05,796.25,830.02,328.28999999999996,493.94999999999993,608.4399999999999,488.39,493.78,454.84000000000003,462.02000000000004,408.9,295.03999999999996,976.8999999999999,478.63999999999993,465.36,636.6,306.01,535.59,389.34000000000003,406.43999999999994,303.53000000000003,375.15,581.1600000000001,571.15,510.65000000000003,671.3900000000001,462.09999999999997,776.94,838.0,505.14000000000004,1574.1000000000001,488.41999999999996,1294.1,277.65999999999997,633.11,457.69000000000005,1313.3999999999999,540.93,534.4,907.9,550.03,364.82,356.82,303.72,238.74999999999997,287.09999999999997,394.58000000000004,406.79,345.45000000000005,376.61999999999995,310.46,217.22,512.33,384.63,510.93,516.6800000000001,222.94,363.36,370.99,275.96,500.72,297.92,263.38,270.95,329.42999999999995,526.44,232.58,358.63999999999993,412.74999999999994,598.3100000000001,223.41,256.07,289.55999999999995,372.47,326.45,320.9,264.52,289.6,397.35,349.29,393.42999999999995,520.42,341.22999999999996,344.58000000000004,974.7,419.13,283.22999999999996,728.0,350.65999999999997,297.79,293.93,201.11999999999998,342.22999999999996,397.37,233.32,377.33000000000004
2024,447.95,206.01,329.97999999999996,454.59000000000003,344.57,174.74,259.63,476.99,373.83,248.72000000000003,330.02,238.95,266.68,180.70999999999998,393.78999999999996,259.59000000000003,285.60999999999996,324.84,235.95999999999998,395.36,305.61,280.54,247.40999999999997,200.82999999999998,451.04,415.01,322.24,327.19,235.33999999999997,348.9,334.79,267.52,1000.8,249.28,993.0,166.98,495.9,360.18000000000006,603.62,302.59000000000003,250.96,373.64,411.33000000000004,220.51999999999998,250.22,233.37,244.54,266.21,300.71,293.64000000000004,254.5,210.18,251.14000000000004,231.2,336.33,297.22999999999996,326.46000000000004,290.09,230.37,189.13,236.15,272.65,335.4,242.92999999999998,239.47,252.07999999999998,250.33999999999997,357.78,233.8,269.33000000000004,232.25,364.42,226.55,188.10000000000005,233.26,304.38,220.54999999999998,226.53,233.58,273.65999999999997,297.5,201.61,224.91,269.68,256.97,254.23000000000002,372.78,316.81999999999994,260.64,231.73000000000002,255.60000000000002,207.72,266.04999999999995,235.69000000000003,227.39999999999998,145.71,192.89,295.66
2025,833.0,428.41,408.28,934.7,808.4100000000001,397.37,639.19,603.52,493.81,660.53,391.76,617.4,352.9,361.4,914.6,668.9200000000001,383.15,622.07,269.78,518.2900000000001,379.82000000000005,374.3,287.67,412.18,577.02,550.25,439.03,789.8,557.92,826.99,792.57,666.1800000000001,1352.2,676.3299999999999,1339.3,362.16,635.4799999999999,457.58000000000004,965.7,669.53,708.9100000000001,913.7,517.0999999999999,461.28000000000003,440.27,250.85,422.93,298.04,630.82,358.79,352.09,409.6699999999999,289.21,484.33,589.28,368.29999999999995,449.05999999999995,687.9799999999999,522.79,564.5500000000001,323.89000000000004,286.55,484.91,291.56,258.01,282.12,311.61,623.84,228.21,379.33,555.53,614.35,270.75,383.17,256.18,387.47,346.66999999999996,314.27000000000004,268.71999999999997,276.43,296.37,371.94,597.9499999999999,604.45,316.69,370.54999999999995,911.7,481.39,271.11,496.36999999999995,351.06,271.27,266.05,617.6700000000001,355.25,540.23,247.3,424.62000000000006
2026,647.1899999999999,326.45,339.90000000000003,663.6899999999999,520.97,263.59000000000003,453.43,490.61999999999995,349.40000000000003,396.58000000000004,287.64,388.47,248.38000000000002,269.32,739.24,403.14,299.4,498.71000000000004,219.70999999999998,367.91999999999996,285.71000000000004,263.06,236.64,359.82,473.40000000000003,429.89,321.25,511.03999999999996,445.84000000000003,524.77,631.62,412.03999999999996,1090.6,461.25,1095.5,137.72,508.53,326.85,847.9,411.32,389.0299999999999,698.25,365.08,332.69,334.53000000000003,218.73999999999998,209.83,243.10999999999999,328.02000000000004,281.28,225.13000000000002,347.13,248.85999999999999,189.47000000000003,405.26,276.52,269.07,434.72,192.56,205.43,230.49,237.32000000000005,332.14,255.99,244.7,239.42000000000002,215.73,467.35999999999996,196.83,261.48,385.75,467.51000000000005,191.03,219.99,204.23,283.92,214.69,197.01999999999998,226.47,239.93999999999997,253.21999999999997,320.7,336.89,392.0799999999999,245.83999999999997,233.5,769.29,359.91999999999996,253.46999999999997,470.41999999999996,214.63,223.56,248.75,187.11,225.89999999999998,222.20999999999998,199.9,288.59000000000003
2027,952.0,874.89,671.7099999999999,947.9999999999999,1165.1,356.07,717.34,546.9200000000001,471.47999999999996,726.5100000000001,393.02,875.06,455.74,381.83000000000004,1288.5000000000002,739.73,536.96,975.1,246.14,484.8400000000001,373.01,411.57,269.16,534.5,527.05,520.56,883.7,1010.7,914.2999999999998,1168.1000000000001,1112.8,781.3000000000001,1199.7,923.6999999999999,1244.4,840.8,614.37,418.92999999999995,1069.2,796.5,1033.3999999999999,1181.5,494.22,584.0200000000001,921.55,359.61,534.89,260.21000000000004,578.52,348.55,293.59,569.87,245.9,528.3100000000001,1114.0,352.11,996.1,1005.7999999999998,534.49,895.4,299.77,295.68,479.75000000000006,266.71999999999997,266.59000000000003,244.47,282.99,731.77,290.91,364.54,668.62,772.1,595.08,400.47,247.74,478.11,282.15,286.33000000000004,264.83,282.14,374.80999999999995,519.49,935.3999999999999,996.8,272.56,289.66999999999996,1238.5,542.8100000000001,256.69000000000005,795.02,326.08,260.05,300.48,493.59000000000003,453.09000000000003,361.92,294.67999999999995,331.03
2028,778.69,578.25,576.89,794.5600000000001,923.6999999999998,644.94,610.06,633.6600000000001,504.59000000000003,584.79,466.86999999999995,626.3799999999999,454.80999999999995,585.9200000000001,1135.7,593.26,489.77,789.4,312.37,543.6600000000001,414.71,413.79999999999995,316.01,567.35,595.17,583.4100000000001,764.8000000000001,780.0999999999999,660.6099999999999,931.3999999999999,977.6999999999999,622.73,1391.7,516.25,1398.6,574.08,667.1700000000001,494.53,1102.6,666.04,685.86,1049.8,544.4,581.6,592.79,303.41,995.29,298.54999999999995,647.59,418.88,366.63000000000005,574.3100000000001,290.1,850.2700000000001,783.5,406.21999999999997,662.8,705.76,742.8900000000001,620.04,383.21000000000004,309.81,541.49,306.71000000000004,285.61,276.55,365.61,671.34,460.77000000000004,424.78999999999996,543.24,647.87,578.85,420.37,288.65999999999997,436.46000000000004,353.55,365.44,286.95,298.94,449.79999999999995,457.36999999999995,656.26,646.98,365.49,344.45,1209.2,502.2099999999999,292.21999999999997,885.0000000000001,363.03,291.01,285.34,724.4300000000001,466.18999999999994,593.9499999999999,405.25,405.73
