date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,1591.0,1264.0,1484.0,1590.0,1432.0,1206.0,1459.0,1390.0,2038.0,1384.0,1413.0,1209.0,1389.0,1467.0,1286.0,1429.0,1339.0,1969.0,1538.0,1739.0,2026.0,2005.0,1650.0,1351.0,1569.0,1539.0,1317.0,1492.0,1353.0,1325.0,1579.0,1220.0,1566.0,1337.0,1469.0,1277.0,1642.0,1701.0,1554.0,1207.0,1365.0,1407.0,1417.0,1202.0,1308.0,1486.0,1514.0,2085.0,1319.0,1265.0,1197.0,1270.0,1715.0,1632.0,1286.0,1376.0,1220.0,1271.0,1692.0,1337.0,1583.0,1461.0,1491.0,1649.0,1636.0,1861.0,1207.0,1342.0,1954.0,1254.0,1240.0,1402.0,1778.0,1283.0,1323.0,1220.0,1355.0,1485.0,1627.0,1956.0,1655.0,1243.0,1297.0,1411.0,1255.0,1410.0,1269.0,1222.0,1666.0,1254.0,1410.0,1585.0,1690.0,1971.0,1352.0,1282.0,1890.0,1337.0
2021-12-31,4332.0,4826.0,4842.0,4333.0,4846.0,4647.0,4671.0,4358.0,4884.0,4738.0,4848.0,4793.0,4859.0,4849.0,4623.0,4822.0,4806.0,3164.0,4872.0,2705.0,2385.0,4867.0,3765.0,4832.0,3446.0,4663.0,3713.0,4332.0,4828.0,4771.0,3675.0,4763.0,4292.0,4847.0,4322.0,4837.0,3020.0,2361.0,4283.0,4780.0,4742.0,4737.0,2832.0,4714.0,4826.0,4864.0,3267.0,3120.0,4857.0,4850.0,4860.0,4817.0,3339.0,3695.0,4841.0,4863.0,4847.0,4829.0,3378.0,4823.0,2618.0,2852.0,2506.0,2969.0,4925.0,3361.0,4814.0,4809.0,2720.0,4821.0,4794.0,3747.0,2979.0,4816.0,4859.0,4876.0,4708.0,4367.0,4924.0,2851.0,4399.0,4818.0,4841.0,4847.0,4857.0,4392.0,4333.0,4816.0,3357.0,4801.0,4355.0,4929.0,2852.0,4850.0,4872.0,4732.0,4851.0,4850.0
2022-12-31,1263.0,1179.0,1359.0,1246.0,1180.0,1182.0,1184.0,1211.0,1265.0,1178.0,1312.0,1179.0,1284.0,1181.0,1184.0,1179.0,1272.0,1466.0,1240.0,1330.0,1212.0,1246.0,1197.0,1198.0,1288.0,1248.0,1360.0,1158.0,1238.0,1181.0,1305.0,1181.0,1277.0,1219.0,1280.0,1170.0,1301.0,1457.0,1276.0,1181.0,1254.0,1151.0,1266.0,1182.0,1184.0,1239.0,1196.0,1280.0,1195.0,1266.0,1234.0,1164.0,1309.0,1021.0,1186.0,1255.0,1195.0,1192.0,1618.0,1225.0,1348.0,881.8,1363.0,1118.0,1135.0,1327.0,1228.0,1186.0,1571.0,1331.0,1168.0,1310.0,1950.0,1166.0,1241.0,1265.0,1197.0,1311.0,1111.0,1238.0,1428.0,1167.0,1191.0,1306.0,1240.0,1275.0,1171.0,1198.0,1311.0,1156.0,1240.0,1044.0,1238.0,1587.0,1296.0,1183.0,1456.0,1291.0
2023-12-31,1123.0,1049.0,1157.0,1121.0,1067.0,1124.0,1057.0,1221.0,1250.0,954.6,1237.0,942.2,1223.0,1134.0,901.3,1142.0,1185.0,1256.0,1186.0,1272.0,781.8,1278.0,1146.0,1154.0,1080.0,980.6,1180.0,1018.0,1171.0,1035.0,1199.0,951.8,1015.0,1173.0,1004.0,1003.0,1108.0,1043.0,1044.0,903.5,1039.0,1101.0,868.8,941.2,939.8,1182.0,777.9,1271.0,1006.0,1027.0,966.3,1003.0,1022.0,1265.0,1162.0,931.2,1056.0,1280.0,1377.0,1143.0,1042.0,941.8,1119.0,1298.0,1101.0,1372.0,879.0,1044.0,1256.0,1039.0,964.9,1149.0,1676.0,970.4,968.2,834.3,1055.0,1088.0,1103.0,1351.0,1098.0,1009.0,1142.0,1161.0,887.0,982.1,1283.0,967.4,1082.0,989.8,1004.0,1122.0,1334.0,1691.0,1106.0,1050.0,1307.0,951.5
2024-12-31,1696.0,2717.0,2289.0,1695.0,2051.0,2401.0,2338.0,2214.0,3436.0,2279.0,2179.0,2452.0,2563.0,2115.0,1641.0,2341.0,2603.0,2142.0,2132.0,2046.0,1709.0,3461.0,2449.0,2021.0,2362.0,1866.0,2600.0,2161.0,2080.0,2367.0,1762.0,1753.0,1666.0,2140.0,1561.0,2140.0,2104.0,1598.0,1591.0,1664.0,2750.0,2211.0,1889.0,2385.0,2329.0,2386.0,2187.0,1955.0,1458.0,2215.0,2253.0,2108.0,2154.0,2044.0,2279.0,2152.0,2232.0,3182.0,2043.0,2251.0,1836.0,1833.0,1713.0,1745.0,2048.0,2522.0,1854.0,1797.0,2125.0,2105.0,2146.0,1707.0,2191.0,2099.0,2232.0,1572.0,2111.0,2235.0,2039.0,1733.0,2065.0,2142.0,2255.0,2019.0,1713.0,2091.0,2137.0,2215.0,2164.0,2092.0,2145.0,1991.0,1904.0,3335.0,2185.0,2183.0,1734.0,1999.0
2025-12-31,1295.0,1267.0,1160.0,1300.0,1176.0,1158.0,1170.0,1096.0,1018.0,1126.0,1181.0,1165.0,1185.0,1211.0,1043.0,1163.0,1227.0,1228.0,1121.0,1178.0,903.7,913.2,1126.0,1156.0,1166.0,1085.0,799.8,1077.0,1307.0,1147.0,1358.0,1188.0,1265.0,1256.0,1216.0,1264.0,1155.0,1232.0,1211.0,1095.0,1082.0,1122.0,1086.0,1147.0,1015.0,948.6,978.3,1221.0,1082.0,1074.0,1111.0,1156.0,1110.0,938.5,1275.0,1123.0,1109.0,1266.0,1265.0,1323.0,1142.0,981.2,1124.0,1062.0,1240.0,979.8,1061.0,1229.0,1410.0,1247.0,1172.0,1177.0,1888.0,1207.0,1223.0,1034.0,1195.0,1319.0,1227.0,1180.0,901.1,1173.0,1297.0,1235.0,1143.0,1128.0,956.8,1206.0,1163.0,1190.0,1230.0,1180.0,968.1,1113.0,1401.0,1298.0,1374.0,1179.0
2026-12-31,1109.0,1386.0,1463.0,1093.0,1322.0,1269.0,1372.0,1204.0,2496.0,1251.0,1289.0,1284.0,1472.0,1425.0,1015.0,1363.0,1458.0,1374.0,1273.0,1162.0,1620.0,2556.0,1507.0,1079.0,1310.0,1242.0,1342.0,1245.0,1202.0,1356.0,1091.0,1259.0,1042.0,1232.0,1038.0,1271.0,1140.0,1014.0,1085.0,1080.0,1601.0,1253.0,1171.0,1272.0,1357.0,1475.0,1398.0,1571.0,1253.0,1190.0,1276.0,1151.0,1488.0,1492.0,1303.0,1142.0,1336.0,1514.0,1491.0,1411.0,1233.0,1456.0,1166.0,1486.0,1810.0,1526.0,1377.0,1154.0,1653.0,1190.0,1193.0,1218.0,1494.0,1175.0,1281.0,1349.0,1215.0,1246.0,1803.0,1534.0,1294.0,1156.0,1295.0,1225.0,1187.0,1134.0,1228.0,1290.0,1426.0,1158.0,1150.0,1780.0,1594.0,2599.0,1230.0,1290.0,1400.0,1122.0
2027-12-31,1473.0,1811.0,1700.0,1549.0,1803.0,1805.0,1879.0,1616.0,2690.0,1794.0,1887.0,1795.0,1779.0,1831.0,1471.0,1798.0,1779.0,1766.0,1850.0,1920.0,1613.0,2591.0,1807.0,1489.0,1788.0,1407.0,1562.0,1849.0,1753.0,1729.0,1504.0,1573.0,1480.0,1746.0,1542.0,1670.0,1778.0,1500.0,1541.0,1520.0,1958.0,1854.0,1468.0,1899.0,2248.0,2551.0,1656.0,1869.0,2462.0,1512.0,1769.0,1509.0,1814.0,1728.0,1549.0,1565.0,2190.0,1712.0,1737.0,1579.0,1579.0,1612.0,1557.0,1521.0,1794.0,1922.0,2115.0,1616.0,1841.0,1543.0,1565.0,1605.0,1843.0,1580.0,1529.0,1818.0,1626.0,1702.0,1783.0,1686.0,1936.0,1501.0,1534.0,1696.0,1503.0,1593.0,1550.0,1591.0,1816.0,1527.0,1552.0,1716.0,1544.0,2459.0,1508.0,1607.0,1945.0,1636.0
2028-12-31,1441.0,1672.0,1528.0,1507.0,1617.0,1699.0,1868.0,1650.0,1875.0,1800.0,1534.0,1691.0,1568.0,1666.0,1571.0,1644.0,1563.0,1630.0,1656.0,1646.0,1621.0,1753.0,1619.0,1449.0,1670.0,1600.0,1310.0,1651.0,1466.0,1749.0,1511.0,1756.0,1507.0,1547.0,1486.0,1565.0,1639.0,1516.0,1521.0,1572.0,1573.0,1650.0,1628.0,1817.0,1694.0,1720.0,1587.0,1728.0,1891.0,1608.0,1650.0,1548.0,1718.0,1667.0,1485.0,1589.0,1782.0,1526.0,1674.0,1492.0,1611.0,1609.0,1616.0,1579.0,1927.0,1746.0,1582.0,1651.0,1665.0,1565.0,1637.0,1602.0,1899.0,1629.0,1645.0,1959.0,1745.0,1773.0,1920.0,1576.0,1883.0,1552.0,1425.0,1528.0,1535.0,1665.0,1566.0,1667.0,1727.0,1578.0,1616.0,1897.0,1638.0,1914.0,1635.0,1652.0,1399.0,1677.0
2029-12-31,1433.0,1352.0,1168.0,1405.0,1355.0,1353.0,1235.0,1305.0,1437.0,1264.0,1413.0,1353.0,1411.0,1355.0,1078.0,1229.0,1398.0,1509.0,1416.0,1223.0,1087.0,1408.0,1026.0,1354.0,1193.0,1477.0,1507.0,1142.0,1350.0,1355.0,1398.0,1364.0,1435.0,1358.0,1427.0,1356.0,1172.0,1393.0,1396.0,1354.0,1355.0,1143.0,1498.0,1353.0,1355.0,1408.0,1138.0,1385.0,1371.0,1436.0,1409.0,1350.0,1332.0,1136.0,1370.0,1288.0,1373.0,1374.0,1718.0,1350.0,1342.0,1206.0,1365.0,1408.0,1285.0,1503.0,1401.0,1260.0,1646.0,1384.0,1359.0,1176.0,1866.0,1354.0,1412.0,1439.0,1389.0,1505.0,1263.0,1382.0,1514.0,1355.0,1357.0,1370.0,1415.0,1375.0,1714.0,1372.0,1332.0,1350.0,1397.0,1205.0,1177.0,1455.0,1403.0,1348.0,1587.0,1434.0
2030-12-31,1191.0,1592.0,1906.0,1201.0,1515.0,1523.0,1583.0,1545.0,2119.0,1537.0,1652.0,1535.0,1709.0,1578.0,1477.0,1619.0,1703.0,1623.0,1593.0,1625.0,1310.0,2107.0,1617.0,1507.0,1523.0,1553.0,1640.0,1529.0,1582.0,1519.0,1249.0,1397.0,1225.0,1571.0,1149.0,1493.0,1558.0,1234.0,1196.0,1095.0,1699.0,1518.0,1247.0,1460.0,1538.0,1666.0,1691.0,2118.0,1361.0,1603.0,1322.0,1493.0,1865.0,1959.0,1565.0,1317.0,1521.0,1732.0,1981.0,1697.0,1323.0,1868.0,1397.0,1968.0,1841.0,2094.0,1336.0,1262.0,2232.0,1243.0,1249.0,1346.0,2027.0,1540.0,1556.0,1107.0,1385.0,1368.0,1835.0,2013.0,1389.0,1527.0,1575.0,1564.0,1235.0,1246.0,1553.0,1586.0,1819.0,1354.0,1594.0,1814.0,1922.0,2147.0,1742.0,1281.0,1904.0,1291.0
2031-12-31,1012.0,1141.0,913.6,1055.0,1281.0,1144.0,1196.0,1093.0,1117.0,1122.0,1050.0,1047.0,994.0,1275.0,1040.0,1225.0,968.1,1232.0,1285.0,1111.0,786.2,955.5,1183.0,1107.0,1155.0,1027.0,879.9,1134.0,1045.0,1239.0,1124.0,1067.0,1112.0,1073.0,1046.0,1119.0,1171.0,1251.0,1090.0,1024.0,1032.0,1182.0,1098.0,1038.0,984.8,1160.0,846.3,1059.0,1144.0,1020.0,1095.0,1132.0,1112.0,845.9,1005.0,1083.0,965.7,999.7,1266.0,940.1,1033.0,926.7,1032.0,1068.0,1114.0,953.6,991.0,1169.0,1275.0,1176.0,1072.0,965.0,911.9,1031.0,1100.0,1114.0,1112.0,1174.0,1110.0,939.4,1051.0,1067.0,1006.0,1095.0,1140.0,1211.0,1028.0,1045.0,1135.0,1116.0,1024.0,1031.0,893.7,2155.0,876.8,1177.0,1206.0,1168.0
2032-12-31,1067.0,1547.0,1477.0,1033.0,862.5,1583.0,1567.0,1587.0,1550.0,1520.0,1551.0,1509.0,1529.0,1555.0,935.6,1528.0,1524.0,890.8,1530.0,1580.0,801.6,1836.0,1318.0,1617.0,900.6,891.0,1608.0,1333.0,1601.0,878.4,919.4,1074.0,909.9,1598.0,897.8,1581.0,885.9,881.5,908.0,874.5,1589.0,1476.0,880.3,1537.0,1531.0,1479.0,1074.0,1532.0,934.8,1553.0,1392.0,1618.0,993.1,1537.0,1600.0,1555.0,1547.0,1598.0,1829.0,1569.0,816.1,809.0,812.6,1482.0,995.8,941.4,1142.0,1484.0,1213.0,1104.0,1605.0,831.8,1071.0,1599.0,1488.0,852.4,1668.0,1505.0,974.7,1597.0,827.6,1609.0,1586.0,1695.0,1058.0,1630.0,1187.0,1601.0,982.4,1614.0,1534.0,955.3,1494.0,2538.0,1520.0,1560.0,1421.0,1654.0
2033-12-31,919.2,1500.0,1198.0,920.3,1145.0,1214.0,1138.0,1160.0,1616.0,1253.0,1096.0,1267.0,1206.0,1131.0,835.0,1198.0,1275.0,1116.0,1249.0,1180.0,955.1,1679.0,1262.0,1152.0,1281.0,928.9,1291.0,1167.0,1029.0,1214.0,969.3,1053.0,924.1,1040.0,832.2,1170.0,925.3,909.1,864.6,868.1,1313.0,1194.0,964.8,1097.0,1109.0,1183.0,1270.0,1480.0,1104.0,1203.0,1096.0,1157.0,1379.0,1310.0,1069.0,1205.0,1190.0,1172.0,1356.0,1054.0,938.2,1266.0,912.6,1415.0,1534.0,1797.0,1146.0,978.9,1779.0,1078.0,1078.0,939.7,1414.0,1175.0,1235.0,914.2,1358.0,1230.0,1518.0,1447.0,1125.0,1211.0,1070.0,1025.0,960.3,1170.0,1083.0,1047.0,1343.0,1134.0,1177.0,1470.0,1299.0,2212.0,1094.0,1156.0,1292.0,1141.0
2034-12-31,1886.0,4248.0,3384.0,1887.0,2532.0,2931.0,2744.0,2729.0,4286.0,2746.0,2891.0,4242.0,3443.0,2610.0,2329.0,2746.0,3035.0,2745.0,2606.0,2447.0,2188.0,4243.0,2778.0,2474.0,2782.0,2784.0,2850.0,2744.0,2676.0,2849.0,1914.0,2318.0,1905.0,3064.0,1859.0,2583.0,2634.0,1830.0,1889.0,4258.0,3239.0,2734.0,2251.0,3628.0,4255.0,4252.0,2024.0,2616.0,4272.0,2731.0,2603.0,2565.0,2806.0,2747.0,4265.0,2625.0,4274.0,4264.0,2749.0,4074.0,2075.0,1851.0,2073.0,2173.0,2529.0,2836.0,2381.0,2562.0,2292.0,2008.0,2581.0,2043.0,2602.0,2559.0,2705.0,4287.0,2492.0,2665.0,2324.0,2344.0,2404.0,2583.0,3755.0,2872.0,2648.0,2056.0,2562.0,2691.0,2806.0,2563.0,2665.0,2042.0,2218.0,2753.0,3608.0,2624.0,2090.0,1965.0
