,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1189.0,1051.9,953.1,1152.1,1231.9999999999998,1120.0,1102.1,999.1,784.1999999999999,1056.5,799.1999999999999,1051.9,750.4,1119.8,1687.8999999999999,1054.8000000000002,710.54,1165.9,601.0,899.6,700.83,759.68,550.13,934.1,938.8999999999999,901.0,832.8,1171.0,1235.4,1268.9,1444.8,1115.7,1966.8,1109.7,1946.3999999999996,922.9999999999999,1106.8,953.6999999999999,1664.2,1118.3,1145.0,1428.5,895.4,1072.9,1085.0,573.13,1180.3,339.65999999999997,1191.1,750.2,656.92,1218.6999999999998,346.64000000000004,1280.6999999999998,1189.0999999999997,770.0699999999999,1177.0000000000002,1186.3000000000002,1037.3,1201.8,823.5,339.32,819.4999999999999,354.42,335.0899999999999,382.47,739.54,1140.5,777.2299999999999,606.36,1115.4,1945.0,1049.6,1051.9,533.84,727.78,595.6099999999999,617.4200000000001,344.78000000000003,337.15,791.3,1051.8,1111.8,1223.1999999999998,738.2199999999999,691.7600000000001,1612.7,1140.8000000000002,372.33,1363.3,628.27,338.26000000000005,339.38,1184.6000000000001,931.9999999999999,1171.3,834.1999999999999,703.51
2021,525.4100000000001,267.68,422.26,502.03,577.1,234.46999999999997,353.16999999999996,578.74,443.48,354.21000000000004,372.40000000000003,339.23,339.92,233.02,578.64,370.66999999999996,407.49,407.33000000000004,267.02,485.59999999999997,365.68999999999994,345.38,261.63,275.37,542.6800000000001,501.05,516.31,396.86,336.23,307.09999999999997,471.77,356.64,1311.8999999999999,356.49,1223.1,217.75,610.5600000000001,407.41,898.5000000000001,363.72999999999996,361.36,498.55999999999995,497.5199999999999,277.61,283.77,266.73,253.41,287.58,350.78000000000003,339.96,279.01,278.40000000000003,275.84000000000003,216.76,419.42999999999995,337.75,264.54,409.61999999999995,216.55,196.87,311.55999999999995,286.84000000000003,467.7,277.42,274.27,266.8,265.39,397.73999999999995,227.58,498.22999999999996,301.87,449.26,216.33,208.54999999999998,244.99000000000004,334.15,284.89,281.53,266.31,292.02,349.82,260.94,305.36,431.82,285.96000000000004,274.0,528.63,376.83,297.01,278.21,288.53,283.98,294.44,206.88,310.64,316.71000000000004,225.37,337.86
2022,866.8000000000001,448.01,453.84999999999997,885.3000000000001,648.46,312.83000000000004,510.55000000000007,638.77,482.98,498.64,537.0899999999999,529.05,474.07000000000005,296.27,1157.6,528.3799999999999,438.9699999999999,532.47,371.63,633.4100000000001,424.93,411.28999999999996,359.12,750.2,609.94,655.31,563.15,793.2,693.61,636.09,980.2,615.9,1489.8,561.52,1472.6,495.38,674.29,556.4300000000001,1161.7,518.3899999999999,811.2,780.6000000000001,594.31,397.19,358.54,289.98,743.4200000000001,286.5,429.83000000000004,480.66999999999996,457.74,594.84,268.07,322.39,648.1,497.95000000000005,375.37,594.61,307.48,710.32,465.35999999999996,300.0,594.26,279.13,275.07,291.19,394.40999999999997,645.6800000000001,336.9,417.14,540.84,827.8,277.53999999999996,405.21999999999997,314.56,504.38000000000005,406.8,391.72,275.25,274.65,516.45,500.16,525.86,874.4000000000001,443.47,406.68999999999994,1065.6000000000001,494.36999999999995,291.64,622.83,413.90999999999997,295.28000000000003,276.04,295.25,487.5,629.3399999999999,306.58,521.04
2023,314.56,182.51999999999998,292.85,307.12,308.66,146.10999999999999,231.29,457.00000000000006,311.3,227.8,267.86,216.04,245.98,152.47,336.04,316.36,245.14999999999998,269.73,219.34,350.15,255.55999999999997,239.41000000000003,237.55999999999997,173.69,442.75,389.04,322.9,279.65,207.20000000000002,307.72,307.07,242.66000000000003,982.3,227.26000000000002,984.5999999999999,135.01,497.72,291.84,547.8,234.03000000000003,221.76999999999998,311.43,344.47,185.26999999999998,182.34,216.94,307.21999999999997,241.14999999999998,354.18,287.28000000000003,223.4,190.18,247.97000000000003,263.57,325.23,292.5,289.9,280.0,354.37,160.79000000000002,222.72,216.46999999999997,329.40999999999997,239.55999999999997,222.97,262.92,220.58,342.01,310.45,239.4,208.22,353.03,208.95999999999998,143.05,209.42999999999998,289.38,204.43,200.07999999999998,222.85,267.96,286.6,182.31,192.86999999999998,332.0,219.97,227.50000000000003,325.59000000000003,307.42999999999995,238.89,189.51,197.3,235.44,259.06,221.35,226.43,110.77,270.18,289.29
2024,697.23,503.67,608.28,778.5999999999999,616.46,510.91,491.64,665.1199999999999,466.54,435.17,482.76000000000005,501.42999999999995,451.2300000000001,508.41999999999996,853.4,496.2800000000001,496.99000000000007,494.71999999999997,416.65,526.5,401.03999999999996,397.83000000000004,299.6,622.1899999999999,589.6600000000001,555.1400000000001,1629.5,536.52,475.44,631.81,657.47,509.10999999999996,1387.4,594.25,1393.0,593.5200000000001,656.15,450.81000000000006,994.8,576.58,574.88,703.44,500.98,424.94000000000005,509.43000000000006,441.93,745.35,292.40999999999997,658.24,356.86,421.60999999999996,372.66999999999996,288.11,804.74,619.37,371.34,775.68,600.34,766.49,481.58000000000004,390.17,288.14,529.1,293.07000000000005,291.71999999999997,291.64,402.95000000000005,555.1899999999999,428.29999999999995,920.9,445.27,519.75,515.6500000000001,399.83000000000004,393.43000000000006,447.33000000000004,336.88,328.71999999999997,286.46000000000004,309.10999999999996,395.93,373.21999999999997,530.71,635.83,378.30000000000007,319.72,688.96,406.48,289.55,489.63000000000005,414.90000000000003,285.08,341.9,509.4699999999999,447.31,707.23,337.79999999999995,349.72
2025,392.77000000000004,248.51000000000002,461.39,392.20000000000005,402.56,234.76999999999998,295.05999999999995,594.39,444.47999999999996,289.07,391.97,285.96,375.48,236.85999999999999,409.71000000000004,296.78999999999996,472.65,338.17999999999995,289.5,501.5,355.22,328.85,260.11,272.82000000000005,561.71,517.77,761.11,361.56,290.46,414.9,377.94000000000005,300.85,1282.8000000000002,300.33,1272.1999999999998,304.01000000000005,625.24,430.89,846.4,310.68000000000006,302.13,381.79,503.77000000000004,263.88,258.18,288.03000000000003,379.31,272.47,422.67,331.24,306.05,250.85999999999999,265.65,435.79,400.65,352.84,361.98,403.46,350.25,270.52,323.20000000000005,257.19,477.03999999999996,276.48,268.12,272.58,278.82,343.88,357.15999999999997,467.4200000000001,277.55999999999995,359.94999999999993,309.99,238.96000000000004,272.07,331.5,386.23999999999995,303.51,261.01,260.83000000000004,399.92,245.2,272.72,404.83,280.28999999999996,314.40999999999997,404.73,369.62,265.43,263.24,347.53,241.87,277.59000000000003,362.29,422.37999999999994,710.38,270.83,570.49
2026,408.48,196.5,319.0,410.53,391.16999999999996,139.09,261.33000000000004,467.15999999999997,311.85,271.92,262.91999999999996,243.67999999999998,241.92999999999998,140.0,410.70000000000005,293.15,296.96999999999997,321.7,215.25,350.6,262.92,229.11999999999998,215.14999999999998,185.0,437.23,405.22,353.32,343.99,228.03,388.27,173.60000000000002,267.09999999999997,164.26999999999998,260.03000000000003,1034.6,92.36000000000001,496.03000000000003,288.96999999999997,179.94,281.03999999999996,267.8,381.39,335.25,195.8,196.88000000000002,214.4,285.27,236.65999999999997,319.62,271.46000000000004,219.92000000000002,196.88,241.5,209.62,291.54,277.0,276.78999999999996,354.68,211.26,177.32,221.36,235.52000000000004,338.95,252.7,222.15,238.79,211.76999999999998,354.82000000000005,213.26,280.96999999999997,223.6,363.21,291.54,145.42999999999998,202.5,272.79,209.05,200.37,222.23,271.65999999999997,273.68,194.72,211.69000000000003,279.99,217.68,218.94000000000003,402.65,262.14,248.23000000000002,231.71,199.99,184.60000000000002,260.52000000000004,262.65,225.13,113.10000000000001,236.77,280.78999999999996
2027,518.7,258.73999999999995,317.57,173.73,357.09999999999997,200.60000000000002,285.72,580.06,324.55000000000007,326.22999999999996,317.41999999999996,293.28000000000003,298.18,181.92,384.12999999999994,313.66999999999996,405.01,299.2,233.41999999999996,421.14,246.66999999999996,252.46,234.34000000000003,243.5,539.4000000000001,491.02,510.65,464.12,260.41,253.19,174.06,322.39,301.68,288.94,1283.8999999999999,196.76,606.07,407.85,175.16,340.77,340.6,304.14,437.31,259.99,241.84,218.29000000000002,201.88,225.50000000000003,266.11,325.37,263.30999999999995,273.61,221.62,194.39,416.34000000000003,327.01,241.21,357.99,193.48,232.18999999999997,289.21000000000004,241.76999999999998,490.99,226.25999999999996,209.54,223.89000000000001,247.47000000000003,393.46000000000004,202.21,454.30000000000007,300.68,400.05,196.68,219.23,226.20999999999998,335.41,306.56,277.12,212.18,234.61,303.83,260.71,301.84,454.02,270.14,290.81,359.47,325.69,226.45,304.84000000000003,297.96000000000004,210.27,241.21,295.46999999999997,303.62999999999994,391.1700000000001,207.09999999999997,346.28000000000003
2028,326.53,199.63,306.99,137.1,352.57,141.37,279.26,472.13,324.39,280.96,270.26,268.0,254.33000000000004,140.25,521.5999999999999,274.22,257.81,315.19999999999993,211.44,365.55999999999995,260.39,227.66,229.74,177.64000000000001,425.48,414.89,393.31,360.24,226.82999999999998,381.53999999999996,137.13,282.79999999999995,146.89,281.0,965.5999999999999,82.22999999999999,495.22,282.29,136.92000000000002,285.64,254.26,322.58,359.99,195.35,193.71999999999997,216.04000000000002,264.69,216.75,313.05999999999995,264.87,210.75,196.9,220.44000000000003,227.53,328.06,294.59000000000003,210.39999999999998,335.48999999999995,242.8,135.41,234.14,232.07999999999998,310.98,221.3,151.18,222.54,207.29999999999998,291.58,218.39000000000001,321.48999999999995,228.79,358.85999999999996,183.88000000000002,143.46,211.49999999999997,289.03000000000003,201.57,192.73000000000002,182.37000000000003,248.91000000000003,273.34000000000003,192.56,204.95,273.34,231.27,215.33,508.35,289.71999999999997,220.76000000000002,276.81,199.7,225.21,244.68,271.87,221.70999999999998,119.62,194.38,267.7
