date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,1791.0,1646.0,1667.0,1753.0,1706.0,1636.0,1797.0,1679.0,1816.0,1738.0,1805.0,1632.0,1599.0,1706.0,1729.0,1666.0,1611.0,2441.0,1679.0,2414.0,1579.0,1612.0,2344.0,1596.0,2083.0,1816.0,1336.0,1814.0,1696.0,1672.0,1802.0,1638.0,1803.0,1686.0,1712.0,1626.0,1947.0,1718.0,1825.0,1638.0,1525.0,1791.0,1927.0,1634.0,1635.0,1602.0,1627.0,1734.0,1756.0,1695.0,1608.0,1627.0,1725.0,1582.0,1646.0,1695.0,1652.0,1651.0,1614.0,1474.0,1862.0,1657.0,1826.0,1465.0,2133.0,1740.0,1617.0,1639.0,2234.0,1513.0,1638.0,1702.0,1700.0,1632.0,1605.0,1685.0,1663.0,1748.0,2128.0,1939.0,1971.0,1632.0,1631.0,1411.0,1611.0,1705.0,1626.0,1642.0,1731.0,1626.0,1630.0,2024.0,1477.0,1763.0,1538.0,1631.0,1884.0,1696.0
2021-12-31,1989.0,2511.0,2414.0,2013.0,2556.0,2428.0,2481.0,2562.0,3513.0,2241.0,2277.0,2098.0,2406.0,2558.0,1683.0,2490.0,2403.0,2622.0,2624.0,2664.0,1679.0,3779.0,2664.0,2347.0,2624.0,1831.0,2233.0,2464.0,2225.0,2452.0,2059.0,1770.0,2010.0,2246.0,1929.0,1918.0,2511.0,2061.0,1990.0,1596.0,2519.0,2531.0,1749.0,1951.0,3121.0,2447.0,1744.0,1992.0,2173.0,2258.0,2128.0,1812.0,1829.0,1857.0,2115.0,1881.0,3291.0,2256.0,1855.0,2281.0,2051.0,1708.0,1993.0,1700.0,1814.0,2460.0,2017.0,1809.0,1869.0,1769.0,1710.0,1986.0,1894.0,1885.0,1924.0,2145.0,1849.0,1935.0,1806.0,1782.0,1725.0,1918.0,2219.0,2137.0,1821.0,1971.0,1674.0,1896.0,1836.0,1794.0,2159.0,1805.0,1725.0,3676.0,2046.0,1829.0,1692.0,2002.0
2022-12-31,1717.0,1572.0,1646.0,1767.0,1736.0,1502.0,1766.0,1588.0,1946.0,1725.0,1639.0,1510.0,1554.0,1817.0,1323.0,1714.0,1529.0,1792.0,1866.0,1618.0,1407.0,1937.0,1835.0,1461.0,1670.0,1456.0,1294.0,1747.0,1541.0,1619.0,1799.0,1487.0,1794.0,1583.0,1564.0,1551.0,1599.0,1697.0,1760.0,1342.0,1523.0,1752.0,1254.0,1568.0,1573.0,1718.0,1394.0,1712.0,1363.0,1536.0,1415.0,1458.0,1621.0,1625.0,1313.0,1625.0,1366.0,1403.0,1673.0,1412.0,1739.0,1522.0,1701.0,1476.0,1809.0,1752.0,1411.0,1552.0,1780.0,1466.0,1452.0,1648.0,1779.0,1536.0,1590.0,1337.0,1645.0,1733.0,1800.0,1487.0,1685.0,1462.0,1442.0,1399.0,1478.0,1655.0,1366.0,1472.0,1720.0,1471.0,1668.0,1744.0,1634.0,1884.0,1452.0,1518.0,1802.0,1600.0
2023-12-31,1878.0,2043.0,2003.0,1906.0,2073.0,2250.0,2279.0,2035.0,2327.0,2238.0,1975.0,2124.0,2101.0,2150.0,2039.0,2267.0,2097.0,2118.0,2128.0,2100.0,1949.0,2299.0,2118.0,1889.0,2116.0,2063.0,1855.0,2113.0,1875.0,2238.0,1938.0,2159.0,1877.0,1921.0,1739.0,1771.0,2116.0,1732.0,1836.0,1812.0,2191.0,2114.0,1783.0,2239.0,2121.0,2174.0,2003.0,2038.0,2726.0,2110.0,2235.0,1841.0,2081.0,2045.0,1991.0,1905.0,2541.0,1790.0,2031.0,1922.0,1908.0,1908.0,1836.0,1769.0,2067.0,2117.0,2229.0,1878.0,2020.0,1813.0,1830.0,1974.0,2061.0,1800.0,2037.0,2578.0,1990.0,1994.0,2053.0,1908.0,2047.0,1994.0,1958.0,1928.0,1800.0,1994.0,2046.0,2004.0,2088.0,1790.0,1874.0,2024.0,1870.0,2757.0,1818.0,1883.0,1887.0,1939.0
2024-12-31,1824.0,2361.0,2202.0,1951.0,2368.0,2796.0,2381.0,2324.0,3001.0,2360.0,2439.0,2930.0,2433.0,2621.0,2382.0,2919.0,2446.0,2325.0,2508.0,2364.0,1782.0,2958.0,2354.0,2275.0,2344.0,2404.0,2100.0,2314.0,2356.0,2843.0,2047.0,2560.0,2019.0,2368.0,2009.0,2253.0,2361.0,2011.0,2002.0,2908.0,2373.0,2358.0,2229.0,2891.0,2954.0,2995.0,1844.0,1886.0,2949.0,2949.0,2974.0,2483.0,2368.0,1942.0,2458.0,2354.0,2949.0,2655.0,1944.0,2361.0,2032.0,1900.0,2200.0,1788.0,2420.0,2386.0,2978.0,1939.0,1715.0,1834.0,2881.0,2059.0,2038.0,2900.0,2925.0,2990.0,2364.0,2071.0,2419.0,1713.0,2111.0,2914.0,2359.0,2364.0,2945.0,2136.0,2248.0,2887.0,2374.0,2567.0,2280.0,2423.0,1863.0,2947.0,2375.0,2433.0,2425.0,2063.0
2025-12-31,1616.0,1213.0,1237.0,1554.0,1285.0,1225.0,1242.0,1294.0,1397.0,1269.0,1173.0,1159.0,1102.0,1277.0,1153.0,1232.0,1083.0,1457.0,1280.0,1364.0,1493.0,1556.0,1225.0,1287.0,1205.0,1347.0,1047.0,1221.0,1119.0,1138.0,1513.0,1239.0,1453.0,1148.0,1341.0,1310.0,1337.0,1648.0,1477.0,1233.0,1110.0,1271.0,1130.0,1200.0,1186.0,1216.0,1169.0,1680.0,1178.0,1345.0,1246.0,1322.0,1376.0,1343.0,1078.0,1424.0,1146.0,1033.0,1396.0,1057.0,1435.0,1302.0,1386.0,1475.0,1308.0,1446.0,1234.0,1426.0,1857.0,1310.0,1322.0,1397.0,1544.0,1394.0,1422.0,1152.0,1487.0,1589.0,1311.0,1629.0,1616.0,1333.0,1108.0,1003.0,1313.0,1445.0,1195.0,1340.0,1407.0,1336.0,1481.0,1324.0,1324.0,1628.0,1121.0,1402.0,1617.0,1402.0
2026-12-31,1588.0,1736.0,1664.0,1477.0,1649.0,1978.0,1522.0,1441.0,2784.0,1440.0,1551.0,1928.0,1634.0,1615.0,1272.0,1553.0,1649.0,1682.0,1748.0,1713.0,1875.0,2828.0,1609.0,1408.0,1628.0,1321.0,1538.0,1619.0,1514.0,1950.0,1475.0,1340.0,1455.0,1458.0,1501.0,1365.0,1687.0,1663.0,1447.0,1765.0,1772.0,1697.0,1263.0,1959.0,2514.0,2785.0,1564.0,1931.0,2594.0,1334.0,1920.0,1387.0,1711.0,1686.0,1383.0,1449.0,2510.0,1745.0,1711.0,1436.0,1422.0,1637.0,1648.0,1726.0,1664.0,1900.0,2454.0,1441.0,1957.0,1421.0,1321.0,1534.0,1733.0,1414.0,1386.0,1820.0,1452.0,1546.0,1656.0,1885.0,1473.0,1414.0,1378.0,1396.0,1441.0,1588.0,1333.0,1359.0,1700.0,1369.0,1401.0,1635.0,1727.0,2612.0,1353.0,1402.0,1939.0,1553.0
2027-12-31,1060.0,1230.0,1379.0,1119.0,1336.0,1277.0,1494.0,1180.0,1647.0,1296.0,1258.0,1206.0,1299.0,1416.0,1040.0,1519.0,1264.0,1413.0,1352.0,1292.0,891.9,1571.0,1564.0,1180.0,1256.0,1285.0,1126.0,1347.0,1211.0,1416.0,1196.0,1353.0,1172.0,1244.0,1297.0,1252.0,978.3,1073.0,1173.0,1042.0,1325.0,1377.0,934.9,1181.0,1188.0,1520.0,1375.0,1537.0,1324.0,1241.0,1192.0,1238.0,1500.0,1505.0,1084.0,1317.0,1275.0,1195.0,1511.0,1144.0,1157.0,1379.0,1235.0,1487.0,1553.0,1582.0,1282.0,1190.0,1595.0,1189.0,1187.0,1280.0,1598.0,1303.0,1285.0,1063.0,1275.0,1258.0,1540.0,1309.0,1079.0,1276.0,1044.0,974.5,1206.0,1246.0,1061.0,1319.0,1385.0,1234.0,1198.0,1497.0,1533.0,1821.0,1066.0,1337.0,1548.0,1263.0
2028-12-31,1002.0,1069.0,988.8,1048.0,1145.0,1148.0,1123.0,937.5,730.7,1183.0,784.9,1030.0,850.8,1218.0,912.9,1216.0,888.3,1094.0,1061.0,855.7,771.2,976.0,978.0,1109.0,842.5,1019.0,670.9,865.0,888.2,1196.0,1118.0,1293.0,1106.0,897.1,1071.0,1201.0,804.7,874.7,1107.0,920.9,1002.0,1135.0,758.6,1108.0,991.4,966.3,505.9,719.3,858.8,1002.0,1058.0,1135.0,531.8,743.1,941.5,1031.0,1002.0,1083.0,1033.0,913.6,1054.0,521.9,1089.0,898.2,716.7,476.8,976.9,1045.0,752.6,1025.0,1054.0,1143.0,783.7,1180.0,1160.0,982.9,1122.0,1093.0,705.4,723.1,975.8,1193.0,911.0,879.6,1103.0,1098.0,913.7,1127.0,628.4,1130.0,1041.0,673.8,662.2,865.0,857.4,1275.0,909.6,1108.0
