,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1364.1,1364.3999999999999,1964.9,1366.1000000000001,1468.5999999999997,1373.6000000000001,1429.3999999999999,1670.7,1047.8000000000002,1364.3,1223.6999999999998,1364.3,1253.5,1429.3999999999999,1349.1000000000001,1366.1000000000001,1461.7,1538.6999999999998,1295.9,1079.5,664.9500000000002,1232.2,587.8299999999999,1299.1,838.4000000000001,796.7000000000002,2543.1,1367.8999999999999,1229.4,1470.5,1180.5,1420.8,2173.6,1383.7,2171.5,1314.1,1535.6999999999998,1234.8999999999999,1739.3,1371.6,1363.9,1198.2,1036.1000000000001,1387.0000000000002,1384.8999999999999,1220.4,1102.1,343.43,1504.2,1091.3,1346.0,1331.6999999999998,318.06,898.5,1444.1,1010.1,1459.7,1501.2,939.6000000000001,1545.5,1167.9,326.96999999999997,1631.3999999999999,333.11,309.19,491.87,1449.4,1457.5,666.9699999999999,1820.6,1425.6000000000001,2219.0,936.3,1364.3,1139.3,1109.9,1716.8000000000002,1035.8,321.37,331.62,1061.6,1364.3,1421.5,1507.1999999999998,1291.9,1374.2,1244.8999999999999,1507.0,365.35999999999996,1362.8,1600.5,335.26,329.0199999999999,1221.7,1357.3000000000002,2326.3,559.9,1104.1999999999998
2021,669.47,396.39,677.7099999999999,777.5799999999999,566.34,368.2,471.60999999999996,735.9000000000001,539.89,447.42,611.12,449.52,582.93,401.92,736.71,462.49,575.1600000000001,455.97,432.64,651.5,487.75,471.32,408.41999999999996,764.96,692.14,708.4200000000001,689.87,552.92,473.35,521.3199999999999,600.8499999999999,517.2099999999999,1603.5,615.85,1604.8999999999999,516.2800000000001,781.5,666.86,1187.1,510.55999999999995,656.94,483.93000000000006,647.6200000000001,389.84,391.64,402.8,504.02,297.73,511.38,491.74,464.9200000000001,409.64000000000004,299.42,374.03,603.95,568.0899999999999,484.35,587.3699999999999,412.84,685.0199999999999,497.49,281.76,662.8,285.76,316.79999999999995,318.15000000000003,440.64,668.27,359.04999999999995,504.52,458.49,784.5,354.06,421.28999999999996,385.09,511.38000000000005,493.54,499.28,290.31999999999994,302.27000000000004,546.5000000000001,423.67,523.06,759.0199999999999,469.22,520.52,638.99,526.89,305.32,703.71,503.56,333.77000000000004,304.14,285.58000000000004,618.59,881.3000000000001,377.8500000000001,574.89
2022,527.9,248.81,356.52000000000004,531.82,483.84,213.59000000000003,333.40999999999997,539.6800000000001,394.14,303.87,313.36,292.60999999999996,285.43999999999994,230.58000000000004,576.03,372.58,337.77,351.89,252.3,433.96000000000004,298.09,281.88000000000005,256.33,242.62,513.0799999999999,453.91,460.23999999999995,409.73,281.84000000000003,547.07,427.91999999999996,308.83,1207.1,314.82,1130.5,203.94,565.62,366.48,781.9,328.02,325.45,426.35999999999996,416.02000000000004,256.49,295.29,239.72,371.04,280.61,422.45000000000005,319.96000000000004,253.21,250.41,272.34000000000003,249.03,404.36,322.31,314.17,414.64,245.53,187.28,263.11,288.89,400.87,251.04000000000002,259.96000000000004,294.58,254.08,418.85,306.84,350.3,290.66,436.68999999999994,248.10000000000002,198.85000000000002,241.51,318.5,250.99,238.16,262.48,282.65999999999997,291.15000000000003,244.98999999999998,275.95000000000005,407.56,254.53,259.79,528.64,361.72999999999996,281.31,273.29,256.96999999999997,240.88000000000002,295.03,354.32,274.64,232.88,296.1,318.22
2023,628.25,245.72,300.42,634.3399999999999,595.86,176.74,365.72,468.36,293.6,379.58,264.15999999999997,331.84000000000003,229.44000000000005,183.28,621.15,483.97999999999996,245.27,461.8,220.17000000000002,342.63,256.75,231.68,218.01,101.58,436.17999999999995,382.74,294.97,478.97,293.80999999999995,585.77,500.5,411.52,997.3,356.02,1002.3,82.259,486.14,288.25,672.9300000000001,368.05000000000007,338.74999999999994,549.0799999999999,319.53,259.9,269.95,217.73000000000002,303.54999999999995,250.79999999999998,455.29,281.84000000000003,217.78000000000003,251.88,234.13,256.63,377.70000000000005,282.14,223.62,389.75,256.95,136.66,226.66000000000003,237.17,314.29,241.05,221.57,257.22,216.97,380.8,288.14,255.09,308.02,448.18,244.99,175.45,203.16,276.08,196.14,198.46,223.97999999999996,246.33,248.98,254.41,266.74,394.95000000000005,221.38,220.17999999999998,588.1700000000001,341.52,244.28,271.65999999999997,201.91,221.71999999999997,241.77,266.64,219.10000000000002,123.9,259.79999999999995,275.81
2024,356.37,239.57999999999998,303.51000000000005,186.14,354.39,158.95,275.86,467.44000000000005,307.79,275.59000000000003,255.41000000000003,264.1,247.21,161.04,376.29,277.81,297.35,304.6,232.07999999999996,341.88,257.15,247.95000000000002,221.15999999999997,250.07,443.47,394.05,667.0799999999999,344.23999999999995,296.50000000000006,347.72,185.07,312.99000000000007,418.27,312.53000000000003,1030.5,219.21,514.71,279.67,760.3,299.33,316.29999999999995,313.9,356.27,249.16000000000003,246.17,214.83,393.44,255.72,293.02,267.13,230.95,251.87000000000003,240.31000000000003,432.23,349.36,287.5,274.21,348.89000000000004,260.58000000000004,288.41999999999996,226.87000000000003,230.97,345.49,247.79,207.47,246.46,215.85,395.57,254.53,318.74,272.04,355.88000000000005,487.12,160.78,200.15,282.42999999999995,195.5,200.07999999999998,208.46999999999997,257.82000000000005,285.31,238.99,292.33000000000004,412.16,217.82000000000002,218.49,346.6,295.52000000000004,248.76,257.06,210.95999999999998,221.71,262.02,280.69,291.14000000000004,121.36,254.51999999999998,265.94
2025,400.07,299.29999999999995,416.88,264.74,455.32000000000005,265.59999999999997,385.43999999999994,573.75,436.45,334.96,363.92,327.89,335.55,270.14,478.11,404.35,395.26000000000005,398.88,282.3,487.29999999999995,360.38,357.13,280.76,297.61,560.72,510.61999999999995,635.17,384.46000000000004,333.65999999999997,426.21,255.59999999999997,399.15999999999997,457.36999999999995,342.08,1263.2,270.92,620.8199999999999,440.7900000000001,258.88,398.27,357.12,402.46,488.01000000000005,350.13,297.86,255.47000000000003,433.79,272.83,457.24999999999994,324.27000000000004,299.53999999999996,305.91999999999996,282.23,463.84999999999997,455.80999999999995,330.6,403.52000000000004,464.73999999999995,373.03,304.96000000000004,348.55,268.67,453.04,279.16999999999996,248.09999999999997,273.85,288.97,459.29,376.62,416.21000000000004,337.95000000000005,474.59,368.15000000000003,281.12,277.07,346.41,316.49,269.04999999999995,270.41999999999996,306.8,370.96,296.28,341.49999999999994,456.98,293.57,303.56000000000006,415.82,423.53000000000003,263.76,304.67999999999995,316.43999999999994,237.94,282.78,397.21000000000004,393.68,561.77,343.56,342.76
2026,610.42,319.15999999999997,350.68,281.97,731.8499999999999,133.07,400.61,493.97999999999996,342.7600000000001,469.46,278.58000000000004,414.4699999999999,254.58,204.39,600.27,535.78,309.47,492.69,227.21999999999997,391.02,261.98,264.59999999999997,225.54999999999998,338.74,461.15,264.21999999999997,444.46,609.61,445.02,688.68,295.98,444.06000000000006,396.89,434.28999999999996,1065.6000000000001,161.64999999999998,532.94,320.15,216.84,450.42,402.57,517.1500000000001,388.94000000000005,316.45000000000005,309.74,221.84000000000003,378.54,276.9,527.14,277.76,221.78,317.15,261.23,433.09000000000003,408.57,302.25,275.20000000000005,478.94,427.25,171.90999999999997,237.74,261.84000000000003,352.44,264.19,254.51999999999998,283.97,246.12,485.9,405.30999999999995,356.68,352.63,464.0300000000001,356.73,186.28999999999996,230.23000000000002,299.56,231.91,207.1,246.67,270.78000000000003,300.39,315.08,351.93999999999994,472.12,235.28999999999996,230.67000000000002,501.96999999999997,364.61,263.36,386.07,218.7,254.25999999999996,272.72,353.74,261.15,193.32,359.96000000000004,293.25
2027,1085.6,1164.9,1156.8,1106.3000000000002,1463.0,1366.7,859.6999999999999,614.41,692.42,1210.8999999999999,690.96,1137.0,700.95,1385.9,1367.4,1168.8999999999999,815.3000000000001,1081.2,693.81,552.06,488.97,660.47,290.45,1167.3999999999999,597.4300000000001,569.29,1816.6000000000001,1135.3,1517.7,1449.0,1240.4,903.0999999999999,1358.1,1287.9,1371.0,1127.2,672.3,662.46,1196.1999999999998,1220.6999999999998,1282.8,1280.5,534.1400000000001,1187.4,1175.2,706.16,1340.1,311.01,1467.3,691.04,716.02,1550.9,302.7,951.0,1440.8999999999999,663.3100000000001,1464.1000000000001,1480.3,974.0999999999999,1517.6,391.92999999999995,342.26,563.75,297.5,281.97999999999996,348.65999999999997,703.4200000000001,1480.1999999999998,680.13,1138.9,1387.1,944.9,1060.6,1149.8999999999999,648.71,702.06,1083.1,869.5,270.66999999999996,260.89,444.85,1335.9,1390.0,1292.9,671.7399999999999,648.53,1360.1,1477.3999999999999,300.31,1632.3000000000002,1006.5,266.56,326.74,1476.2,725.36,1788.3000000000002,716.76,696.37
2028,585.9599999999999,426.56999999999994,658.3299999999999,678.71,637.2,428.37,446.98,693.5699999999999,538.85,432.15,539.38,410.26,498.57,432.51,607.27,428.37,600.3,473.01,442.92,587.84,461.64000000000004,455.73,348.77,439.3,660.9399999999999,601.74,1232.2,448.21,433.67,667.8299999999999,500.09,470.01000000000005,1522.8999999999999,458.04,1517.8999999999999,577.15,752.1999999999999,525.79,1089.7,461.34000000000003,446.50000000000006,539.74,588.5999999999999,441.8,442.67,461.21000000000004,617.6,333.2,503.5,479.43,464.38000000000005,428.28999999999996,328.73,469.8299999999999,524.78,507.41999999999996,664.89,567.47,541.9900000000001,527.65,661.8299999999999,296.9,590.23,309.59000000000003,325.2,305.60999999999996,429.11999999999995,566.76,424.77000000000004,833.4,431.72,1094.8,625.66,421.81999999999994,404.18999999999994,482.09,619.2299999999999,553.3399999999999,301.87,328.58,495.39000000000004,418.80999999999995,431.55,576.19,434.81000000000006,563.31,559.53,500.01,318.1,573.9000000000001,585.3,305.76,290.89,507.87,511.18,1132.4,446.27,691.5
2029,851.6,462.31,613.36,861.2,918.6,453.31000000000006,618.64,760.9999999999999,629.1700000000001,585.36,550.73,557.35,542.65,458.28,1074.2,590.44,577.01,586.52,401.43,675.98,517.22,498.33000000000004,401.19,440.13,698.77,707.7600000000001,710.01,738.9899999999999,558.73,919.0,906.0,627.85,1878.1000000000001,710.7599999999999,1629.4,385.99,821.0,597.3199999999999,1482.3,652.3399999999999,679.47,935.9,660.38,518.5999999999999,513.1600000000001,411.09,1028.0,360.53999999999996,701.94,519.63,465.61,473.9800000000001,337.52,1078.8500000000001,663.75,529.3399999999999,573.86,649.6,614.98,496.37999999999994,509.4,331.19,666.0400000000002,357.01000000000005,316.10999999999996,329.41,466.4000000000001,674.53,500.2,499.03000000000003,602.4799999999999,719.15,697.46,446.73,355.86,529.7099999999999,460.52,463.85,311.53999999999996,336.03,544.31,463.76000000000005,570.39,684.8800000000001,448.02000000000004,476.16999999999996,1069.0,560.41,347.73,557.8599999999999,496.45,335.57,352.56,546.24,508.37,940.8,502.40999999999997,496.68
2030,336.48,233.99,395.09,357.90999999999997,353.71,199.8,283.53,525.41,366.35999999999996,275.58000000000004,312.63,272.16,291.81,201.47,385.53,282.09,355.79999999999995,319.96,248.65,401.12,301.72999999999996,295.41999999999996,244.76,233.12,501.76,453.61,564.27,330.77,277.15,323.63,348.89000000000004,293.23,1314.5,285.96,1129.9,192.71,553.36,360.57000000000005,874.3999999999999,289.26,289.27,356.7900000000001,409.65000000000003,235.10999999999999,232.46,248.11,357.77,265.76,349.61,300.3,245.84,236.99,257.90999999999997,374.66,330.24,302.76,325.31,322.96000000000004,351.03000000000003,240.13,269.21000000000004,280.96,390.51000000000005,276.26,254.54999999999998,292.87,243.37000000000003,338.05,350.84000000000003,486.84999999999997,261.2,347.71,272.0,221.17,245.48000000000002,302.90999999999997,253.02999999999997,233.05999999999995,257.06,274.8,296.37,228.85000000000002,247.78,360.65999999999997,242.51999999999998,247.01999999999998,368.93000000000006,294.78999999999996,265.49,240.05,284.24,262.4,284.78999999999996,350.1,272.26,284.27,318.32,308.66999999999996
2031,814.06,685.7499999999999,631.6600000000001,965.2,813.28,684.48,606.46,699.25,584.98,594.53,532.72,717.33,514.48,453.80000000000007,1105.1,597.73,580.65,593.49,325.15000000000003,568.78,483.1499999999999,493.33000000000004,356.35,545.4699999999999,636.9300000000001,612.86,1505.0,714.1599999999999,704.45,788.05,862.1,605.79,1582.3000000000002,708.95,1506.3,549.46,725.4999999999999,511.77000000000004,1422.1999999999998,701.16,779.6700000000001,1057.9,568.92,743.4599999999999,700.1500000000001,408.13,900.5999999999999,267.85,707.63,450.82000000000005,505.59000000000003,554.84,300.82000000000005,606.69,826.4399999999999,423.08000000000004,791.6400000000001,753.04,605.0300000000001,684.04,404.34999999999997,284.11,584.1300000000001,288.98,263.13,286.73,371.23,571.38,464.29999999999995,594.27,490.87,674.57,364.57,517.0,322.07,534.71,403.90999999999997,404.17,264.83,270.01,458.38,511.11999999999995,729.88,738.9999999999999,376.9,391.75000000000006,1176.1000000000001,580.97,279.18,509.93,456.20000000000005,264.48,297.59000000000003,759.2699999999999,499.34,643.9599999999999,424.52,435.61
2032,371.79999999999995,255.54,385.09999999999997,412.86,436.31,238.39999999999998,336.31000000000006,580.67,381.0,299.22,360.15,289.8,319.32000000000005,251.45000000000002,478.08000000000004,299.56,369.84,378.46,259.64,454.31,317.4,294.95,260.02,162.33,555.16,501.38,437.65,363.02000000000004,288.51,452.78000000000003,386.23,346.75,1168.6000000000001,337.34000000000003,1164.1,220.2,613.9200000000001,391.22,864.3,305.98,346.54999999999995,405.86,441.93,280.24,278.07,250.86,219.26,264.16,419.13,320.12,267.3,256.18,232.82,208.6,401.15000000000003,330.20000000000005,302.1,403.56000000000006,216.89999999999998,200.83000000000004,305.09999999999997,271.54,433.03,257.79999999999995,246.2,242.14999999999998,256.58,401.82,214.0,376.33000000000004,314.15,409.52,147.954,197.15,253.44,337.26,280.98,264.02,253.90000000000003,220.70999999999998,304.77,243.72000000000003,276.60999999999996,398.96,271.33,284.01,409.38000000000005,352.82000000000005,254.22,259.57,285.77,272.82,247.09000000000003,184.01000000000002,326.40999999999997,408.69,222.34000000000003,325.98
2033,154.28,203.14000000000001,309.75,154.37000000000003,391.31,124.36999999999999,279.8,489.65,301.75,277.66999999999996,265.59999999999997,241.82999999999998,239.53999999999996,165.88000000000002,655.88,280.75,237.11999999999998,304.78999999999996,227.69000000000003,347.41999999999996,241.76,245.65000000000003,227.14999999999998,106.22,446.15,420.72999999999996,288.51,341.27,231.63000000000002,420.62,156.14999999999998,305.17,169.42000000000002,257.11,169.67000000000002,97.97,505.0200000000001,261.72999999999996,621.0300000000001,298.53,249.63,483.68,339.03999999999996,224.23000000000002,229.13000000000002,221.98999999999998,262.90999999999997,235.2,327.09999999999997,276.18,221.84,229.07,228.81,378.67,345.72999999999996,284.48,242.41,295.96000000000004,244.66000000000003,129.6,223.78,230.0,341.55,241.16999999999996,213.5,256.0,210.96,377.44,257.09000000000003,256.96,256.21999999999997,327.29999999999995,290.98,168.33,207.52,282.08000000000004,206.81999999999996,205.83999999999997,208.66,249.13000000000002,277.26000000000005,219.12,216.7,353.86,219.22,235.5,630.7599999999999,332.89000000000004,233.5,239.54000000000002,199.79,217.27,255.87,237.92999999999998,213.11,129.74,216.85000000000002,272.77
2034,456.94,360.79,582.33,491.78,430.08,377.3,369.43999999999994,527.23,350.88,359.37,347.3,358.26,340.12,378.68,586.0899999999999,361.71999999999997,440.63,351.28999999999996,339.35,407.14,320.18,295.53999999999996,256.53,433.45000000000005,499.08,439.47,993.3999999999999,425.9,300.97,450.85,465.83000000000004,299.08,1129.4,371.18,1126.2,402.28999999999996,546.4200000000001,343.49,732.0600000000001,371.60999999999996,347.65999999999997,524.5200000000001,411.83,369.78,372.54999999999995,336.9,521.48,247.71,499.43,345.89,314.46999999999997,299.5,259.65000000000003,379.15999999999997,487.45,308.05,605.31,522.4100000000001,412.48,293.38,326.03999999999996,266.51,439.47999999999996,263.52,265.49,271.6,307.28000000000003,516.99,280.25,567.8,375.3,366.72999999999996,225.71,366.07000000000005,292.95000000000005,344.62,477.56,237.15,262.18,278.0,341.5,366.68,380.52000000000004,506.46000000000004,281.83,384.43999999999994,562.1400000000001,514.86,278.73,348.17999999999995,292.77,269.55,259.82,450.22,347.37,914.0999999999999,252.60999999999999,489.79999999999995
2035,763.73,349.32000000000005,407.12999999999994,569.3799999999999,848.2,361.65,521.55,537.03,383.8,531.4,367.35,419.61,344.7,299.33000000000004,931.4000000000001,539.27,394.59999999999997,642.76,273.87,450.1700000000001,314.5,291.03999999999996,244.44,400.21,510.98,485.28,697.2099999999999,723.19,500.7,830.1,354.76,553.1999999999999,514.11,587.3,1123.8,388.90999999999997,557.69,374.35,885.1,599.44,586.12,797.6999999999999,447.77,421.63,412.01000000000005,282.46,410.28,286.0,508.72,325.19,256.54999999999995,357.75999999999993,286.65999999999997,299.96999999999997,588.8000000000001,336.46,444.06,536.37,268.93,429.03999999999996,274.73,291.09999999999997,440.65000000000003,281.71,266.77000000000004,284.16,249.34,534.28,302.67,432.65999999999997,457.73,595.5699999999999,249.32000000000002,232.25999999999996,256.19,314.36,275.42,232.08,269.84,284.43,322.53,358.53000000000003,502.06000000000006,587.71,252.06,255.46999999999997,921.7,430.76,287.87,610.04,254.98999999999998,281.7,269.49,275.91,319.08000000000004,255.63,329.45000000000005,327.04999999999995
2036,566.8499999999999,367.0,470.86,341.67,705.4399999999999,336.53000000000003,429.20000000000005,652.3700000000001,477.27000000000004,433.87999999999994,447.2300000000001,425.77,414.85,336.32,817.1,451.18,501.76,561.9899999999999,318.72,534.22,391.81000000000006,407.03999999999996,302.02,377.64000000000004,603.5499999999998,589.62,609.42,586.67,415.74,714.6899999999999,308.97,452.50999999999993,608.72,493.48,1370.8,313.34,692.0,483.94000000000005,364.75,466.54,481.74,729.48,538.6700000000001,366.99,353.84999999999997,298.31,498.18999999999994,287.62,515.7,381.57,360.72999999999996,363.88000000000005,271.73,486.51,465.25,402.61,389.21000000000004,542.13,421.18999999999994,364.24,365.6,274.82000000000005,537.54,306.33000000000004,273.76,272.28999999999996,348.28000000000003,534.61,368.65999999999997,546.39,417.35,554.0899999999999,414.96999999999997,310.64,284.13000000000005,386.26,361.18,352.4,265.71999999999997,283.71,403.67,360.36,403.61,528.12,332.05,337.66,756.9499999999999,427.83000000000004,264.66,399.4,406.67999999999995,272.89,298.01,396.18000000000006,402.39000000000004,552.51,376.78999999999996,394.03999999999996
