,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,2057.0,1822.7,1702.5,2071.6,2160.8999999999996,1676.3,1993.9999999999998,1464.8,1333.0,1957.8,1414.8,1944.7,1352.6999999999998,1664.6000000000001,2517.1,1946.8999999999996,1204.0,2179.1000000000004,986.8999999999999,1405.3999999999999,907.6,1429.6,767.3,1882.8,1261.0,1193.1,1797.7,2198.4,2315.2,2206.0,2408.5,2023.1,2490.0,2155.3999999999996,2503.7000000000003,1821.3000000000002,1568.9,1524.6,2481.4,2019.8,2147.1,2274.5,1419.7,1826.8,1981.6999999999998,805.4,1571.3999999999999,442.39,1916.1999999999998,1098.4,1508.3000000000002,1934.7000000000003,615.19,1290.0,2113.8999999999996,1167.1,2072.5,2124.1000000000004,1639.2,2158.0,1402.8,462.82,1333.6999999999998,388.98,367.77,612.15,1256.2,2080.8,1048.8999999999999,983.6999999999999,2008.8000000000002,2280.3,1151.2,1986.6000000000004,805.9300000000001,1322.8999999999999,1063.2,1123.7,366.03,516.52,1224.8,1948.1,2080.6,2150.1000000000004,1248.9,1241.3000000000002,2493.8,2006.5,614.29,1955.7,1312.2,389.14,466.55999999999995,1736.9,1665.4,1469.9,1072.5,991.1000000000001
2021,539.72,403.02,537.6899999999999,686.4000000000001,545.79,438.43,435.34000000000003,743.6000000000001,547.85,423.76000000000005,512.56,415.09,486.31000000000006,354.5,616.9699999999999,428.6700000000001,538.5400000000001,515.2,362.39,619.04,444.75,440.31,350.81,412.89000000000004,699.01,656.57,710.8799999999999,520.6600000000001,424.29999999999995,552.3299999999999,488.62999999999994,493.43000000000006,1559.3,489.29999999999995,1468.8999999999999,351.95,791.9999999999999,523.48,1132.6000000000001,487.71999999999997,486.09,505.98,631.9,419.07,457.21000000000004,386.0,233.32,297.37,481.13,428.74,417.07,358.96,265.01,223.0,551.46,440.88000000000005,460.08000000000004,482.17,230.91,417.95,435.62000000000006,270.8,616.72,283.52,281.23,272.3,375.0199999999999,549.04,264.56,513.59,450.35,549.51,218.44,383.21000000000004,329.11999999999995,460.12,405.67999999999995,398.75,264.76,268.28,469.96,384.7199999999999,397.85,588.5500000000001,386.07000000000005,391.83000000000004,529.21,492.73,287.51,409.94,464.9099999999999,283.8,288.39000000000004,221.13000000000002,449.19,886.4000000000001,240.7,436.29
2022,772.34,593.0,362.02,786.57,841.0,324.95,534.75,582.85,467.7900000000001,544.23,369.46000000000004,603.1300000000001,313.14,475.48,1080.3,547.61,331.96,604.88,255.32000000000002,534.57,436.60999999999996,369.04,353.65,357.53999999999996,564.54,569.2900000000001,444.9,724.25,663.12,849.6,981.7000000000002,555.65,1378.7,569.4499999999999,1406.7,336.91,589.4,494.07000000000005,1069.4,573.38,666.8800000000001,964.1,540.9,599.07,606.85,256.79,335.94,281.26,431.97,433.93,334.41999999999996,449.14,254.86,251.45,716.24,441.63,509.16999999999996,669.2100000000002,244.56000000000003,475.53999999999996,374.71999999999997,244.93,502.30999999999995,288.51,283.72,251.57,365.06,598.99,293.7,366.75,478.64000000000004,619.66,384.86,413.62,249.47,410.13,358.80999999999995,312.59999999999997,277.82,260.18,290.62,410.25,477.41999999999996,608.84,381.94,356.62,1107.7,455.93000000000006,265.65999999999997,790.4399999999999,350.17,278.61,293.17999999999995,202.21,325.0,455.45,294.01,417.19
2023,696.6899999999999,239.91999999999996,315.40000000000003,372.59000000000003,596.2800000000001,221.77999999999994,284.38,481.41999999999996,320.37,288.91999999999996,277.48999999999995,272.55,235.83999999999997,212.64,675.12,572.79,257.3,366.76,218.32000000000002,363.74,266.03999999999996,244.20999999999998,228.06,136.2,457.26,410.59999999999997,274.88,520.8199999999999,306.35999999999996,457.66999999999996,321.34000000000003,300.05,242.88,333.56,1090.7,124.91999999999999,511.83000000000004,309.76000000000005,296.02,295.63,271.88,606.18,369.13,254.51,243.13,215.75,223.82,235.51,399.71999999999997,282.03000000000003,219.55,262.69,227.82000000000002,207.22,362.66,287.15,242.76,370.28,215.47,201.82999999999998,230.72,223.45999999999998,341.73,242.28,221.26999999999998,253.06,223.23999999999998,330.02,220.32999999999998,258.54,260.46000000000004,396.25999999999993,215.06,193.91000000000003,201.88,282.86,209.04000000000002,199.43999999999997,219.06,243.6,258.96,240.07999999999998,234.01,356.28,239.73000000000002,222.92000000000002,644.03,283.67,254.49999999999997,296.92,205.04999999999998,220.69,241.29,225.0,219.38000000000005,198.25,213.62,278.73999999999995
2024,287.94,206.06,310.66999999999996,159.81,384.2,165.13,251.2,467.61,330.78999999999996,260.66999999999996,277.6,240.38,244.01999999999998,172.73000000000002,465.26000000000005,265.06,255.92,283.18000000000006,216.19,359.43,251.49,257.73,228.5,194.13,442.26,423.8500000000001,358.11,301.64000000000004,229.64000000000001,265.55000000000007,159.35,284.43,179.84,245.46,344.67,106.16,494.53,297.39,159.80999999999997,269.57,243.95,428.72,361.01,225.94,225.99,218.96,197.94,245.88,245.92000000000002,281.76,232.08,208.19,223.34000000000003,192.67999999999998,280.96,289.14,229.22,292.93,189.58999999999997,139.32,233.68,238.96999999999997,321.16999999999996,250.64000000000001,234.53,231.08,221.25000000000003,356.01,200.85999999999999,254.42999999999998,245.55,361.1,195.29,160.17000000000002,204.87,275.65999999999997,212.77,204.75,213.01999999999998,259.59000000000003,272.47,202.04000000000002,214.39,286.05999999999995,223.82,232.02999999999997,497.3900000000001,316.51,229.03,229.36,202.45999999999998,215.57,241.95999999999998,137.08,231.92000000000002,150.45,201.57000000000002,276.05
2025,124.98,334.15999999999997,266.48,124.27,205.08999999999997,161.26000000000002,247.81,468.57,305.66999999999996,458.28,265.12,340.4,238.05,252.24,452.34999999999997,457.09,232.8,211.29,232.78,328.77,250.98,232.02999999999997,240.41000000000003,273.38,443.62,403.64,275.84000000000003,422.46999999999997,202.5,209.20999999999998,132.44,515.6800000000001,161.64999999999998,202.26,187.18,103.58,498.37,266.96,236.2,487.3299999999999,212.91,245.16999999999996,284.18,337.12,320.58,217.33,182.32999999999998,215.33,209.48999999999998,289.48,226.87999999999997,381.07000000000005,207.94,165.41,225.21000000000004,284.33000000000004,245.62,222.44,177.59,188.24,237.73,221.04999999999998,323.3,220.57,210.58,243.94,233.94,484.48,185.38,240.29000000000002,331.25,319.84,147.1,289.10999999999996,207.17000000000002,275.25,203.82000000000002,212.44000000000003,215.67999999999998,239.20999999999998,243.06,333.3,221.26999999999998,243.33,236.42000000000002,237.76999999999998,528.21,388.96000000000004,218.41,612.36,198.98000000000002,221.41,235.49999999999997,162.53000000000003,230.47999999999996,139.49,166.34999999999997,288.69
2026,476.26,369.59000000000003,349.87,475.28999999999996,492.13,324.25,396.03999999999996,547.1,470.08000000000004,361.03000000000003,385.61,395.86,328.55,319.03999999999996,531.55,578.84,323.61,395.42999999999995,247.4,536.35,376.73,385.6,276.56,328.16999999999996,530.17,550.83,433.57,445.71000000000004,380.16,466.9599999999999,456.0,436.71000000000004,456.0,416.07,509.82000000000005,369.4,578.9,390.44000000000005,455.38,437.68,412.7099999999999,416.75,549.3699999999999,418.1,363.76,240.45999999999995,300.08000000000004,242.39,431.78000000000003,378.52,337.96999999999997,328.82,218.95,305.37999999999994,531.9399999999999,379.13,497.0,496.63,293.9,414.52,358.64,244.05,430.55999999999995,274.0,248.21,256.14,375.37,478.15999999999997,301.2,332.85,374.83000000000004,484.28,192.58999999999997,324.82000000000005,237.65,407.74,300.76,270.21,246.0,246.64999999999998,427.88,321.01000000000005,424.61,541.1199999999999,331.94000000000005,346.48,518.3299999999999,431.71999999999997,216.12,395.0799999999999,307.85,254.98000000000002,222.30999999999997,299.93,366.14,365.31,238.93,402.49999999999994
2027,114.91999999999999,166.06,229.24,114.91999999999999,236.62999999999997,31.535999999999994,207.92999999999998,418.51000000000005,261.23999999999995,208.48,229.48,197.12,209.64,122.21999999999998,192.64,212.22,205.89000000000001,233.63000000000002,194.87,275.28,225.22000000000003,211.91000000000003,193.94,17.086,375.43,339.02,253.14000000000001,261.33,192.19,240.44,115.00999999999999,123.56,115.2,203.81,115.06,0.12095299999999999,429.65,224.07999999999998,114.9,217.94000000000003,195.27,300.73,285.61,170.49,170.82,196.10999999999999,197.04000000000002,205.91,275.98,255.81,200.94,169.09,210.34,188.23000000000002,272.99,249.24,156.73000000000002,289.83000000000004,190.10999999999999,104.61,215.72,195.67,282.94,210.64000000000001,168.66000000000003,235.55,196.55,298.39,197.71,186.95999999999998,187.25,319.8,190.02000000000004,124.55,174.08,248.57000000000002,178.45,185.0,150.62,224.17,246.87,164.04,169.93,301.98,199.25,201.07,301.78999999999996,270.8,197.57,162.86999999999998,195.43,190.79999999999998,226.84,180.5,196.44,27.917,176.12999999999997,254.14000000000001
2028,117.44,184.15,326.79,117.44,206.6,121.04999999999998,231.10000000000002,419.45000000000005,263.72,249.87999999999997,232.67,247.39,224.45000000000002,131.2,500.07,248.76999999999998,227.44,230.04,186.81,290.77,202.85,201.98999999999998,202.60000000000002,161.39000000000001,382.58,199.42000000000002,507.04999999999995,355.62,213.97000000000003,212.06,117.49,121.25,118.97,250.37999999999997,118.9,123.82,450.15999999999997,242.78000000000003,117.15,261.18,297.99,244.71999999999997,273.65999999999997,177.52999999999997,180.15,188.87,194.94999999999996,206.98000000000002,226.57,250.87,191.42000000000002,182.91,206.92000000000002,187.74999999999997,252.43,248.57,138.79999999999998,271.69,190.05,182.73999999999998,190.95000000000002,210.75000000000003,282.46999999999997,209.69,186.01,191.65,188.48000000000002,267.67,190.54,279.0,205.79,336.36,173.79,132.97,164.76999999999998,257.29,164.39999999999998,188.70000000000002,174.23,209.42000000000002,252.23999999999998,177.92000000000002,199.95999999999998,315.15999999999997,189.1,189.85000000000002,432.33000000000004,273.72999999999996,211.87,266.43,176.16000000000003,198.74999999999997,201.4,194.28,248.90999999999997,0.26798999999999995,187.81999999999996,243.25
