date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,2789.0,2789.0,2829.0,2789.0,2788.0,2798.0,2795.0,2830.0,2881.0,2789.0,2867.0,2789.0,2871.0,2798.0,2798.0,2789.0,2841.0,2797.0,2871.0,2886.0,2279.0,2852.0,2324.0,2789.0,2830.0,2869.0,2785.0,2789.0,2789.0,2797.0,2789.0,2797.0,2788.0,2787.0,2788.0,2789.0,2857.0,2873.0,2789.0,2797.0,2798.0,2789.0,2876.0,2794.0,2790.0,2861.0,2810.0,2401.0,2809.0,2887.0,2851.0,2789.0,2947.0,2393.0,2809.0,2884.0,2808.0,2809.0,3202.0,2789.0,2861.0,1550.0,2577.0,2154.0,1849.0,2955.0,2866.0,2803.0,2215.0,2773.0,2798.0,2495.0,2210.0,2789.0,2874.0,2888.0,2824.0,2836.0,1853.0,2460.0,2884.0,2789.0,2797.0,2809.0,2855.0,2865.0,2789.0,2803.0,2936.0,2789.0,2821.0,1591.0,2214.0,2989.0,2855.0,2788.0,2809.0,2886.0
2021-12-31,1683.0,1771.0,1734.0,1714.0,1691.0,1604.0,1791.0,1639.0,2345.0,1508.0,1546.0,1393.0,1629.0,1773.0,1340.0,1804.0,1648.0,1793.0,1746.0,1789.0,1108.0,2355.0,1727.0,1462.0,1720.0,1677.0,1412.0,1804.0,1521.0,1813.0,1768.0,1653.0,1638.0,1548.0,1587.0,1498.0,1568.0,1377.0,1574.0,1110.0,1765.0,1839.0,1389.0,1427.0,1352.0,1769.0,1021.0,1337.0,1094.0,1438.0,1428.0,1394.0,1107.0,1323.0,1412.0,1529.0,1365.0,1551.0,1308.0,1490.0,1548.0,1090.0,1451.0,1271.0,1347.0,1846.0,1411.0,1393.0,1438.0,1383.0,1395.0,1567.0,1686.0,1485.0,1504.0,1220.0,1565.0,1551.0,1333.0,1177.0,1509.0,1456.0,1444.0,1352.0,1401.0,1475.0,1337.0,1477.0,1099.0,1396.0,1529.0,1297.0,1355.0,2362.0,1323.0,1518.0,1273.0,1490.0
2022-12-31,2103.0,3526.0,3454.0,2186.0,3376.0,3428.0,3422.0,3479.0,5192.0,3475.0,3387.0,3520.0,3486.0,3423.0,2974.0,3484.0,3491.0,3444.0,3540.0,3488.0,2779.0,5098.0,3657.0,3355.0,3561.0,2203.0,3348.0,3403.0,3252.0,3440.0,2243.0,2177.0,2157.0,3242.0,2081.0,3215.0,3474.0,2161.0,2123.0,2036.0,3438.0,3475.0,2149.0,3424.0,3298.0,3449.0,2206.0,3542.0,4908.0,3466.0,2164.0,3292.0,3707.0,3251.0,3223.0,3388.0,3270.0,3329.0,3290.0,3264.0,2824.0,2367.0,2478.0,2851.0,2445.0,3731.0,2069.0,2114.0,3683.0,2213.0,2715.0,2294.0,3545.0,3292.0,3442.0,3714.0,2743.0,2290.0,2441.0,3556.0,2055.0,3377.0,3267.0,3120.0,3093.0,2323.0,3087.0,3219.0,3710.0,3237.0,3423.0,2458.0,2612.0,4998.0,3308.0,3195.0,2375.0,2309.0
2023-12-31,1369.0,1844.0,2191.0,1424.0,1676.0,1684.0,1775.0,1724.0,2310.0,1704.0,1893.0,2026.0,2019.0,1753.0,1479.0,1746.0,2017.0,1874.0,1758.0,1882.0,2081.0,2306.0,1921.0,1405.0,1780.0,1475.0,1714.0,1723.0,1777.0,1656.0,1426.0,1325.0,1368.0,1777.0,1427.0,1478.0,1760.0,1556.0,1570.0,1422.0,2070.0,1658.0,1503.0,1712.0,2278.0,2300.0,1780.0,2144.0,2288.0,1665.0,1517.0,1427.0,2100.0,2066.0,1754.0,1544.0,2290.0,2115.0,2067.0,1747.0,1543.0,2067.0,1593.0,2128.0,2383.0,2165.0,1962.0,1524.0,2064.0,1516.0,1489.0,1631.0,2067.0,1492.0,1600.0,1745.0,1597.0,1636.0,2380.0,2080.0,1527.0,1445.0,1739.0,1769.0,1512.0,1502.0,1698.0,1534.0,2134.0,1456.0,1541.0,2327.0,2210.0,2288.0,1767.0,1517.0,2021.0,1517.0
2024-12-31,1250.0,1835.0,1380.0,1252.0,1282.0,1321.0,1404.0,1382.0,1537.0,1293.0,1391.0,1771.0,1425.0,1295.0,1233.0,1344.0,1476.0,1302.0,1324.0,1406.0,945.4,1838.0,1295.0,1353.0,1322.0,1214.0,1498.0,1348.0,1377.0,1441.0,1320.0,1335.0,1069.0,1380.0,1242.0,1320.0,1272.0,1190.0,1024.0,1252.0,1426.0,1354.0,1177.0,1836.0,1842.0,1852.0,1111.0,1370.0,1462.0,1361.0,1430.0,1348.0,1327.0,1565.0,1371.0,1370.0,1852.0,1319.0,1413.0,1392.0,1448.0,1088.0,1394.0,1346.0,1504.0,1363.0,1735.0,1290.0,1299.0,1306.0,1279.0,1276.0,1128.0,1341.0,1297.0,1852.0,1404.0,1422.0,1484.0,1445.0,1500.0,1339.0,1362.0,1430.0,1209.0,1411.0,1105.0,1328.0,1320.0,1339.0,1298.0,1417.0,1403.0,1854.0,1339.0,1350.0,1354.0,1456.0
2025-12-31,1628.0,2521.0,2709.0,1585.0,2574.0,2542.0,2563.0,2476.0,2268.0,2437.0,2447.0,2448.0,2567.0,2694.0,1443.0,2611.0,2561.0,2613.0,2677.0,2441.0,1470.0,3043.0,2598.0,2469.0,2496.0,1616.0,2333.0,2455.0,2385.0,2573.0,1568.0,1580.0,1546.0,2399.0,1505.0,2107.0,2548.0,1631.0,1475.0,1567.0,2552.0,2480.0,1525.0,2463.0,2551.0,2672.0,1532.0,2480.0,1654.0,2479.0,1770.0,1634.0,1695.0,2370.0,2396.0,1672.0,2399.0,2478.0,2387.0,2438.0,1710.0,1777.0,1876.0,1906.0,2094.0,2893.0,1708.0,1651.0,2593.0,1703.0,1649.0,1718.0,2867.0,2210.0,2144.0,1607.0,1740.0,1734.0,2079.0,2314.0,1798.0,1632.0,2428.0,2362.0,1694.0,1645.0,2099.0,1709.0,1602.0,1646.0,2499.0,2020.0,2001.0,3018.0,2397.0,1766.0,1549.0,1692.0
2026-12-31,1652.0,3640.0,2830.0,1651.0,2562.0,2376.0,2906.0,2674.0,3856.0,2804.0,2749.0,2927.0,2918.0,2680.0,2171.0,2874.0,2936.0,2671.0,2609.0,2396.0,2114.0,3049.0,2891.0,2492.0,2808.0,2269.0,2914.0,2685.0,2920.0,2893.0,1677.0,2122.0,1615.0,2925.0,1570.0,2109.0,2489.0,1614.0,1615.0,2723.0,3015.0,2704.0,1954.0,2966.0,2949.0,2951.0,2821.0,2894.0,2932.0,2604.0,2178.0,2332.0,2886.0,2752.0,2935.0,2289.0,2923.0,3030.0,2822.0,2920.0,1888.0,2708.0,1864.0,2644.0,2895.0,2986.0,2291.0,2160.0,2822.0,2746.0,2186.0,1882.0,2870.0,2262.0,2404.0,2826.0,2223.0,2198.0,2882.0,2905.0,1950.0,2426.0,2925.0,2935.0,2229.0,1863.0,2659.0,2428.0,2888.0,2265.0,2465.0,2832.0,2658.0,4196.0,2913.0,2031.0,2702.0,2089.0
2027-12-31,1224.0,2060.0,1317.0,1230.0,1464.0,2521.0,1444.0,1353.0,2853.0,1285.0,1550.0,2314.0,1519.0,2191.0,1271.0,1413.0,1519.0,1588.0,1426.0,1578.0,1154.0,2937.0,1524.0,1272.0,1525.0,1335.0,1560.0,1456.0,1435.0,2419.0,1233.0,1360.0,1218.0,1384.0,1239.0,1186.0,1211.0,1305.0,1248.0,1974.0,1631.0,1481.0,1416.0,2532.0,2811.0,2880.0,1403.0,1348.0,2759.0,1098.0,2503.0,1208.0,1333.0,1220.0,1302.0,1157.0,2713.0,1976.0,1425.0,1211.0,1281.0,1332.0,1188.0,1138.0,1450.0,1666.0,2880.0,1235.0,1340.0,1179.0,1228.0,1215.0,1338.0,1214.0,2435.0,2382.0,1300.0,1318.0,1437.0,1274.0,1664.0,1187.0,1195.0,1308.0,2017.0,1351.0,1050.0,1249.0,1628.0,1203.0,1170.0,1370.0,1165.0,2751.0,1165.0,1626.0,1523.0,1307.0
2028-12-31,1535.0,3979.0,3630.0,1646.0,3957.0,3960.0,2211.0,2486.0,3940.0,2540.0,2764.0,3979.0,3787.0,3960.0,1642.0,2270.0,3708.0,1982.0,3841.0,2586.0,1708.0,3855.0,2420.0,3388.0,1961.0,1885.0,2791.0,2123.0,3846.0,3962.0,1679.0,2532.0,1681.0,3964.0,1664.0,3965.0,1882.0,1927.0,1700.0,3958.0,3580.0,2125.0,2140.0,3964.0,3958.0,3842.0,2059.0,2428.0,3953.0,3746.0,3854.0,3965.0,2049.0,2329.0,3956.0,2544.0,3958.0,3956.0,2210.0,3940.0,1715.0,2086.0,1815.0,2218.0,3868.0,2079.0,3853.0,2515.0,2347.0,3872.0,3959.0,1751.0,2055.0,3979.0,3839.0,3943.0,2742.0,1880.0,3861.0,2503.0,2368.0,3979.0,3958.0,3947.0,3857.0,1747.0,1830.0,3956.0,2058.0,3961.0,2533.0,3725.0,2134.0,3954.0,3698.0,3958.0,3831.0,2750.0
