date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,3328.0,3328.0,3353.0,3328.0,3330.0,3335.0,3335.0,3356.0,3425.0,3328.0,3407.0,3328.0,3404.0,3335.0,3324.0,3328.0,3359.0,3326.0,3404.0,3424.0,2009.0,3397.0,2304.0,3328.0,3353.0,3365.0,2815.0,3320.0,3311.0,3329.0,3310.0,3334.0,3298.0,3335.0,3298.0,3328.0,3372.0,3425.0,3310.0,3334.0,3332.0,3310.0,3419.0,3331.0,3333.0,3407.0,2674.0,2245.0,3348.0,3438.0,3395.0,3312.0,2977.0,2800.0,3348.0,3425.0,3347.0,3348.0,1803.0,3311.0,3398.0,1916.0,3286.0,2164.0,2170.0,2979.0,3405.0,3349.0,2363.0,3343.0,3334.0,3264.0,2111.0,3328.0,3417.0,3442.0,3341.0,3361.0,2179.0,2288.0,3428.0,3328.0,3334.0,3349.0,3402.0,3408.0,3309.0,3349.0,2966.0,3300.0,3342.0,2171.0,2342.0,3347.0,3386.0,3304.0,3277.0,3425.0
2021-12-31,1987.0,1585.0,1715.0,1997.0,1834.0,1674.0,1786.0,1822.0,1973.0,1767.0,1605.0,1620.0,1701.0,1891.0,1604.0,1747.0,1691.0,1833.0,1898.0,1858.0,1744.0,1915.0,1848.0,1667.0,1806.0,1743.0,1399.0,1785.0,1563.0,1674.0,2023.0,1681.0,2003.0,1614.0,1945.0,1551.0,1864.0,1992.0,1991.0,1494.0,1767.0,1801.0,1621.0,1698.0,1965.0,1976.0,1458.0,1744.0,1912.0,1816.0,1523.0,1587.0,1732.0,1614.0,1492.0,1678.0,1916.0,1648.0,1657.0,1584.0,1867.0,1764.0,1632.0,1784.0,2141.0,1749.0,1922.0,1688.0,1778.0,1549.0,1596.0,1742.0,1701.0,1618.0,1657.0,1422.0,1756.0,1864.0,2128.0,1704.0,1756.0,1559.0,1582.0,1530.0,1568.0,1704.0,1622.0,1647.0,1730.0,1597.0,1725.0,2097.0,1885.0,1914.0,1502.0,1631.0,1775.0,1667.0
2022-12-31,1840.0,2437.0,2250.0,1737.0,1812.0,2446.0,1929.0,1651.0,2585.0,1887.0,2036.0,2440.0,2050.0,1864.0,1856.0,2440.0,2048.0,1990.0,1889.0,2062.0,2293.0,2578.0,2109.0,1916.0,1967.0,1976.0,2295.0,1935.0,1902.0,2445.0,1813.0,2003.0,1754.0,1903.0,1665.0,1686.0,1972.0,1654.0,1714.0,2444.0,2009.0,1855.0,1410.0,2447.0,2546.0,2451.0,2156.0,2741.0,2598.0,1716.0,2487.0,1683.0,2327.0,2613.0,2456.0,1681.0,2495.0,2311.0,2637.0,1719.0,1624.0,2266.0,1518.0,2295.0,2170.0,2491.0,2478.0,1666.0,2637.0,1485.0,1840.0,1608.0,2639.0,1648.0,1833.0,2515.0,1651.0,1730.0,2158.0,2669.0,1676.0,1845.0,2383.0,1995.0,2316.0,1542.0,1914.0,1775.0,2219.0,1554.0,1655.0,2138.0,2336.0,2656.0,1568.0,1831.0,2349.0,1573.0
2023-12-31,1814.0,2441.0,2089.0,1720.0,1981.0,3039.0,2303.0,1921.0,3508.0,2888.0,1994.0,3177.0,2079.0,2417.0,1847.0,3104.0,2104.0,1919.0,2365.0,1853.0,1782.0,3607.0,1936.0,1967.0,1937.0,1976.0,1832.0,1983.0,1916.0,3085.0,1833.0,3013.0,1894.0,1919.0,1707.0,1753.0,1942.0,1829.0,1845.0,3019.0,2183.0,2015.0,2033.0,3062.0,3370.0,3361.0,1799.0,2080.0,3534.0,2867.0,3107.0,2322.0,1965.0,1849.0,2244.0,1672.0,3307.0,2325.0,1803.0,1852.0,1850.0,2010.0,1759.0,1899.0,2227.0,2125.0,3245.0,1728.0,1994.0,1633.0,2508.0,1772.0,1995.0,2415.0,2781.0,3062.0,2129.0,1888.0,2229.0,1853.0,2085.0,2569.0,2122.0,1765.0,2957.0,1798.0,1795.0,2841.0,2098.0,2344.0,1769.0,2208.0,1916.0,3557.0,1776.0,2286.0,2264.0,1760.0
2024-12-31,1612.0,1179.0,1345.0,1604.0,1392.0,1185.0,1465.0,1353.0,1523.0,1331.0,1224.0,1131.0,1223.0,1474.0,1178.0,1400.0,1217.0,1431.0,1453.0,1472.0,1224.0,1506.0,1431.0,1292.0,1399.0,1260.0,1233.0,1356.0,1178.0,1307.0,1638.0,1191.0,1552.0,1234.0,1475.0,1296.0,1363.0,1324.0,1502.0,1218.0,1227.0,1451.0,1223.0,1176.0,1202.0,1335.0,1019.0,1679.0,1151.0,1386.0,1243.0,1306.0,1282.0,1402.0,1101.0,1462.0,1166.0,1152.0,1615.0,1165.0,1396.0,1152.0,1298.0,1610.0,1494.0,1589.0,1235.0,1426.0,1941.0,1390.0,1316.0,1377.0,1828.0,1367.0,1441.0,1171.0,1463.0,1532.0,1469.0,1632.0,1539.0,1312.0,1090.0,1167.0,1336.0,1410.0,1218.0,1364.0,1330.0,1322.0,1455.0,1430.0,1466.0,1486.0,1158.0,1372.0,1524.0,1391.0
2025-12-31,5637.0,5635.0,5671.0,5636.0,5605.0,5615.0,5615.0,5685.0,5721.0,5645.0,5713.0,5645.0,5715.0,5610.0,5604.0,5621.0,5688.0,3134.0,5707.0,3076.0,3111.0,5709.0,3942.0,5646.0,3362.0,5258.0,4199.0,5633.0,5609.0,5610.0,5607.0,5609.0,5423.0,5615.0,5628.0,5622.0,5663.0,5712.0,5607.0,5616.0,5615.0,5633.0,5727.0,5616.0,5607.0,5711.0,3246.0,3160.0,5600.0,5721.0,5705.0,5615.0,3412.0,3067.0,5599.0,5722.0,5598.0,5597.0,3192.0,5607.0,3144.0,3424.0,5716.0,2885.0,5753.0,3427.0,5699.0,5599.0,3126.0,5666.0,5609.0,5598.0,2721.0,5646.0,5712.0,5726.0,5666.0,5685.0,5749.0,3163.0,5724.0,5645.0,5609.0,5599.0,5704.0,5705.0,5608.0,5598.0,3415.0,5607.0,5666.0,5757.0,2474.0,5595.0,5698.0,5600.0,5593.0,5723.0
2026-12-31,1406.0,1017.0,906.7,1383.0,1193.0,999.3,1201.0,1195.0,939.8,1099.0,1037.0,989.7,966.8,1269.0,1075.0,1159.0,968.5,1497.0,1180.0,1354.0,818.9,1001.0,1166.0,1228.0,1210.0,1123.0,987.7,1234.0,970.4,1051.0,1379.0,1087.0,1350.0,964.7,1188.0,1228.0,1379.0,1556.0,1346.0,1098.0,988.8,1173.0,1124.0,1021.0,1016.0,1091.0,1183.0,1440.0,1173.0,1094.0,1029.0,1193.0,1297.0,1075.0,915.8,1184.0,1022.0,953.7,1339.0,953.9,1427.0,1076.0,1303.0,1019.0,1293.0,989.4,993.9,1320.0,1506.0,1194.0,1169.0,1337.0,1662.0,1244.0,1157.0,996.6,1282.0,1415.0,1278.0,1299.0,1444.0,1199.0,966.7,1043.0,1090.0,1260.0,1117.0,1173.0,1252.0,1218.0,1354.0,1230.0,1080.0,1474.0,1065.0,1254.0,1472.0,1190.0
2027-12-31,1422.0,1340.0,1524.0,1442.0,1349.0,1517.0,1459.0,1632.0,1567.0,1362.0,1626.0,1035.0,1610.0,1501.0,1068.0,1470.0,1567.0,1612.0,1586.0,1658.0,1522.0,1716.0,1555.0,1569.0,1437.0,1213.0,1524.0,1392.0,1565.0,1366.0,1470.0,1217.0,1320.0,1566.0,1282.0,1522.0,1411.0,1195.0,1272.0,976.7,1412.0,1393.0,1059.0,1132.0,1361.0,1556.0,1113.0,1626.0,1164.0,1202.0,1203.0,1165.0,1170.0,1692.0,1424.0,1262.0,1518.0,1378.0,1807.0,1527.0,1264.0,1180.0,1152.0,1620.0,1503.0,1630.0,1244.0,1204.0,1573.0,1145.0,1196.0,1350.0,1614.0,1220.0,1300.0,998.6,1312.0,1292.0,1486.0,1699.0,1254.0,1215.0,1537.0,1636.0,1198.0,1181.0,1125.0,1299.0,1085.0,1188.0,1281.0,1461.0,1702.0,1876.0,1140.0,1260.0,1318.0,1166.0
2028-12-31,1556.0,4463.0,4380.0,1566.0,2224.0,3842.0,2142.0,2188.0,4347.0,2135.0,3771.0,4467.0,4368.0,2576.0,1584.0,2139.0,4341.0,2138.0,2202.0,2168.0,1851.0,4402.0,2166.0,2116.0,2349.0,1921.0,3787.0,2108.0,4405.0,3486.0,1609.0,1711.0,1555.0,4386.0,1508.0,3026.0,2203.0,1575.0,1523.0,4421.0,4432.0,2126.0,1675.0,4371.0,4452.0,4389.0,2098.0,1975.0,4448.0,2116.0,4330.0,2146.0,2026.0,2741.0,4450.0,2126.0,4448.0,4450.0,2019.0,4442.0,2126.0,2106.0,2017.0,2377.0,4383.0,2777.0,4406.0,1723.0,2097.0,3990.0,2438.0,2038.0,2096.0,2087.0,3216.0,4346.0,2150.0,1555.0,4376.0,2157.0,1760.0,2113.0,4450.0,4397.0,3241.0,2053.0,1761.0,2350.0,2154.0,2136.0,2125.0,4218.0,2159.0,4446.0,4411.0,2721.0,3408.0,2081.0
