,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1509.5,1538.1,2113.7000000000003,1645.6999999999998,1642.8,1650.3999999999999,1756.6999999999998,2045.2,1331.1,1509.3999999999999,1588.8000000000002,1538.1,1617.0,1711.9,1562.9,1511.2,1835.0,1697.6,1665.6999999999998,1363.9,682.48,1561.3000000000002,594.15,1662.1,946.1,851.7,2466.6,1694.5,1497.4,1686.8,1523.6,1565.7000000000003,2426.2,1710.7,2426.4,1663.3,1908.3000000000002,1606.6,1989.5000000000002,1568.0,1614.9,1500.7,1313.8,1530.1000000000001,1536.4,1572.6999999999998,1205.4,321.21,1815.7000000000003,1389.1000000000001,1627.2,1615.2,330.04,972.1,1814.1,1280.8,1622.6,1782.2000000000003,1193.8,1804.6999999999998,1254.0,454.09999999999997,1959.3999999999996,326.98,325.88,508.16,1741.5000000000002,1818.5000000000002,717.53,2096.9,1739.6999999999998,2357.2,1224.9,1675.5999999999997,1489.0,1421.8,2039.4,1833.7999999999997,294.82,354.59000000000003,1359.8,1690.9,1734.5,1788.9,1627.4,1685.0,1472.7,1818.8,407.40000000000003,1611.9,1910.6999999999998,325.88,332.54999999999995,1096.3999999999999,1687.2,2598.5,581.76,1359.1
2021,1176.8,1174.3000000000002,1759.6,1180.7,1239.8,1194.8,1220.3000000000002,1255.6,986.9,1174.3000000000002,1180.6000000000001,1174.3000000000002,1209.7,1243.2,1019.8,1176.4,1382.0,1078.1000000000001,1180.3999999999999,981.9000000000001,638.51,1087.7,948.6,1175.0,1202.2,1229.9,2102.0,1355.5,916.4000000000001,1362.4,851.8,1244.7,2037.6999999999998,1211.7999999999997,2032.0,1176.1,1734.3999999999999,897.9999999999999,1609.9,1245.5,1207.6999999999998,937.4000000000001,980.8999999999999,1192.7,1184.2,989.7,1305.3,324.95000000000005,1321.3,992.5,1277.3000000000002,1166.6000000000001,396.06,1830.6,1321.1,965.2,1325.4999999999998,1323.0,978.6,1391.0,1172.0,422.24999999999994,1326.6,338.75,349.03000000000003,385.98,1164.0,1285.1999999999998,708.05,2094.1000000000004,1243.8999999999999,2073.5000000000005,2307.2999999999997,1172.8000000000002,976.8,976.4,1211.7,1401.3,341.64000000000004,345.79999999999995,944.7,1172.8000000000002,1243.2,1324.0,1107.6,1154.8,965.5,1287.3,340.95,1224.2,1475.1,332.17,339.29999999999995,1302.9,1205.9,1062.8999999999999,1322.0,980.1999999999999
2022,776.89,606.7800000000001,1270.7,785.72,774.17,630.31,575.12,800.4,577.14,556.01,597.82,594.2699999999999,565.81,641.0600000000001,865.8,526.86,688.21,572.0699999999999,565.76,674.39,489.15999999999997,505.5200000000001,421.36,667.73,719.55,669.44,1601.6,672.23,559.0600000000001,789.29,663.0799999999999,697.73,1658.1000000000001,725.6800000000001,1654.0,644.1600000000001,827.4,593.7500000000001,1243.7,581.5799999999999,741.5,788.7,646.9,614.72,625.0900000000001,562.37,558.6600000000001,307.20000000000005,705.93,573.78,549.61,562.8000000000001,312.26000000000005,629.12,734.8599999999999,549.52,629.24,738.1,627.21,701.61,723.6,313.9,680.1800000000001,312.9200000000001,300.12,287.36,521.2299999999999,728.3700000000001,534.95,805.5799999999999,652.0,1278.4999999999998,757.5500000000001,613.61,507.26,578.99,722.73,642.84,296.38,311.81,571.85,607.94,682.9300000000001,799.8000000000001,501.07,642.57,727.63,705.7099999999999,333.33000000000004,651.37,651.87,303.48,297.71000000000004,720.26,591.07,680.15,394.09,754.5
2023,485.78,256.7,461.9,604.03,543.87,265.45,311.53999999999996,593.9300000000001,428.26000000000005,314.64,387.51,294.78000000000003,358.87,233.29,563.71,312.13,437.59999999999997,378.90000000000003,278.13,510.74,383.30999999999995,358.90999999999997,262.43,286.37,554.84,497.30999999999995,700.99,415.58,309.62,418.73,460.78999999999996,324.63000000000005,1286.2,323.21,1238.1000000000004,279.52,624.98,460.93999999999994,854.1999999999999,321.05,344.03999999999996,497.35,509.9599999999999,254.63,252.42,272.52,419.08,279.62,430.49,374.62,294.78000000000003,250.48,276.84000000000003,335.70000000000005,354.81,335.39,308.62,414.52,354.99,208.52,318.69000000000005,276.3,483.6,273.25,271.69,284.68,292.17,415.53000000000003,324.76,529.29,310.14,430.2199999999999,320.59,202.20999999999998,246.57,347.92,302.53999999999996,303.27,269.62,276.64,347.27,247.43,281.34999999999997,396.39000000000004,282.52000000000004,301.30999999999995,530.62,360.34,285.01000000000005,263.39,306.83,284.18,277.12,369.64,413.25,356.19,293.96000000000004,339.25
2024,419.27,208.7,336.59000000000003,367.79999999999995,408.29,169.53000000000003,301.88,477.72,335.68999999999994,296.05,297.92,259.5,263.16999999999996,207.03,435.85,363.90999999999997,260.55,346.5,245.97000000000003,373.77,295.54,264.85,232.53,201.3,471.02,448.61,307.71,357.52,244.85999999999999,370.93,399.4800000000001,350.86,1012.9000000000001,293.68,1004.9,89.35000000000001,511.23,311.25,589.39,333.48,285.15999999999997,401.88,383.9,233.14000000000001,219.14999999999998,243.79999999999998,243.66000000000003,259.29999999999995,390.88,315.73,239.01999999999998,214.79,235.76,200.00999999999996,339.90000000000003,318.42,292.10999999999996,345.48999999999995,198.74,179.13,264.34000000000003,257.71,365.35,268.97999999999996,241.73,245.05,251.72,370.96000000000004,221.36,251.9,264.68,377.4,203.4,161.99,218.94,297.57,211.69,216.67,234.05999999999997,236.24,311.53,213.61,216.95000000000002,301.31,242.16999999999996,256.51,418.93,276.34000000000003,242.98000000000002,240.14,214.91,238.76,276.71,198.89999999999998,240.35,133.89000000000001,241.34,295.71
2025,288.84000000000003,160.38,248.88,299.77000000000004,313.98,120.59,203.54999999999998,438.2099999999999,279.09000000000003,203.66,235.43,191.85999999999999,213.57,156.92000000000002,331.45,209.31,234.81,250.29000000000002,205.01,320.36,256.55999999999995,222.26,229.04,150.32000000000002,382.04999999999995,347.74,246.74,262.63,189.29999999999998,317.81999999999994,296.52000000000004,253.29999999999998,864.4,198.14999999999998,859.1,15.978000000000002,437.74,276.09000000000003,448.14,249.39000000000001,186.44,304.44,291.72999999999996,166.67000000000002,164.4,199.55999999999997,169.95999999999998,229.42000000000002,285.74999999999994,269.01,202.45000000000002,167.77,218.99,218.16,222.47999999999996,262.7,164.06,259.21000000000004,215.31,135.72,206.77,208.27999999999997,261.12,224.14,218.13,236.19,203.68999999999997,306.61,187.14,192.52,220.23000000000002,306.31,148.89000000000001,118.56000000000002,206.93,253.44000000000003,185.77,191.76,198.06,242.33999999999997,231.79,161.48,159.52999999999997,205.97999999999996,204.34000000000003,206.64999999999998,320.05,266.55,204.17,164.55,185.45000000000002,217.85,237.53,165.26,200.62,76.58999999999999,163.05,253.19
2026,897.1999999999999,814.2099999999999,1195.4,913.3,1011.9000000000001,725.92,658.5400000000001,601.8199999999999,470.2,603.46,512.0,838.54,486.52,464.35,1109.1,606.0699999999999,601.9300000000001,756.27,250.65,504.29999999999995,379.24,431.66,259.09999999999997,577.91,558.37,528.68,830.9,969.4000000000001,907.3,1031.3999999999999,971.4,628.13,1367.0,858.5899999999999,1367.6,875.7,600.58,400.63,1152.4,840.6999999999999,916.4,1029.2,499.9,835.11,835.5999999999999,460.47,644.07,266.51,877.2800000000001,340.95000000000005,304.44000000000005,531.33,272.7,741.6400000000001,938.0000000000001,345.89,899.2800000000001,932.1,711.0600000000001,906.6999999999999,306.22999999999996,252.04999999999998,475.02,281.9,253.36,263.98,317.70000000000005,699.87,368.89000000000004,693.09,572.25,749.01,544.37,525.4399999999999,225.14,450.16999999999996,338.38,284.03,261.97,243.61,369.51,544.5,843.51,910.12,292.47,287.87,1088.5,587.4100000000001,270.72,606.2800000000001,367.93999999999994,278.31,262.56,866.6600000000001,486.54,401.21999999999997,399.41999999999996,345.19
2027,882.5,355.46999999999997,380.35,857.3,905.0,204.32000000000002,553.4399999999999,531.29,408.82,516.75,351.12,486.91,309.46000000000004,207.47999999999996,1038.9,525.9699999999999,368.74,705.8100000000001,242.33,441.53999999999996,350.96000000000004,314.7,243.73000000000005,338.15,492.84,477.27,507.38000000000005,772.42,454.35,906.5,863.1999999999999,530.2,1122.5,519.42,1162.1999999999998,201.78,557.8,377.80999999999995,850.9000000000001,477.24,539.86,948.2,458.2099999999999,361.42,365.1,254.52000000000004,810.8199999999999,263.69,628.1600000000001,317.90999999999997,260.90000000000003,353.59000000000003,261.07000000000005,413.63,548.91,319.05,335.78,578.49,424.93,310.41999999999996,274.35,274.75,403.79,261.71999999999997,259.84999999999997,238.22,260.38,590.6499999999999,390.62,410.65,459.68000000000006,622.54,336.02,209.38,229.27,325.62,269.71999999999997,221.45,245.80999999999997,266.78,330.45,381.43,422.56,528.54,256.46,255.93999999999997,1008.6,408.71999999999997,261.95000000000005,619.7900000000001,261.99,263.95000000000005,242.01999999999998,395.59999999999997,304.92999999999995,258.5,391.87,319.68999999999994
2028,340.23,243.63,386.2,347.84999999999997,351.38,201.75000000000003,287.53,575.05,387.91,282.71000000000004,354.90000000000003,274.63000000000005,329.38000000000005,211.82999999999998,382.62,288.83000000000004,400.60999999999996,313.45,249.81,454.0,311.38000000000005,299.68,250.52,241.74,533.74,480.2900000000001,697.5799999999999,328.71,278.09999999999997,359.45,343.23999999999995,289.14,1217.7,281.22,1211.9,227.51,591.37,404.88000000000005,776.7,291.96000000000004,294.77000000000004,347.72999999999996,438.79999999999995,249.34999999999997,242.82999999999998,250.67000000000002,272.65,257.8,385.83,310.96,283.95,240.66,233.89,214.84000000000003,327.83000000000004,343.31,276.3,392.40999999999997,218.70000000000002,257.84,405.3399999999999,230.53,467.95000000000005,246.90000000000003,227.07,246.47000000000003,257.27,346.39,246.19000000000003,536.14,271.1,334.98,213.95,226.31,250.78,324.45,291.65999999999997,273.52,234.03999999999996,245.88,360.48,234.82000000000005,266.52,394.87,274.97,293.96,361.29999999999995,279.1,233.73,246.83,311.42999999999995,223.46,257.63,243.92,411.82000000000005,345.28999999999996,251.39,346.65999999999997
