,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,896.5999999999999,773.0,848.1999999999998,905.3,646.4399999999999,695.5,633.4399999999999,851.7,638.1999999999999,712.9,671.71,713.29,659.9799999999999,629.04,914.2,714.94,669.4300000000001,694.3599999999999,481.29,760.3,597.52,581.77,507.92,607.59,777.2,758.3000000000001,602.7700000000001,683.58,649.62,732.12,673.0699999999999,774.9399999999999,1860.7,643.37,1838.5,732.11,919.9000000000001,732.5999999999999,1501.7,694.55,473.95,800.1,776.6,742.37,806.6,465.66,445.09000000000003,293.59999999999997,279.22,680.03,553.81,882.8000000000001,290.64,257.46999999999997,852.8,673.41,729.81,517.02,249.03999999999996,1042.5,674.2,306.15,760.3,313.14,275.05,269.73999999999995,609.22,706.3100000000001,227.61,556.23,674.82,1247.8999999999999,346.23999999999995,613.9799999999999,443.28000000000003,636.0899999999999,554.56,566.4399999999999,302.84000000000003,286.77,684.03,613.9599999999999,670.4200000000001,810.8,617.92,599.35,854.5,705.52,285.40000000000003,901.5999999999999,567.52,283.59999999999997,272.93,205.71999999999997,756.8000000000001,946.5,253.85999999999999,634.68
2021,1069.6,676.01,512.6600000000001,1089.7,1041.1,451.57,699.75,671.59,471.51,773.6,448.51,743.89,454.45,440.51,1446.6999999999998,762.7,549.74,873.9000000000001,314.37,572.3399999999999,391.53000000000003,376.08,319.52,622.84,642.8499999999999,592.49,549.59,1036.5,933.8,1050.4,1286.2,783.17,1857.0000000000002,770.2,1573.5,453.70000000000005,691.65,539.4,1691.3000000000002,771.0,924.1,1198.0,603.53,621.91,496.28999999999996,279.52,1258.3,295.1,775.45,409.0999999999999,362.50999999999993,742.3599999999999,288.17,1149.6,805.24,436.53,547.58,798.56,651.3699999999999,865.71,432.34000000000003,301.28999999999996,573.31,298.07000000000005,276.77,292.90999999999997,352.71000000000004,832.3,531.0,457.04,686.6999999999999,866.2,1052.6999999999998,623.64,282.44,421.3,392.28999999999996,393.95,273.97,308.32,435.33000000000004,677.07,699.25,901.3000000000001,352.79,390.69000000000005,1375.1000000000001,620.5200000000001,303.17,967.6000000000001,407.26,283.24,289.46,476.94,424.27,672.22,433.83,434.05
2022,2010.0000000000002,1340.6999999999998,952.1,2028.6000000000001,1744.3,895.4999999999999,1514.7000000000003,1051.3999999999999,757.69,1572.9999999999998,707.46,1458.1,657.48,1101.8,2074.2,1570.9999999999998,699.9599999999999,1752.1999999999998,537.88,894.6,1450.7,631.11,612.55,986.9,1027.7,1007.2,834.3000000000001,1893.8999999999999,1580.0000000000002,1562.7,2071.4,1606.1999999999998,2156.8999999999996,1548.6999999999998,2250.9,930.8,1166.1000000000001,986.3999999999999,2154.1,1616.6,1495.7,1883.8,871.5,1322.4,1369.4999999999998,474.75,1740.3,395.03,878.92,748.76,621.22,1475.4,852.2299999999999,1598.5,1001.7000000000002,790.49,1092.1,1306.8999999999999,1515.2,1207.4,747.7200000000001,1060.54,838.0,341.63,379.70000000000005,692.2900000000001,667.99,1617.8000000000002,941.12,596.13,1508.1000000000001,1764.3000000000002,1263.8,1232.9,463.92999999999995,701.1,593.5,649.87,382.00999999999993,494.65,780.8299999999999,1395.0,1364.1,1074.8999999999999,687.41,636.6599999999999,2120.7,1444.1999999999998,878.68,1471.2,639.89,383.06000000000006,509.60999999999996,937.0999999999999,724.02,1059.5,877.53,699.6
2023,574.74,446.96000000000004,491.93000000000006,629.46,408.7399999999999,438.26000000000005,418.65,671.76,474.29,516.21,514.51,505.78000000000003,474.45000000000005,426.23,855.1,499.79,464.84000000000003,423.03,360.41,601.0,479.15,466.85,359.47,487.24,618.42,633.53,435.37,545.26,543.79,299.22999999999996,835.4,568.82,1772.4,593.3299999999999,1577.6,327.10999999999996,661.3100000000001,575.9100000000001,1447.6,522.9499999999999,372.99,389.95,628.1199999999999,465.27,436.64,289.73,222.66,301.67,282.56,461.4,424.5,449.14,279.38,208.74,600.76,485.87999999999994,440.43,415.34,213.93,645.9,462.9,259.31,584.55,291.69,258.21999999999997,258.57,407.38000000000005,581.77,224.40000000000003,422.67,492.48,621.73,210.25,381.21,278.38,470.95,408.12,356.17,256.81,300.07,490.88,436.41,518.15,611.9,419.0,428.01,790.0,526.01,292.34000000000003,532.92,398.72,265.40000000000003,265.78000000000003,198.85,436.09000000000003,613.27,226.24,472.49000000000007
2024,622.13,261.85,411.61,628.6299999999999,548.05,296.39,363.83000000000004,549.28,385.26,380.43999999999994,354.18,329.19,305.42,307.86,668.7,403.82000000000005,357.42,420.26,258.65,423.0,309.31000000000006,278.63,245.9,359.81000000000006,501.6500000000001,473.38999999999993,352.62,452.15,358.57000000000005,507.19,506.30999999999995,378.71,1156.5,405.16999999999996,1144.1000000000001,168.16,560.13,371.2,1162.2,464.53000000000003,357.84000000000003,417.59,423.81000000000006,313.12,284.81999999999994,249.77,341.97999999999996,254.26,401.86999999999995,309.29,250.43,275.71999999999997,235.76999999999998,283.96,418.15000000000003,307.33,438.24,380.62,277.66,296.01,264.41999999999996,280.36,397.32,264.28999999999996,245.31,265.84000000000003,247.45,460.87,273.92,310.87,354.85,489.82000000000005,237.49,219.6,229.74999999999997,307.7,249.54999999999998,233.99,252.27,243.03,316.25,300.45,283.14,383.8,246.74,240.74,649.5300000000001,384.62,223.20000000000002,364.83,280.61,262.64,256.57,252.39,265.26,288.92,249.7,305.52
2025,676.58,360.66999999999996,414.68999999999994,677.5100000000001,511.79999999999995,253.18,474.14,558.4200000000001,399.64,512.07,361.97999999999996,492.04999999999995,317.99,285.07,752.37,501.77,375.15999999999997,378.2,264.83000000000004,441.06,342.78000000000003,310.79,262.69,379.28000000000003,515.28,483.7,396.58,478.91999999999996,477.47,353.83,567.9000000000001,524.36,1137.3000000000002,488.66,1141.5,248.82999999999998,562.54,379.93,851.3,514.97,454.44999999999993,513.0500000000001,448.28999999999996,360.86000000000007,326.56999999999994,242.24000000000004,214.98,264.65999999999997,253.87,305.31,263.76,348.64,220.23,189.35999999999999,525.5,325.34,393.79999999999995,512.51,201.13000000000002,330.10999999999996,272.67,244.45,397.5799999999999,263.19,218.36,246.6,253.88,528.24,202.15,367.06,432.52000000000004,589.06,192.32,348.56000000000006,240.79000000000002,305.25,272.63,241.5,207.4,236.90999999999997,320.05,309.72,372.99,503.9600000000001,250.98000000000002,263.82,582.73,395.99999999999994,236.46,479.98,318.49999999999994,240.00000000000003,242.60000000000002,196.38999999999996,267.90999999999997,274.78000000000003,210.29999999999998,302.89
2026,180.81,236.99,326.35,176.69,557.01,214.44,336.0,480.17999999999995,364.81,361.75,305.86,340.17,265.91999999999996,211.96999999999997,831.7,391.53,259.93999999999994,422.37,228.90000000000003,387.65,304.48,268.68,258.19000000000005,255.18,450.67,426.96999999999997,301.96000000000004,569.9499999999999,311.69,414.09000000000003,180.8,374.45,232.87,333.84,987.5000000000002,110.1,492.39,318.83,720.65,427.84999999999997,369.02,752.42,392.97,246.32999999999998,249.01,241.27000000000004,211.18,218.84,428.85,303.4599999999999,237.79000000000002,251.67999999999998,235.38,197.42000000000002,327.27,306.6700000000001,236.87,359.46000000000004,202.7,240.83,246.03000000000003,237.67000000000002,324.71,248.43000000000006,241.04000000000002,286.88,237.25,415.40999999999997,213.44,234.76999999999998,339.81,400.37,204.29000000000002,170.81,215.78,300.53,193.52,213.44,243.63999999999996,283.79,280.88,234.8,240.95999999999998,365.41,235.46,241.30999999999997,797.3,343.8399999999999,241.68999999999997,511.75999999999993,210.27,239.48,279.96000000000004,197.9,234.57000000000002,160.1,214.88,304.0
2027,738.97,519.85,473.87000000000006,749.29,647.33,334.29,363.97,571.3299999999999,410.13,438.97,386.41,351.7199999999999,365.01,363.75,768.52,363.61,433.31,469.0,252.4,432.86000000000007,314.72,314.43,255.53,385.66,524.31,487.96,739.56,465.59999999999997,501.65,547.59,615.1700000000001,374.03999999999996,1205.1,432.60999999999996,1208.0,285.88,589.2900000000001,373.90999999999997,823.9000000000001,411.49,522.2,688.35,447.84000000000003,337.24,364.85,257.40999999999997,392.95000000000005,263.85,424.14000000000004,319.65999999999997,267.91,328.23,258.9,373.84999999999997,579.77,311.42999999999995,413.15999999999997,482.69999999999993,332.75,420.98,278.28,265.24,400.01,264.03,252.10999999999996,242.42000000000002,260.45000000000005,464.36,260.55,405.32,386.8,516.5500000000001,283.51,368.71999999999997,239.31,327.5799999999999,394.57000000000005,245.20999999999998,250.06,253.78,333.16,363.55999999999995,552.48,603.3800000000001,250.31,435.90999999999997,696.31,406.11,264.87,368.4699999999999,325.37,250.57,276.24,500.29,383.75,576.42,265.61,520.3199999999999
2028,181.95,222.24,366.33000000000004,179.32,341.55,195.92999999999998,271.28000000000003,513.4,322.74,270.84000000000003,279.73999999999995,266.57,263.35,188.12,361.28000000000003,269.95000000000005,336.67999999999995,301.36,224.79999999999998,362.71,258.81,245.94000000000003,223.95000000000002,234.98000000000002,472.46999999999997,421.76,399.18,317.07,261.94,339.54999999999995,179.32,295.18,300.11,269.30000000000007,1062.1000000000001,127.6,526.72,310.99,185.34999999999997,285.39,274.58,337.65999999999997,374.45000000000005,231.99,219.68,211.94,312.69,232.89999999999998,307.22999999999996,277.25,222.84999999999997,219.09,232.19,231.88,353.43,264.75,257.98,334.02,239.03000000000003,154.01999999999998,233.79000000000002,248.57,337.8,247.59000000000003,205.93,267.88,214.08999999999997,315.46,263.14,406.95,252.52999999999997,373.39,221.35999999999999,173.33,206.57000000000002,276.88,227.81,208.65,227.85999999999999,267.55999999999995,290.86,212.15,240.89000000000001,356.59,225.97000000000003,231.46000000000004,349.43,330.53000000000003,233.73,241.85,217.58,210.0,262.09,233.08999999999997,240.24,259.91999999999996,216.32999999999998,285.19
2029,215.88,292.32,338.2,197.02,595.8199999999999,187.05,327.52,489.28999999999996,329.33000000000004,304.36,277.07,291.67999999999995,255.09,208.17999999999998,665.75,324.22999999999996,347.55000000000007,374.34000000000003,213.04000000000002,363.68,279.21,258.18,218.12,245.78,458.51,395.42,707.5500000000001,442.56,342.61,594.56,192.18,316.69,268.96999999999997,316.39,1002.7,248.47,525.6,283.77000000000004,166.23000000000002,320.11,381.21,553.49,369.42,320.29999999999995,292.64,247.59,518.17,250.37,364.54999999999995,270.94,217.34999999999997,229.14000000000001,249.38,337.33,458.43,289.89,439.1,385.96,339.71000000000004,184.48000000000002,225.66,250.85000000000002,350.01000000000005,254.72000000000003,234.52999999999994,261.0,224.70000000000002,379.28999999999996,297.84,406.44,253.17999999999998,418.34000000000003,286.61,168.1,200.20999999999998,301.93999999999994,202.16,215.39999999999998,248.71999999999997,249.07999999999998,297.78000000000003,220.87000000000003,315.54,413.03999999999996,234.29999999999998,222.95000000000002,630.4100000000001,336.91,252.59000000000003,328.32,199.54999999999998,229.2,230.98000000000002,400.89,280.24,154.85,264.03000000000003,279.40999999999997
