date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,6301.0,6301.0,6328.0,6301.0,6304.0,6308.0,6304.0,6338.0,6372.0,6301.0,6355.0,6301.0,6353.0,6308.0,6306.0,6302.0,6338.0,6305.0,6357.0,6368.0,2970.0,6343.0,6071.0,6301.0,6336.0,6356.0,5557.0,6301.0,6301.0,6304.0,7094.0,6306.0,6296.0,6308.0,6296.0,6302.0,6344.0,6355.0,6300.0,6306.0,6306.0,6300.0,6369.0,6306.0,6309.0,6354.0,2914.0,3492.0,6313.0,6370.0,6343.0,6301.0,3026.0,3718.0,6314.0,6371.0,6311.0,6312.0,3899.0,6301.0,6332.0,3030.0,6367.0,3074.0,6414.0,3043.0,6332.0,6312.0,6310.0,6318.0,6305.0,6311.0,2918.0,6301.0,6360.0,6368.0,6312.0,6329.0,6412.0,6206.0,6369.0,6301.0,6306.0,6312.0,6343.0,6342.0,6301.0,6312.0,3029.0,6299.0,6314.0,6419.0,3009.0,6312.0,6339.0,6297.0,6312.0,6369.0
2021-12-31,1683.0,1510.0,1539.0,1675.0,1905.0,1380.0,1834.0,1555.0,2018.0,1465.0,1636.0,1380.0,1394.0,1949.0,1339.0,1774.0,1393.0,1913.0,1894.0,1939.0,1418.0,1953.0,2093.0,1490.0,2045.0,1624.0,1255.0,1856.0,1604.0,1710.0,1706.0,1345.0,1723.0,1683.0,1509.0,1505.0,2138.0,1867.0,1717.0,1354.0,1438.0,1841.0,1610.0,1400.0,1444.0,1572.0,1613.0,1984.0,1606.0,1429.0,1284.0,1463.0,1712.0,1547.0,1251.0,1525.0,1366.0,1361.0,1691.0,1303.0,1721.0,1629.0,1548.0,1605.0,1845.0,1797.0,1293.0,1570.0,2024.0,1436.0,1418.0,1637.0,1911.0,1491.0,1488.0,1277.0,1533.0,1664.0,1832.0,1814.0,1808.0,1446.0,1251.0,1538.0,1409.0,1549.0,1360.0,1415.0,1691.0,1477.0,1588.0,1764.0,1641.0,2166.0,1370.0,1509.0,2014.0,1505.0
2022-12-31,3584.0,4068.0,4071.0,3584.0,3954.0,3949.0,3946.0,3512.0,4145.0,4067.0,3519.0,4068.0,4077.0,3955.0,3951.0,3990.0,3934.0,2490.0,4080.0,3600.0,4091.0,4095.0,3330.0,3976.0,2644.0,3524.0,3525.0,3584.0,3873.0,3956.0,5415.0,3949.0,3584.0,3949.0,3584.0,3945.0,3518.0,3524.0,3584.0,3954.0,3589.0,4067.0,2513.0,3949.0,3954.0,4085.0,2506.0,2600.0,3879.0,4142.0,4091.0,3993.0,2625.0,2937.0,3879.0,4145.0,3880.0,3877.0,2933.0,3976.0,2712.0,2513.0,3210.0,2821.0,4141.0,2653.0,4091.0,3880.0,3580.0,3672.0,3950.0,3599.0,2230.0,4068.0,4090.0,4143.0,4069.0,3525.0,4137.0,2586.0,3598.0,4068.0,3952.0,3879.0,4092.0,4017.0,3985.0,3879.0,2634.0,3986.0,3517.0,4019.0,2746.0,3875.0,4092.0,3961.0,3877.0,4141.0
2023-12-31,1692.0,1754.0,1765.0,1582.0,1715.0,1815.0,1803.0,1659.0,2703.0,1665.0,1735.0,1957.0,1743.0,1747.0,1475.0,1708.0,1757.0,2135.0,1693.0,2200.0,2768.0,2766.0,2153.0,1601.0,2059.0,1783.0,1606.0,1864.0,1637.0,1668.0,1735.0,1497.0,1820.0,1649.0,1416.0,1570.0,1948.0,1811.0,1820.0,1454.0,1854.0,1838.0,1899.0,1918.0,2740.0,2753.0,1697.0,1668.0,2711.0,1475.0,1857.0,1519.0,1727.0,1674.0,1467.0,1536.0,2711.0,1715.0,1613.0,1536.0,1853.0,1563.0,1578.0,1456.0,1934.0,1737.0,2637.0,1630.0,2062.0,1503.0,1507.0,1680.0,1768.0,1570.0,1560.0,1782.0,1609.0,1752.0,1923.0,1878.0,1842.0,1503.0,1447.0,1430.0,1457.0,1646.0,1449.0,1564.0,1730.0,1524.0,1589.0,1902.0,1736.0,2709.0,1458.0,1592.0,2709.0,1603.0
2024-12-31,5091.0,5091.0,5116.0,5091.0,5078.0,5076.0,5076.0,5126.0,5148.0,5091.0,5132.0,5091.0,5133.0,5076.0,5075.0,5082.0,5125.0,3762.0,5127.0,3832.0,5134.0,5110.0,3612.0,5093.0,3801.0,5136.0,3820.0,5091.0,5081.0,5077.0,7394.0,5078.0,5090.0,5077.0,5090.0,5082.0,5127.0,5139.0,5091.0,5076.0,5076.0,5091.0,4743.0,5076.0,5078.0,5126.0,2592.0,4222.0,5078.0,5147.0,5120.0,5082.0,2652.0,4292.0,5081.0,5147.0,5080.0,5082.0,4264.0,5080.0,5096.0,3231.0,4278.0,4322.0,5137.0,2707.0,5109.0,5080.0,3827.0,5109.0,5078.0,4981.0,3101.0,5091.0,5128.0,5146.0,5103.0,5104.0,5145.0,3870.0,5145.0,5091.0,5078.0,5083.0,5119.0,5119.0,5081.0,5079.0,2582.0,5081.0,5102.0,5134.0,3900.0,5080.0,5120.0,5075.0,5080.0,5153.0
2025-12-31,1548.0,1199.0,1116.0,1527.0,1431.0,1108.0,1356.0,1265.0,1169.0,1178.0,1313.0,1121.0,1177.0,1457.0,1178.0,1307.0,1224.0,1570.0,1358.0,1474.0,1048.0,1117.0,1340.0,1318.0,1429.0,1262.0,907.6,1393.0,1272.0,1263.0,1598.0,1145.0,1593.0,1234.0,1350.0,1299.0,1475.0,1651.0,1576.0,1181.0,1141.0,1384.0,1487.0,1113.0,1038.0,1086.0,1317.0,1306.0,1190.0,1290.0,1179.0,1313.0,1290.0,1033.0,1131.0,1357.0,1123.0,1102.0,1297.0,1185.0,1533.0,1087.0,1440.0,920.7,1326.0,1248.0,1150.0,1410.0,1321.0,1246.0,1257.0,1510.0,1321.0,1320.0,1319.0,1082.0,1364.0,1490.0,1314.0,1205.0,1697.0,1281.0,1193.0,1219.0,1246.0,1366.0,1199.0,1292.0,1224.0,1315.0,1406.0,1233.0,1092.0,1102.0,1072.0,1357.0,1627.0,1320.0
2026-12-31,1367.0,1125.0,1281.0,1368.0,1320.0,1214.0,1261.0,1344.0,1432.0,1106.0,1340.0,1012.0,1318.0,1340.0,1011.0,1293.0,1304.0,1480.0,1298.0,1371.0,1351.0,1518.0,1287.0,1277.0,1276.0,1095.0,1796.0,1219.0,1299.0,1226.0,1420.0,1074.0,1367.0,1303.0,1278.0,1118.0,1292.0,1209.0,1314.0,921.7,1219.0,1275.0,1043.0,981.8,1073.0,1231.0,1191.0,1571.0,1088.0,1244.0,1037.0,1151.0,1373.0,1369.0,1266.0,1151.0,1214.0,931.5,1380.0,1283.0,1226.0,1234.0,1203.0,1661.0,1395.0,1261.0,992.5,1105.0,1614.0,1138.0,1065.0,1246.0,1440.0,1152.0,1147.0,933.6,1196.0,1231.0,1386.0,1617.0,1117.0,1118.0,1273.0,1285.0,1096.0,1205.0,1010.0,1134.0,1314.0,1170.0,1173.0,1348.0,1455.0,1571.0,939.1,1221.0,1467.0,1225.0
2027-12-31,1338.0,2954.0,2742.0,1347.0,2077.0,2780.0,2024.0,2051.0,2953.0,2033.0,1963.0,2968.0,2643.0,2026.0,1850.0,2027.0,2461.0,2000.0,2029.0,2007.0,2948.0,2954.0,1992.0,2038.0,2191.0,1921.0,2019.0,2017.0,2265.0,1864.0,1374.0,1779.0,1324.0,2253.0,1285.0,2010.0,2039.0,1290.0,1312.0,2916.0,2527.0,2029.0,1785.0,2915.0,2915.0,2943.0,1939.0,1986.0,2880.0,1984.0,2949.0,2060.0,1982.0,1939.0,2869.0,2006.0,2887.0,2881.0,1939.0,2825.0,2066.0,1990.0,2018.0,1732.0,2249.0,2594.0,2955.0,1543.0,1848.0,2084.0,2026.0,2098.0,1937.0,2012.0,1971.0,2952.0,2045.0,1665.0,2122.0,1886.0,1711.0,2036.0,2586.0,2157.0,1669.0,2075.0,1897.0,2027.0,1986.0,2057.0,1992.0,1983.0,1817.0,2881.0,2283.0,3201.0,1637.0,2046.0
2028-12-31,1376.0,1869.0,1921.0,1352.0,1879.0,1882.0,1898.0,1981.0,2446.0,1777.0,1987.0,1889.0,1973.0,1880.0,1291.0,1908.0,1948.0,1885.0,1923.0,2021.0,2595.0,2403.0,1890.0,1942.0,1790.0,1293.0,2082.0,1934.0,1957.0,1876.0,1398.0,1223.0,1347.0,1958.0,1278.0,1219.0,1957.0,1270.0,1344.0,1229.0,1918.0,1947.0,1284.0,1687.0,1874.0,1895.0,1346.0,2140.0,1328.0,1637.0,1197.0,1194.0,1429.0,2008.0,1943.0,1257.0,1671.0,1887.0,1999.0,1934.0,1212.0,1508.0,1266.0,2181.0,1570.0,2508.0,1208.0,1235.0,1933.0,1139.0,1220.0,1257.0,1334.0,1216.0,1190.0,1227.0,1218.0,1295.0,1567.0,2208.0,1239.0,1193.0,1932.0,1942.0,1212.0,1204.0,1288.0,1205.0,1468.0,1208.0,1325.0,1577.0,2066.0,2430.0,1420.0,1108.0,1536.0,1236.0
