date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,2013.0,1767.0,2153.0,1991.0,1838.0,1635.0,1872.0,1764.0,3087.0,1652.0,1919.0,1634.0,1891.0,1882.0,1619.0,1835.0,1886.0,2363.0,1920.0,2093.0,2410.0,3213.0,2048.0,1565.0,1962.0,1920.0,1755.0,1917.0,1774.0,1742.0,1997.0,1586.0,1975.0,1730.0,1941.0,1738.0,2040.0,1548.0,1964.0,1622.0,1909.0,1826.0,1521.0,1926.0,2213.0,2375.0,1760.0,2439.0,2351.0,1649.0,1933.0,1478.0,1967.0,2272.0,1732.0,1554.0,2224.0,2050.0,2295.0,1818.0,1630.0,1961.0,1546.0,2104.0,2086.0,2439.0,2265.0,1356.0,2349.0,1382.0,1371.0,1341.0,2326.0,1553.0,1750.0,1920.0,1413.0,1563.0,2082.0,2403.0,1600.0,1571.0,1699.0,1698.0,1646.0,1457.0,1695.0,1590.0,1922.0,1448.0,1616.0,2039.0,2062.0,3341.0,1448.0,1400.0,2355.0,1393.0
2021-12-31,5026.0,5108.0,4876.0,5105.0,4955.0,5108.0,5104.0,5117.0,5199.0,5092.0,4303.0,5105.0,4929.0,5125.0,4871.0,5121.0,4664.0,3236.0,5179.0,3274.0,3256.0,5161.0,4296.0,4481.0,3681.0,5068.0,4164.0,5071.0,4749.0,5114.0,7365.0,5116.0,4294.0,4985.0,5080.0,4550.0,4094.0,4174.0,4272.0,5120.0,4719.0,5091.0,4294.0,5118.0,5118.0,5174.0,2701.0,3187.0,5130.0,5196.0,5172.0,5038.0,3360.0,3539.0,5123.0,5201.0,5134.0,5122.0,3356.0,5063.0,4060.0,2459.0,4091.0,3017.0,4919.0,3377.0,5172.0,4859.0,4246.0,4231.0,5119.0,4249.0,2935.0,5097.0,5174.0,5205.0,5054.0,4623.0,4870.0,2935.0,4311.0,5095.0,5082.0,4804.0,5174.0,4256.0,5100.0,5125.0,3370.0,5070.0,5098.0,4366.0,2787.0,5129.0,4820.0,5076.0,5129.0,4571.0
2022-12-31,1656.0,1660.0,1583.0,1656.0,1658.0,1662.0,1661.0,1678.0,1716.0,1660.0,1700.0,1660.0,1699.0,1660.0,1647.0,1660.0,1672.0,1658.0,1700.0,1713.0,1395.0,1698.0,1215.0,1660.0,1670.0,1700.0,1657.0,1655.0,1652.0,1657.0,1652.0,1662.0,1647.0,1660.0,1648.0,1660.0,1686.0,1706.0,1650.0,1662.0,1662.0,1652.0,1716.0,1662.0,1662.0,1701.0,1680.0,1335.0,1666.0,1719.0,1694.0,1654.0,1791.0,1594.0,1668.0,1718.0,1671.0,1670.0,1571.0,1654.0,1359.0,933.8,1493.0,1291.0,984.8,1797.0,1695.0,1672.0,1755.0,1506.0,1661.0,1473.0,1190.0,1658.0,1700.0,1715.0,1657.0,1678.0,1076.0,1407.0,1713.0,1658.0,1661.0,1667.0,1695.0,1684.0,1648.0,1671.0,1799.0,1650.0,1664.0,1572.0,1395.0,1670.0,1689.0,1649.0,1672.0,1685.0
2023-12-31,1626.0,2419.0,2157.0,1684.0,2255.0,2171.0,2382.0,2206.0,2302.0,2310.0,2247.0,2160.0,2225.0,2346.0,2096.0,2375.0,2168.0,2380.0,2347.0,2431.0,1678.0,2664.0,2414.0,2205.0,2356.0,2407.0,2175.0,2321.0,2217.0,2336.0,1751.0,1842.0,2294.0,2213.0,1686.0,1996.0,2368.0,1796.0,2249.0,1574.0,2377.0,2329.0,1899.0,2097.0,2291.0,2429.0,2201.0,2452.0,2284.0,1804.0,1720.0,1752.0,2308.0,2477.0,2194.0,1814.0,2090.0,2611.0,2387.0,2186.0,1817.0,1896.0,1791.0,2174.0,2292.0,2671.0,1705.0,1745.0,2342.0,1667.0,1697.0,1826.0,2392.0,1751.0,1791.0,1599.0,1780.0,1835.0,2289.0,2343.0,2121.0,1750.0,2184.0,2214.0,1717.0,1749.0,1984.0,1761.0,2309.0,1754.0,1751.0,2320.0,2192.0,2827.0,2017.0,1743.0,1781.0,1906.0
2024-12-31,1321.0,1698.0,1705.0,1326.0,1587.0,1483.0,1597.0,1473.0,2500.0,1590.0,1470.0,2218.0,1573.0,1639.0,1411.0,1584.0,1630.0,1646.0,1535.0,1561.0,1408.0,2434.0,1590.0,1316.0,1568.0,1557.0,1378.0,1573.0,1487.0,1584.0,1384.0,1458.0,1538.0,1518.0,1365.0,1468.0,1545.0,1374.0,1473.0,1430.0,1712.0,1489.0,1550.0,1504.0,2439.0,2336.0,1673.0,1698.0,2457.0,1388.0,1335.0,1388.0,1748.0,1636.0,1513.0,1396.0,2434.0,1633.0,1439.0,1560.0,1436.0,1731.0,1585.0,1536.0,2031.0,1716.0,1663.0,1492.0,1644.0,1445.0,1446.0,1623.0,1649.0,1423.0,1444.0,2398.0,1535.0,1537.0,2015.0,1572.0,1441.0,1380.0,1466.0,1366.0,1384.0,1490.0,1252.0,1503.0,1683.0,1423.0,1384.0,1957.0,1652.0,2454.0,1355.0,1520.0,1765.0,1512.0
2025-12-31,2483.0,5118.0,4223.0,2488.0,3764.0,3746.0,3794.0,3850.0,5754.0,3772.0,3900.0,4373.0,3933.0,3748.0,2587.0,3787.0,3921.0,3826.0,3821.0,3922.0,2923.0,5727.0,3850.0,3613.0,3800.0,2961.0,4171.0,3809.0,3839.0,3747.0,2471.0,2936.0,2471.0,3835.0,2457.0,2996.0,3858.0,2471.0,2472.0,3211.0,4738.0,3779.0,2501.0,3614.0,4561.0,3793.0,2980.0,4371.0,3289.0,3515.0,3073.0,2452.0,3216.0,4247.0,4634.0,2913.0,4516.0,5291.0,4239.0,3708.0,2454.0,3343.0,2555.0,3593.0,3414.0,4714.0,3674.0,2442.0,4446.0,2375.0,2432.0,2531.0,4605.0,2394.0,2490.0,4116.0,2442.0,2458.0,3405.0,4348.0,2481.0,2803.0,3674.0,3831.0,2975.0,2421.0,3613.0,2784.0,3178.0,2401.0,3044.0,3419.0,3626.0,5711.0,2599.0,2351.0,3177.0,2437.0
2026-12-31,5166.0,11950.0,9634.0,4749.0,11460.0,11960.0,10470.0,7079.0,12030.0,9428.0,11840.0,11950.0,12020.0,11920.0,7559.0,9879.0,12000.0,6956.0,10600.0,7137.0,7447.0,12000.0,7020.0,9593.0,6961.0,6968.0,11880.0,7005.0,11950.0,11960.0,4194.0,11960.0,6698.0,11960.0,4932.0,10450.0,7045.0,4210.0,6779.0,11960.0,11960.0,7024.0,8638.0,11960.0,11960.0,12020.0,5228.0,7314.0,11970.0,9692.0,12000.0,11500.0,5411.0,7282.0,11980.0,7082.0,11970.0,11980.0,7253.0,11950.0,7051.0,4400.0,4120.0,4820.0,4251.0,8077.0,12000.0,8497.0,7032.0,11980.0,11960.0,4168.0,7359.0,11600.0,12010.0,12030.0,11380.0,6590.0,4247.0,7354.0,11360.0,11270.0,11960.0,11980.0,12000.0,9136.0,7017.0,11910.0,6205.0,11510.0,7026.0,4253.0,4791.0,11970.0,11990.0,11950.0,6449.0,11820.0
2027-12-31,1599.0,1631.0,1824.0,1611.0,1982.0,1685.0,1879.0,1870.0,2132.0,1780.0,1759.0,1551.0,1736.0,1989.0,1584.0,1821.0,1708.0,2151.0,1977.0,2040.0,1817.0,2115.0,2025.0,1684.0,1600.0,1930.0,2289.0,1857.0,1707.0,1819.0,1673.0,1525.0,1690.0,1710.0,1609.0,1446.0,1726.0,1788.0,1686.0,1528.0,1681.0,2028.0,1636.0,1486.0,1732.0,1865.0,1741.0,2225.0,1638.0,1594.0,1541.0,1512.0,1850.0,1948.0,1634.0,1622.0,1555.0,1546.0,2007.0,1595.0,1664.0,1824.0,1619.0,2057.0,1790.0,2066.0,1567.0,1571.0,2418.0,1466.0,1549.0,1607.0,2158.0,1481.0,1519.0,1537.0,1523.0,1609.0,1775.0,2077.0,1696.0,1484.0,1658.0,1680.0,1554.0,1540.0,1608.0,1547.0,1977.0,1521.0,1548.0,1757.0,1844.0,2094.0,1593.0,1448.0,2114.0,1552.0
2028-12-31,4745.0,4746.0,4785.0,4746.0,4768.0,4769.0,4768.0,4794.0,4830.0,4743.0,4819.0,4743.0,4818.0,4768.0,4769.0,4768.0,4794.0,4761.0,4814.0,4841.0,4817.0,4817.0,4260.0,4757.0,3450.0,4724.0,4819.0,4742.0,4763.0,4766.0,4753.0,4768.0,4743.0,4768.0,4742.0,4767.0,4812.0,4818.0,4747.0,4769.0,4768.0,4744.0,4301.0,4768.0,4768.0,4814.0,3162.0,3923.0,4776.0,4831.0,4809.0,4763.0,3247.0,4300.0,4775.0,4835.0,4776.0,4777.0,4439.0,4762.0,4000.0,3226.0,4824.0,2989.0,4861.0,3267.0,4806.0,4777.0,4766.0,4782.0,4767.0,4776.0,3167.0,4745.0,4815.0,4834.0,4782.0,4795.0,4857.0,3282.0,4834.0,4742.0,4768.0,4778.0,4809.0,4815.0,4763.0,4778.0,3247.0,4752.0,4791.0,4864.0,2967.0,4774.0,4810.0,4759.0,4772.0,4833.0
