,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1326.8000000000002,1242.6999999999998,610.1600000000001,1326.5,1533.1,1192.8000000000002,1345.3999999999999,849.5,712.1200000000001,1324.1,613.7099999999999,1324.1,572.47,1198.3,1439.6000000000001,1325.7,571.51,1554.7,507.51,829.2,642.47,614.7700000000001,548.9599999999999,1070.3,750.0999999999999,789.7,426.3,1574.4999999999998,1334.6,1580.7,1292.1999999999998,1384.6999999999998,2133.7,1345.9,2032.5,837.6,868.5000000000001,739.7300000000001,1920.4,1386.2,653.26,1341.8,858.2,1357.6999999999998,1352.5,496.41,687.11,328.5,552.05,657.01,552.3199999999999,1383.3000000000002,295.20000000000005,418.14,1025.84,686.1999999999999,976.0999999999999,761.09,581.02,1294.1999999999998,623.6,329.01,725.2,312.16,298.48999999999995,331.35,589.85,1408.3000000000002,371.05,533.14,1387.3999999999999,1759.0,709.11,1163.7000000000003,430.15999999999997,633.6400000000001,517.84,515.7299999999999,310.63,319.36999999999995,684.4700000000001,1324.1,1339.1,1064.7,583.62,587.5799999999999,1337.0,1396.4,291.06,1370.0,515.3399999999999,293.78999999999996,328.43,249.25000000000006,506.55,965.3,397.98,629.33
2021,367.82,238.19,414.6,357.64,367.49,264.0,306.38,568.69,415.54,288.51,365.56,268.58,298.52000000000004,216.73000000000002,403.97,296.64,337.15000000000003,355.23,257.46999999999997,448.98999999999995,347.65999999999997,351.77,248.59000000000003,245.91000000000003,542.8,520.91,355.43999999999994,342.3,270.3,373.26,355.12,332.75,1391.6,328.85,1198.9,211.24,604.78,407.15,1054.4,311.13,283.77000000000004,369.88000000000005,453.90999999999997,263.62,255.83999999999997,267.01,290.29,293.88,400.29999999999995,321.16,266.37,251.95000000000002,286.28,353.26,378.53000000000003,331.05,371.98,358.09,354.57000000000005,228.23999999999998,285.64,280.11,419.71999999999997,279.9,261.66999999999996,251.4,285.53999999999996,400.9,316.45,322.55,276.64,408.86,306.22,203.13,246.39000000000001,337.2,292.4,243.44,261.14000000000004,284.07,329.07000000000005,244.07,255.59,384.82,277.34000000000003,259.61,374.15999999999997,363.14,280.38,256.71999999999997,266.63,235.0,280.39,290.64,262.36,312.96,311.62,326.28
2022,357.98,225.28999999999996,356.72999999999996,381.84,411.51,195.09000000000003,267.61,515.2800000000001,352.09000000000003,265.33,335.7,261.25,297.25,215.95000000000002,413.26,276.49,314.35,313.71000000000004,243.44,406.94,305.4,282.28999999999996,240.32,260.45,513.58,436.09,395.08,355.21999999999997,264.76,365.59999999999997,352.23,279.68,1225.4,274.86999999999995,1115.3,314.85,553.49,346.21,777.8,292.99,291.37,359.16999999999996,427.97,225.36,223.64000000000001,249.27999999999997,436.32,261.0,322.54,315.68,233.67000000000002,224.63999999999996,241.98000000000002,295.47,365.91,297.01,373.79999999999995,365.11999999999995,395.26000000000005,236.41,246.64000000000001,282.05,406.78000000000003,252.55,259.85,247.57999999999998,232.29000000000002,381.79,271.14,333.91,247.38,364.65000000000003,272.05999999999995,178.73000000000002,244.6,322.76,251.22000000000003,226.72000000000003,250.10999999999999,278.46999999999997,285.18,219.53,247.79,370.42,236.28000000000003,250.19,371.67,336.74,269.97999999999996,230.86,272.91,214.48,250.32999999999998,311.73,293.71999999999997,131.64,286.43,294.48
2023,403.01,181.79000000000002,284.51000000000005,359.19,357.45000000000005,91.62,244.38,453.14,284.65,252.20000000000002,242.7,222.09,224.17000000000002,146.38,449.73,247.94000000000003,222.40999999999997,289.11999999999995,206.35,306.15,236.21999999999997,219.04999999999998,231.48000000000002,81.9,416.6,382.82,252.25000000000003,301.57000000000005,216.75,358.59000000000003,367.40999999999997,254.12,943.0999999999999,230.01999999999998,955.8,68.666,465.69000000000005,276.96000000000004,525.33,254.42000000000002,213.54,410.7699999999999,307.38,191.41,191.65000000000003,213.97,230.74999999999997,243.11,352.9,257.84000000000003,220.59000000000003,191.26,242.13000000000002,239.44,310.8299999999999,262.88,179.66999999999996,311.77,305.51,110.16000000000001,218.95999999999998,208.32999999999998,284.72,251.46999999999997,212.69,283.43,204.18,291.53000000000003,259.72,211.73,209.01,345.02,218.22000000000003,135.59,199.99999999999997,262.05,183.88,191.43,215.69,259.39,235.99,185.4,181.82999999999996,263.97999999999996,202.57000000000002,201.91000000000003,445.5899999999999,250.74000000000004,247.09,206.85,188.62,214.0,251.16,178.26,202.89000000000001,91.25,248.78,256.49
2024,471.96000000000004,343.26,508.82,608.86,552.4300000000001,333.84000000000003,445.96999999999997,656.44,486.93,401.52000000000004,504.76,381.23,464.81000000000006,387.78000000000003,621.4300000000001,403.17,495.76,482.52,312.17,476.41,384.61,382.04999999999995,317.27,366.77000000000004,570.3499999999999,529.77,619.3199999999999,549.93,435.82,597.13,489.34999999999997,468.01,1352.2,476.40999999999997,1340.6,328.54,634.82,462.37,939.0,455.59999999999997,457.33,525.4200000000001,481.86,398.87,412.54,352.89,551.17,299.24000000000007,508.53000000000003,362.46000000000004,343.99999999999994,358.09000000000003,305.27000000000004,429.50000000000006,532.55,352.32000000000005,552.4699999999999,514.32,517.74,450.97,345.97999999999996,315.62,521.26,311.42,299.93,274.15,310.48,523.34,282.87,433.1,429.70000000000005,530.3499999999999,480.11999999999995,356.84,294.40000000000003,368.46,332.2,300.33000000000004,287.78,300.57,400.71000000000004,351.1,400.69999999999993,581.49,313.6,316.25,527.83,503.80000000000007,292.4,369.54,411.0400000000001,268.24,287.16,459.54,444.57000000000005,538.04,322.55999999999995,360.0
2025,589.94,224.26999999999998,319.32,589.25,495.95,189.60000000000002,345.38999999999993,479.83000000000004,336.15999999999997,307.79999999999995,280.52,287.75,255.67000000000002,182.23,621.94,361.78,296.55,355.97,231.16000000000003,377.25,270.53000000000003,252.79999999999998,231.32,119.79000000000002,458.41999999999996,403.59000000000003,377.41999999999996,427.48999999999995,261.55,443.99999999999994,435.41,367.73,1018.6999999999999,303.44,1025.9,128.9,525.3499999999999,314.46,620.5699999999999,323.74,315.24,534.81,383.18,270.82,268.79999999999995,232.0,376.39000000000004,255.52,419.45,306.93000000000006,227.71,222.3,264.97,275.65999999999997,389.22,309.86,287.93,395.72999999999996,287.18,158.06,250.27,245.57,333.56,264.43,255.66,282.28999999999996,226.60999999999996,403.75,292.87,344.84,269.43,417.2,254.43,167.53,213.83,313.61,206.05999999999997,210.39,259.02000000000004,257.53000000000003,284.88,215.63,250.77,392.69000000000005,230.06,228.32,561.03,350.69,248.94,307.98999999999995,210.76,249.95999999999998,280.68,302.79999999999995,250.79,151.65,274.83000000000004,305.97
2026,402.69,233.12,529.89,395.84000000000003,381.08000000000004,252.82,281.65999999999997,531.89,351.05,266.71999999999997,356.21999999999997,261.28,295.03,253.64,425.42,269.41999999999996,391.11,325.81,278.43,408.27000000000004,281.28,268.33000000000004,233.61,336.77,515.62,447.42999999999995,523.02,332.56999999999994,274.88000000000005,404.38,353.66,283.89,1153.9999999999998,288.78000000000003,1150.8999999999999,374.72,561.0,359.91,731.09,306.83,297.06,376.2899999999999,403.97999999999996,248.07999999999998,271.82,263.57,399.85999999999996,256.67,401.83000000000004,292.59000000000003,249.42999999999998,237.84999999999997,227.19000000000003,225.80999999999997,404.05999999999995,303.84,430.51,396.17999999999995,314.08,253.51999999999998,242.4,250.14999999999998,398.35999999999996,256.72999999999996,237.28999999999996,250.25,241.97000000000003,400.38,232.57,576.46,283.69,410.10999999999996,348.45,233.01000000000002,259.08,310.66,405.04,221.73999999999998,239.58999999999997,229.36000000000004,316.74,238.73000000000002,268.27,402.1,238.47,247.5,385.68999999999994,349.09,221.97999999999996,239.04000000000002,292.96,236.29,253.08,202.94,363.11,731.3299999999999,235.61999999999998,489.35
2027,310.99,212.59,362.13999999999993,174.85999999999999,334.22,187.46,264.11,517.19,363.5,257.39,301.09000000000003,243.91000000000003,250.88000000000002,188.32,357.84999999999997,305.03000000000003,300.11,299.16,240.97,430.4,272.78000000000003,292.61,257.49,211.39999999999998,496.55000000000007,462.39,354.49,301.37,237.09,330.56,175.09000000000003,276.45000000000005,1089.0,259.9,1085.6000000000001,120.2,538.8100000000001,378.3,653.98,272.69,289.68,325.86,422.91,227.07999999999998,221.57999999999998,240.43,283.67,258.22999999999996,361.8,289.57,258.06,217.99,253.28,241.45,365.46000000000004,296.32,279.86,359.7800000000001,278.47,197.75,254.77,244.73000000000002,395.05,260.37,245.60999999999999,242.99,249.89999999999998,387.3399999999999,284.09000000000003,300.95,242.36,392.33,275.84000000000003,170.7,238.53000000000003,301.96,254.55,230.11,242.16,262.40000000000003,295.73,210.59,224.49,368.86,258.69,251.69,335.29,345.59000000000003,254.48000000000002,214.84,231.26000000000002,236.33,266.42,268.66,240.12000000000003,225.03,257.73,292.99
2028,1059.5,650.6,496.6,1070.1000000000001,1255.6,568.74,818.4300000000001,644.77,522.27,812.3199999999998,465.03999999999996,809.7,448.88000000000005,574.86,1435.4,817.53,499.42,1012.0,337.96999999999997,550.61,465.01000000000005,425.9,299.56,712.48,607.97,595.08,592.16,1162.6000000000001,879.3999999999999,608.68,1213.8999999999999,836.4,1380.3000000000002,864.6,1426.8000000000002,420.66999999999996,672.2,490.1000000000001,1182.9,830.23,867.6,1302.1000000000001,564.24,686.4899999999999,694.98,328.15999999999997,216.38,293.5,233.93,414.51,374.89,691.01,283.81,196.14999999999998,887.4,414.71999999999997,596.47,894.8,223.23000000000002,741.1999999999999,375.27000000000004,265.63,538.9200000000001,282.89,256.75,264.12,362.39,891.3,210.36,412.87,795.1,895.0699999999999,206.00999999999996,625.6800000000001,288.09000000000003,411.93,371.56,355.40999999999997,249.59,280.59,423.85,633.2800000000001,754.7,871.4,358.62,346.34,1369.7,686.27,281.33,927.4000000000001,407.75,257.54,259.87,213.77999999999997,407.18,543.62,213.19,411.14
