,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1602.1999999999998,1317.8999999999999,2162.3,1619.3000000000002,1626.2,1339.1000000000001,1455.8,1761.3000000000002,1094.9,1317.5,1440.4999999999998,1317.5,1363.8999999999999,1539.6000000000001,2030.3000000000002,1319.4,1558.2,1566.1999999999998,1414.1,1174.6999999999998,919.3,1242.0,693.44,1333.1999999999998,1139.1000000000001,1145.8,2131.8999999999996,1571.8,1711.1999999999998,1668.1000000000001,1799.4,1378.6,2274.8,1304.8999999999999,2252.1,1319.3,1735.8999999999999,1406.3999999999999,1958.5999999999997,1380.4,1343.8,1761.9,1168.0,1365.4,1349.4,1363.2,1658.0,443.09000000000003,1410.7,1103.9,1337.4999999999998,1647.2,479.25,1676.1999999999998,1406.4,1046.8,1452.3000000000002,1526.1999999999998,1166.1999999999998,1688.3,1524.2,446.54,1857.5,363.11999999999995,377.71,496.02,1387.6,1356.9000000000003,1032.9,2547.6,1336.5,2476.6,1591.4,1270.9,1249.1999999999998,1100.8,1635.4,1496.0,337.84000000000003,479.21000000000004,1058.6,1270.9,1333.2,1697.4999999999998,1204.2,1504.6,1951.0,1357.4,468.6000000000001,2103.1,1521.6,433.89000000000004,486.17999999999995,1404.3,1396.1000000000001,2208.7,1390.3,1267.1
2021,1307.7,1367.5,1485.6,1307.7,1489.6000000000001,1338.1,1343.3000000000002,1643.6,943.9,1367.5,1159.3000000000002,1367.5,1131.3,1344.4,1589.2,1368.9,1409.6000000000001,1488.3,1156.1999999999998,948.8,1133.8999999999999,1068.4,466.03000000000003,1333.5,1414.8,1223.1999999999998,2188.8999999999996,1462.2,1557.8999999999999,1455.6,1600.8,1431.3000000000002,1935.5,1345.6,1931.1,1334.2999999999997,1454.6,1063.1000000000001,1709.0,1395.4999999999998,1341.8999999999999,1547.7,882.6999999999999,1405.0,1406.5,1181.0,1452.0,310.42,1454.1,929.5,1145.3999999999999,1624.8999999999999,383.23,2149.7000000000003,1456.1000000000001,910.3999999999999,1421.6,1410.1000000000001,872.2,1660.6000000000001,1167.1000000000001,331.28,1101.6,316.13,340.47,387.22999999999996,1142.3,1387.9,501.38,1759.6,1333.3999999999999,1969.0999999999997,1004.6999999999999,1307.7,1078.8,948.8000000000001,1520.6000000000001,1326.1000000000001,323.59000000000003,308.89000000000004,928.6999999999999,1307.7,1342.8000000000002,1457.8,1087.4999999999998,1027.3,1609.1999999999998,1388.2,384.62,1628.4,1421.6,352.03,315.35,1397.5000000000002,1177.8000000000002,2051.0,499.48,984.3000000000001
2022,2769.1000000000004,2728.4,2424.5,2674.1999999999994,2976.0,2330.3,2016.1999999999998,2206.2,1887.1000000000001,3039.5000000000005,1499.2,3051.6,1991.3999999999996,2541.4,2882.2999999999997,2726.0,2084.9,2131.2,1996.8,1895.3000000000002,2705.9,2139.7999999999997,895.5000000000001,2762.1,1325.2,1281.2,2208.5,2357.0,2976.7,2961.9,2321.2,2871.2,2895.5,2506.2,2970.4,2809.4000000000005,1976.9,1971.3000000000002,2749.1,2942.8999999999996,2703.2,3014.1,1300.8999999999999,2526.1000000000004,2770.2999999999997,1841.3,3228.5,1110.8,2988.4,1832.7000000000003,2088.7000000000003,2887.5,1822.3999999999999,1547.2,2352.9,1859.7000000000003,2795.4,2766.9,2942.8,3018.4999999999995,1648.3000000000002,2314.9,1378.0,572.35,1291.0,1347.0,1096.1,2719.1,2263.0,2343.6,2803.6,2571.7999999999997,1590.8,2741.9,1853.3000000000002,1879.0,1356.8000000000002,2163.1,938.6899999999999,1054.97,1074.6000000000001,2816.8,2479.1000000000004,2393.7999999999997,2148.1,2107.1,3018.3999999999996,2605.9,1774.2,3017.3,2245.2999999999997,1299.1000000000001,1149.1999999999998,2296.3,2140.9,1456.5,3077.2999999999997,1869.3000000000002
2023,1433.7000000000003,1446.8,1302.4,1444.8,1663.8000000000002,1467.2,1477.1,1441.4,911.8999999999999,1454.9,1024.0,1448.7,1021.2,1477.0000000000002,1942.5,1441.8999999999999,1260.4,1671.1,1048.8000000000002,906.6,603.34,1029.3,555.8499999999999,1471.3000000000002,835.0,818.5999999999999,811.6,1574.2999999999997,1774.9,1658.4,1781.6000000000001,1473.5,1962.3999999999999,1491.6999999999998,1961.2999999999997,1323.8,1610.8999999999999,966.51,1903.0000000000002,1467.0,1400.9,1849.9,749.3,1477.1,1459.9,985.8,741.63,386.77,770.7900000000001,897.3000000000001,1043.8999999999999,1788.6999999999998,340.83,678.58,1552.6000000000001,872.21,1086.3100000000002,1187.0,750.03,1816.0,1161.0,389.68,739.0199999999999,359.24,377.09000000000003,477.7900000000001,1043.3999999999999,1545.4,459.73999999999995,916.4,1470.5,1273.3,852.3000000000001,1441.6,854.02,899.5,975.8000000000001,1103.7,371.46,379.55000000000007,761.0999999999999,1452.8000000000002,1477.6000000000001,1541.7,1034.9,1151.8,1896.8,1595.6000000000001,415.43999999999994,1691.6999999999998,1049.5,373.33000000000004,415.82000000000005,607.99,1069.6,1394.0000000000002,671.72,1016.0000000000001
2024,1019.0,540.11,491.81,1014.0,1113.1999999999998,528.64,681.4200000000001,666.3,620.57,748.8100000000001,556.08,682.68,504.28,544.97,1193.3,757.6699999999998,496.42,908.8,399.43000000000006,633.37,503.59999999999997,533.51,430.33000000000004,636.1600000000001,653.9200000000001,673.71,586.4599999999999,1042.7,753.7800000000001,485.46999999999997,997.9000000000001,843.4,1681.8,797.9300000000001,1496.3,476.38999999999993,696.7800000000001,577.25,1335.1,813.4,775.9100000000001,1089.6,638.55,570.5,538.0,376.14,318.84999999999997,338.2,522.79,495.93000000000006,432.02,554.07,356.68,279.53999999999996,803.0,500.65,667.47,746.95,329.39,650.43,443.81,314.49,584.96,321.58,348.40999999999997,327.01000000000005,441.48,789.2,302.18,447.92,663.92,803.6,261.44,407.15000000000003,327.76,512.04,413.41,420.26,330.19999999999993,373.70000000000005,510.2,568.3199999999999,656.13,830.2,413.19,434.34000000000003,1136.6999999999998,605.07,332.2,821.3900000000001,411.28000000000003,354.99999999999994,342.94000000000005,242.86999999999998,471.78,602.33,357.29999999999995,474.14
2025,354.74,186.40999999999997,279.96,359.58,226.11,149.74,225.17999999999998,447.13,314.70000000000005,232.09,259.77000000000004,216.71999999999997,244.73,152.78,410.27000000000004,246.90999999999997,241.7,231.79,227.26,328.58000000000004,256.31,238.01999999999998,232.85000000000002,178.45,424.34,373.00999999999993,292.55,309.52,208.98000000000002,218.95999999999998,189.22,241.17999999999998,939.4000000000001,229.78,932.0999999999999,72.004,468.88,274.56,562.5500000000001,245.42000000000002,216.68,404.53,335.66999999999996,192.49,190.26,226.95,204.44,248.76,236.86,291.44,223.65,191.23999999999998,233.7,195.28000000000003,269.33,294.23,232.71999999999997,275.84000000000003,200.10999999999999,166.35,226.16,231.85000000000002,310.71000000000004,246.48000000000002,237.01,239.88,219.74,281.11,204.39999999999998,225.42999999999995,211.92,286.46999999999997,196.82,144.59,211.38,289.10999999999996,196.97000000000003,204.01,233.88,261.84999999999997,257.08,183.71999999999997,192.37,258.59000000000003,222.76,227.87,392.86,293.69,238.82999999999998,214.72,203.12000000000003,242.42999999999998,248.28999999999996,193.91,222.21,114.92,205.49999999999997,288.3
2026,453.75,299.43,375.34000000000003,413.12,801.5,342.43999999999994,481.40999999999997,510.7900000000001,363.82,488.49,310.34,437.20000000000005,264.11,344.43,1047.9999999999998,496.35,319.78,481.63,242.29000000000002,379.65999999999997,326.9,278.39,251.94,398.78999999999996,466.06999999999994,444.72,297.61,644.3,547.31,814.8000000000001,421.85,508.50000000000006,418.85,478.90999999999997,1200.4,186.45000000000002,527.65,324.99,1021.5,502.25,425.31,1003.9999999999999,388.55,351.37000000000006,372.48,242.81,346.96999999999997,248.58000000000004,422.98,292.93,234.63,426.31,234.30000000000004,263.63,467.65000000000003,296.36,336.6700000000001,350.19000000000005,239.72000000000003,378.8,248.33,240.08999999999997,338.21000000000004,256.21000000000004,227.95000000000002,221.52,237.57000000000002,530.79,242.87,254.07000000000002,398.7,524.9,209.64999999999998,281.45,215.39,293.90000000000003,219.70000000000002,214.73000000000002,225.38000000000002,257.16,278.69,368.78999999999996,372.71,448.8399999999999,235.28,243.49,1023.8999999999999,416.14000000000004,236.95000000000002,693.4300000000001,217.84000000000003,216.61,246.44,364.09,224.93999999999997,244.96999999999997,260.02,290.98
2027,477.95000000000005,421.13,358.43,438.0,467.77,222.89000000000001,476.28999999999996,526.72,374.47,540.42,342.07,538.66,293.13,223.61,972.2,570.42,329.83,373.10999999999996,219.32,420.06999999999994,349.67999999999995,291.51,252.41,293.06,490.0899999999999,479.32,438.03000000000003,743.58,489.78000000000003,501.11,557.67,568.45,1005.8999999999999,520.35,1128.4,126.17,543.9200000000001,371.56000000000006,831.9,578.1500000000001,566.33,539.39,437.16999999999996,364.85,363.03999999999996,224.30999999999997,558.4,253.46999999999997,341.39,306.76000000000005,234.54999999999995,340.14,252.35999999999999,231.15,520.36,316.01,244.57,520.1099999999999,256.62,183.34,254.54,248.36,386.53999999999996,250.72000000000003,230.45000000000002,236.83,246.44,537.86,262.87,309.68,430.28,589.78,232.32000000000002,260.61,221.7,305.98,238.67,207.76,240.97999999999996,256.07,306.76,360.33,418.62,539.1899999999999,223.20000000000002,236.89999999999998,959.9,390.57,241.3,600.21,264.33000000000004,240.75,243.26,250.74,281.09000000000003,247.62000000000003,241.05999999999997,303.62
2028,138.33,185.93,285.33,138.04999999999998,333.15,143.75,223.49,444.85999999999996,286.20000000000005,224.71,263.69,219.91,245.17000000000002,142.33,377.33,237.20999999999998,255.84999999999997,267.5,202.97999999999996,322.36,250.60999999999999,227.61,207.62,176.76999999999998,446.18,387.31999999999994,351.78,283.15,214.71,329.49,138.22,235.11,144.02,226.42000000000002,363.13,105.61,494.9,271.95,138.15,239.38,240.17000000000002,370.79,339.46,183.5,180.58999999999997,207.21999999999997,318.73,228.48999999999998,309.44,261.5,204.04,187.41000000000003,213.70999999999998,216.99,328.67,269.38,297.94999999999993,331.97999999999996,237.06999999999996,142.98,211.4,220.12999999999997,297.06,231.97,205.10000000000005,220.74,204.56,338.93,255.07000000000002,274.07,211.85000000000002,342.90000000000003,199.37,142.13000000000002,193.17,262.12,184.66999999999996,190.77,210.56,236.82,250.67000000000002,180.78,198.57999999999998,335.41999999999996,207.73000000000002,230.86999999999995,370.86,299.93,227.49999999999997,191.23999999999998,203.31,206.60000000000002,223.0,243.18,237.16,109.51999999999998,241.17000000000002,267.22999999999996
