date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,4986.0,4986.0,5026.0,4986.0,4992.0,4993.0,4992.0,5032.0,5084.0,4986.0,5064.0,4986.0,5065.0,4994.0,4993.0,4986.0,5033.0,4996.0,5072.0,5084.0,3159.0,5060.0,5059.0,4986.0,5034.0,5060.0,4246.0,4986.0,4986.0,4993.0,4986.0,4996.0,4986.0,4991.0,4986.0,4986.0,5051.0,5075.0,4986.0,4996.0,4989.0,4986.0,5084.0,4995.0,4993.0,5067.0,3937.0,3334.0,5001.0,5086.0,5056.0,4986.0,4076.0,3151.0,5005.0,5082.0,5005.0,5005.0,3156.0,4986.0,5059.0,3711.0,5005.0,2765.0,5092.0,4087.0,5065.0,5001.0,3777.0,4014.0,4997.0,4950.0,3106.0,4986.0,5064.0,5086.0,5022.0,5041.0,5062.0,3587.0,5077.0,4986.0,4996.0,4998.0,5054.0,5065.0,4986.0,5001.0,4070.0,4986.0,5019.0,4521.0,2814.0,5005.0,5055.0,4993.0,5001.0,5084.0
2021-12-31,5801.0,5801.0,5841.0,5801.0,5686.0,5686.0,5688.0,5842.0,5893.0,5801.0,5871.0,5801.0,5872.0,5684.0,5687.0,5722.0,5851.0,5688.0,5870.0,5893.0,5872.0,5867.0,4507.0,5803.0,4222.0,5773.0,4169.0,5800.0,5718.0,5691.0,5801.0,5689.0,5801.0,5688.0,5805.0,5728.0,5862.0,5874.0,5801.0,5686.0,5687.0,5805.0,5888.0,5687.0,5688.0,5872.0,3447.0,4040.0,5608.0,5892.0,5863.0,5729.0,3726.0,3964.0,5607.0,5894.0,5609.0,5605.0,3492.0,5712.0,5865.0,3730.0,5881.0,2777.0,5946.0,3731.0,5861.0,5610.0,5609.0,5836.0,5687.0,5608.0,3090.0,5801.0,5880.0,5894.0,5836.0,5857.0,5948.0,5785.0,5893.0,5801.0,5685.0,5607.0,5868.0,5864.0,5714.0,5610.0,3725.0,5715.0,5835.0,5951.0,3662.0,5608.0,5868.0,5695.0,5605.0,5888.0
2022-12-31,3802.0,3798.0,3723.0,3800.0,3786.0,3793.0,3789.0,3702.0,3770.0,3803.0,3769.0,3802.0,3776.0,3783.0,3776.0,3795.0,3750.0,3779.0,3761.0,3767.0,3751.0,3790.0,3562.0,3787.0,3118.0,3927.0,2869.0,3797.0,3777.0,3781.0,3777.0,3791.0,3772.0,3791.0,3778.0,3794.0,3750.0,3773.0,3774.0,3798.0,3784.0,3794.0,3769.0,3792.0,3785.0,3762.0,2645.0,3257.0,3777.0,3770.0,3790.0,3777.0,2752.0,2650.0,3778.0,3750.0,3786.0,3779.0,2748.0,3775.0,3790.0,2540.0,3753.0,2028.0,3824.0,2765.0,3793.0,3780.0,3772.0,3730.0,3791.0,3779.0,2572.0,3797.0,3770.0,3771.0,3733.0,3774.0,3826.0,3829.0,3768.0,3797.0,3786.0,3784.0,3790.0,3795.0,3776.0,3777.0,2762.0,3771.0,3727.0,3839.0,2211.0,3774.0,3775.0,3766.0,3785.0,3769.0
2023-12-31,2954.0,2953.0,2442.0,2955.0,2942.0,2958.0,2960.0,2970.0,3061.0,2954.0,3034.0,2956.0,3035.0,2960.0,2935.0,2953.0,3010.0,2942.0,3042.0,3050.0,3031.0,3027.0,2359.0,2953.0,2309.0,1798.0,2727.0,2938.0,2921.0,2943.0,2932.0,2960.0,2914.0,2956.0,2914.0,2955.0,3006.0,3034.0,2923.0,2959.0,2956.0,2933.0,1525.0,2958.0,2957.0,3034.0,1827.0,2405.0,2966.0,3062.0,3025.0,2930.0,3068.0,2234.0,2967.0,3061.0,2969.0,2971.0,2532.0,2926.0,2482.0,1542.0,2566.0,2251.0,1952.0,3099.0,3024.0,2973.0,2209.0,2558.0,2958.0,2490.0,2062.0,2953.0,3045.0,3063.0,2974.0,3001.0,1841.0,2319.0,3050.0,2954.0,2961.0,2955.0,3026.0,3017.0,2930.0,2980.0,3091.0,2921.0,2979.0,1565.0,2270.0,2751.0,3026.0,2918.0,2158.0,3047.0
2024-12-31,1518.0,1404.0,1338.0,1536.0,1714.0,1609.0,1666.0,1754.0,1550.0,1724.0,1373.0,1515.0,1311.0,1755.0,1209.0,1707.0,1319.0,1863.0,1802.0,1685.0,1239.0,1622.0,1738.0,1693.0,1784.0,1443.0,1086.0,1678.0,1319.0,1633.0,1590.0,1268.0,1570.0,1324.0,1462.0,1384.0,1835.0,1514.0,1539.0,1172.0,1234.0,1744.0,1284.0,1564.0,1513.0,1577.0,1196.0,1263.0,1317.0,1638.0,1335.0,1350.0,1477.0,1131.0,1249.0,1368.0,1433.0,1233.0,1311.0,1281.0,1530.0,1317.0,1490.0,1407.0,1563.0,1492.0,1306.0,1345.0,1555.0,1345.0,1307.0,1507.0,1517.0,1424.0,1383.0,1239.0,1436.0,1478.0,1545.0,1075.0,1483.0,1473.0,1351.0,1251.0,1351.0,1471.0,1211.0,1416.0,1350.0,1343.0,1695.0,1518.0,1209.0,1632.0,1351.0,1382.0,1577.0,1429.0
2025-12-31,1301.0,957.8,1258.0,1292.0,1366.0,1381.0,1352.0,1469.0,1139.0,1206.0,1119.0,1023.0,1179.0,1411.0,965.6,1141.0,1220.0,1338.0,1480.0,1322.0,1068.0,1534.0,1415.0,1437.0,1064.0,1221.0,652.2,989.6,1089.0,1412.0,1361.0,1179.0,1227.0,1055.0,1176.0,1162.0,1041.0,1124.0,1158.0,796.9,983.1,1488.0,1010.0,1042.0,1006.0,1363.0,710.8,951.7,939.8,1237.0,1172.0,1139.0,796.7,610.1,1021.0,1190.0,1108.0,857.5,1224.0,1123.0,1195.0,788.8,1241.0,975.8,1056.0,611.7,1084.0,998.6,895.8,1207.0,1027.0,1160.0,1133.0,1293.0,1218.0,1059.0,1208.0,1198.0,1039.0,992.8,961.8,1201.0,1114.0,901.5,1156.0,1251.0,988.2,1073.0,756.9,1124.0,1382.0,989.5,950.8,1382.0,1133.0,1178.0,993.6,1243.0
2026-12-31,1208.0,1857.0,1725.0,1203.0,1521.0,1598.0,1520.0,1542.0,1979.0,1506.0,1350.0,1474.0,1573.0,1539.0,964.8,1624.0,1665.0,1549.0,1580.0,1420.0,1820.0,2912.0,1543.0,1601.0,1482.0,1122.0,1777.0,1567.0,1352.0,1620.0,1262.0,1151.0,1215.0,1321.0,1116.0,1568.0,1042.0,1067.0,1179.0,996.5,1879.0,1633.0,999.6,1103.0,1478.0,1536.0,1509.0,1717.0,1130.0,1458.0,1166.0,1548.0,1695.0,1461.0,1382.0,1430.0,1353.0,1538.0,1508.0,1518.0,1134.0,1541.0,1192.0,1526.0,1669.0,2005.0,1163.0,1069.0,1796.0,1269.0,1085.0,1168.0,1796.0,1592.0,1554.0,1055.0,1613.0,1150.0,1647.0,1585.0,1152.0,1644.0,1437.0,1160.0,1092.0,1412.0,1194.0,1373.0,1648.0,1523.0,1515.0,1604.0,1543.0,1557.0,1456.0,1434.0,1586.0,1373.0
2027-12-31,1238.0,1718.0,1813.0,1238.0,1308.0,1381.0,1443.0,1354.0,2132.0,1328.0,1512.0,1732.0,1561.0,1412.0,1114.0,1455.0,1569.0,1452.0,1305.0,1464.0,1294.0,2108.0,1603.0,1219.0,1413.0,1447.0,1276.0,1402.0,1509.0,1425.0,1237.0,1462.0,1212.0,1490.0,1217.0,1400.0,1338.0,1107.0,1203.0,1383.0,1588.0,1367.0,1122.0,1362.0,1957.0,1742.0,1854.0,1915.0,1651.0,1379.0,1355.0,1263.0,1975.0,1784.0,1721.0,1349.0,1780.0,1606.0,1846.0,1708.0,1414.0,1923.0,1397.0,1853.0,1937.0,1934.0,1363.0,1304.0,1850.0,1191.0,1350.0,1420.0,1851.0,1367.0,1479.0,2064.0,1367.0,1472.0,1938.0,1816.0,1659.0,1301.0,1476.0,1401.0,1386.0,1379.0,1332.0,1401.0,1806.0,1286.0,1350.0,1943.0,1939.0,2167.0,1653.0,1427.0,1877.0,1372.0
2028-12-31,931.5,917.3,799.3,925.3,918.5,854.6,877.8,870.0,1002.0,955.3,739.4,829.2,719.6,1014.0,659.8,808.2,718.5,1004.0,889.7,818.8,589.7,986.9,842.7,978.4,769.6,802.9,608.8,766.6,799.4,864.6,962.0,908.3,934.6,815.5,844.1,1035.0,778.0,716.4,899.9,914.0,717.5,877.2,574.9,891.3,813.2,899.5,823.7,1124.0,995.8,840.3,794.4,942.4,1013.0,917.0,763.3,937.2,883.3,565.7,1243.0,655.0,878.4,858.7,841.7,1028.0,1019.0,1040.0,798.8,836.4,1426.0,1054.0,880.8,902.6,941.6,1009.0,985.4,845.4,950.9,960.1,1026.0,998.1,870.7,990.2,829.6,826.1,902.7,857.0,729.3,915.2,1052.0,932.7,952.9,1024.0,924.1,1225.0,642.2,1046.0,1190.0,840.2
