,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1256.0,1074.1,1070.1,1267.3999999999999,979.9000000000001,858.3,874.6,1266.9,605.7600000000001,1126.9,1064.8999999999999,1063.7,1009.8999999999999,882.9,1165.3999999999999,1001.3,882.7099999999999,1198.3000000000002,742.0,1059.1000000000001,654.1700000000001,584.86,579.75,1258.8000000000002,975.8000000000001,879.1,1182.6000000000001,988.3000000000001,913.7,881.0,989.6,1185.8,2041.7999999999997,1154.5,2030.1,1057.8,1407.1999999999998,1038.9,1658.5,1187.3,1324.1,1057.2,1030.8,970.5999999999999,831.7,493.49000000000007,695.3,289.06,685.28,799.0,889.0,1132.5,319.03999999999996,567.73,1393.8,859.7,734.63,1257.3999999999999,543.02,1332.1,1170.1,316.48999999999995,981.0,324.68999999999994,323.57000000000005,301.63,646.19,1200.6,488.38,764.39,1190.0,1821.5,1032.4,1089.3,647.4799999999999,787.0,842.53,878.1,349.92,326.18,881.2,1126.9,1186.7,1267.1,937.0,1002.5999999999999,1226.7000000000003,994.5,339.15,1128.2,885.7,311.63,298.31,524.62,1135.2,1165.5,667.69,840.6999999999999
2021,738.92,388.71000000000004,481.8299999999999,807.1999999999999,651.6500000000001,312.49,475.29999999999995,677.03,479.50999999999993,525.4200000000001,458.89000000000004,456.2800000000001,426.62,294.59000000000003,1153.7,522.54,479.39,492.8,308.17,568.99,392.75,417.81,318.43000000000006,384.22,661.35,620.94,570.6,649.32,564.32,670.12,1005.1,583.6700000000001,1598.2,462.4,1484.7999999999997,297.95,708.0200000000001,525.9,1293.8,553.2,592.25,877.2,574.1800000000001,382.96000000000004,357.26,302.87999999999994,861.7,318.03999999999996,526.22,427.56000000000006,368.61,495.40000000000003,287.98,793.98,572.73,438.30999999999995,420.97,578.1199999999999,455.43,430.42999999999995,424.86,316.82,575.57,300.33000000000004,280.13,279.44000000000005,332.5,545.3299999999999,374.34,429.14,470.40000000000003,604.21,737.98,303.52,276.9,445.51000000000005,375.41,390.48,284.63,318.5,442.1,400.26,435.98999999999995,690.14,358.65000000000003,371.69,1085.9,408.3499999999999,307.6,924.7999999999998,389.18000000000006,290.68,298.76000000000005,416.34999999999997,368.51000000000005,547.01,337.63,432.51
2022,1203.8999999999999,1225.1,703.89,1233.1,1237.2,873.0500000000001,981.5,698.78,730.17,948.4000000000001,596.6500000000001,1330.8999999999999,662.3000000000001,953.9300000000001,1683.3,954.1,629.3899999999999,1327.6000000000001,448.95000000000005,625.6899999999999,515.0999999999999,754.51,425.98,752.3,668.41,653.5799999999999,786.91,1333.6000000000001,1431.2,1256.3999999999999,1483.5,1328.6,1844.3999999999999,1384.5,1725.4,830.1999999999999,765.3000000000001,570.1399999999999,1711.3999999999999,1390.0,1381.6,1556.1999999999998,629.8499999999999,1198.6000000000001,1204.3999999999999,470.41,527.7699999999999,296.38,618.63,481.46000000000004,566.95,1231.8,309.71000000000004,495.09,1124.1,504.72999999999996,845.6999999999999,1396.1,618.95,1026.0,467.19000000000005,317.84000000000003,638.52,286.38,286.18,420.2099999999999,527.5799999999999,1003.2,276.95,509.13000000000005,1244.7,1053.6999999999998,538.92,869.29,425.58,657.46,428.14,423.89,311.94,335.33000000000004,522.07,1171.6,1299.0,1150.0,527.07,423.06000000000006,1606.2,1153.1000000000001,309.93,1215.6,506.54999999999995,317.67,321.54,615.86,721.45,819.2,288.65,493.73999999999995
2023,320.55,194.66,314.74,329.36,328.1700000000001,150.17000000000002,252.08999999999997,494.05,341.11,233.45,275.06,226.63,248.58,150.15999999999997,368.91999999999996,240.43999999999997,294.32,267.87,237.84999999999997,369.12,255.83999999999997,248.62,235.10000000000002,186.41,448.46,412.81999999999994,382.99,300.24,214.46,293.81,332.23,248.65,1043.8,229.24,1036.6,108.8,524.11,311.33,602.0400000000001,247.26999999999998,237.36,347.64000000000004,357.42,191.3,188.68,231.34999999999997,229.01,252.27000000000004,353.65999999999997,290.34,231.26000000000002,197.17000000000002,247.95000000000005,229.04,345.96,298.27000000000004,265.48,352.38,231.53,138.94,228.99,248.65,355.41999999999996,254.01999999999998,254.42999999999998,259.95,225.92,336.73999999999995,258.88,431.5,210.82,365.83000000000004,214.95,152.52,218.25,294.39,209.40000000000003,212.10000000000002,243.14999999999998,277.42,297.12,190.76999999999998,201.66,350.93999999999994,251.12000000000003,231.6,364.48,259.20000000000005,248.85,199.14000000000001,212.89999999999998,243.23000000000002,279.02,245.80999999999997,233.70999999999998,142.5,218.20000000000002,286.21999999999997
2024,404.5299999999999,311.79,467.81,438.81999999999994,434.09,280.90999999999997,350.87,632.14,503.82,351.33000000000004,471.01,339.65999999999997,408.07000000000005,280.96,467.8,357.74,433.08000000000004,401.37999999999994,331.15999999999997,529.28,438.96,427.42,307.75,310.53,578.98,599.87,527.6800000000001,435.16999999999996,331.57,459.30999999999995,413.51,367.99,1369.4,348.77,1365.7,272.82,674.3499999999999,494.4100000000001,928.9999999999999,367.16999999999996,351.77,442.39,543.5899999999999,317.86,314.70000000000005,324.38,430.92,276.59000000000003,402.28,399.20000000000005,371.19,316.48,265.29,459.1,431.31,400.17,400.36,394.41999999999996,361.09000000000003,297.01,365.17,308.8,524.75,278.54999999999995,255.21999999999997,279.14000000000004,358.13000000000005,469.4799999999999,401.68,408.35,336.12,475.71,340.79,298.12,277.1,405.54,348.69,358.23,265.33,268.75,427.34999999999997,309.90999999999997,352.27,459.23999999999995,348.4,353.93000000000006,453.0,433.94999999999993,277.82,318.46000000000004,395.66999999999996,259.39,272.21,344.39,372.62999999999994,524.95,349.73,422.9
2025,1193.1,831.1,547.7,1185.5,1055.1,609.93,833.0999999999999,661.53,531.88,921.0,559.83,894.8,523.83,604.01,1547.4999999999998,890.9000000000001,516.1,967.0,362.08,615.13,432.19,452.31000000000006,355.4,621.45,644.62,633.8700000000001,614.11,1114.8000000000002,1243.8000000000002,1074.6,786.26,982.0000000000001,1635.6,1040.8,1677.8,925.2,697.03,537.28,1504.5,952.8,1083.8,1233.8000000000002,590.8299999999999,823.2,833.8699999999999,309.8299999999999,1117.6,290.17,905.6,468.28000000000003,453.77000000000004,1067.9,259.27,953.9,1020.0000000000001,464.33,669.2799999999999,966.1999999999999,765.78,991.5,442.6600000000001,265.01,610.44,294.28,282.35,270.02,437.22,939.8,659.78,447.36,877.2,1049.8,446.05,834.4,327.15,504.57000000000005,408.13,413.08000000000004,263.88,280.3299999999999,511.15999999999997,832.0,939.6,1159.5,462.47,395.5,1536.0,906.1999999999999,269.36,1135.1999999999998,450.03999999999996,260.78000000000003,284.31,847.39,551.92,583.57,498.05,463.37
2026,866.1100000000001,649.75,464.29,454.36,1061.2,530.84,690.08,589.3100000000001,441.64,649.05,425.31,671.98,404.42999999999995,530.52,1279.7,654.5699999999999,461.9599999999999,854.0,286.08000000000004,516.24,337.7,368.35,254.97000000000003,664.96,572.78,549.68,521.95,927.8,896.3,1089.2,605.88,670.4100000000001,783.8000000000001,755.4099999999999,1359.0,540.3199999999999,619.01,402.51,1165.0,669.91,738.68,1200.5,505.57,566.89,653.1,281.7,663.09,297.06,774.68,339.81,289.66,651.9499999999999,259.94,452.58000000000004,735.89,342.91,762.43,734.9599999999998,465.39,716.9599999999999,316.96,284.6,493.66,296.29999999999995,254.8,297.53999999999996,275.74,694.19,509.92999999999995,408.06999999999994,595.89,656.8100000000001,365.09000000000003,396.6600000000001,243.35000000000002,390.89000000000004,324.63,288.96999999999997,267.96,316.06,368.2,550.9100000000001,642.8800000000001,772.77,304.47999999999996,297.07,1255.2,506.01,268.26,790.8,310.36,278.74,317.00000000000006,521.59,343.43,441.04,503.05000000000007,336.78000000000003
2027,578.73,352.15,479.65999999999997,595.38,516.39,417.96000000000004,351.0,591.13,464.15000000000003,358.85,426.78999999999996,405.1700000000001,400.71999999999997,280.76,690.7700000000001,358.91,464.82000000000005,405.48999999999995,294.73999999999995,490.35999999999996,373.98,362.26,272.54,288.7,540.29,524.1099999999999,645.36,409.25,362.46,465.16999999999996,353.58,379.94999999999993,1172.3,382.53999999999996,1174.8,267.94,621.3900000000001,422.69000000000005,805.1,364.57,392.85999999999996,612.52,476.40000000000003,402.68,360.19,316.42,532.21,272.65,539.24,333.56,351.54,272.71000000000004,266.09000000000003,841.2,457.64,338.05,501.15000000000003,498.84000000000003,375.85,364.41,314.17,266.65,454.16,274.33,250.07999999999998,265.81,324.26,413.17999999999995,297.98,479.5,342.07,427.65999999999997,441.85,267.68,266.1,380.9,284.27,288.56,270.05999999999995,265.59000000000003,340.3,271.61,315.3,434.33,273.85,294.96,658.1800000000001,349.64000000000004,273.66999999999996,377.02000000000004,358.77,264.02,258.92,429.4,378.61,317.18,268.25,353.92
2028,298.37,176.88,351.83,299.92,279.18000000000006,157.01999999999998,221.48000000000002,468.93,320.0799999999999,217.9,277.76,208.82999999999998,255.43999999999997,170.15,332.69,220.55,311.52,269.49,228.69,362.73,237.3,230.29999999999998,209.16999999999996,192.97,431.65999999999997,377.64,593.31,290.59,218.06,316.19000000000005,228.83,231.4,968.1,226.48000000000002,979.3,253.35,501.94000000000005,295.65999999999997,187.15000000000003,235.8,233.70000000000002,312.37,327.78000000000003,199.71,182.95999999999998,210.82,280.15999999999997,234.29999999999998,279.26,269.03,217.04000000000002,181.72,229.79999999999998,200.87,307.43,274.33000000000004,316.78,273.09000000000003,231.10999999999999,197.94,233.15,246.31,331.38,244.29999999999998,214.17999999999998,247.4,211.99,290.32000000000005,203.5,428.34,213.53,280.64,239.88,166.12,223.69000000000003,271.59999999999997,193.04,195.63,221.40999999999997,257.23,272.86,174.67,197.92000000000002,273.52000000000004,217.9,220.84000000000003,324.4599999999999,246.68,239.58000000000004,177.29000000000002,231.8,227.34,235.18,238.73,296.03999999999996,116.39,206.85,402.13
