,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1286.3999999999999,1288.6000000000001,1866.2,1287.8,891.4000000000001,1153.2,1107.6000000000001,1049.2,1063.8,1288.5,867.9,1288.5,806.9,1355.7,1060.7,1290.3,785.5,871.5999999999999,1412.0,977.6,648.1700000000001,1201.3,554.0,1289.1000000000001,991.5,942.8999999999999,1857.8000000000002,1028.9,922.3000000000001,1080.3999999999999,906.2,1346.4,2028.6,1101.1000000000001,2085.6,1290.1,1041.1,816.7,1654.3,1355.0,1508.2,999.4000000000001,931.0,1321.1000000000001,1325.8999999999999,565.79,684.9399999999999,318.75,1228.5,730.9,1332.5,1203.9999999999998,363.50999999999993,975.96,1225.1999999999998,781.4,1422.3000000000002,1222.9,838.3400000000001,1453.0,801.7,402.7,888.9,311.64,301.01,379.93,766.8,1166.0,527.92,1085.6000000000001,1152.9,2033.0,1075.2,1089.1999999999998,1238.3000000000002,1079.2,656.67,634.7600000000001,297.14,347.15999999999997,795.1999999999999,1089.1999999999998,1149.4,1429.4,1189.0,681.5300000000001,1015.0,1166.5,359.52,1304.0,650.5600000000001,308.02,420.57,1221.0,1279.4,1541.1000000000001,566.13,713.9499999999999
2021,838.4,432.59000000000003,615.98,917.0,738.27,446.09999999999997,492.01000000000005,632.1899999999999,477.1700000000001,527.49,447.0,560.77,436.13,451.53999999999996,900.2,529.23,490.46000000000004,516.6800000000001,387.51000000000005,523.44,435.88000000000005,374.58000000000004,283.75,635.54,602.6999999999999,551.86,1708.8,656.95,503.24,752.26,745.86,580.82,1353.4,519.38,1360.4,682.8199999999999,651.94,450.61,947.4000000000001,579.6800000000001,589.0699999999999,870.8,514.8100000000001,440.89,441.63,384.48,794.1,286.13,634.0699999999999,390.17,376.36999999999995,414.93,292.49,497.67,586.47,379.98999999999995,583.03,532.7,756.1000000000001,515.7,354.3,294.83000000000004,520.04,302.84,297.82,268.35999999999996,308.92,504.89,450.63000000000005,577.6600000000001,402.95000000000005,601.91,491.1700000000001,434.69999999999993,341.75,405.06,354.73,319.89,289.55,296.53000000000003,398.72999999999996,434.65,459.40999999999997,591.5400000000001,334.07,310.03999999999996,908.1999999999998,530.39,282.37,537.48,402.41999999999996,295.77,285.38,607.66,459.1,996.9,432.75999999999993,591.63
2022,474.11,252.29999999999998,483.43000000000006,469.2799999999999,467.37000000000006,253.2,318.87,562.9100000000001,427.56,307.60999999999996,404.3299999999999,292.79,366.61,248.54000000000002,556.29,309.45000000000005,418.9,388.14000000000004,295.91,487.0000000000001,352.59,322.59000000000003,266.17999999999995,715.32,541.18,494.94000000000005,1405.8000000000002,386.98,309.43,482.4200000000001,488.31000000000006,323.71000000000004,1222.5,323.11,1193.1000000000001,355.23,599.54,401.54,812.6,314.22999999999996,321.77000000000004,498.87000000000006,464.30999999999995,280.7,276.43999999999994,307.73,510.00000000000006,289.35,431.79,322.56,279.3,260.65,291.19,490.44999999999993,411.21000000000004,334.42,401.16999999999996,416.15,460.06999999999994,278.5,323.05,281.51,455.16,279.4,280.28000000000003,276.08,291.11,417.92999999999995,375.07,579.66,299.54,438.26000000000005,401.72,241.72999999999996,297.14000000000004,331.7,396.65000000000003,351.52000000000004,274.05,279.4,350.1,248.51999999999998,296.77000000000004,419.38,284.09,282.94,490.06000000000006,389.6,274.15999999999997,266.42,370.07000000000005,287.13,321.78000000000003,365.17,408.81000000000006,311.90999999999997,347.43,520.82
2023,440.72999999999996,262.24,470.38999999999993,392.67,427.06000000000006,250.86,330.47,546.98,393.21,304.84000000000003,395.04,302.72,322.33,249.46,476.66,323.95,403.46999999999997,382.61,263.2,461.98,318.88,298.74,252.48000000000002,549.15,556.98,493.23,1410.3,372.13,330.02,437.35,406.31,338.09000000000003,1199.3999999999999,316.78000000000003,1195.8999999999999,355.82000000000005,582.0200000000001,394.15,821.5999999999999,355.66,346.80000000000007,435.89000000000004,429.95,264.03000000000003,259.99,265.42,491.12999999999994,268.87,453.69,308.91,270.23,266.71,276.09000000000003,359.69,431.0,314.83000000000004,413.27,426.27,446.15000000000003,289.15000000000003,463.43999999999994,289.85,463.57,276.22999999999996,284.78,271.71999999999997,249.24,426.96,382.00000000000006,530.49,288.67,461.91999999999996,449.40000000000003,254.34,263.49,313.74,379.77,296.4,266.53999999999996,288.89000000000004,351.93000000000006,259.09999999999997,281.34,434.90000000000003,267.89,403.67,431.55,396.62,284.59999999999997,297.22,322.76,255.79,301.48,382.62000000000006,378.87,581.49,351.94000000000005,507.95
2024,474.02,367.79,1206.1,438.35,396.01000000000005,386.06,385.21,685.1600000000001,505.3599999999999,379.45000000000005,504.85999999999996,371.62,455.37,376.07,510.90999999999997,380.28999999999996,580.03,354.31,414.15,574.38,428.48,432.41,311.88,395.44,616.22,562.98,1578.9,418.15,362.78999999999996,429.27,415.4200000000001,387.7,1439.3,385.21,1437.3000000000002,380.77000000000004,763.6,505.3,1007.9000000000001,401.66999999999996,379.69000000000005,460.59999999999997,562.5,368.25,375.77,440.21000000000004,608.01,309.96999999999997,474.46999999999997,484.66999999999996,428.15000000000003,351.99,298.7,355.88,464.9,471.95000000000005,424.35999999999996,533.26,477.24,463.92999999999995,572.95,271.21,751.2,307.40999999999997,304.79,258.93,390.93999999999994,530.51,426.95,1084.4,386.07,1392.9,456.9599999999999,367.78000000000003,379.07,488.15,607.24,506.24000000000007,278.28000000000003,280.97999999999996,498.64,367.77000000000004,378.74999999999994,464.8300000000001,400.75,502.54,474.26,531.01,295.4,428.85,536.48,273.02,287.20000000000005,532.49,474.63,1120.3000000000002,333.99,671.8199999999999
2025,415.75,296.36,493.99,448.49,430.77,283.72999999999996,332.86,641.46,435.81,345.86,465.92999999999995,327.88,432.49999999999994,281.33000000000004,482.33,342.13,506.46000000000004,395.66,298.01000000000005,517.14,340.62,357.43,278.95,311.21000000000004,591.2900000000001,562.1899999999999,1040.6999999999998,399.52,347.54,446.5400000000001,408.43,362.54,1353.1,391.96999999999997,1337.8,293.9,683.17,463.42999999999995,920.6999999999999,384.33,393.72,407.89,512.43,331.8,321.73,290.14,513.57,290.98999999999995,381.01,366.65,343.53,307.42,283.2,546.6299999999999,429.99,395.76,344.82,484.52,382.46,337.80999999999995,369.87,304.5,529.85,279.94,272.77,291.21,308.27,423.78999999999996,334.10999999999996,573.16,350.5899999999999,468.37999999999994,455.27000000000004,281.01,284.34,394.12,456.25,337.16,268.89,307.23,414.0200000000001,294.77,360.41999999999996,451.73,337.96999999999997,391.78,451.14,417.94,286.45,379.17,407.79,281.23999999999995,291.52,353.08000000000004,457.78999999999996,705.6899999999999,319.18,583.6000000000001
2026,443.27,286.33000000000004,441.25,462.03999999999996,476.96999999999997,245.13999999999996,349.54,559.0,424.69,328.52000000000004,404.02,321.71000000000004,367.90999999999997,267.38000000000005,483.43000000000006,333.49,434.78,430.34999999999997,260.58,466.0,330.28999999999996,330.81,249.38,272.75,537.44,526.62,841.5999999999999,437.49,317.3,500.41,436.52,358.55999999999995,1316.1,377.1,1210.6999999999998,254.84999999999997,587.6600000000001,412.40999999999997,890.1999999999999,350.96999999999997,397.12,464.98,485.1600000000001,279.53999999999996,299.2,266.69,641.79,290.33,474.01,354.81,297.30999999999995,278.10999999999996,273.06,505.34000000000003,456.06000000000006,341.59999999999997,402.97,459.34,447.68,291.18,332.83,314.57000000000005,456.69000000000005,293.76,277.78,299.91,250.31,448.14,367.06,488.53999999999996,351.30999999999995,468.63,453.4599999999999,251.25,259.53999999999996,331.21000000000004,289.13,270.53999999999996,260.36,321.71000000000004,333.34,279.24,339.12,454.92,262.87,278.59000000000003,433.78,394.25,281.26,322.90999999999997,322.84,269.70000000000005,328.71,407.48,363.68999999999994,350.71,365.89,328.74
2027,308.59000000000003,226.07999999999998,534.74,312.61,341.67,247.74999999999997,271.05,530.36,358.88,255.02,357.18,248.72,314.96,245.1,352.3,256.92,401.94,306.66999999999996,266.63000000000005,410.18,277.55,269.37,238.02999999999997,273.09,497.2199999999999,437.39,1522.6,304.39,263.22,347.93,313.84,268.51,1095.8,272.89,1093.3,270.85999999999996,553.42,359.92,664.8199999999999,289.13,288.28,322.51000000000005,407.53999999999996,249.85000000000002,240.76,282.88,384.69000000000005,263.46,392.64,320.0,261.43,230.48999999999995,264.88,319.71000000000004,382.29,296.51,335.62,384.12,380.02,242.04,259.23,282.41999999999996,422.25,259.26,247.69000000000003,263.52000000000004,246.34,383.12,289.24,560.0999999999999,260.84000000000003,408.51,319.64,224.75,260.29,300.3999999999999,408.48,356.28,245.23,265.67,327.78,225.03,246.62,367.59,247.64,364.27000000000004,337.85,374.39,261.68,239.78,390.86,206.92999999999998,261.69,318.98999999999995,339.88,733.02,239.60000000000002,469.2
2028,750.45,538.15,729.9,776.68,663.36,518.76,482.8499999999999,664.0,454.27000000000004,478.44000000000005,489.79,465.01,428.73,476.22,811.4,479.63000000000005,533.77,459.85,434.86,533.03,400.26000000000005,387.3,309.97,590.4399999999999,591.42,545.17,1510.0,543.92,495.65999999999997,573.0100000000001,693.78,517.33,1336.4,524.39,1328.7,563.25,658.2800000000001,473.66999999999996,943.5999999999999,509.43000000000006,602.27,749.76,520.46,555.44,545.72,420.68,866.6400000000001,269.19000000000005,539.72,430.85,428.71999999999997,366.28999999999996,293.85,851.4999999999999,600.0699999999999,438.88,442.6700000000001,530.49,545.5600000000001,463.98,582.39,253.74,533.96,300.27,282.03000000000003,302.07,376.78,601.54,434.51,1103.7,463.86999999999995,844.3,378.88,460.92999999999995,367.56000000000006,440.9,535.8,495.16,269.74,285.92999999999995,434.10999999999996,460.91999999999996,511.45,625.3599999999999,385.96000000000004,535.5,802.5000000000001,593.84,295.23,514.5,524.3299999999999,287.95000000000005,286.25,599.2199999999999,486.71000000000004,458.62000000000006,310.36,651.35
