date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,1522.0,1522.0,1257.0,1522.0,1532.0,1532.0,1532.0,1467.0,1701.0,1522.0,1459.0,1522.0,1456.0,1532.0,1532.0,1523.0,1453.0,1920.0,1461.0,1975.0,1636.0,1705.0,1965.0,1522.0,1728.0,1483.0,1469.0,1522.0,1522.0,1531.0,1528.0,1531.0,1522.0,1536.0,1522.0,1523.0,1664.0,1762.0,1531.0,1530.0,1532.0,1522.0,1777.0,1536.0,1536.0,1463.0,1485.0,1625.0,1543.0,1430.0,1477.0,1522.0,1636.0,1326.0,1543.0,1520.0,1542.0,1542.0,1431.0,1523.0,1806.0,1477.0,1587.0,1352.0,1773.0,1507.0,1464.0,1544.0,1813.0,1465.0,1531.0,1580.0,1881.0,1522.0,1487.0,1430.0,1559.0,1662.0,1737.0,1813.0,1804.0,1522.0,1531.0,1544.0,1467.0,1615.0,1522.0,1544.0,1626.0,1522.0,1549.0,1659.0,1342.0,1687.0,1469.0,1531.0,1902.0,1612.0
2021-12-31,2040.0,2478.0,2325.0,2036.0,2484.0,2028.0,2083.0,2160.0,2439.0,2063.0,2196.0,2188.0,2186.0,2484.0,2084.0,2057.0,2172.0,2125.0,2532.0,2248.0,2299.0,2528.0,2201.0,2312.0,1784.0,2122.0,2339.0,2108.0,2112.0,2481.0,2021.0,2464.0,2021.0,2109.0,2038.0,2224.0,2157.0,1732.0,2020.0,2484.0,2115.0,2071.0,1925.0,2019.0,2194.0,2077.0,2125.0,2683.0,2048.0,2167.0,2524.0,2482.0,2237.0,2324.0,2502.0,2173.0,2448.0,2135.0,2360.0,2139.0,1956.0,2305.0,1799.0,2541.0,2275.0,2609.0,2105.0,1695.0,2975.0,1589.0,2240.0,1731.0,2504.0,2343.0,2347.0,2561.0,1833.0,1846.0,2269.0,2621.0,1951.0,2474.0,2188.0,2108.0,2483.0,1872.0,2111.0,2111.0,2285.0,2482.0,2139.0,2272.0,2427.0,2501.0,2231.0,2485.0,2287.0,1825.0
2022-12-31,2103.0,1833.0,1925.0,2109.0,1924.0,1846.0,2175.0,2070.0,1967.0,2068.0,1971.0,1960.0,1902.0,2008.0,2003.0,2024.0,1869.0,2062.0,2054.0,1554.0,1642.0,1903.0,1681.0,1442.0,1741.0,2234.0,1622.0,2116.0,1853.0,1948.0,2122.0,1925.0,1535.0,1921.0,2041.0,1532.0,1565.0,1600.0,1497.0,1683.0,1803.0,2056.0,1655.0,2005.0,1967.0,2116.0,1610.0,2160.0,1785.0,1694.0,1715.0,1495.0,1735.0,2064.0,1422.0,1711.0,1648.0,1451.0,2068.0,1429.0,1716.0,1803.0,1634.0,1695.0,2135.0,2080.0,1716.0,1648.0,2066.0,1531.0,1591.0,1589.0,2064.0,1615.0,1698.0,1766.0,1761.0,1867.0,2121.0,2134.0,1924.0,1517.0,1427.0,1715.0,1631.0,1618.0,1781.0,1652.0,1953.0,1535.0,1759.0,2067.0,1898.0,2312.0,1490.0,1586.0,1946.0,1580.0
2023-12-31,1789.0,2275.0,2171.0,1810.0,2210.0,2340.0,2457.0,2009.0,3177.0,2389.0,2199.0,2575.0,2314.0,2262.0,1973.0,2401.0,2283.0,2182.0,2298.0,2241.0,1779.0,3219.0,2207.0,1971.0,2134.0,2576.0,2059.0,2227.0,2086.0,2292.0,1840.0,2243.0,1927.0,2134.0,1746.0,1828.0,2191.0,1858.0,1891.0,2287.0,2335.0,2384.0,1945.0,2725.0,3149.0,3198.0,1711.0,2095.0,3081.0,2185.0,2979.0,1824.0,2182.0,1972.0,2054.0,1929.0,3078.0,2228.0,1953.0,2008.0,2059.0,1766.0,1942.0,1689.0,1768.0,2211.0,3221.0,1949.0,2071.0,1829.0,2053.0,2004.0,2070.0,1890.0,2182.0,2997.0,2055.0,2099.0,1751.0,2010.0,2070.0,2192.0,1951.0,2078.0,2232.0,2099.0,2089.0,2184.0,2185.0,1846.0,1936.0,1715.0,1760.0,3078.0,1665.0,1906.0,1809.0,2022.0
2024-12-31,4430.0,4427.0,4455.0,4428.0,4434.0,4434.0,4434.0,3934.0,4491.0,4429.0,4477.0,4427.0,4476.0,4433.0,4431.0,4428.0,4464.0,2382.0,4472.0,4448.0,2874.0,4473.0,2859.0,4431.0,2409.0,3341.0,3914.0,4423.0,4427.0,4434.0,5929.0,4434.0,4426.0,4434.0,4426.0,4427.0,3749.0,4482.0,4426.0,4439.0,4434.0,4426.0,2445.0,4434.0,4434.0,4474.0,2828.0,2724.0,4443.0,4491.0,4473.0,4427.0,2612.0,3153.0,4449.0,4493.0,4448.0,4444.0,2907.0,4427.0,2604.0,2858.0,3319.0,3338.0,4527.0,2941.0,4475.0,4451.0,3557.0,4453.0,4432.0,4448.0,2833.0,4427.0,4479.0,4491.0,4449.0,4460.0,4526.0,3428.0,4489.0,4427.0,4435.0,4448.0,4471.0,4472.0,4427.0,4444.0,2887.0,4427.0,4447.0,4529.0,2472.0,4449.0,4471.0,4432.0,4442.0,4493.0
2025-12-31,1921.0,1939.0,1829.0,1849.0,1931.0,1811.0,1919.0,2019.0,2458.0,1994.0,1985.0,1894.0,1877.0,1880.0,1796.0,1846.0,1902.0,2594.0,1982.0,2661.0,1790.0,2507.0,2034.0,1731.0,2353.0,2134.0,1642.0,2054.0,1815.0,1867.0,1702.0,1604.0,2091.0,1768.0,1588.0,1778.0,2225.0,1824.0,2098.0,1493.0,1848.0,2043.0,2045.0,1700.0,2377.0,2468.0,1703.0,2035.0,2289.0,1797.0,1661.0,1521.0,1872.0,1582.0,1463.0,1585.0,2292.0,1489.0,1582.0,1660.0,1949.0,1590.0,1855.0,1670.0,1824.0,1898.0,2478.0,1614.0,1747.0,1535.0,1554.0,1629.0,1859.0,1577.0,1708.0,1534.0,1715.0,1766.0,1810.0,1638.0,2001.0,1711.0,1647.0,1570.0,1496.0,1813.0,1657.0,1602.0,1880.0,1536.0,1781.0,1756.0,1553.0,2285.0,1429.0,1564.0,2289.0,1748.0
2026-12-31,1443.0,1403.0,1342.0,1474.0,1457.0,1319.0,1353.0,1421.0,1541.0,1356.0,1274.0,1302.0,1295.0,1398.0,1158.0,1283.0,1312.0,1613.0,1441.0,1620.0,1564.0,1525.0,1527.0,1329.0,1587.0,1283.0,1533.0,1322.0,1284.0,1320.0,1534.0,1153.0,1519.0,1290.0,1401.0,1270.0,1539.0,1539.0,1487.0,1149.0,1317.0,1367.0,1225.0,1314.0,1493.0,1522.0,1389.0,1670.0,1491.0,1329.0,1225.0,1272.0,1661.0,1470.0,1263.0,1357.0,1500.0,1282.0,1502.0,1240.0,1424.0,1429.0,1468.0,1654.0,1544.0,1619.0,1525.0,1320.0,2025.0,1235.0,1211.0,1391.0,1539.0,1280.0,1318.0,1480.0,1348.0,1431.0,1541.0,1676.0,1300.0,1277.0,1323.0,1240.0,1263.0,1408.0,1206.0,1241.0,1614.0,1255.0,1355.0,1507.0,1505.0,1818.0,1209.0,1311.0,1789.0,1368.0
2027-12-31,1334.0,1337.0,1190.0,1347.0,1440.0,1312.0,1316.0,1387.0,1676.0,1082.0,1095.0,1027.0,1081.0,1415.0,1010.0,1242.0,1104.0,1410.0,1450.0,1273.0,918.3,1636.0,1341.0,1370.0,1383.0,1092.0,923.6,1077.0,1080.0,1169.0,1370.0,1124.0,1266.0,1115.0,1244.0,1162.0,1126.0,1202.0,1233.0,1012.0,1156.0,1355.0,955.1,1022.0,1036.0,1414.0,1149.0,1382.0,1094.0,1209.0,1110.0,1151.0,1305.0,1315.0,1047.0,1179.0,1075.0,1122.0,1344.0,1042.0,1150.0,1200.0,1201.0,1282.0,1287.0,1514.0,1064.0,1100.0,1660.0,1093.0,1079.0,1178.0,1495.0,1186.0,1207.0,1045.0,1180.0,1155.0,1286.0,1259.0,1031.0,1134.0,1159.0,1058.0,1134.0,1213.0,973.8,1125.0,1288.0,1132.0,1253.0,1261.0,1293.0,1653.0,1029.0,1160.0,1493.0,1211.0
2028-12-31,1604.0,2745.0,2403.0,1738.0,2178.0,2500.0,2374.0,2316.0,3573.0,2362.0,2229.0,2378.0,2456.0,2294.0,1727.0,2374.0,2467.0,2226.0,2264.0,2153.0,1793.0,3532.0,2393.0,2118.0,2366.0,1851.0,2230.0,2228.0,2146.0,2453.0,1750.0,1965.0,1717.0,2185.0,1672.0,2212.0,2167.0,1638.0,1696.0,1796.0,2537.0,2305.0,1882.0,2499.0,2892.0,2793.0,1509.0,2047.0,3557.0,2331.0,1972.0,2215.0,2096.0,2144.0,2713.0,1957.0,3256.0,2808.0,2140.0,2460.0,1868.0,1868.0,2022.0,2101.0,2214.0,2439.0,1996.0,1829.0,1999.0,1865.0,1883.0,2028.0,2363.0,2190.0,2360.0,2341.0,2026.0,1935.0,2204.0,1799.0,2106.0,2243.0,2244.0,2153.0,1881.0,1946.0,1986.0,2345.0,2100.0,2216.0,2264.0,2210.0,2092.0,3560.0,2150.0,2289.0,1732.0,1937.0
