,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1963.8999999999999,1995.9,2465.1000000000004,2242.3999999999996,2285.8,1972.6000000000001,1828.6,1143.7,1753.8,1928.7,1141.2,1925.8999999999999,1910.1,1949.2,2361.2,1927.3,1880.9,1971.2000000000003,1908.4,1865.1000000000001,733.4,1927.0,694.46,2122.0,1099.5,1218.7,2104.4,2187.4,2619.2,2264.0,2177.9,1993.9999999999998,2810.1000000000004,2203.1000000000004,2794.2,2049.7,1831.8,1930.6000000000001,2684.6,1993.0000000000002,2343.9,2370.0,1216.8000000000002,1976.8,1971.9999999999998,1892.8999999999999,2590.7999999999997,474.91999999999996,2063.6000000000004,1750.8,1977.6,2447.3,625.2,1320.5,2112.1000000000004,1707.1,2059.2,2063.7000000000003,1405.6000000000001,2708.2,1087.5,591.36,1275.8,354.47999999999996,355.25,726.4300000000001,985.4,2053.9,1150.5,2203.1,1998.8999999999999,2312.2999999999997,1700.1000000000001,1933.9,1906.2999999999997,1771.8999999999999,766.5,698.72,412.75,472.33,940.6,1934.0000000000002,2106.1,2517.0,1903.7,948.5,1991.5,2004.3999999999999,492.22999999999996,2821.6,2084.5,431.26,481.37,1756.5000000000002,2082.7999999999997,1271.3,1620.4,1855.8
2021,906.2,689.99,1111.6999999999998,920.3,966.1000000000001,714.49,732.09,811.4,602.89,751.52,585.9300000000001,732.7400000000001,578.9399999999999,715.49,1347.9,748.4200000000001,659.35,792.6,530.27,615.66,501.42999999999995,513.25,355.4,752.86,640.4499999999999,613.33,1862.0,901.7,957.9000000000001,965.5,1127.9,765.11,1576.1,802.71,1576.3,672.8900000000001,911.8,563.63,1329.3000000000002,774.79,813.53,1167.8000000000002,596.2900000000001,600.28,604.86,536.1600000000001,1394.1,334.0,833.7,550.88,519.4,812.1,322.72,1172.8,844.5,548.16,784.79,816.9,610.24,918.0,438.12,311.8,610.34,300.15,306.82,365.24,497.27,803.4,571.57,942.4000000000001,719.35,891.3,928.8,684.69,477.37000000000006,540.27,660.84,591.49,307.15,301.35999999999996,490.38,683.2500000000001,737.62,940.1,489.45,595.22,1284.8999999999999,768.93,327.44,888.4799999999999,613.5699999999999,305.77000000000004,339.56,797.2,561.3599999999999,631.23,419.87,685.2
2022,738.7600000000001,592.31,1176.0,701.06,721.92,656.39,618.6899999999999,739.7900000000001,537.1800000000001,592.1899999999999,551.9200000000001,592.15,531.83,603.12,630.78,594.7,624.78,467.88999999999993,536.21,572.92,440.86,477.79,330.59,578.14,604.13,567.98,1640.7,480.44,491.56,603.94,518.9,605.5600000000001,1353.6999999999998,626.39,1347.3,645.4000000000001,938.4,517.5,967.9,608.17,646.31,584.3599999999999,555.9300000000001,628.07,609.04,523.6700000000001,669.0799999999999,336.87999999999994,747.22,534.14,520.98,534.0,321.0,1218.2,715.98,521.0999999999999,673.23,747.3599999999999,633.73,566.0400000000001,601.8499999999999,318.87,641.72,345.63,312.43,311.72999999999996,495.15,699.14,474.61,1153.8,626.13,1743.2,803.87,592.24,487.2099999999999,540.06,708.81,644.1499999999999,266.20000000000005,321.21,538.81,592.2,628.3199999999999,744.9799999999999,468.78,543.32,632.4900000000001,697.05,283.58,557.23,663.5799999999999,298.92,321.73,733.11,512.89,1095.2,425.15000000000003,639.4699999999999
2023,308.21,230.34,614.5899999999999,314.90999999999997,326.38,227.41,270.11,545.61,391.64000000000004,254.91,385.63,249.24,342.93,224.95,348.8,263.71000000000004,416.30999999999995,289.39,285.19,473.37,311.74,291.59000000000003,257.90000000000003,270.66999999999996,515.72,460.04,681.9,305.68999999999994,262.76,331.27,313.67,271.65000000000003,1142.1000000000001,258.13,1133.5,276.42,570.8599999999999,390.41,711.3000000000001,283.5,282.7,323.11,436.54,239.51000000000002,240.26,279.03999999999996,403.75000000000006,276.82,333.88,333.03,283.33,230.19000000000003,276.05,336.25,332.63,331.58,340.87,311.94,309.23999999999995,247.38,454.31000000000006,288.91,455.15999999999997,278.81,268.7,269.46,261.04,387.55,290.13,503.71999999999997,261.58,495.27000000000004,279.79999999999995,219.18,273.10999999999996,328.91,388.82,337.53,262.90999999999997,289.39,350.57000000000005,224.22,241.71000000000004,308.03999999999996,254.13,403.33,337.25,351.28999999999996,283.08,238.95999999999998,355.4,234.48,278.49,331.86,372.53,658.49,270.45,517.43
2024,539.82,233.42000000000002,393.17,557.32,440.54999999999995,207.81,300.82,532.1,364.04,302.12,306.13,283.12,291.41,205.70000000000002,600.59,304.29,362.87,371.32,253.39999999999998,397.77,268.04,271.07,235.24,250.5,488.17,446.47999999999996,611.4,413.55999999999995,300.46000000000004,345.65999999999997,459.89,317.22,1176.3,326.67,1082.6,222.33,547.62,356.61999999999995,753.8,343.63,342.86,516.88,403.55999999999995,244.45999999999998,233.02,238.41,213.30999999999997,268.21999999999997,292.36,327.65999999999997,244.33,235.35,252.73000000000002,203.74,327.71000000000004,328.03000000000003,279.28999999999996,330.4,207.07,252.16,268.42,271.32000000000005,378.81,267.95,252.0,262.66999999999996,235.26,340.21999999999997,214.4,435.46000000000004,279.16,405.2,198.93,179.74,248.58999999999997,324.38,254.07,227.45999999999998,264.84999999999997,262.99,329.9,231.37,296.12,335.39,254.01999999999998,251.88,567.6700000000001,331.66,264.23,300.96,312.09999999999997,260.18,275.81,192.82999999999998,300.14,196.46999999999997,217.76999999999998,302.53999999999996
2025,740.2199999999999,292.31,380.33000000000004,757.0500000000001,677.81,225.16,382.65,540.6,352.31,416.1,305.18,414.37,279.08000000000004,210.7,773.14,516.98,342.52,545.34,260.88,395.46000000000004,270.41,271.39,241.67999999999998,314.8,478.30999999999995,437.25,436.34000000000003,547.58,392.5,681.72,673.39,439.09000000000003,1089.5,416.56,1095.2,131.6,560.13,349.75,753.74,428.45,407.09000000000003,753.35,364.12,310.23,295.47,237.72,497.39,246.59999999999997,453.77,294.93,245.61,286.65,259.17999999999995,377.83,438.16,306.14,336.75000000000006,430.03000000000003,492.52000000000004,295.02000000000004,256.61,214.14000000000001,361.25000000000006,259.51,241.26000000000002,263.45,245.16,468.65,391.61,284.34000000000003,355.80999999999995,458.21000000000004,270.27000000000004,188.54,227.67999999999998,296.39,239.64,228.78000000000003,245.87,259.11,289.38,294.41,316.29999999999995,438.69,251.88,243.97999999999996,793.24,307.89,257.69,505.99,239.45,246.54,239.08,477.43,264.0,198.33,294.75,289.21000000000004
2026,332.61,218.92999999999995,333.97,339.59,349.11999999999995,177.73999999999998,245.55,502.71000000000004,304.19,256.01,284.81,246.75,264.42,177.72,364.14,284.43,345.16999999999996,301.96,224.59,361.1,250.79,241.62,219.59000000000003,218.48,464.91,423.52000000000004,601.6400000000001,318.49,280.32,336.96999999999997,340.39000000000004,272.43,1079.5,273.93,1082.0,172.07,524.5699999999999,322.04,645.11,269.57,274.74,347.21,352.08,217.79999999999998,210.41000000000003,207.96999999999997,302.55,232.4,301.83000000000004,271.67999999999995,214.73,219.43,223.15000000000003,310.15,347.27,280.19,276.7,323.40999999999997,249.57,191.31,228.65000000000003,242.59000000000003,354.07,240.66000000000003,217.32,239.32000000000002,211.07999999999998,287.36,234.8,387.91999999999996,237.29000000000002,361.12,210.92,166.57999999999998,218.55,278.11000000000007,224.18999999999997,208.35000000000002,220.79,245.28000000000003,283.58000000000004,210.09,236.61999999999998,362.06,220.14,219.94,362.58,305.2,229.17999999999998,236.20999999999998,263.65999999999997,220.13,242.43,281.68,268.45000000000005,227.97,219.43,266.02000000000004
2027,408.96,232.30999999999997,337.07,491.4799999999999,429.68,214.77,302.09,498.06000000000006,339.39000000000004,285.36,293.84000000000003,282.64,264.78,204.48999999999998,541.39,280.47,313.76,356.51000000000005,214.94,376.58,249.99,265.91,236.49,255.21,438.4,401.45000000000005,366.97,349.40000000000003,282.24,430.57000000000005,387.13000000000005,329.94,1004.2,296.73,1007.5,130.29,509.49999999999994,299.75,613.22,324.89,300.35,417.79,379.95,228.77,217.48000000000002,208.17,362.25,240.34,402.2,292.12,237.35000000000002,237.64000000000001,242.55,445.71000000000004,379.06,294.07,385.5,387.49,354.8,228.87999999999997,244.79000000000002,247.08,333.36,246.42999999999998,233.83999999999997,242.36,232.63,359.17999999999995,261.0,282.86,259.9,373.02,330.85,184.9,214.52,293.90999999999997,218.32000000000002,202.44,234.85,262.05,290.35999999999996,222.58999999999997,268.62,395.46999999999997,239.31,220.83,453.78000000000003,322.59,245.38,229.24999999999997,254.4,239.84,274.98,331.94000000000005,226.07,185.63,263.68,287.92
2028,428.28,451.03999999999996,1113.3,468.97999999999996,485.15999999999997,511.98,506.45000000000005,656.05,578.5,496.03000000000003,587.35,451.03999999999996,583.64,476.61,484.5,457.1,636.6100000000001,414.04999999999995,554.1200000000001,588.0300000000001,475.86,514.58,339.07000000000005,475.78000000000003,634.21,594.22,1764.1999999999998,414.17999999999995,398.55,490.56000000000006,429.68999999999994,523.68,1459.7,480.77,1430.1999999999998,447.79,726.8,545.95,1019.5,474.61,590.49,438.67,586.12,522.31,464.76,574.27,578.17,309.37,657.8199999999999,566.4100000000001,545.3399999999999,455.86,288.13,1236.6,659.76,568.12,597.83,625.3100000000001,481.70000000000005,648.51,601.94,306.65999999999997,600.66,318.05,308.62,280.60999999999996,525.0600000000001,655.37,383.10999999999996,1146.1,534.16,446.19000000000005,508.43999999999994,461.4,500.57,559.27,682.69,658.23,304.34,299.42,572.43,467.32,514.98,645.82,498.76,542.52,460.85,617.04,314.14,572.03,667.0300000000001,315.50000000000006,290.54999999999995,655.9799999999999,550.35,1089.3999999999999,394.87,632.86
2029,937.2,641.49,650.5400000000001,955.0,899.1000000000001,645.39,608.1,659.04,486.5,686.81,486.64,672.98,439.19,647.5,1215.0,695.79,513.01,559.34,394.28,542.49,454.62,415.78000000000003,312.54999999999995,797.1600000000001,624.0699999999999,576.19,901.9999999999999,922.8000000000001,777.1,685.55,1100.3,720.45,1414.1000000000001,805.61,1421.1999999999998,792.3799999999999,669.6999999999999,497.03999999999996,1101.7,723.4,770.02,806.1,558.86,653.01,587.02,360.21999999999997,381.67999999999995,283.28000000000003,466.35,381.11999999999995,373.17,581.6399999999999,294.25,291.96000000000004,859.1,402.84000000000003,467.85,800.9999999999999,313.65000000000003,698.7599999999999,385.49,276.37,557.3,305.00000000000006,298.17,282.18,365.88999999999993,878.8999999999999,338.03999999999996,560.9200000000001,659.54,837.3999999999999,390.85,678.16,341.24,417.26,371.01,357.37,304.84,300.64,453.75,682.26,730.3,883.5,340.95,360.53999999999996,1214.1999999999998,596.8199999999999,292.88,852.2,472.34,293.74,277.08000000000004,458.15,478.0400000000001,517.09,354.82,624.7099999999999
2030,588.96,247.45,390.49,615.27,466.29999999999995,404.49000000000007,324.27,548.5,387.34,327.61,348.78000000000003,306.73,296.56,237.89000000000001,542.1800000000001,330.35,366.84000000000003,394.38,250.24,415.01000000000005,283.52,285.11,239.25,302.84999999999997,502.78999999999996,454.88999999999993,473.33,405.30999999999995,326.65999999999997,487.77000000000004,466.5,333.82,1216.6,360.69,1114.0,220.60000000000002,544.9100000000001,345.65999999999997,861.6,347.71999999999997,318.27,483.65,427.09999999999997,345.57000000000005,327.54,289.61,401.29,255.24,436.6,316.70000000000005,241.91,247.35000000000002,257.15999999999997,392.87,401.28000000000003,306.57,429.46999999999997,420.40999999999997,362.69999999999993,250.34999999999997,254.66,280.5,388.58000000000004,280.05,250.76,277.95,258.33,418.24,344.62,438.81000000000006,299.37,424.47,283.5,186.81,228.5,316.1,260.88,219.43,251.85999999999996,274.71999999999997,305.21,246.48,288.36999999999995,485.57,259.36,251.99000000000004,547.13,291.85999999999996,263.20000000000005,314.93,244.7,245.01000000000002,285.3,458.5300000000001,253.13000000000002,223.07999999999998,255.54,307.61
2031,367.14,246.19000000000003,403.13,369.98,370.54999999999995,228.98,289.82000000000005,568.04,383.65,283.24,378.62,275.03000000000003,327.93,231.83,419.7,282.46,414.59,326.83000000000004,262.96999999999997,448.52,296.88,297.77,238.03999999999996,258.92,531.0799999999999,504.89,778.9,366.28,286.37,378.29999999999995,352.72,299.26,1253.8,294.42,1180.2,242.08999999999997,592.85,391.97,824.7,303.00000000000006,302.06999999999994,370.17,427.22,254.91,244.26,260.11,414.51,265.42,411.99,297.44000000000005,286.81,249.80999999999997,252.49,670.97,353.17999999999995,333.9,296.03000000000003,346.31,378.17999999999995,264.88,283.18,295.77000000000004,441.41,268.81,242.67000000000002,251.5,239.64000000000001,341.0,291.9,582.6,270.02,357.98999999999995,405.23,239.28999999999996,250.72,313.59,282.09000000000003,255.21000000000004,264.74,270.17999999999995,317.41999999999996,244.5,271.48,414.17999999999995,247.47,257.40999999999997,375.78000000000003,294.96000000000004,254.22999999999996,268.47,317.95000000000005,273.02,269.67,305.1,370.0,643.88,293.34000000000003,501.66
2032,1218.2,1136.6,691.21,1223.9,1070.1,655.44,1034.3,982.8,657.12,1219.8,661.02,1216.3,597.5,658.5,1427.4,1220.3999999999999,606.03,1135.0,591.26,868.1000000000001,602.37,542.43,516.74,933.94,815.0999999999999,1019.4000000000001,1543.9,1147.6,1128.6000000000001,1131.5,1319.8999999999999,1247.3,2015.8,1012.9,2016.3,867.4,1114.8,1048.8,1625.1999999999998,1246.6,1025.4,1330.6,906.6000000000001,979.9,1037.2,435.3299999999999,893.3500000000001,326.30000000000007,1113.3,790.9,673.2800000000001,1293.5,314.62,807.5999999999999,834.4599999999999,851.3000000000001,758.91,914.8000000000001,959.89,863.26,844.1,361.37,812.6999999999999,317.78,354.18,334.34,828.77,1078.7,643.54,623.6,1266.2,1168.8,946.1000000000001,1193.8,602.83,676.89,710.0799999999999,730.35,349.14,349.81,816.0000000000001,1214.3999999999999,970.7,845.41,786.2999999999998,658.32,1263.5,1006.8499999999999,318.59,1231.1,758.21,316.05999999999995,335.24,692.07,692.5,849.5099999999999,775.84,690.81
2033,423.29999999999995,237.24,365.33,417.13,408.75999999999993,215.26,327.48,516.54,357.09,302.21,300.21,298.07000000000005,281.59999999999997,221.0,491.15,310.26,343.1,376.37,247.48000000000002,401.38000000000005,304.61,267.73999999999995,247.5,245.75,497.64,437.99,465.75,411.73,283.16,462.03,422.45000000000005,327.96,1235.3000000000002,317.21000000000004,1098.3,200.1,555.92,345.25000000000006,839.2,340.73,331.7,457.81,405.05000000000007,256.79,264.08,247.93999999999997,466.08,271.89,430.79999999999995,311.0,247.69,246.57,267.18,559.49,405.38,303.37,409.03000000000003,421.46000000000004,456.46999999999997,239.15,256.75,264.40999999999997,390.42999999999995,263.74999999999994,256.69,272.36,231.12,420.03000000000003,360.93999999999994,376.85999999999996,295.41,434.37999999999994,345.47,189.98,233.98,300.75,242.39999999999998,234.04000000000002,240.72000000000003,285.52,309.54,232.41,269.82,414.49,243.37000000000003,250.47000000000003,437.32,369.64,270.85999999999996,248.48999999999995,241.14999999999998,226.32,289.79999999999995,379.45,249.01999999999998,211.86,350.37000000000006,303.04
2034,520.9200000000001,281.28000000000003,368.1700000000001,617.6700000000001,629.9300000000001,207.0,358.14000000000004,513.6,338.17999999999995,382.53,300.0,343.49000000000007,275.0,253.02,574.44,470.56999999999994,342.21,428.57,240.99,382.77,267.77000000000004,266.19000000000005,236.07,281.75,487.50000000000006,434.48999999999995,417.76,452.47999999999996,357.79,630.48,492.03000000000003,409.34000000000003,1208.1,362.26,1100.8999999999999,131.78,531.4899999999999,344.46000000000004,989.4000000000001,404.45,361.75,495.87,384.81999999999994,285.83,277.9,238.25,438.48,281.40000000000003,443.78999999999996,291.5,237.98000000000002,298.13,246.57999999999998,368.39,436.81,299.29999999999995,284.76,443.92,363.75,174.85,249.08,266.02,377.21999999999997,261.0,242.28000000000003,268.22,232.47000000000003,391.99,335.39,414.78999999999996,313.09000000000003,420.41999999999996,368.45000000000005,191.37,218.85000000000002,300.22,234.65,217.27,247.25000000000003,279.74,296.37000000000006,276.96,301.15000000000003,394.21,242.36,239.84000000000003,524.29,321.38,272.01,293.14,231.32,264.38,267.97999999999996,395.21,244.93,239.59000000000003,344.90000000000003,297.85
2035,560.14,331.56,431.04,654.09,598.3100000000001,274.15,404.12000000000006,582.5999999999999,451.58,465.08,382.04,412.41999999999996,366.57,282.23,740.9499999999999,470.5,429.09999999999997,528.47,253.29,459.4,335.15999999999997,328.63,258.62,378.28999999999996,536.89,523.17,586.5,626.1800000000001,378.26,570.55,590.0,491.61999999999995,1464.1,476.9,1241.8,237.26999999999998,596.4300000000001,425.74,1355.1000000000001,501.35,388.65,645.6899999999999,457.23,308.07,307.16,258.66999999999996,407.27,269.75,458.33,331.20000000000005,306.64,301.43,275.09,360.56999999999994,473.19000000000005,327.86,396.27,466.85,292.93,305.56,319.48,295.16999999999996,451.28,247.20999999999998,273.84999999999997,258.33000000000004,281.34999999999997,477.31,356.29,599.58,352.90000000000003,452.4500000000001,322.09,241.76,254.17000000000002,339.94999999999993,309.96999999999997,279.63,260.72,269.82,341.08,290.06,340.61,556.71,283.45,296.94,596.5400000000001,407.90000000000003,270.67,315.17,336.33,272.81000000000006,307.41,405.8499999999999,323.02,400.97,309.96,324.67
2036,1144.7,808.88,940.7,1168.5,702.6500000000001,647.27,712.4499999999999,762.4000000000001,547.39,877.2,644.03,932.3000000000002,650.97,608.0899999999999,1489.6,886.5,832.5,744.68,453.17,653.13,502.78000000000003,514.46,446.6400000000001,762.0300000000001,716.85,705.1899999999999,664.09,1051.8999999999999,1116.0000000000002,986.5999999999999,1290.4999999999998,945.5999999999999,1991.5,1046.8000000000002,1653.6,963.31,828.3000000000001,594.96,1849.2,1034.8,1011.8,1189.2,667.75,712.73,672.64,388.86999999999995,464.1,295.14,706.64,519.44,553.72,882.9000000000001,312.94999999999993,421.19000000000005,1114.9,535.63,576.15,966.3000000000001,355.85,1145.3999999999999,510.41,301.11,674.49,292.34000000000003,302.92999999999995,312.96999999999997,490.35,919.4999999999999,457.35999999999996,601.1,855.5,973.8,292.20000000000005,816.5,384.69,586.3199999999999,475.5,465.94000000000005,281.05,287.66999999999996,567.4300000000001,807.0,996.8000000000001,1121.8,462.2,460.43,1405.9,741.05,293.08,939.0999999999999,535.38,278.72,288.27,443.73,642.34,1084.9,332.96999999999997,521.64
