date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,1877.0,1873.0,1787.0,1877.0,1718.0,1887.0,1884.0,1752.0,1906.0,1864.0,1734.0,1886.0,1702.0,1890.0,1736.0,1885.0,1716.0,1772.0,1809.0,1766.0,2006.0,1891.0,1614.0,1665.0,1764.0,1872.0,1665.0,1814.0,1710.0,1885.0,1873.0,1890.0,1848.0,1666.0,1872.0,1767.0,1675.0,1702.0,1835.0,1896.0,1761.0,1840.0,1745.0,1887.0,1894.0,1874.0,1910.0,1922.0,1899.0,1891.0,1869.0,1794.0,1845.0,1484.0,1793.0,1834.0,1904.0,1845.0,1511.0,1695.0,1719.0,1406.0,1641.0,1635.0,1632.0,1872.0,1870.0,1798.0,1850.0,1595.0,1872.0,1655.0,1671.0,1857.0,1890.0,1895.0,1817.0,1821.0,1603.0,1849.0,1886.0,1854.0,1716.0,1757.0,1884.0,1658.0,1783.0,1899.0,1853.0,1817.0,1783.0,1538.0,1561.0,1682.0,1714.0,1887.0,1900.0,1634.0
2021-12-31,1838.0,3353.0,2528.0,1835.0,1709.0,3355.0,2439.0,2642.0,3187.0,2380.0,2652.0,3346.0,2665.0,2512.0,1796.0,2378.0,2649.0,2010.0,2608.0,2707.0,2132.0,3403.0,2603.0,2583.0,2691.0,2172.0,2770.0,2465.0,2603.0,2251.0,1816.0,2622.0,1798.0,2602.0,1807.0,2541.0,2125.0,1566.0,1787.0,2484.0,2615.0,2355.0,1954.0,3356.0,3354.0,3411.0,1750.0,2583.0,3002.0,2622.0,3296.0,2565.0,1888.0,2473.0,3044.0,2346.0,3360.0,3367.0,2599.0,2580.0,2252.0,1859.0,1772.0,2117.0,1939.0,2840.0,3396.0,1746.0,2462.0,1987.0,2302.0,2505.0,2374.0,2562.0,2560.0,3425.0,2423.0,1748.0,1927.0,2661.0,1797.0,2566.0,2601.0,2690.0,2098.0,1963.0,1870.0,2551.0,1818.0,2550.0,2585.0,1868.0,2117.0,2653.0,2538.0,2506.0,2133.0,2514.0
2022-12-31,2878.0,3999.0,3229.0,2886.0,4017.0,2895.0,2530.0,2568.0,4055.0,2874.0,2955.0,3992.0,3564.0,4018.0,2486.0,3526.0,3184.0,2491.0,4047.0,2500.0,3003.0,4045.0,2943.0,3999.0,2540.0,2588.0,4058.0,2517.0,4001.0,4008.0,2871.0,3922.0,2357.0,4015.0,3360.0,3355.0,2525.0,1965.0,2348.0,4005.0,3519.0,2468.0,2120.0,3895.0,3907.0,3596.0,2704.0,3323.0,3955.0,2961.0,4042.0,4001.0,2730.0,3127.0,4021.0,2968.0,4015.0,4007.0,3124.0,4000.0,1979.0,2995.0,2176.0,2861.0,2809.0,3069.0,3670.0,2911.0,3365.0,3114.0,3993.0,2084.0,3372.0,3992.0,4047.0,4056.0,2915.0,2502.0,2808.0,3242.0,2041.0,3996.0,4017.0,4020.0,4038.0,2940.0,2504.0,3936.0,2941.0,4000.0,2519.0,2779.0,2977.0,4023.0,4050.0,3752.0,2793.0,3625.0
2023-12-31,1520.0,1396.0,1307.0,1494.0,1421.0,1237.0,1401.0,1368.0,1467.0,1346.0,1494.0,1235.0,1285.0,1413.0,1249.0,1337.0,1333.0,1643.0,1428.0,1667.0,1787.0,1414.0,1600.0,1335.0,1502.0,1437.0,1159.0,1413.0,1428.0,1237.0,1546.0,1238.0,1526.0,1386.0,1431.0,1440.0,1609.0,1734.0,1520.0,1236.0,1209.0,1399.0,1367.0,1235.0,1377.0,1395.0,1427.0,1692.0,1348.0,1368.0,1210.0,1297.0,1579.0,1403.0,1247.0,1445.0,1305.0,1247.0,1720.0,1184.0,1542.0,1423.0,1527.0,1425.0,1644.0,1366.0,1366.0,1413.0,1652.0,1309.0,1289.0,1452.0,1953.0,1366.0,1414.0,1183.0,1441.0,1575.0,1634.0,1699.0,1766.0,1296.0,1223.0,1306.0,1307.0,1399.0,1234.0,1315.0,1520.0,1309.0,1503.0,1591.0,1439.0,1684.0,1339.0,1353.0,1914.0,1377.0
2024-12-31,1667.0,2155.0,2065.0,1679.0,1742.0,2348.0,1932.0,2158.0,2502.0,1854.0,2158.0,2145.0,2148.0,2035.0,1780.0,1839.0,2121.0,1935.0,2093.0,2196.0,1508.0,2612.0,2075.0,2099.0,1870.0,1968.0,1915.0,1877.0,2123.0,2250.0,1729.0,1657.0,1629.0,2114.0,1584.0,2052.0,1904.0,1578.0,1565.0,1523.0,1985.0,1828.0,1431.0,2254.0,2609.0,2542.0,1709.0,2126.0,2616.0,2136.0,2184.0,1510.0,1944.0,2375.0,2104.0,1565.0,2618.0,1780.0,2020.0,2083.0,1569.0,1856.0,1348.0,1996.0,2232.0,1983.0,2560.0,1549.0,2041.0,1466.0,1512.0,1520.0,1936.0,2037.0,2072.0,2446.0,1633.0,1670.0,2217.0,2199.0,1551.0,1911.0,2092.0,2161.0,1467.0,1500.0,1699.0,1807.0,1951.0,1459.0,2090.0,2188.0,1999.0,2617.0,1568.0,1681.0,1929.0,1513.0
2025-12-31,1635.0,1301.0,1335.0,1629.0,1450.0,1265.0,1421.0,1305.0,1538.0,1236.0,1271.0,1255.0,1245.0,1504.0,1176.0,1330.0,1225.0,1442.0,1482.0,1388.0,1322.0,1566.0,1430.0,1347.0,1348.0,1400.0,1415.0,1389.0,1259.0,1267.0,1659.0,1252.0,1581.0,1305.0,1528.0,1349.0,1404.0,1396.0,1470.0,1252.0,1289.0,1406.0,1217.0,1266.0,1384.0,1287.0,1234.0,1306.0,1497.0,1326.0,1276.0,1320.0,1453.0,1351.0,1277.0,1411.0,1274.0,1216.0,1777.0,1235.0,1410.0,1272.0,1286.0,1319.0,1589.0,1488.0,1153.0,1400.0,1478.0,1313.0,1298.0,1431.0,1766.0,1392.0,1396.0,1305.0,1423.0,1491.0,1567.0,1284.0,1515.0,1325.0,1214.0,1241.0,1290.0,1412.0,1438.0,1311.0,1458.0,1325.0,1412.0,1519.0,1442.0,1711.0,1241.0,1385.0,1561.0,1388.0
2026-12-31,1643.0,1706.0,1810.0,1597.0,1775.0,1669.0,1839.0,1732.0,2167.0,1799.0,1607.0,1692.0,1689.0,1845.0,1484.0,1784.0,1682.0,1776.0,1836.0,1679.0,1536.0,2119.0,1797.0,1530.0,1705.0,1536.0,1433.0,1699.0,1565.0,1725.0,1590.0,1636.0,1596.0,1586.0,1599.0,1576.0,1724.0,1465.0,1584.0,1500.0,1726.0,1765.0,1411.0,1750.0,1652.0,1702.0,1701.0,1785.0,2170.0,1569.0,1523.0,1594.0,1816.0,1614.0,1429.0,1615.0,1818.0,1533.0,1673.0,1474.0,1615.0,1638.0,1689.0,1567.0,1743.0,1833.0,1476.0,1596.0,1740.0,1537.0,1549.0,1723.0,1750.0,1588.0,1666.0,1483.0,1689.0,1690.0,1735.0,1710.0,1619.0,1569.0,1370.0,1564.0,1585.0,1714.0,1407.0,1598.0,1785.0,1588.0,1589.0,1655.0,1616.0,2171.0,1509.0,1666.0,1920.0,1757.0
2027-12-31,1313.0,1600.0,1449.0,1410.0,1680.0,1561.0,1637.0,1535.0,2028.0,1584.0,1442.0,1529.0,1481.0,1652.0,1472.0,1554.0,1492.0,1507.0,1663.0,1476.0,1749.0,1992.0,1705.0,1566.0,1553.0,1505.0,1298.0,1506.0,1453.0,1542.0,1451.0,1487.0,1400.0,1465.0,1380.0,1483.0,1561.0,1448.0,1409.0,1601.0,1549.0,1571.0,1576.0,1670.0,1831.0,1928.0,1571.0,1805.0,1973.0,1521.0,1728.0,1472.0,1751.0,1686.0,1457.0,1463.0,1837.0,1459.0,1689.0,1417.0,1412.0,1699.0,1678.0,1674.0,2025.0,1889.0,1837.0,1493.0,1975.0,1416.0,1473.0,1618.0,1689.0,1442.0,1477.0,1771.0,1627.0,1537.0,2010.0,1710.0,1804.0,1462.0,1485.0,1413.0,1405.0,1631.0,1456.0,1526.0,1769.0,1443.0,1504.0,1976.0,1724.0,1973.0,1384.0,1515.0,1983.0,1635.0
2028-12-31,1356.0,1498.0,1419.0,1395.0,1805.0,1714.0,1734.0,1583.0,1883.0,1736.0,1399.0,1537.0,1398.0,1871.0,1311.0,1792.0,1368.0,1798.0,1802.0,1726.0,1526.0,1798.0,1650.0,1459.0,1557.0,1387.0,1148.0,1605.0,1444.0,1732.0,1431.0,1475.0,1389.0,1470.0,1368.0,1502.0,1615.0,1429.0,1405.0,1471.0,1461.0,1707.0,1314.0,1599.0,1600.0,1664.0,1378.0,1639.0,1818.0,1536.0,1446.0,1521.0,1636.0,1408.0,1232.0,1517.0,1408.0,1417.0,1436.0,1413.0,1417.0,1431.0,1565.0,1423.0,1567.0,1713.0,1466.0,1537.0,1683.0,1491.0,1505.0,1647.0,1597.0,1491.0,1565.0,1441.0,1578.0,1535.0,1555.0,1541.0,1516.0,1493.0,1384.0,1383.0,1575.0,1570.0,1482.0,1504.0,1563.0,1520.0,1391.0,1504.0,1475.0,1829.0,1151.0,1617.0,1746.0,1709.0
