date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,1765.0,1765.0,1791.0,1765.0,1897.0,1774.0,1774.0,1800.0,1937.0,1771.0,1918.0,1765.0,1818.0,1837.0,1769.0,1765.0,1785.0,2322.0,1828.0,2124.0,2308.0,1905.0,1993.0,1765.0,1974.0,1735.0,1753.0,1818.0,1834.0,1771.0,1764.0,1769.0,1819.0,1805.0,1762.0,1871.0,2006.0,1833.0,1834.0,1769.0,1774.0,1810.0,1847.0,1767.0,1778.0,1820.0,1883.0,2341.0,1896.0,1852.0,1816.0,1763.0,1986.0,1784.0,1784.0,1846.0,1784.0,1785.0,1800.0,1760.0,1716.0,1788.0,1600.0,1941.0,2161.0,2023.0,1817.0,1784.0,2218.0,1785.0,1773.0,1586.0,1887.0,1765.0,1829.0,1859.0,1774.0,1787.0,2156.0,1832.0,1867.0,1765.0,1773.0,1781.0,1828.0,1822.0,1770.0,1784.0,1985.0,1762.0,1775.0,2096.0,1829.0,1902.0,1818.0,1766.0,1945.0,1851.0
2021-12-31,1959.0,2221.0,2313.0,1980.0,2149.0,2261.0,2377.0,2277.0,2754.0,2282.0,2196.0,2223.0,2309.0,2242.0,2213.0,2234.0,2300.0,2161.0,2265.0,2184.0,2187.0,2746.0,2213.0,2101.0,2158.0,2455.0,2033.0,2284.0,2067.0,2191.0,2032.0,2230.0,1978.0,2100.0,1890.0,1911.0,2205.0,2005.0,1930.0,2494.0,2339.0,2277.0,2117.0,2263.0,2722.0,2777.0,1900.0,2258.0,2736.0,2290.0,2761.0,1846.0,2284.0,2165.0,2151.0,2016.0,2733.0,2256.0,2158.0,2156.0,2096.0,1916.0,1867.0,1965.0,2208.0,2300.0,2750.0,1960.0,2166.0,1876.0,1886.0,1993.0,2165.0,1889.0,2165.0,2749.0,2064.0,2144.0,2193.0,1974.0,2068.0,2139.0,2139.0,2092.0,2173.0,2029.0,2235.0,2192.0,2280.0,1853.0,1976.0,2170.0,2067.0,2731.0,2092.0,1935.0,2041.0,1973.0
2022-12-31,1662.0,2232.0,1774.0,1792.0,1744.0,2240.0,1933.0,1819.0,2324.0,1849.0,1873.0,2233.0,1872.0,1818.0,1796.0,2213.0,1831.0,1768.0,1854.0,1880.0,1819.0,2309.0,1811.0,1766.0,1678.0,2000.0,2053.0,1843.0,1792.0,2221.0,1880.0,2238.0,1700.0,1798.0,1684.0,1739.0,1774.0,1835.0,1760.0,2241.0,2242.0,1833.0,1939.0,2243.0,2242.0,2314.0,1770.0,1884.0,2255.0,1833.0,2306.0,1748.0,1877.0,2050.0,2246.0,1837.0,2254.0,2255.0,1782.0,1771.0,1913.0,1895.0,1664.0,1850.0,2362.0,2350.0,2302.0,1778.0,1774.0,1975.0,1759.0,1706.0,2005.0,1751.0,1886.0,2335.0,1868.0,1934.0,2355.0,1916.0,2208.0,1748.0,1782.0,1834.0,2309.0,1799.0,1780.0,1764.0,1881.0,1742.0,1804.0,2325.0,1924.0,2260.0,1837.0,2225.0,2045.0,1920.0
2023-12-31,1678.0,2265.0,1791.0,1583.0,2273.0,2218.0,1994.0,1684.0,2202.0,2214.0,1793.0,2259.0,1956.0,2287.0,1800.0,2253.0,1768.0,1904.0,2270.0,1475.0,1884.0,2236.0,1821.0,1990.0,1621.0,2024.0,1858.0,1867.0,2239.0,2258.0,1711.0,2264.0,1474.0,2260.0,1614.0,1902.0,1751.0,1507.0,1619.0,2260.0,2008.0,1796.0,1670.0,2233.0,2260.0,2257.0,2006.0,2086.0,2268.0,2202.0,2197.0,2250.0,2109.0,1907.0,2269.0,1549.0,2270.0,2257.0,1996.0,2245.0,1610.0,2065.0,1601.0,1921.0,2467.0,2108.0,2203.0,1602.0,2007.0,1495.0,2265.0,1571.0,2010.0,2251.0,2269.0,2235.0,1793.0,1743.0,2458.0,2074.0,1842.0,2266.0,2264.0,2271.0,2210.0,1637.0,1757.0,2258.0,2114.0,2250.0,1593.0,2396.0,2030.0,2293.0,2201.0,2252.0,2263.0,1616.0
2024-12-31,1978.0,2280.0,1931.0,2032.0,1829.0,2049.0,2250.0,2149.0,2084.0,2121.0,1890.0,1913.0,1789.0,1903.0,2142.0,2074.0,1767.0,1976.0,1946.0,1970.0,1969.0,2133.0,2174.0,1721.0,2103.0,2182.0,1524.0,2121.0,1729.0,2061.0,2012.0,2029.0,2000.0,1824.0,1919.0,1887.0,2015.0,1878.0,1819.0,1959.0,1752.0,2116.0,2106.0,2127.0,2036.0,2139.0,1823.0,2298.0,2335.0,2064.0,1960.0,1855.0,2007.0,2185.0,1892.0,2029.0,1931.0,1731.0,2193.0,1685.0,2095.0,1995.0,1976.0,2085.0,2156.0,2315.0,2071.0,2022.0,2194.0,1879.0,1995.0,1958.0,2193.0,1954.0,2028.0,2472.0,2174.0,2220.0,2143.0,2298.0,2511.0,1872.0,1701.0,1719.0,1914.0,2109.0,1907.0,2047.0,1954.0,1898.0,2095.0,2135.0,2157.0,2428.0,2008.0,1948.0,2034.0,1990.0
2025-12-31,2046.0,1839.0,1853.0,1761.0,1851.0,2087.0,1980.0,1818.0,2126.0,2066.0,1888.0,2115.0,1892.0,2047.0,1858.0,2116.0,1869.0,1839.0,1898.0,1730.0,1672.0,2141.0,1800.0,1717.0,1777.0,2090.0,1748.0,1852.0,1821.0,2103.0,1803.0,2095.0,1747.0,1852.0,2102.0,1768.0,1762.0,1835.0,1583.0,2121.0,1857.0,2028.0,1928.0,2102.0,2136.0,2132.0,1850.0,1958.0,2179.0,2104.0,2125.0,1834.0,1939.0,1969.0,1848.0,1970.0,2132.0,1968.0,1783.0,1690.0,1899.0,2082.0,1887.0,1920.0,2483.0,1973.0,2140.0,1739.0,1847.0,1770.0,2102.0,1828.0,1912.0,2101.0,2102.0,2136.0,1793.0,1852.0,2462.0,1924.0,2024.0,2113.0,1736.0,1768.0,2122.0,1919.0,1686.0,2107.0,1953.0,1807.0,1716.0,2424.0,2014.0,2282.0,1678.0,1701.0,2272.0,1851.0
2026-12-31,2473.0,2472.0,1994.0,1567.0,2477.0,2485.0,2482.0,1937.0,2543.0,2474.0,2309.0,2474.0,2527.0,2484.0,2473.0,2473.0,2521.0,1835.0,2531.0,2008.0,1341.0,2523.0,1871.0,1972.0,1579.0,1829.0,2485.0,1897.0,2470.0,2475.0,1724.0,2480.0,1498.0,2483.0,2466.0,2445.0,2004.0,2534.0,2468.0,2483.0,2484.0,2469.0,1667.0,2475.0,2485.0,2526.0,1580.0,1920.0,2493.0,2542.0,2520.0,2470.0,1781.0,2113.0,2489.0,2547.0,2494.0,2493.0,2195.0,2469.0,2012.0,1516.0,1770.0,2042.0,1877.0,2616.0,2518.0,2489.0,1819.0,2238.0,2475.0,2101.0,1707.0,2472.0,2529.0,2545.0,2498.0,2506.0,1859.0,2001.0,2353.0,2472.0,2482.0,2491.0,2521.0,2521.0,2470.0,2489.0,1920.0,2466.0,2502.0,1800.0,1985.0,2489.0,2516.0,2470.0,1890.0,2544.0
2027-12-31,1567.0,1411.0,1378.0,1426.0,1586.0,1457.0,1490.0,1546.0,1147.0,1364.0,1139.0,1109.0,1221.0,1583.0,1163.0,1518.0,1263.0,1701.0,1608.0,1540.0,837.5,1963.0,1558.0,1490.0,1114.0,1321.0,1174.0,1426.0,1186.0,1488.0,1355.0,1263.0,1412.0,1190.0,1451.0,1451.0,1406.0,1441.0,1451.0,1061.0,1412.0,1523.0,1154.0,1124.0,1330.0,1365.0,1059.0,1220.0,1124.0,1475.0,1214.0,1281.0,1161.0,1217.0,1224.0,1276.0,1281.0,1097.0,1234.0,1186.0,1325.0,1095.0,1425.0,914.6,1387.0,1347.0,1186.0,1271.0,1551.0,1222.0,1224.0,1418.0,1575.0,1447.0,1487.0,1134.0,1307.0,1351.0,1381.0,950.8,1295.0,1255.0,1218.0,1094.0,1247.0,1372.0,1162.0,1306.0,1093.0,1265.0,1516.0,1322.0,1239.0,1831.0,1106.0,1316.0,1301.0,1385.0
2028-12-31,1187.0,1121.0,1147.0,1125.0,1241.0,1053.0,1234.0,1079.0,1555.0,1083.0,1030.0,1010.0,1045.0,1337.0,987.0,1287.0,1003.0,1315.0,1296.0,1069.0,982.2,1563.0,1219.0,1075.0,1060.0,1089.0,1316.0,1150.0,1017.0,1219.0,1160.0,1075.0,1132.0,1029.0,1104.0,1188.0,1175.0,1168.0,1169.0,999.3,1047.0,1197.0,1011.0,1064.0,1082.0,1271.0,1043.0,1113.0,1115.0,1095.0,1204.0,1154.0,1134.0,991.8,935.0,1157.0,1114.0,1025.0,1260.0,976.9,1203.0,1054.0,1306.0,1240.0,1388.0,1428.0,1154.0,1191.0,1154.0,1175.0,1156.0,1371.0,1395.0,1128.0,1199.0,1099.0,1215.0,1207.0,1364.0,1150.0,1136.0,1144.0,985.8,1004.0,1137.0,1191.0,1023.0,1174.0,1122.0,1162.0,1117.0,1303.0,1101.0,1617.0,989.7,1219.0,1235.0,1185.0
