,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1434.4,1317.0,1099.3,1458.1,985.8,1065.6,1415.5,800.0,679.16,1317.2,670.02,1317.0,627.62,1093.8,1327.7,1318.7,627.72,1099.8999999999999,497.37,783.3,755.8100000000001,568.1400000000001,506.21,1291.0,761.4000000000001,762.4,1155.9,871.8,1093.3,1022.9,1050.8999999999999,1375.4,1991.8999999999999,1432.3,1982.5,1382.7,904.8,754.3000000000001,1698.9,1377.7,1541.8999999999999,1028.9,788.5,1325.8000000000002,1331.2,460.78999999999996,1086.6000000000001,406.05,1449.6000000000001,652.37,537.78,1208.7,355.0799999999999,777.5799999999999,1386.3000000000002,669.13,950.3,1517.3999999999999,933.1100000000001,1325.1000000000001,618.15,443.89,709.3900000000001,308.62,329.70000000000005,456.61,568.53,1461.1000000000004,575.79,529.51,1448.3999999999999,1724.7000000000003,925.71,1181.3000000000002,437.86,617.3700000000001,504.38,523.1700000000001,352.51,406.48,670.9000000000001,1359.8,1447.5,1457.0000000000002,579.2,553.18,1461.1,1375.7,442.36999999999995,1340.2,531.6800000000001,379.18,493.74999999999994,1477.5,967.4,956.0999999999999,951.4000000000001,605.27
2021,586.39,310.90999999999997,378.55,513.61,370.96999999999997,260.15,382.76,595.3,400.02,390.03999999999996,384.40000000000003,360.68,354.87,265.18,498.67999999999995,371.34999999999997,417.39,375.69,270.12,491.53000000000003,341.18,348.76,262.95000000000005,313.03999999999996,566.3,534.98,494.28,464.77,337.6,238.48000000000002,448.94,400.08,1337.8000000000002,393.16999999999996,1268.9,268.53,633.53,426.59,988.6999999999999,394.70000000000005,343.90999999999997,343.12,474.79999999999995,316.72,309.40000000000003,246.89,218.43999999999997,268.0,345.65000000000003,336.08000000000004,308.95,322.1,256.96999999999997,195.76999999999998,465.2099999999999,346.85,314.79,470.59,212.35000000000002,232.77999999999997,326.71,265.21000000000004,464.31,256.3,260.14,283.02,290.72999999999996,472.03999999999996,226.38,386.95000000000005,363.87,505.63000000000005,212.0,233.59,249.86,343.36,305.12,290.62,256.71,266.21999999999997,312.11,308.42,352.76000000000005,465.84999999999997,277.64000000000004,307.15999999999997,535.79,405.86,259.85,327.41,312.52,269.94,275.48,307.17,362.46,378.97,226.85000000000002,356.90999999999997
2022,356.85,198.07,318.57,376.44,374.67,166.21999999999997,248.05,482.03,311.69,240.14,262.33,229.3,236.57999999999998,163.56,428.95,357.73,255.29999999999998,318.90999999999997,217.35,345.69000000000005,250.72000000000003,236.01999999999998,219.83,187.39000000000001,442.31,390.59,334.89,314.43999999999994,219.72,405.98,337.59000000000003,290.96999999999997,1020.3000000000001,246.85,1025.0,97.98,497.13000000000005,280.53000000000003,588.49,250.66000000000003,233.97,354.49,335.48999999999995,204.57999999999998,206.5,211.58999999999997,251.17,249.88,348.91999999999996,273.14,220.18999999999997,202.10999999999999,229.47,258.26,273.32000000000005,276.53,223.95999999999998,319.5,325.45,137.57999999999998,230.89,219.20000000000002,323.44,237.48999999999995,223.09,234.01,217.29,348.81000000000006,251.68,315.51,214.60000000000002,308.31,245.26,154.79999999999998,200.86,271.07,193.14000000000001,199.0,222.14000000000001,280.09,255.25000000000003,195.29,214.52,334.39,224.06,217.73,362.5,312.06,230.02999999999997,195.69,218.28000000000003,246.14,268.44,239.79,227.47000000000003,126.22,234.85999999999999,273.02
2023,830.1300000000001,416.54,423.92,846.3,914.7,362.86,623.44,586.82,406.38,534.07,361.57,471.71,347.89000000000004,357.51,975.2,587.91,395.30999999999995,825.4000000000001,254.67999999999998,422.6,346.39,305.2,265.03,493.23999999999995,516.46,508.15999999999997,506.9,833.9000000000001,513.01,949.4000000000001,797.3999999999999,562.66,1195.4,542.03,1232.8,322.78999999999996,570.6,382.87,1014.8,655.51,621.6999999999999,888.0000000000001,416.76,421.34000000000003,388.65,253.75,672.8599999999999,276.15,672.8399999999999,326.19,270.18,443.64,277.49,380.71,608.12,307.84000000000003,591.5799999999999,588.99,470.21999999999997,460.64,288.86,284.43,420.09999999999997,267.21,263.93,278.10999999999996,265.02,642.37,520.71,397.29999999999995,520.23,679.01,377.42,359.36,247.32,312.99,290.38000000000005,265.83,257.48,265.69999999999993,323.1700000000001,410.56,490.8299999999999,611.3100000000001,258.24,255.39000000000001,1022.4000000000001,461.29,276.56,503.32,352.56,265.90999999999997,268.85,559.4699999999999,312.93,336.21999999999997,414.78999999999996,302.03999999999996
2024,346.4,214.91,357.43000000000006,348.52,394.84999999999997,173.52,266.96000000000004,498.98,351.93,261.28,315.40000000000003,250.14,312.17,199.69000000000003,440.02000000000004,266.12,351.14,338.96999999999997,220.89,388.61999999999995,289.06000000000006,278.49,230.25000000000003,203.69,471.12000000000006,463.92,658.06,320.91999999999996,244.84000000000003,385.83,363.22,263.15,1080.0,263.65,1079.0,165.23000000000002,538.0799999999999,354.71000000000004,661.81,273.54999999999995,300.08000000000004,411.07000000000005,393.75,214.12,218.33,239.55999999999997,349.52,238.19,378.68,274.32,230.05,217.52,247.54999999999998,392.28,324.93999999999994,286.59999999999997,344.5,374.46,401.29999999999995,216.51999999999998,251.59000000000003,266.52,370.22999999999996,232.07999999999998,240.9,250.5,256.28,317.15999999999997,306.99,424.46000000000004,232.93,377.04999999999995,287.23,193.01999999999998,243.85999999999999,279.99,251.87,210.9,224.05,259.93,283.21000000000004,210.12999999999997,229.76000000000002,371.94000000000005,253.58,225.29000000000002,404.70000000000005,330.74,256.11,215.47999999999996,247.14999999999998,250.82,273.04,333.76,299.15999999999997,417.63,239.56,292.47
2025,752.13,330.35,348.73,296.63,690.75,211.35999999999999,428.40000000000003,499.04,332.58000000000004,487.84,279.05,447.22,259.07,223.68,1034.4,582.18,291.22999999999996,555.37,224.27999999999997,367.40000000000003,267.42,280.78,220.69,345.3,468.44999999999993,421.02,368.48999999999995,676.44,508.14,302.39,192.74,457.22,253.87,439.45000000000005,1094.1,118.94,518.31,268.04,187.61,546.0600000000001,525.9,865.5,386.35,374.52,341.91,240.76,232.76,254.48000000000002,397.18,260.9,246.69,385.74,225.10000000000002,202.51,472.41999999999996,277.61,261.64,522.83,201.14999999999998,167.70000000000002,233.47000000000003,260.72,332.95,259.41999999999996,238.38,253.67999999999998,227.31,518.46,213.24,376.37,426.58000000000004,510.02,204.72000000000003,197.78999999999996,207.81,274.34000000000003,219.89,202.76999999999998,231.72,263.46000000000004,266.88,349.41,338.53000000000003,499.14,228.67000000000002,226.82,993.5999999999999,388.54999999999995,223.87999999999997,429.98,214.06000000000003,223.95,269.58,188.11999999999998,233.15,206.08,223.36,270.47
2026,538.84,371.80000000000007,416.06,253.24,478.56000000000006,284.59000000000003,396.8,602.4300000000001,328.28000000000003,555.42,409.06000000000006,520.34,381.25999999999993,257.5,614.8100000000001,513.12,460.68999999999994,372.83000000000004,252.97,439.08,304.87,346.93,254.57999999999998,432.63000000000005,555.39,522.02,622.02,509.33000000000004,518.07,466.71,243.30999999999997,575.8,440.59000000000003,644.7900000000001,1270.0000000000002,306.29,609.27,406.70000000000005,321.12,576.6200000000001,629.2199999999999,361.54999999999995,489.3,369.13000000000005,300.21999999999997,225.44,360.71,248.54,305.40999999999997,341.66,294.65,337.84,215.57,222.13,586.2,333.65000000000003,295.20000000000005,560.7099999999999,231.16000000000003,525.9499999999999,300.26,237.95000000000002,442.69000000000005,252.25,196.78,234.32000000000002,289.38,531.65,207.18,405.57,492.87,380.50999999999993,202.96,370.18999999999994,239.27,368.45,314.11,272.64,246.40000000000003,226.56000000000003,360.13,398.66,464.38,539.21,293.33000000000004,291.02,470.07000000000005,372.42,240.25000000000003,488.01,357.36,217.79,222.42999999999998,414.77,374.56,415.48999999999995,217.35999999999999,324.03999999999996
2027,395.87,325.96,514.6,363.91,466.36,266.56,373.84000000000003,597.97,467.45,384.74,435.16,383.69999999999993,415.05,261.58,527.33,385.88999999999993,465.52000000000004,384.34,284.42,500.82000000000005,417.13,379.6,283.05,314.93,556.99,551.5200000000001,754.0,414.51,355.03999999999996,447.85999999999996,293.19,405.59000000000003,967.1000000000001,394.08,1263.8999999999999,283.34999999999997,633.96,453.54,278.71,387.17999999999995,437.09000000000003,400.74,527.73,368.33,333.17999999999995,297.54,420.62,267.55,424.23999999999995,362.55000000000007,357.94,301.06000000000006,254.31,273.44,487.36999999999995,362.29,376.56,433.39000000000004,303.85,343.57000000000005,333.71,247.90000000000003,474.85,266.2,250.81,241.16,331.73,465.50000000000006,268.69,475.99,373.75,464.55999999999995,228.92,300.78999999999996,267.87,382.56999999999994,321.18,305.32,249.48,252.79,391.72999999999996,294.78,376.09,466.62999999999994,300.9800000000001,305.88,474.89,398.77000000000004,254.3,337.19,359.88000000000005,246.19,244.54999999999998,262.34000000000003,407.16,444.39,273.75,360.34
2028,361.34000000000003,247.32,437.6700000000001,365.03,371.4,227.52000000000004,294.74,525.4000000000001,389.16,283.91999999999996,353.31,275.44,328.72,233.20999999999998,396.13,323.13,354.84999999999997,322.27000000000004,272.38,471.87,294.20000000000005,273.15,266.32000000000005,263.94,511.53,462.70000000000005,1099.2499999999998,348.57000000000005,277.24,371.05,355.18,294.26,625.8800000000001,292.94,1127.1000000000001,315.65,575.3799999999999,384.21000000000004,657.9799999999999,317.03000000000003,297.28000000000003,365.6700000000001,430.62,252.9,250.46,272.92,441.87,266.3,393.23999999999995,318.43,263.68,252.72,268.22,434.79,396.21000000000004,330.11,361.94,345.98,399.54,256.34000000000003,290.84000000000003,272.33,418.46000000000004,242.75,259.66,283.03,261.66,402.22,335.31,547.5200000000001,328.75,403.65999999999997,339.44,224.52,266.21999999999997,323.08,251.15999999999997,263.76,261.54999999999995,268.16,358.95000000000005,243.63000000000005,273.12,400.23,254.65000000000003,265.92999999999995,378.45,366.15999999999997,275.89,248.35,279.67,231.44,265.78999999999996,323.45,363.09999999999997,246.54,313.46999999999997,373.34
