date,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019-12-31,2884.0,2886.0,2917.0,2886.0,2892.0,2891.0,2891.0,2917.0,2914.0,2886.0,2940.0,2886.0,2939.0,2891.0,2891.0,2885.0,2917.0,2889.0,2940.0,2913.0,2671.0,2946.0,2680.0,2886.0,2189.0,2156.0,2951.0,2885.0,2885.0,2890.0,3052.0,2889.0,2885.0,2893.0,2885.0,2886.0,2932.0,2944.0,2885.0,2889.0,2891.0,2885.0,2082.0,2894.0,2893.0,2946.0,2631.0,2588.0,2901.0,2914.0,2938.0,2886.0,2645.0,2686.0,2900.0,2909.0,2899.0,2900.0,2714.0,2885.0,2865.0,2686.0,2785.0,2789.0,2749.0,2739.0,2935.0,2902.0,3311.0,2918.0,2889.0,2901.0,2627.0,2886.0,2943.0,2914.0,2914.0,2917.0,2727.0,3174.0,2915.0,2886.0,2889.0,2902.0,2939.0,2930.0,2885.0,2902.0,2729.0,2885.0,2915.0,2756.0,2551.0,2899.0,2935.0,2891.0,2901.0,2914.0
2020-12-31,2236.0,2045.0,2030.0,2234.0,2032.0,1978.0,2105.0,2044.0,2230.0,2021.0,2239.0,2045.0,2093.0,2085.0,2027.0,2074.0,2042.0,2604.0,2157.0,2731.0,2233.0,2183.0,2617.0,1748.0,2350.0,2208.0,1829.0,2123.0,2008.0,1992.0,2201.0,1957.0,2175.0,1975.0,2189.0,2023.0,2312.0,1869.0,2162.0,2118.0,1919.0,2033.0,1974.0,2016.0,2161.0,2209.0,1867.0,2655.0,2159.0,2074.0,2177.0,1674.0,1992.0,2090.0,1767.0,1780.0,2162.0,1845.0,2227.0,1849.0,2028.0,1801.0,1975.0,2025.0,2092.0,2012.0,2208.0,1666.0,2333.0,1587.0,1952.0,1772.0,2545.0,1947.0,2032.0,2214.0,1663.0,1802.0,1969.0,2029.0,1895.0,1908.0,1938.0,1906.0,2098.0,1886.0,1923.0,2043.0,2009.0,1614.0,1941.0,1938.0,1903.0,2308.0,1688.0,1619.0,2159.0,1837.0
2021-12-31,1422.0,724.6,719.1,1426.0,1040.0,900.5,1023.0,1045.0,531.7,1061.0,578.6,825.1,554.1,1110.0,897.6,1069.0,610.4,1247.0,1017.0,812.7,522.8,515.3,952.4,1094.0,1020.0,988.0,445.1,969.9,722.4,965.6,1497.0,1023.0,1366.0,735.3,1291.0,1039.0,991.8,1220.0,1227.0,900.6,683.3,1006.0,836.6,914.5,856.0,875.9,686.6,852.0,1004.0,881.4,948.6,1074.0,794.8,743.1,706.8,1028.0,940.0,716.5,1211.0,672.2,1147.0,636.5,1135.0,694.2,881.6,781.2,857.9,1094.0,1338.0,1080.0,999.9,1252.0,772.6,1122.0,966.6,868.9,1108.0,1151.0,874.3,660.6,965.0,1127.0,696.9,741.3,967.6,1082.0,950.4,998.4,798.9,1080.0,1078.0,815.6,694.4,1069.0,629.1,1123.0,1173.0,1038.0
2022-12-31,1487.0,3110.0,2134.0,1423.0,2047.0,2061.0,2064.0,2161.0,3342.0,2070.0,2136.0,2056.0,2160.0,2039.0,1266.0,2078.0,2163.0,2029.0,2112.0,2172.0,1284.0,3395.0,2084.0,2096.0,2177.0,1368.0,2586.0,2088.0,2100.0,1935.0,1478.0,1442.0,1396.0,2100.0,1339.0,2058.0,2137.0,1293.0,1379.0,1228.0,2667.0,2103.0,1323.0,2017.0,2003.0,2041.0,1764.0,2096.0,1703.0,2132.0,1612.0,2095.0,1646.0,2169.0,2123.0,2115.0,2022.0,3321.0,2138.0,2103.0,2197.0,1701.0,2035.0,1982.0,1921.0,2966.0,1468.0,1328.0,2006.0,1658.0,1943.0,2269.0,1920.0,2084.0,2068.0,1200.0,2150.0,1726.0,1921.0,2169.0,1196.0,2096.0,2101.0,2156.0,1644.0,1748.0,1224.0,2085.0,1445.0,2091.0,2099.0,1917.0,2038.0,2355.0,2121.0,2050.0,1749.0,2223.0
2023-12-31,2040.0,6520.0,6544.0,2096.0,5335.0,6467.0,3871.0,3219.0,6577.0,2998.0,6526.0,6520.0,6563.0,6476.0,2320.0,3390.0,6556.0,3083.0,5457.0,2571.0,2463.0,6553.0,3334.0,4867.0,3333.0,2678.0,4856.0,3239.0,6516.0,6394.0,2115.0,2498.0,2125.0,6520.0,2090.0,6516.0,3024.0,2367.0,2136.0,6520.0,6520.0,3231.0,2452.0,6519.0,6520.0,6559.0,3113.0,3260.0,6520.0,4539.0,6549.0,4831.0,3376.0,3673.0,6523.0,2927.0,6524.0,6523.0,3295.0,6515.0,2307.0,2347.0,2353.0,3390.0,6607.0,3407.0,6552.0,3037.0,2812.0,6457.0,4817.0,2323.0,3176.0,5656.0,6551.0,6574.0,4377.0,2328.0,6608.0,2956.0,5199.0,5065.0,6521.0,6522.0,5950.0,2354.0,2299.0,5337.0,3376.0,4820.0,3070.0,6582.0,2773.0,6526.0,6559.0,6403.0,5532.0,4033.0
2024-12-31,2878.0,2878.0,2860.0,2878.0,2888.0,2889.0,2888.0,2882.0,2947.0,2878.0,2899.0,2878.0,2899.0,2887.0,2887.0,2878.0,2880.0,2887.0,2897.0,2949.0,2227.0,2893.0,2818.0,2879.0,2883.0,4821.0,2392.0,2878.0,2878.0,2887.0,2878.0,2888.0,2877.0,2887.0,2877.0,2878.0,2891.0,2900.0,2878.0,2888.0,2888.0,2878.0,2949.0,2881.0,2887.0,2899.0,2507.0,5169.0,2893.0,2936.0,2897.0,2878.0,2560.0,2171.0,2892.0,2941.0,2892.0,2899.0,2274.0,2878.0,2905.0,2549.0,2879.0,2049.0,2929.0,2571.0,2895.0,2893.0,2834.0,2870.0,2888.0,2861.0,2103.0,2878.0,2892.0,2940.0,2879.0,2890.0,2929.0,2547.0,2935.0,2878.0,2889.0,2894.0,2894.0,2896.0,2878.0,2899.0,2557.0,2877.0,2880.0,2935.0,2178.0,2896.0,2892.0,2881.0,2892.0,2941.0
2025-12-31,1591.0,1747.0,1811.0,1585.0,1671.0,1971.0,1610.0,1663.0,2039.0,1658.0,1747.0,1973.0,1681.0,1682.0,1538.0,1848.0,1737.0,2393.0,1662.0,2231.0,1991.0,2079.0,1665.0,1638.0,1899.0,1600.0,1913.0,1696.0,1666.0,1751.0,1556.0,1364.0,1657.0,1633.0,1566.0,1665.0,1913.0,1762.0,1698.0,1414.0,1744.0,1697.0,1748.0,2010.0,2009.0,2000.0,1480.0,2264.0,1965.0,1644.0,1994.0,1467.0,1770.0,1764.0,1458.0,1550.0,1940.0,1558.0,1817.0,1532.0,1816.0,1605.0,1649.0,2034.0,1735.0,1789.0,2015.0,1567.0,1896.0,1498.0,1471.0,1614.0,1889.0,1532.0,1619.0,1848.0,1679.0,1760.0,1729.0,1712.0,1901.0,1457.0,1457.0,1560.0,1419.0,1641.0,1396.0,1676.0,1771.0,1489.0,1662.0,1737.0,1840.0,1948.0,1546.0,1543.0,1931.0,1595.0
2026-12-31,4859.0,5447.0,4901.0,4859.0,4887.0,5448.0,4861.0,4902.0,5545.0,5312.0,4908.0,5449.0,5363.0,5443.0,4859.0,5446.0,5377.0,3044.0,5310.0,3401.0,5514.0,5520.0,3560.0,4859.0,3644.0,4917.0,4057.0,4856.0,4856.0,5448.0,4856.0,5451.0,4856.0,4862.0,4856.0,4859.0,3665.0,4904.0,4856.0,5450.0,5448.0,4856.0,4931.0,5453.0,5458.0,5523.0,3972.0,3367.0,5231.0,4925.0,5513.0,5391.0,4058.0,4024.0,5462.0,4928.0,5465.0,5467.0,3542.0,4856.0,3642.0,3554.0,4930.0,2643.0,4929.0,4329.0,5513.0,4876.0,3237.0,4885.0,5385.0,4879.0,3401.0,5341.0,5515.0,5541.0,5115.0,4902.0,4920.0,3407.0,4927.0,5426.0,5388.0,5236.0,5515.0,4901.0,4856.0,5400.0,4062.0,5373.0,4888.0,4504.0,2669.0,5457.0,4904.0,5425.0,3170.0,5122.0
2027-12-31,4351.0,4981.0,4983.0,4343.0,4948.0,4876.0,4255.0,2690.0,4999.0,4333.0,4491.0,4981.0,4987.0,4950.0,3081.0,4383.0,4981.0,2646.0,4983.0,2545.0,2703.0,4981.0,3141.0,4981.0,2152.0,2173.0,3090.0,3554.0,4944.0,4941.0,5119.0,4121.0,4174.0,4950.0,4372.0,4948.0,3229.0,3151.0,4116.0,4945.0,4950.0,4274.0,2174.0,4950.0,4950.0,4983.0,1965.0,2570.0,4953.0,4819.0,4977.0,4949.0,2735.0,2885.0,4955.0,4408.0,4954.0,4957.0,3055.0,4949.0,2523.0,1966.0,2542.0,2551.0,4979.0,2768.0,4973.0,4372.0,2498.0,4668.0,4725.0,3825.0,2282.0,4981.0,4987.0,5000.0,4645.0,4018.0,4962.0,2101.0,3308.0,4981.0,4950.0,4956.0,4977.0,4300.0,4071.0,4951.0,2723.0,4943.0,4384.0,4524.0,2321.0,4954.0,4973.0,4950.0,4386.0,4574.0
2028-12-31,6320.0,6320.0,6339.0,6322.0,6320.0,6324.0,6326.0,6339.0,6384.0,6317.0,6363.0,6317.0,6362.0,6325.0,6312.0,6328.0,6334.0,6318.0,6352.0,6389.0,6363.0,6373.0,4486.0,6321.0,6335.0,6359.0,4636.0,6312.0,6309.0,6315.0,6309.0,6331.0,6283.0,6326.0,6282.0,6322.0,6325.0,6375.0,6295.0,6334.0,6325.0,6311.0,6385.0,6330.0,6331.0,6362.0,4371.0,3734.0,6344.0,6387.0,6343.0,6313.0,4501.0,4649.0,6344.0,6392.0,6343.0,6343.0,3633.0,6304.0,6353.0,2328.0,6321.0,2893.0,4223.0,4516.0,6356.0,6342.0,3484.0,6327.0,6338.0,6307.0,3265.0,6319.0,6377.0,6390.0,6315.0,6319.0,4019.0,3687.0,6400.0,6318.0,6326.0,6342.0,6359.0,6361.0,6307.0,6344.0,4506.0,6307.0,6322.0,4174.0,2958.0,6342.0,6353.0,6290.0,6341.0,6389.0
