,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97
2019,838.86,691.03,573.81,886.7,1043.7,706.2199999999999,559.18,612.52,451.34999999999997,663.18,458.0300000000001,683.82,427.54,690.88,895.1,744.35,482.87000000000006,737.5400000000001,442.98,522.83,405.29,394.21000000000004,302.27000000000004,757.5999999999999,595.2,547.57,1364.4,803.6999999999999,720.44,1057.7,672.9000000000001,697.56,1349.7,695.62,1355.9,725.43,643.19,473.26000000000005,1142.2,750.5200000000001,747.74,714.0100000000001,527.1899999999999,703.55,700.8100000000001,458.20000000000005,600.28,302.73,551.14,378.19,430.61,708.35,302.51,672.76,836.1999999999999,373.40000000000003,764.94,695.15,608.45,359.06,361.09999999999997,271.54,517.32,324.71,309.83,296.98,329.70000000000005,587.06,534.7900000000001,598.36,608.83,626.5199999999999,752.96,697.59,389.9,457.46000000000004,362.4,321.17,292.94,267.5,380.08000000000004,697.58,708.65,816.6,380.07000000000005,330.01,691.99,495.32000000000005,304.14,953.0999999999999,361.85,326.59000000000003,292.09,563.02,465.34,1119.4,389.90000000000003,394.15000000000003
2020,1757.7000000000003,1638.9,1589.3000000000002,1761.6999999999998,1816.0,1762.0,1560.8,888.1999999999999,1025.9,1638.8000000000002,822.1,1638.8000000000002,776.4499999999999,1516.1999999999998,2006.3000000000002,1640.6000000000001,723.01,1769.3,611.24,999.6999999999998,725.8799999999999,1286.6,577.24,1599.2999999999997,882.8000000000001,968.4000000000001,1274.4,1819.5,1735.3,1864.4,1983.6999999999998,1698.7,2052.5,1685.8999999999999,2055.8999999999996,1589.7,985.3,890.0000000000001,2061.1000000000004,1700.7,1771.2000000000003,1890.6,971.1,1675.7,1663.6,536.89,823.55,440.84000000000003,726.75,718.22,1386.3000000000002,1470.6999999999998,398.2,692.73,1869.2,775.7,1258.9,1518.1000000000001,946.6,1603.9,849.6999999999999,501.5,886.3,326.09,348.85,324.83,703.1400000000001,1704.2,458.20000000000005,580.8600000000001,1627.4999999999998,1929.1999999999998,868.6199999999999,1304.3000000000002,502.92,1202.8000000000002,584.01,579.7900000000001,340.23,417.40000000000003,811.4000000000001,1734.7,1799.0,1717.2999999999997,1144.2,693.54,2018.4,1523.6000000000001,413.68,1465.3,613.5099999999999,379.88,485.2199999999999,539.1700000000001,1366.3,1079.2,563.97,690.56
2021,385.84000000000003,290.4,355.04999999999995,395.81000000000006,368.5,247.84000000000003,313.32,605.25,418.45,325.28,345.71,313.73,277.66,247.25,440.39,318.37000000000006,311.82,339.4,264.11,521.42,351.48,347.24,277.65000000000003,304.67,577.44,541.21,423.74,378.03,340.69,373.15999999999997,399.18,333.93,1433.8999999999999,335.26,1381.8000000000002,277.65,610.99,462.24999999999994,1014.4,331.38,362.40999999999997,387.26,521.27,301.06,270.88,240.76,299.84000000000003,279.43,364.1,347.03,319.34999999999997,303.03999999999996,275.57,233.38000000000005,441.25,370.06,366.31,439.8,244.38,364.63,361.0,288.16,493.71,277.9,272.21,264.55,280.74,391.65000000000003,246.10000000000002,345.83,319.66,400.73,255.98000000000002,280.43,256.93,365.13000000000005,330.46999999999997,302.45,271.06,270.35999999999996,387.96999999999997,290.87,320.94,418.46,309.03999999999996,322.26,425.94,351.86,263.78,325.98999999999995,342.80000000000007,258.49,268.08,274.36,275.70000000000005,440.62,255.51,384.68
2022,311.92,181.04999999999998,280.6,316.43,329.7,137.53,237.58000000000004,456.57,291.94,235.28000000000003,249.79000000000002,213.84,229.48000000000002,152.27,341.85,238.06,227.45000000000002,278.76,217.72,313.49,245.58999999999997,229.77999999999997,220.16,79.364,419.36,364.27000000000004,262.03999999999996,293.15,212.59,326.77,315.44,243.51,964.5,229.2,961.3999999999999,66.961,472.62,265.90000000000003,532.38,250.22,209.66,324.92,313.58,193.85999999999999,194.19000000000003,215.16,253.16000000000003,227.19,287.53000000000003,265.07,214.06,193.15,221.5,226.88000000000002,318.53999999999996,274.68,205.67000000000002,246.10000000000002,278.72,144.78999999999996,220.57,208.29,294.15999999999997,226.8,221.41,223.57,214.06000000000003,307.68999999999994,277.78999999999996,211.06,219.54000000000002,306.95000000000005,243.64000000000001,146.28,195.61999999999998,269.36,192.48000000000002,198.29000000000002,216.25,250.74,268.19,186.59,192.73000000000002,322.08000000000004,218.47,214.96,332.01,302.40999999999997,224.2,186.86,192.79000000000002,226.70999999999998,254.73999999999998,209.55999999999997,210.04999999999998,105.43,210.5,268.84000000000003
2023,774.2399999999999,489.51,751.4,789.5600000000001,639.3499999999999,378.08000000000004,465.95000000000005,657.14,444.75000000000006,549.5400000000001,514.58,539.74,465.01,377.84,1083.6000000000001,515.44,558.9,539.63,330.38,534.43,360.85,381.5,276.34,749.0000000000001,582.98,565.08,910.2,646.95,715.27,644.71,995.0,585.11,1529.9,506.01,1436.1,512.53,636.05,481.3,1156.5,588.58,650.68,863.3,524.66,464.92,405.11,321.46000000000004,840.3,267.40000000000003,517.7,382.36,368.8,519.4,267.01000000000005,377.69,533.48,399.21000000000004,455.91,530.9300000000001,359.85999999999996,649.88,383.06,273.29,521.5799999999999,260.23,259.42,250.41999999999996,324.85999999999996,623.17,351.13,616.93,524.91,614.75,328.91999999999996,394.75,295.53000000000003,426.64,350.47,323.24,271.2,247.64,425.95,364.87,471.23,830.5,328.82000000000005,342.55,1090.0,409.89,264.33,468.96,440.51,263.49,256.15,331.53999999999996,536.53,887.2,312.44999999999993,391.79
2024,469.12,359.89,508.37,496.63999999999993,436.97,307.08000000000004,372.9,694.0200000000001,442.52000000000004,391.03,524.25,392.8,477.54999999999995,295.02,554.96,398.09000000000003,476.72,394.25,384.65000000000003,617.26,383.96,406.71999999999997,373.23,415.54999999999995,672.16,607.99,546.4599999999999,456.90000000000003,427.48,526.3699999999999,470.44,422.15000000000003,1562.8,436.53999999999996,1553.3,386.85999999999996,718.7399999999999,566.5400000000001,1138.7,425.45,466.71000000000004,440.33,648.54,356.14,337.03000000000003,274.64,550.6600000000001,305.91999999999996,455.21,461.4000000000001,432.21,390.46,292.85,478.59999999999997,537.1,492.96000000000004,400.73,531.89,528.68,588.97,510.86,301.17999999999995,603.77,268.37,269.64,287.4,356.61,506.7,335.91999999999996,452.56,404.90000000000003,1121.9,337.09,343.40000000000003,302.72999999999996,464.96999999999997,439.75,438.4,255.71,251.95999999999998,541.9799999999999,369.23,411.19,578.75,399.0,477.24,534.92,428.78000000000003,258.82,483.99,452.35999999999996,283.08,272.69,491.2299999999999,459.54,768.48,383.48,526.8
2025,325.08,199.59000000000003,337.76,322.63,331.90999999999997,188.87,255.32999999999998,509.11999999999995,319.25,248.76000000000002,274.27,228.34,248.16,188.54999999999998,353.13000000000005,311.42,279.94,292.56,216.65,377.75,247.33000000000004,243.70000000000002,211.47000000000003,203.56,502.14,428.76000000000005,331.92999999999995,298.73,223.43,321.88,324.34,270.48,1175.6,261.90999999999997,1092.3,109.26,546.2,323.04999999999995,742.8000000000001,268.65999999999997,255.59,318.6700000000001,376.60999999999996,220.75,217.68,219.11999999999998,284.02,236.36,322.32,276.84999999999997,219.19000000000003,209.75,231.49999999999997,465.15,282.12999999999994,282.87,204.5,308.37,264.28,138.16,225.32000000000002,232.91,380.05,244.06,217.04,235.42999999999998,225.23,310.83000000000004,261.91999999999996,278.72999999999996,241.24,325.47999999999996,299.58000000000004,161.97,201.72,283.99,224.56000000000003,203.86,206.99,263.06,278.05,203.36,218.33,359.0,221.17000000000002,229.94,336.44,260.8,239.54,202.91,213.3,234.3,258.45,237.53000000000003,212.11999999999998,204.81,240.58,281.77000000000004
2026,344.93999999999994,223.04,350.63,340.35,348.18,184.13,261.94000000000005,508.3,332.23999999999995,259.09999999999997,303.01,253.68999999999997,253.82000000000005,196.73000000000002,382.80999999999995,324.64,317.11000000000007,297.09999999999997,228.60999999999999,372.82000000000005,274.69,252.45999999999998,246.22000000000003,213.29000000000002,479.03000000000003,428.6,449.71,313.85,243.31,339.15,329.82,285.67999999999995,1221.1,274.6,1103.5,175.76000000000002,535.28,337.91999999999996,777.6,286.94,279.71999999999997,336.98,382.48999999999995,226.86,223.07,228.96,312.88,247.24,341.58,281.79999999999995,226.07,225.78000000000003,251.43999999999997,324.45,398.70000000000005,289.40000000000003,292.43,340.5,335.25,210.62,236.95999999999998,257.16999999999996,377.6700000000001,262.0,241.37,273.4,224.85999999999999,402.37,299.13,455.57000000000005,261.84999999999997,351.70000000000005,282.87,179.82,209.81,288.21,230.32,211.72,258.34000000000003,268.33,285.79999999999995,218.85,250.42999999999998,396.61,231.24999999999997,231.79999999999998,349.5,367.28,249.37000000000003,222.42000000000002,223.26999999999998,248.65000000000003,303.19,266.66999999999996,238.51,206.3,273.27,285.8
2027,526.57,295.41999999999996,405.36,528.27,502.65000000000003,281.49,378.78,559.71,394.66,365.25,358.6,336.65999999999997,277.41999999999996,283.66,544.46,525.07,364.36,448.26,250.52,424.24,322.58,329.68,264.09,307.31,522.83,474.29999999999995,463.78,396.42,360.03999999999996,485.51,460.38,361.37,1576.1000000000001,359.61999999999995,1192.5,255.21999999999997,580.8399999999999,395.35,1216.4999999999998,374.37,358.26,527.62,445.15,327.16999999999996,322.23,249.11,386.79,277.02,469.90999999999997,318.62000000000006,295.52000000000004,305.03999999999996,271.83,506.20000000000005,492.41,312.27,432.80999999999995,428.31,467.94,300.01,261.92,301.1,409.53999999999996,281.37,257.57000000000005,304.04,256.01,480.10999999999996,372.11999999999995,342.33,318.37,479.06999999999994,331.20000000000005,287.78,260.35,330.65999999999997,281.16999999999996,237.79000000000002,270.46999999999997,291.82,343.14000000000004,296.76,336.33,480.40999999999997,256.21000000000004,271.04,534.76,418.41999999999996,284.46000000000004,293.1,327.66999999999996,248.08,287.49,398.03000000000003,278.13,379.29,351.18000000000006,331.09000000000003
2028,760.1400000000001,445.9200000000001,424.5,783.66,524.24,294.43,445.62,603.31,438.86,532.76,399.28000000000003,515.8600000000001,381.28000000000003,263.28000000000003,1105.9,521.89,441.65000000000003,495.99,271.58000000000004,476.69000000000005,345.92999999999995,349.43,254.06,376.7,562.75,525.69,477.7,557.23,523.2900000000001,529.0699999999999,1025.3,592.04,1838.5000000000002,436.39,1308.4,165.35000000000002,603.31,427.08,1542.5000000000002,562.31,685.19,772.6,498.89000000000004,391.61999999999995,341.75,258.0,257.5,267.01,428.22,344.31000000000006,321.14,554.06,269.38,252.35000000000002,550.88,346.29999999999995,272.65999999999997,649.1800000000001,238.58,279.41,304.03,270.6,473.25,277.87,260.89,283.22,315.28000000000003,597.76,244.58999999999997,459.41999999999996,520.8100000000001,490.87,236.25,333.94999999999993,252.71999999999997,363.25,317.94,290.14,263.46000000000004,269.22,373.21000000000004,444.24,468.78,646.95,295.90000000000003,283.95,1031.6,440.29999999999995,273.14,648.8100000000001,312.38,266.67,242.89,301.90999999999997,342.73,410.86,246.51,353.98
