,PFlow.csv
2019,1271.2
2020,1716.5
2021,1851.3000000000002
2022,1011.7
2023,750.1999999999999
2024,551.72
2025,389.34999999999997
2026,1128.7
2027,618.74
2028,686.16
2029,1433.5
2030,254.09999999999997
2031,768.8000000000001
2032,688.89
2033,1008.8
2034,330.53999999999996
2035,90.92
2036,292.75
2037,70.272
2038,29.627
2039,0.0
2040,42.417
2041,36.944
2042,789.1999999999999
2043,283.41
2044,490.09
2045,190.14000000000001
2046,53.592
2047,541.95
2048,386.59999999999997
2049,367.42
2050,346.15999999999997
2051,905.8
2052,881.3999999999999
2053,367.52
2054,506.18000000000006
2055,973.4000000000001
2056,786.5
2057,952.2
2058,1081.0
2059,378.01
2060,364.96
2061,816.6
2062,1007.2
2063,593.9300000000001
2064,516.6700000000001
2065,293.9
2066,58.019999999999996
2067,50.748000000000005
2068,148.74
2069,0.5549
2070,7.4488
2071,83.03
2072,312.73
2073,472.09
2074,385.7
2075,955.3000000000001
2076,580.85
2077,1204.1
2078,590.26
2079,525.74
2080,537.98
2081,536.29
2082,9.6873
2083,992.6
2084,514.76
2085,172.79000000000002
2086,252.17999999999998
2087,1031.8
2088,639.06
2089,448.92
2090,136.77
2091,12.037700000000001
2092,91.03000000000002
2093,0.0
2094,0.003468
2095,707.21
2096,1205.1
2097,290.07000000000005
2098,45.018
2099,90.62
