,PFlow.csv
2019,1271.2
2020,2375.5
2021,1421.5
2022,672.92
2023,980.0
2024,1548.3999999999999
2025,861.8
2026,609.24
2027,1366.0000000000002
2028,1947.3999999999999
2029,1223.5000000000002
2030,1120.3999999999999
2031,2299.1000000000004
2032,709.61
2033,241.08
2034,408.93
2035,1289.2
2036,1121.4999999999998
2037,678.68
2038,495.67
2039,2526.2
2040,1947.0
2041,1203.1000000000001
2042,959.9999999999999
2043,1851.6
2044,1363.6999999999998
2045,448.2300000000001
2046,1104.3
2047,1936.2000000000003
2048,1409.1000000000001
2049,1550.9
2050,2590.5
2051,1440.8999999999999
2052,872.0
2053,1792.9
2054,3936.9999999999995
2055,2620.6000000000004
2056,1276.5
2057,1112.1
2058,1334.8
2059,2041.0
2060,784.3
2061,2389.4000000000005
2062,733.54
2063,289.67999999999995
2064,1416.1000000000001
2065,2828.7999999999997
2066,843.9000000000001
2067,2150.6
2068,2693.0
2069,2045.5
2070,1469.5
2071,1131.1
2072,1992.7000000000003
2073,3923.6
2074,1290.8
2075,1938.8000000000002
2076,2808.6
2077,2428.3
2078,902.3
2079,1164.3999999999999
2080,2182.6000000000004
2081,1785.8999999999999
2082,1757.6000000000001
2083,2719.4
2084,1687.6000000000001
2085,2322.6
2086,1811.0
2087,3678.7999999999997
2088,3665.0
2089,3586.1
2090,2952.4
2091,2751.6
2092,1155.0
2093,2402.2000000000003
2094,3133.7
2095,3196.3
2096,1983.6
2097,2479.1
2098,1859.1999999999998
2099,1312.6
