date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1952.0
2021-12-31,2696.0
2022-12-31,2468.0
2023-12-31,3508.0
2024-12-31,3182.0
2025-12-31,2422.0
2026-12-31,1096.0
2027-12-31,3107.0
2028-12-31,3535.0
2029-12-31,4053.0
2030-12-31,3317.0
2031-12-31,2893.0
2032-12-31,5697.0
2033-12-31,2178.0
2034-12-31,1822.0
2035-12-31,2234.0
2036-12-31,3604.0
2037-12-31,4250.0
2038-12-31,2127.0
2039-12-31,3805.0
2040-12-31,1762.0
2041-12-31,2937.0
2042-12-31,3707.0
2043-12-31,1001.0
2044-12-31,2833.0
2045-12-31,2178.0
2046-12-31,1450.0
2047-12-31,2975.0
2048-12-31,3792.0
2049-12-31,2388.0
2050-12-31,2540.0
2051-12-31,4033.0
2052-12-31,2388.0
2053-12-31,3219.0
2054-12-31,4080.0
2055-12-31,2377.0
2056-12-31,4323.0
2057-12-31,1519.0
2058-12-31,4103.0
2059-12-31,3446.0
2060-12-31,4445.0
2061-12-31,2191.0
2062-12-31,3797.0
2063-12-31,929.5
2064-12-31,2401.0
2065-12-31,4778.0
2066-12-31,1705.0
2067-12-31,4286.0
2068-12-31,4276.0
2069-12-31,2761.0
2070-12-31,3804.0
2071-12-31,3239.0
2072-12-31,4198.0
2073-12-31,3545.0
2074-12-31,3090.0
2075-12-31,3799.0
2076-12-31,3633.0
2077-12-31,1990.0
2078-12-31,6479.0
2079-12-31,1935.0
2080-12-31,4932.0
2081-12-31,3584.0
2082-12-31,2247.0
2083-12-31,1211.0
2084-12-31,3006.0
2085-12-31,2199.0
2086-12-31,1098.0
2087-12-31,3938.0
2088-12-31,3298.0
2089-12-31,3837.0
2090-12-31,3413.0
2091-12-31,3199.0
2092-12-31,2601.0
2093-12-31,2658.0
2094-12-31,3660.0
2095-12-31,3645.0
2096-12-31,3690.0
2097-12-31,2359.0
2098-12-31,2252.0
2099-12-31,2395.0
