,PFlow.csv
2019,1271.2
2020,1971.5
2021,946.7
2022,1173.6999999999998
2023,1454.3
2024,1917.3000000000002
2025,1655.3999999999999
2026,2384.8
2027,1278.5
2028,1186.5
2029,1044.5
2030,382.54
2031,723.3199999999999
2032,2224.0
2033,957.5000000000002
2034,553.9499999999999
2035,1115.8999999999999
2036,1005.6
2037,998.3
2038,1733.3000000000002
2039,2062.8
2040,1475.1
2041,815.3000000000001
2042,714.0799999999999
2043,1210.1
2044,917.6999999999999
2045,607.21
2046,668.2
2047,720.6300000000001
2048,813.5999999999999
2049,449.01
2050,1322.0
2051,1696.5
2052,1503.6999999999998
2053,1326.9
2054,2388.7
2055,2325.3
2056,1316.0
2057,1824.2
2058,1772.1000000000001
2059,1363.7
2060,2232.2999999999997
2061,1686.8
2062,1395.1
2063,1759.0
2064,2133.1
2065,905.3
2066,676.03
2067,2008.3000000000002
2068,2181.5
2069,1834.9999999999995
2070,2330.6000000000004
2071,1615.4999999999998
2072,2551.4
2073,1744.9
2074,2015.0
2075,2999.0
2076,3836.1000000000004
2077,2522.4999999999995
2078,1676.9
2079,3283.6
2080,2091.2999999999997
2081,3410.6000000000004
2082,3643.1000000000004
2083,1829.3999999999999
2084,753.9999999999999
2085,1570.8
2086,2557.2
2087,2346.1
2088,2027.4
2089,2725.6
2090,2765.5999999999995
2091,2623.1000000000004
2092,2554.0
2093,4281.700000000001
2094,4493.400000000001
2095,2623.0
2096,2862.4
2097,3051.2
2098,3640.9000000000005
2099,3516.8999999999996
