date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1904.0
2021-12-31,4708.0
2022-12-31,1125.0
2023-12-31,1633.0
2024-12-31,3612.0
2025-12-31,1141.0
2026-12-31,2806.0
2027-12-31,2783.0
2028-12-31,2102.0
2029-12-31,1306.0
2030-12-31,2155.0
2031-12-31,1324.0
2032-12-31,1836.0
2033-12-31,1946.0
2034-12-31,4493.0
2035-12-31,2896.0
2036-12-31,1092.0
2037-12-31,3922.0
2038-12-31,5563.0
2039-12-31,2965.0
2040-12-31,2497.0
2041-12-31,2572.0
2042-12-31,2211.0
2043-12-31,3907.0
2044-12-31,2253.0
2045-12-31,1428.0
2046-12-31,5368.0
2047-12-31,1392.0
2048-12-31,1996.0
2049-12-31,1802.0
2050-12-31,1035.0
2051-12-31,3767.0
2052-12-31,2570.0
2053-12-31,3403.0
2054-12-31,1802.0
2055-12-31,677.4
2056-12-31,4145.0
2057-12-31,2498.0
2058-12-31,3582.0
2059-12-31,5567.0
2060-12-31,1005.0
2061-12-31,2997.0
2062-12-31,855.9
2063-12-31,444.9
2064-12-31,1164.0
2065-12-31,5421.0
2066-12-31,1487.0
2067-12-31,1938.0
2068-12-31,1138.0
2069-12-31,2645.0
2070-12-31,1809.0
2071-12-31,1668.0
2072-12-31,1320.0
2073-12-31,3487.0
2074-12-31,1679.0
2075-12-31,523.0
2076-12-31,2461.0
2077-12-31,1468.0
2078-12-31,1097.0
2079-12-31,3323.0
2080-12-31,1266.0
2081-12-31,4607.0
2082-12-31,1436.0
2083-12-31,7181.0
2084-12-31,2662.0
2085-12-31,2447.0
2086-12-31,2173.0
2087-12-31,904.9
2088-12-31,2899.0
2089-12-31,879.3
2090-12-31,1188.0
2091-12-31,896.3
2092-12-31,1384.0
2093-12-31,816.5
2094-12-31,829.6
2095-12-31,3984.0
2096-12-31,4131.0
2097-12-31,954.8
2098-12-31,2964.0
2099-12-31,2253.0
