,PFlow.csv
2019,1271.2
2020,1560.0
2021,559.42
2022,440.95000000000005
2023,170.9
2024,442.68
2025,453.2299999999999
2026,267.96
2027,203.73000000000002
2028,552.87
2029,978.3999999999999
2030,593.8299999999999
2031,236.31
2032,533.08
2033,250.44
2034,312.01
2035,505.47999999999996
2036,418.03
2037,0.0
2038,116.5
2039,628.05
2040,0.0
2041,209.71
2042,144.97
2043,922.4000000000001
2044,40.525999999999996
2045,225.69
2046,250.72000000000003
2047,434.49000000000007
2048,313.59
2049,476.61999999999995
2050,535.5699999999999
2051,43.721
2052,406.37
2053,704.01
2054,440.36
2055,4.4319
2056,715.56
2057,181.04000000000002
2058,217.39
2059,211.45
2060,233.18000000000004
2061,264.8
2062,346.58000000000004
2063,179.78
2064,454.69000000000005
2065,397.68000000000006
2066,157.85999999999999
2067,269.19000000000005
2068,678.3899999999999
2069,687.78
2070,436.99999999999994
2071,53.50600000000001
2072,97.52
2073,132.75
2074,273.88000000000005
2075,908.3
2076,531.94
2077,0.75905
2078,771.8000000000001
2079,511.34
2080,363.96999999999997
2081,1285.3000000000002
2082,717.01
2083,1084.3
2084,411.96999999999997
2085,931.9000000000001
2086,438.6
2087,521.99
2088,232.73000000000002
2089,139.12
2090,333.73999999999995
2091,99.18
2092,611.6899999999999
2093,303.55999999999995
2094,133.42
2095,333.47999999999996
2096,79.52
2097,20.963
2098,0.1588
2099,0.0
