date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1473.0
2021-12-31,1951.0
2022-12-31,1230.0
2023-12-31,1920.0
2024-12-31,2993.0
2025-12-31,2441.0
2026-12-31,2337.0
2027-12-31,2244.0
2028-12-31,3752.0
2029-12-31,1399.0
2030-12-31,1016.0
2031-12-31,1972.0
2032-12-31,1582.0
2033-12-31,4737.0
2034-12-31,1659.0
2035-12-31,2007.0
2036-12-31,2230.0
2037-12-31,1974.0
2038-12-31,1873.0
2039-12-31,2081.0
2040-12-31,999.0
2041-12-31,2498.0
2042-12-31,2562.0
2043-12-31,3915.0
2044-12-31,1397.0
2045-12-31,1647.0
2046-12-31,3655.0
2047-12-31,2694.0
2048-12-31,4462.0
2049-12-31,2177.0
2050-12-31,886.8
2051-12-31,1635.0
2052-12-31,3584.0
2053-12-31,3661.0
2054-12-31,2274.0
2055-12-31,1902.0
2056-12-31,2172.0
2057-12-31,1807.0
2058-12-31,2036.0
2059-12-31,1738.0
2060-12-31,2371.0
2061-12-31,2172.0
2062-12-31,1697.0
2063-12-31,2023.0
2064-12-31,2382.0
2065-12-31,2437.0
2066-12-31,2283.0
2067-12-31,4231.0
2068-12-31,2516.0
2069-12-31,7301.0
2070-12-31,1888.0
2071-12-31,3139.0
2072-12-31,1965.0
2073-12-31,2831.0
2074-12-31,2273.0
2075-12-31,1914.0
2076-12-31,1489.0
2077-12-31,3901.0
2078-12-31,1625.0
2079-12-31,2220.0
2080-12-31,3251.0
2081-12-31,1977.0
2082-12-31,1509.0
2083-12-31,3306.0
2084-12-31,1911.0
2085-12-31,2828.0
2086-12-31,2390.0
2087-12-31,1988.0
2088-12-31,2940.0
2089-12-31,1195.0
2090-12-31,2331.0
2091-12-31,1991.0
2092-12-31,2632.0
2093-12-31,2402.0
2094-12-31,1807.0
2095-12-31,1844.0
2096-12-31,2225.0
2097-12-31,2248.0
2098-12-31,1401.0
2099-12-31,3038.0
