,PFlow.csv
2019,1271.2
2020,2356.5
2021,1378.6
2022,993.0
2023,739.6
2024,618.11
2025,784.9000000000001
2026,981.1999999999999
2027,534.8299999999999
2028,425.14000000000004
2029,1173.1000000000001
2030,112.02999999999997
2031,985.5
2032,543.68
2033,590.17
2034,926.8
2035,589.56
2036,400.76000000000005
2037,603.77
2038,1241.7999999999997
2039,1502.0
2040,488.66999999999996
2041,906.8999999999999
2042,1232.2
2043,1154.6000000000001
2044,455.52000000000004
2045,538.61
2046,1222.3
2047,572.52
2048,353.11
2049,345.94
2050,546.28
2051,925.2
2052,926.8
2053,1460.9
2054,546.72
2055,999.6999999999999
2056,960.9000000000001
2057,700.2699999999999
2058,705.1500000000001
2059,309.08
2060,681.17
2061,638.0399999999998
2062,1032.6999999999998
2063,439.9
2064,651.13
2065,1748.6000000000001
2066,794.0000000000001
2067,265.72
2068,1218.7
2069,775.3
2070,511.01
2071,591.46
2072,513.88
2073,703.4899999999999
2074,952.0
2075,389.90999999999997
2076,882.5999999999999
2077,954.5000000000001
2078,1130.5
2079,506.03999999999996
2080,620.6399999999999
2081,558.5
2082,1228.5
2083,623.14
2084,433.47999999999996
2085,141.55
2086,567.7700000000001
2087,191.10000000000002
2088,590.09
2089,292.91999999999996
2090,843.7000000000002
2091,526.13
2092,1449.4
2093,861.0
2094,1113.3999999999999
2095,1323.3
2096,1380.7
2097,1282.6999999999998
2098,1558.6000000000001
2099,1242.3999999999999
