date,PFlow.csv
2019-12-31,2829.0
2020-12-31,3895.0
2021-12-31,1546.0
2022-12-31,2930.0
2023-12-31,2938.0
2024-12-31,4339.0
2025-12-31,4379.0
2026-12-31,2010.0
2027-12-31,770.7
2028-12-31,2936.0
2029-12-31,1746.0
2030-12-31,1567.0
2031-12-31,2119.0
2032-12-31,1594.0
2033-12-31,1655.0
2034-12-31,2016.0
2035-12-31,2464.0
2036-12-31,2274.0
2037-12-31,3071.0
2038-12-31,3542.0
2039-12-31,1750.0
2040-12-31,1906.0
2041-12-31,4530.0
2042-12-31,1519.0
2043-12-31,2855.0
2044-12-31,1617.0
2045-12-31,2309.0
2046-12-31,1928.0
2047-12-31,1189.0
2048-12-31,950.4
2049-12-31,1834.0
2050-12-31,2299.0
2051-12-31,5206.0
2052-12-31,2161.0
2053-12-31,3724.0
2054-12-31,2888.0
2055-12-31,2054.0
2056-12-31,3540.0
2057-12-31,1643.0
2058-12-31,1800.0
2059-12-31,2197.0
2060-12-31,1549.0
2061-12-31,2213.0
2062-12-31,2096.0
2063-12-31,1936.0
2064-12-31,3825.0
2065-12-31,2785.0
2066-12-31,1908.0
2067-12-31,1953.0
2068-12-31,2016.0
2069-12-31,2728.0
2070-12-31,2363.0
2071-12-31,2535.0
2072-12-31,2415.0
2073-12-31,2470.0
2074-12-31,2723.0
2075-12-31,2694.0
2076-12-31,1249.0
2077-12-31,2119.0
2078-12-31,1485.0
2079-12-31,4198.0
2080-12-31,2132.0
2081-12-31,2778.0
2082-12-31,1917.0
2083-12-31,2925.0
2084-12-31,822.5
2085-12-31,1843.0
2086-12-31,1905.0
2087-12-31,2133.0
2088-12-31,1364.0
2089-12-31,2026.0
2090-12-31,2211.0
2091-12-31,4090.0
2092-12-31,2597.0
2093-12-31,2783.0
2094-12-31,2764.0
2095-12-31,1787.0
2096-12-31,3229.0
2097-12-31,2601.0
2098-12-31,2818.0
2099-12-31,2823.0
