date,PFlow.csv
2019-12-31,2829.0
2020-12-31,2720.0
2021-12-31,2459.0
2022-12-31,5283.0
2023-12-31,2312.0
2024-12-31,1767.0
2025-12-31,2943.0
2026-12-31,4243.0
2027-12-31,3359.0
2028-12-31,4363.0
2029-12-31,4369.0
2030-12-31,3047.0
2031-12-31,2299.0
2032-12-31,2658.0
2033-12-31,4634.0
2034-12-31,2494.0
2035-12-31,2246.0
2036-12-31,2966.0
2037-12-31,7735.0
2038-12-31,4458.0
2039-12-31,2793.0
2040-12-31,2104.0
2041-12-31,4496.0
2042-12-31,1949.0
2043-12-31,2435.0
2044-12-31,3471.0
2045-12-31,2369.0
2046-12-31,3796.0
2047-12-31,2268.0
2048-12-31,2515.0
2049-12-31,3092.0
2050-12-31,1873.0
2051-12-31,2927.0
2052-12-31,4988.0
2053-12-31,2135.0
2054-12-31,2612.0
2055-12-31,1332.0
2056-12-31,3271.0
2057-12-31,3118.0
2058-12-31,1283.0
2059-12-31,3961.0
2060-12-31,2765.0
2061-12-31,1315.0
2062-12-31,5735.0
2063-12-31,1599.0
2064-12-31,4205.0
2065-12-31,2238.0
2066-12-31,4025.0
2067-12-31,7448.0
2068-12-31,5401.0
2069-12-31,5385.0
2070-12-31,3399.0
2071-12-31,2986.0
2072-12-31,5026.0
2073-12-31,2211.0
2074-12-31,3201.0
2075-12-31,2761.0
2076-12-31,4600.0
2077-12-31,4515.0
2078-12-31,1096.0
2079-12-31,3879.0
2080-12-31,5488.0
2081-12-31,3444.0
2082-12-31,7502.0
2083-12-31,2125.0
2084-12-31,1509.0
2085-12-31,3133.0
2086-12-31,2592.0
2087-12-31,3766.0
2088-12-31,3085.0
2089-12-31,6082.0
2090-12-31,2090.0
2091-12-31,3526.0
2092-12-31,3238.0
2093-12-31,5073.0
2094-12-31,2318.0
2095-12-31,3347.0
2096-12-31,3693.0
2097-12-31,6164.0
2098-12-31,1139.0
2099-12-31,3844.0
