,PFlow.csv
2019,1271.2
2020,878.1
2021,323.69
2022,238.71
2023,594.12
2024,175.94
2025,569.5
2026,260.87
2027,794.1999999999999
2028,360.2
2029,528.5600000000001
2030,346.43
2031,1641.8999999999999
2032,1218.3999999999999
2033,1073.6
2034,1543.0
2035,968.4
2036,1365.3
2037,931.3
2038,1172.6
2039,1260.6999999999998
2040,1195.1000000000001
2041,1174.2
2042,638.49
2043,1413.0000000000002
2044,1275.3999999999999
2045,551.14
2046,583.1
2047,707.57
2048,346.36
2049,771.2
2050,320.35999999999996
2051,1459.4
2052,1139.7
2053,599.3900000000001
2054,592.1
2055,222.20999999999998
2056,123.88
2057,381.02
2058,847.4999999999999
2059,379.48
2060,359.52000000000004
2061,3.6137000000000006
2062,335.37
2063,230.0
2064,349.55
2065,61.251999999999995
2066,121.5
2067,505.34000000000003
2068,1270.1
2069,796.9999999999999
2070,574.33
2071,157.01
2072,453.25999999999993
2073,436.63
2074,85.75900000000001
2075,601.43
2076,1201.1000000000001
2077,1488.3
2078,1330.0
2079,984.6999999999999
2080,776.5
2081,1756.3000000000002
2082,1121.9
2083,796.0999999999999
2084,673.4799999999999
2085,520.06
2086,567.87
2087,227.18
2088,558.26
2089,494.84000000000003
2090,460.27
2091,268.15999999999997
2092,103.60000000000001
2093,183.43
2094,332.95
2095,210.81
2096,537.19
2097,323.94000000000005
2098,470.22999999999996
2099,966.0
