,PFlow.csv
2019,1271.2
2020,1804.5000000000002
2021,470.0
2022,1505.3999999999999
2023,662.21
2024,136.32000000000002
2025,192.12
2026,547.63
2027,569.7
2028,583.32
2029,151.48
2030,369.32
2031,490.81
2032,1693.6
2033,954.6
2034,1665.7
2035,922.9000000000001
2036,825.7999999999998
2037,391.24
2038,782.4
2039,630.42
2040,1309.4999999999998
2041,2794.8
2042,1585.4999999999998
2043,574.23
2044,748.4
2045,2323.2000000000003
2046,1236.5
2047,2183.1
2048,579.5500000000001
2049,652.77
2050,669.41
2051,751.3000000000001
2052,742.89
2053,7.086799999999999
2054,760.5
2055,0.0
2056,217.57
2057,3.3447000000000005
2058,467.21000000000004
2059,531.51
2060,646.3100000000001
2061,551.02
2062,199.54999999999995
2063,389.07000000000005
2064,1246.7
2065,441.5
2066,1478.7
2067,1440.6000000000001
2068,1239.6
2069,664.0999999999999
2070,309.99
2071,230.00999999999996
2072,536.27
2073,65.592
2074,784.1
2075,117.45000000000002
2076,0.0
2077,236.1
2078,3.8014000000000006
2079,345.53000000000003
2080,823.5
2081,1728.5
2082,1230.8
2083,381.38
2084,784.9
2085,1726.3
2086,1231.1
2087,335.46999999999997
2088,1279.3000000000002
2089,402.68
2090,1156.6000000000001
2091,1876.6999999999998
2092,902.8000000000001
2093,1579.1000000000001
2094,1698.6
2095,1552.2000000000003
2096,1395.0
2097,1193.0
2098,1408.2000000000003
2099,552.34
