date,PFlow.csv
2019-12-31,2829.0
2020-12-31,3334.0
2021-12-31,2137.0
2022-12-31,2813.0
2023-12-31,3778.0
2024-12-31,1418.0
2025-12-31,5541.0
2026-12-31,947.0
2027-12-31,1750.0
2028-12-31,4418.0
2029-12-31,4122.0
2030-12-31,3615.0
2031-12-31,2144.0
2032-12-31,3692.0
2033-12-31,1814.0
2034-12-31,3370.0
2035-12-31,3192.0
2036-12-31,3132.0
2037-12-31,6595.0
2038-12-31,3313.0
2039-12-31,4588.0
2040-12-31,3712.0
2041-12-31,3005.0
2042-12-31,5152.0
2043-12-31,3672.0
2044-12-31,6875.0
2045-12-31,3989.0
2046-12-31,2542.0
2047-12-31,3589.0
2048-12-31,2102.0
2049-12-31,3776.0
2050-12-31,2907.0
2051-12-31,3867.0
2052-12-31,2405.0
2053-12-31,1361.0
2054-12-31,1749.0
2055-12-31,4483.0
2056-12-31,2592.0
2057-12-31,2836.0
2058-12-31,2549.0
2059-12-31,2573.0
2060-12-31,4311.0
2061-12-31,3506.0
2062-12-31,6767.0
2063-12-31,4700.0
2064-12-31,3532.0
2065-12-31,3398.0
2066-12-31,4198.0
2067-12-31,7973.0
2068-12-31,3111.0
2069-12-31,2988.0
2070-12-31,5459.0
2071-12-31,2525.0
2072-12-31,3130.0
2073-12-31,2820.0
2074-12-31,3022.0
2075-12-31,1950.0
2076-12-31,3820.0
2077-12-31,6536.0
2078-12-31,2261.0
2079-12-31,2873.0
2080-12-31,1834.0
2081-12-31,3823.0
2082-12-31,3025.0
2083-12-31,4635.0
2084-12-31,1508.0
2085-12-31,2383.0
2086-12-31,1988.0
2087-12-31,2569.0
2088-12-31,6551.0
2089-12-31,14930.0
2090-12-31,1796.0
2091-12-31,12280.0
2092-12-31,2053.0
2093-12-31,12010.0
2094-12-31,4222.0
2095-12-31,3292.0
2096-12-31,3177.0
2097-12-31,4507.0
2098-12-31,4113.0
2099-12-31,9322.0
