,PFlow.csv
2019,1271.2
2020,2142.1
2021,1400.3
2022,828.9000000000001
2023,1751.3000000000002
2024,946.1999999999999
2025,1266.5
2026,528.26
2027,658.8899999999999
2028,445.31999999999994
2029,780.4
2030,681.4
2031,70.76899999999999
2032,0.0
2033,422.15000000000003
2034,1108.3
2035,506.17
2036,186.99
2037,1423.9
2038,728.4299999999998
2039,943.8
2040,636.85
2041,0.0
2042,1678.9999999999998
2043,608.6300000000001
2044,1125.3
2045,334.17
2046,825.3
2047,848.5
2048,961.6
2049,559.5199999999999
2050,839.1
2051,1210.3
2052,1858.4
2053,1164.2
2054,1766.8999999999999
2055,673.83
2056,23.58
2057,516.09
2058,885.3000000000001
2059,492.79
2060,64.422
2061,149.76000000000002
2062,1134.6
2063,769.0600000000001
2064,1950.1000000000001
2065,1660.8999999999999
2066,645.09
2067,454.50000000000006
2068,443.68000000000006
2069,314.70000000000005
2070,115.46
2071,663.98
2072,427.15
2073,737.6899999999999
2074,710.3100000000001
2075,56.986999999999995
2076,382.86
2077,201.87999999999997
2078,165.56
2079,463.78
2080,445.12
2081,238.86
2082,306.84
2083,716.31
2084,304.16999999999996
2085,1219.3000000000002
2086,1846.2
2087,1101.0
2088,1023.3
2089,456.74999999999994
2090,512.89
2091,1313.4
2092,1205.5
2093,899.4999999999999
2094,538.0
2095,1029.5
2096,770.27
2097,595.22
2098,755.4999999999999
2099,194.32
