date,PFlow.csv
2019-12-31,2829.0
2020-12-31,2321.0
2021-12-31,974.9
2022-12-31,3693.0
2023-12-31,4012.0
2024-12-31,2898.0
2025-12-31,4400.0
2026-12-31,3026.0
2027-12-31,2329.0
2028-12-31,3553.0
2029-12-31,3995.0
2030-12-31,1547.0
2031-12-31,1066.0
2032-12-31,3722.0
2033-12-31,1197.0
2034-12-31,1929.0
2035-12-31,1795.0
2036-12-31,1268.0
2037-12-31,5516.0
2038-12-31,1842.0
2039-12-31,6474.0
2040-12-31,1518.0
2041-12-31,2892.0
2042-12-31,5229.0
2043-12-31,2082.0
2044-12-31,4407.0
2045-12-31,3333.0
2046-12-31,4079.0
2047-12-31,1208.0
2048-12-31,2728.0
2049-12-31,2383.0
2050-12-31,3084.0
2051-12-31,4698.0
2052-12-31,923.5
2053-12-31,6085.0
2054-12-31,2345.0
2055-12-31,1115.0
2056-12-31,1641.0
2057-12-31,1750.0
2058-12-31,1534.0
2059-12-31,4281.0
2060-12-31,4593.0
2061-12-31,3684.0
2062-12-31,3794.0
2063-12-31,2610.0
2064-12-31,4436.0
2065-12-31,2255.0
2066-12-31,1432.0
2067-12-31,2380.0
2068-12-31,942.3
2069-12-31,5484.0
2070-12-31,1933.0
2071-12-31,8068.0
2072-12-31,2399.0
2073-12-31,1601.0
2074-12-31,1865.0
2075-12-31,1933.0
2076-12-31,2688.0
2077-12-31,1101.0
2078-12-31,3130.0
2079-12-31,2113.0
2080-12-31,7193.0
2081-12-31,4562.0
2082-12-31,4642.0
2083-12-31,10710.0
2084-12-31,3960.0
2085-12-31,13740.0
2086-12-31,2558.0
2087-12-31,3895.0
2088-12-31,1475.0
2089-12-31,2470.0
2090-12-31,4035.0
2091-12-31,1268.0
2092-12-31,7816.0
2093-12-31,5350.0
2094-12-31,4077.0
2095-12-31,4343.0
2096-12-31,1373.0
2097-12-31,2294.0
2098-12-31,10660.0
2099-12-31,1904.0
