date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1290.0
2021-12-31,3895.0
2022-12-31,1259.0
2023-12-31,2301.0
2024-12-31,4289.0
2025-12-31,4462.0
2026-12-31,3123.0
2027-12-31,1431.0
2028-12-31,4254.0
2029-12-31,981.5
2030-12-31,3183.0
2031-12-31,6812.0
2032-12-31,1987.0
2033-12-31,1959.0
2034-12-31,4702.0
2035-12-31,7051.0
2036-12-31,1975.0
2037-12-31,4505.0
2038-12-31,2740.0
2039-12-31,7586.0
2040-12-31,1421.0
2041-12-31,2591.0
2042-12-31,4218.0
2043-12-31,1764.0
2044-12-31,862.4
2045-12-31,6503.0
2046-12-31,1457.0
2047-12-31,2485.0
2048-12-31,2084.0
2049-12-31,1202.0
2050-12-31,3553.0
2051-12-31,972.0
2052-12-31,2141.0
2053-12-31,2345.0
2054-12-31,2684.0
2055-12-31,2574.0
2056-12-31,3483.0
2057-12-31,2462.0
2058-12-31,1908.0
2059-12-31,3557.0
2060-12-31,6228.0
2061-12-31,1461.0
2062-12-31,1450.0
2063-12-31,4588.0
2064-12-31,4716.0
2065-12-31,3251.0
2066-12-31,3550.0
2067-12-31,5438.0
2068-12-31,3821.0
2069-12-31,5431.0
2070-12-31,1687.0
2071-12-31,3059.0
2072-12-31,2129.0
2073-12-31,2883.0
2074-12-31,1769.0
2075-12-31,3037.0
2076-12-31,5618.0
2077-12-31,3483.0
2078-12-31,5857.0
2079-12-31,2774.0
2080-12-31,6088.0
2081-12-31,2567.0
2082-12-31,1139.0
2083-12-31,3602.0
2084-12-31,1239.0
2085-12-31,1042.0
2086-12-31,3754.0
2087-12-31,5466.0
2088-12-31,3207.0
2089-12-31,1938.0
2090-12-31,5889.0
2091-12-31,2725.0
2092-12-31,2265.0
2093-12-31,2368.0
2094-12-31,5541.0
2095-12-31,5400.0
2096-12-31,2172.0
2097-12-31,4644.0
2098-12-31,1983.0
2099-12-31,2190.0
