date,PFlow.csv
2019-12-31,2829.0
2020-12-31,2993.0
2021-12-31,1580.0
2022-12-31,3826.0
2023-12-31,2439.0
2024-12-31,3700.0
2025-12-31,2710.0
2026-12-31,1443.0
2027-12-31,2800.0
2028-12-31,2103.0
2029-12-31,2704.0
2030-12-31,1803.0
2031-12-31,1716.0
2032-12-31,3575.0
2033-12-31,1409.0
2034-12-31,2421.0
2035-12-31,2569.0
2036-12-31,2158.0
2037-12-31,1088.0
2038-12-31,2781.0
2039-12-31,3562.0
2040-12-31,2458.0
2041-12-31,3110.0
2042-12-31,2286.0
2043-12-31,2174.0
2044-12-31,4781.0
2045-12-31,2692.0
2046-12-31,1207.0
2047-12-31,1535.0
2048-12-31,2871.0
2049-12-31,2302.0
2050-12-31,2449.0
2051-12-31,2561.0
2052-12-31,3108.0
2053-12-31,4096.0
2054-12-31,1656.0
2055-12-31,1327.0
2056-12-31,1280.0
2057-12-31,1617.0
2058-12-31,1508.0
2059-12-31,1974.0
2060-12-31,5038.0
2061-12-31,3883.0
2062-12-31,3996.0
2063-12-31,932.4
2064-12-31,2318.0
2065-12-31,1702.0
2066-12-31,1200.0
2067-12-31,3302.0
2068-12-31,3328.0
2069-12-31,1785.0
2070-12-31,1536.0
2071-12-31,2255.0
2072-12-31,1508.0
2073-12-31,1880.0
2074-12-31,3574.0
2075-12-31,858.4
2076-12-31,1545.0
2077-12-31,2702.0
2078-12-31,2251.0
2079-12-31,1106.0
2080-12-31,4179.0
2081-12-31,1982.0
2082-12-31,1984.0
2083-12-31,1797.0
2084-12-31,2513.0
2085-12-31,2282.0
2086-12-31,2621.0
2087-12-31,2240.0
2088-12-31,2746.0
2089-12-31,1793.0
2090-12-31,2331.0
2091-12-31,1496.0
2092-12-31,2090.0
2093-12-31,3365.0
2094-12-31,2714.0
2095-12-31,2058.0
2096-12-31,1014.0
2097-12-31,2506.0
2098-12-31,4775.0
2099-12-31,2464.0
