,PFlow.csv
2019,1271.2
2020,1364.6
2021,766.8999999999999
2022,1433.7000000000003
2023,374.34999999999997
2024,814.7
2025,1100.9
2026,1061.8
2027,990.6
2028,484.66999999999996
2029,243.45999999999998
2030,400.04
2031,912.0999999999999
2032,70.38099999999999
2033,965.4999999999999
2034,1933.4999999999998
2035,586.03
2036,748.72
2037,472.7900000000001
2038,2111.7
2039,762.9
2040,112.88999999999999
2041,423.07
2042,1131.9
2043,758.4
2044,853.4999999999999
2045,513.0999999999999
2046,1714.6999999999998
2047,1137.8999999999999
2048,790.0000000000001
2049,841.4
2050,480.92
2051,289.27000000000004
2052,51.931999999999995
2053,598.9899999999999
2054,965.8999999999999
2055,344.56
2056,501.50999999999993
2057,1004.8
2058,904.4
2059,715.0799999999999
2060,1154.3
2061,1257.2
2062,2353.0
2063,1613.4
2064,2172.8
2065,876.8000000000001
2066,228.49
2067,824.3999999999999
2068,461.84999999999997
2069,253.86
2070,1273.1999999999998
2071,1599.3
2072,1212.1999999999998
2073,1253.7
2074,434.78000000000003
2075,541.07
2076,652.15
2077,216.49
2078,1956.5
2079,1644.8
2080,1566.5
2081,1009.8000000000001
2082,1624.0
2083,1038.9999999999998
2084,1211.7
2085,474.58
2086,394.67999999999995
2087,2.476
2088,29.677999999999997
2089,445.51
2090,56.885999999999996
2091,6.615340000000001
2092,283.45000000000005
2093,1337.4
2094,920.8000000000001
2095,524.86
2096,303.96
2097,309.54
2098,194.97
2099,516.88
