date,PFlow.csv
2019-12-31,2829.0
2020-12-31,3020.0
2021-12-31,3007.0
2022-12-31,3214.0
2023-12-31,4141.0
2024-12-31,2726.0
2025-12-31,2988.0
2026-12-31,4308.0
2027-12-31,3780.0
2028-12-31,2594.0
2029-12-31,2059.0
2030-12-31,2732.0
2031-12-31,1790.0
2032-12-31,2499.0
2033-12-31,3893.0
2034-12-31,3183.0
2035-12-31,5300.0
2036-12-31,4302.0
2037-12-31,1437.0
2038-12-31,1979.0
2039-12-31,2435.0
2040-12-31,2465.0
2041-12-31,3043.0
2042-12-31,1637.0
2043-12-31,1895.0
2044-12-31,1744.0
2045-12-31,4261.0
2046-12-31,2464.0
2047-12-31,1478.0
2048-12-31,1711.0
2049-12-31,4046.0
2050-12-31,2237.0
2051-12-31,2384.0
2052-12-31,2004.0
2053-12-31,2077.0
2054-12-31,2386.0
2055-12-31,2031.0
2056-12-31,2082.0
2057-12-31,2203.0
2058-12-31,2111.0
2059-12-31,2079.0
2060-12-31,1792.0
2061-12-31,2137.0
2062-12-31,2890.0
2063-12-31,1732.0
2064-12-31,3995.0
2065-12-31,2724.0
2066-12-31,2810.0
2067-12-31,2743.0
2068-12-31,3537.0
2069-12-31,2715.0
2070-12-31,2138.0
2071-12-31,2367.0
2072-12-31,2127.0
2073-12-31,2091.0
2074-12-31,3700.0
2075-12-31,1747.0
2076-12-31,2585.0
2077-12-31,3830.0
2078-12-31,2534.0
2079-12-31,1890.0
2080-12-31,2272.0
2081-12-31,1639.0
2082-12-31,1888.0
2083-12-31,2926.0
2084-12-31,2080.0
2085-12-31,2597.0
2086-12-31,1784.0
2087-12-31,2508.0
2088-12-31,3332.0
2089-12-31,2614.0
2090-12-31,2870.0
2091-12-31,5770.0
2092-12-31,1725.0
2093-12-31,2519.0
2094-12-31,3287.0
2095-12-31,3498.0
2096-12-31,1428.0
2097-12-31,3370.0
2098-12-31,2217.0
2099-12-31,3887.0
