,PFlow.csv
2019,1271.2
2020,1906.2000000000003
2021,1186.9
2022,1113.2
2023,617.01
2024,358.32
2025,966.8
2026,398.1
2027,619.3
2028,81.318
2029,476.01000000000005
2030,1043.6
2031,875.4
2032,589.72
2033,1044.0
2034,393.81
2035,1187.6
2036,816.4
2037,1259.9
2038,734.48
2039,765.5
2040,1024.9
2041,1408.9
2042,875.9000000000001
2043,840.0
2044,414.27
2045,747.0
2046,1260.8
2047,538.94
2048,265.73
2049,37.699999999999996
2050,474.0400000000001
2051,453.52
2052,596.1099999999999
2053,356.15000000000003
2054,348.0799999999999
2055,632.04
2056,288.63
2057,523.78
2058,179.22
2059,203.5
2060,378.22
2061,439.60999999999996
2062,397.57000000000005
2063,735.71
2064,188.07
2065,11.0995
2066,387.29999999999995
2067,72.404
2068,353.79
2069,809.9
2070,277.94
2071,210.27
2072,333.79
2073,113.42
2074,431.96
2075,381.07
2076,330.93000000000006
2077,124.42999999999999
2078,154.66
2079,103.16000000000001
2080,357.40000000000003
2081,117.08
2082,584.37
2083,820.6
2084,472.25
2085,364.11
2086,1059.7
2087,430.03999999999996
2088,980.1
2089,391.65
2090,515.1199999999999
2091,643.3399999999999
2092,196.10999999999999
2093,102.92999999999999
2094,66.195
2095,468.48
2096,110.74000000000001
2097,0.0
2098,229.44000000000005
2099,138.16000000000003
