,PFlow.csv
2019,1271.2
2020,1856.8
2021,780.0
2022,869.4999999999999
2023,1500.3000000000002
2024,289.26
2025,1040.3999999999999
2026,310.23
2027,936.3999999999999
2028,648.9000000000001
2029,666.9
2030,540.24
2031,646.4100000000001
2032,466.41
2033,388.96999999999997
2034,46.685
2035,350.40999999999997
2036,895.1999999999999
2037,1105.1999999999998
2038,1198.4999999999998
2039,403.32
2040,697.93
2041,353.11
2042,384.59000000000003
2043,447.35
2044,385.77
2045,1505.8000000000002
2046,653.61
2047,1144.3
2048,1203.7
2049,1555.9
2050,848.6
2051,950.5
2052,1025.7
2053,549.48
2054,625.11
2055,1198.3
2056,510.36
2057,404.6
2058,487.36999999999995
2059,172.78
2060,308.24
2061,364.71000000000004
2062,403.08000000000004
2063,463.99000000000007
2064,1340.5000000000002
2065,658.98
2066,418.01
2067,756.6999999999999
2068,379.93
2069,508.79
2070,528.3100000000001
2071,548.14
2072,131.38
2073,0.0
2074,47.928
2075,510.19999999999993
2076,320.08000000000004
2077,115.49
2078,53.218
2079,653.8299999999999
2080,589.06
2081,257.89
2082,0.5817
2083,120.2
2084,409.72999999999996
2085,931.6
2086,475.47999999999996
2087,137.93999999999997
2088,116.63999999999999
2089,223.02
2090,433.52000000000004
2091,98.37000000000002
2092,433.1400000000001
2093,327.95000000000005
2094,465.65999999999997
2095,526.33
2096,673.16
2097,249.22
2098,38.664
2099,487.09000000000003
