date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1852.0
2021-12-31,3245.0
2022-12-31,3922.0
2023-12-31,1572.0
2024-12-31,2691.0
2025-12-31,1568.0
2026-12-31,2193.0
2027-12-31,2023.0
2028-12-31,1905.0
2029-12-31,2201.0
2030-12-31,1749.0
2031-12-31,4343.0
2032-12-31,1790.0
2033-12-31,713.5
2034-12-31,2322.0
2035-12-31,2933.0
2036-12-31,1901.0
2037-12-31,4682.0
2038-12-31,1624.0
2039-12-31,3565.0
2040-12-31,1745.0
2041-12-31,3068.0
2042-12-31,2309.0
2043-12-31,2034.0
2044-12-31,2792.0
2045-12-31,2037.0
2046-12-31,3177.0
2047-12-31,3235.0
2048-12-31,2374.0
2049-12-31,2871.0
2050-12-31,3102.0
2051-12-31,2683.0
2052-12-31,3156.0
2053-12-31,2535.0
2054-12-31,2190.0
2055-12-31,2825.0
2056-12-31,1674.0
2057-12-31,2399.0
2058-12-31,1802.0
2059-12-31,2350.0
2060-12-31,1538.0
2061-12-31,3014.0
2062-12-31,2110.0
2063-12-31,5230.0
2064-12-31,1177.0
2065-12-31,2343.0
2066-12-31,1539.0
2067-12-31,1617.0
2068-12-31,1685.0
2069-12-31,2876.0
2070-12-31,1700.0
2071-12-31,1846.0
2072-12-31,533.2
2073-12-31,1427.0
2074-12-31,1369.0
2075-12-31,1813.0
2076-12-31,6052.0
2077-12-31,1384.0
2078-12-31,2814.0
2079-12-31,2359.0
2080-12-31,1003.0
2081-12-31,2825.0
2082-12-31,1717.0
2083-12-31,2069.0
2084-12-31,2372.0
2085-12-31,2181.0
2086-12-31,1416.0
2087-12-31,3572.0
2088-12-31,959.8
2089-12-31,3493.0
2090-12-31,1346.0
2091-12-31,3435.0
2092-12-31,1440.0
2093-12-31,2550.0
2094-12-31,1654.0
2095-12-31,2687.0
2096-12-31,1703.0
2097-12-31,1915.0
2098-12-31,3202.0
2099-12-31,1972.0
