date,PFlow.csv
2019-12-31,2829.0
2020-12-31,3572.0
2021-12-31,2181.0
2022-12-31,2510.0
2023-12-31,1719.0
2024-12-31,2243.0
2025-12-31,2027.0
2026-12-31,2045.0
2027-12-31,2459.0
2028-12-31,1627.0
2029-12-31,2309.0
2030-12-31,921.4
2031-12-31,2817.0
2032-12-31,2314.0
2033-12-31,4346.0
2034-12-31,2616.0
2035-12-31,2539.0
2036-12-31,3301.0
2037-12-31,3601.0
2038-12-31,1930.0
2039-12-31,1938.0
2040-12-31,3021.0
2041-12-31,2187.0
2042-12-31,3107.0
2043-12-31,2404.0
2044-12-31,3302.0
2045-12-31,2789.0
2046-12-31,1866.0
2047-12-31,3162.0
2048-12-31,2728.0
2049-12-31,2896.0
2050-12-31,3541.0
2051-12-31,1376.0
2052-12-31,2732.0
2053-12-31,2762.0
2054-12-31,1746.0
2055-12-31,3032.0
2056-12-31,2804.0
2057-12-31,3210.0
2058-12-31,3235.0
2059-12-31,3036.0
2060-12-31,1713.0
2061-12-31,2871.0
2062-12-31,2587.0
2063-12-31,2473.0
2064-12-31,2263.0
2065-12-31,4291.0
2066-12-31,3191.0
2067-12-31,4125.0
2068-12-31,1511.0
2069-12-31,2522.0
2070-12-31,1882.0
2071-12-31,2019.0
2072-12-31,2232.0
2073-12-31,3009.0
2074-12-31,3474.0
2075-12-31,3213.0
2076-12-31,3555.0
2077-12-31,2604.0
2078-12-31,2526.0
2079-12-31,2366.0
2080-12-31,2638.0
2081-12-31,3852.0
2082-12-31,1543.0
2083-12-31,2060.0
2084-12-31,3786.0
2085-12-31,2427.0
2086-12-31,3106.0
2087-12-31,2858.0
2088-12-31,2801.0
2089-12-31,2171.0
2090-12-31,2770.0
2091-12-31,3471.0
2092-12-31,3903.0
2093-12-31,2943.0
2094-12-31,3020.0
2095-12-31,2130.0
2096-12-31,3261.0
2097-12-31,4213.0
2098-12-31,2563.0
2099-12-31,4066.0
