,PFlow.csv
2019,1271.2
2020,1634.0000000000002
2021,373.0300000000001
2022,208.34
2023,727.1500000000001
2024,378.99
2025,557.1299999999999
2026,595.05
2027,666.99
2028,704.6300000000001
2029,475.31000000000006
2030,487.39
2031,588.52
2032,405.24999999999994
2033,309.55000000000007
2034,1177.8
2035,1914.4
2036,1552.3
2037,687.47
2038,367.71
2039,688.28
2040,921.8000000000001
2041,450.6
2042,581.3100000000001
2043,691.46
2044,1110.6
2045,586.78
2046,551.76
2047,83.05000000000001
2048,312.37
2049,56.855000000000004
2050,60.173
2051,270.97999999999996
2052,172.17
2053,45.603
2054,962.0
2055,992.1999999999999
2056,1192.0
2057,1294.0
2058,755.73
2059,373.76
2060,389.28000000000003
2061,295.5
2062,571.38
2063,482.18
2064,301.78
2065,697.8100000000001
2066,903.6999999999998
2067,1032.2
2068,642.1300000000001
2069,104.52000000000001
2070,239.3
2071,710.39
2072,493.02
2073,1505.1
2074,2528.1
2075,1280.0
2076,644.26
2077,508.42
2078,1391.6
2079,544.88
2080,1358.6
2081,328.30000000000007
2082,665.28
2083,1271.1999999999998
2084,904.5999999999999
2085,1616.1
2086,1280.8999999999999
2087,1119.1000000000001
2088,1296.3999999999999
2089,1618.2
2090,2498.2
2091,1176.3
2092,909.5
2093,744.1400000000001
2094,713.1299999999999
2095,770.5
2096,1341.1
2097,711.0200000000001
2098,604.7800000000001
2099,2100.9
