,PFlow.csv
2019,1271.2
2020,2115.4
2021,504.44
2022,787.7
2023,814.6999999999999
2024,1223.5
2025,432.9
2026,1902.9
2027,890.6
2028,938.6
2029,863.9
2030,1251.4
2031,700.37
2032,367.31999999999994
2033,13.462500000000002
2034,423.4200000000001
2035,333.76
2036,1187.1
2037,807.8
2038,876.5
2039,724.8
2040,1295.1000000000001
2041,584.48
2042,840.3000000000001
2043,743.4
2044,238.43000000000004
2045,358.13000000000005
2046,889.3
2047,646.6400000000001
2048,1012.6
2049,1027.6
2050,1213.4
2051,644.8199999999999
2052,1126.2
2053,1235.7
2054,970.3
2055,451.06
2056,546.25
2057,622.1
2058,487.36
2059,502.71999999999997
2060,995.5999999999999
2061,697.25
2062,1085.0
2063,1212.8
2064,520.37
2065,959.1
2066,995.5999999999999
2067,886.0
2068,1219.6000000000001
2069,1428.8
2070,583.49
2071,380.62
2072,666.2800000000001
2073,847.1
2074,1443.8
2075,1446.1999999999998
2076,996.6
2077,642.0
2078,737.3
2079,1538.6
2080,254.87999999999997
2081,578.6700000000001
2082,444.65999999999997
2083,1783.4
2084,602.1700000000001
2085,776.58
2086,841.7
2087,1125.5000000000002
2088,564.77
2089,1687.0
2090,858.6000000000001
2091,1227.9
2092,481.50000000000006
2093,1011.9000000000001
2094,829.0600000000001
2095,729.7
2096,733.1500000000001
2097,556.9
2098,1188.9
2099,440.97
