date,PFlow.csv
2019-12-31,2829.0
2020-12-31,2678.0
2021-12-31,2034.0
2022-12-31,2239.0
2023-12-31,4372.0
2024-12-31,2940.0
2025-12-31,3871.0
2026-12-31,2730.0
2027-12-31,2067.0
2028-12-31,2765.0
2029-12-31,2783.0
2030-12-31,3204.0
2031-12-31,2709.0
2032-12-31,2044.0
2033-12-31,2154.0
2034-12-31,1991.0
2035-12-31,3400.0
2036-12-31,3761.0
2037-12-31,1775.0
2038-12-31,2426.0
2039-12-31,2242.0
2040-12-31,2521.0
2041-12-31,2697.0
2042-12-31,2584.0
2043-12-31,2552.0
2044-12-31,1474.0
2045-12-31,2827.0
2046-12-31,2619.0
2047-12-31,2968.0
2048-12-31,2655.0
2049-12-31,2296.0
2050-12-31,2738.0
2051-12-31,2398.0
2052-12-31,3152.0
2053-12-31,3434.0
2054-12-31,3685.0
2055-12-31,3011.0
2056-12-31,2313.0
2057-12-31,2241.0
2058-12-31,1967.0
2059-12-31,3694.0
2060-12-31,2465.0
2061-12-31,3726.0
2062-12-31,2038.0
2063-12-31,2432.0
2064-12-31,3289.0
2065-12-31,4310.0
2066-12-31,3309.0
2067-12-31,3547.0
2068-12-31,3766.0
2069-12-31,2210.0
2070-12-31,2244.0
2071-12-31,3449.0
2072-12-31,2288.0
2073-12-31,2413.0
2074-12-31,3003.0
2075-12-31,2561.0
2076-12-31,3510.0
2077-12-31,2007.0
2078-12-31,3332.0
2079-12-31,4702.0
2080-12-31,2461.0
2081-12-31,1938.0
2082-12-31,7263.0
2083-12-31,7739.0
2084-12-31,2214.0
2085-12-31,2189.0
2086-12-31,3150.0
2087-12-31,3310.0
2088-12-31,5702.0
2089-12-31,2884.0
2090-12-31,1740.0
2091-12-31,2463.0
2092-12-31,2771.0
2093-12-31,2493.0
2094-12-31,2645.0
2095-12-31,1404.0
2096-12-31,5066.0
2097-12-31,2839.0
2098-12-31,2721.0
2099-12-31,1488.0
