date,PFlow.csv
2019-12-31,2829.0
2020-12-31,2258.0
2021-12-31,1192.0
2022-12-31,3398.0
2023-12-31,6415.0
2024-12-31,3123.0
2025-12-31,2153.0
2026-12-31,5569.0
2027-12-31,5267.0
2028-12-31,6369.0
2029-12-31,3588.0
2030-12-31,1307.0
2031-12-31,3086.0
2032-12-31,4215.0
2033-12-31,8476.0
2034-12-31,5799.0
2035-12-31,2250.0
2036-12-31,2922.0
2037-12-31,3678.0
2038-12-31,3767.0
2039-12-31,3268.0
2040-12-31,1661.0
2041-12-31,1806.0
2042-12-31,1733.0
2043-12-31,1168.0
2044-12-31,2078.0
2045-12-31,2978.0
2046-12-31,1999.0
2047-12-31,2172.0
2048-12-31,4842.0
2049-12-31,2620.0
2050-12-31,7100.0
2051-12-31,3764.0
2052-12-31,1326.0
2053-12-31,5979.0
2054-12-31,3731.0
2055-12-31,2578.0
2056-12-31,5433.0
2057-12-31,2209.0
2058-12-31,3051.0
2059-12-31,2720.0
2060-12-31,3023.0
2061-12-31,7912.0
2062-12-31,2579.0
2063-12-31,3246.0
2064-12-31,1276.0
2065-12-31,4427.0
2066-12-31,8704.0
2067-12-31,2461.0
2068-12-31,1420.0
2069-12-31,3660.0
2070-12-31,2207.0
2071-12-31,2981.0
2072-12-31,5792.0
2073-12-31,4562.0
2074-12-31,3085.0
2075-12-31,4747.0
2076-12-31,2433.0
2077-12-31,3887.0
2078-12-31,9086.0
2079-12-31,1758.0
2080-12-31,3352.0
2081-12-31,2649.0
2082-12-31,4479.0
2083-12-31,4886.0
2084-12-31,2601.0
2085-12-31,3311.0
2086-12-31,3850.0
2087-12-31,3221.0
2088-12-31,4580.0
2089-12-31,2693.0
2090-12-31,6660.0
2091-12-31,1608.0
2092-12-31,2184.0
2093-12-31,7636.0
2094-12-31,7478.0
2095-12-31,2745.0
2096-12-31,1649.0
2097-12-31,10880.0
2098-12-31,2889.0
2099-12-31,3073.0
