,PFlow.csv
2019,1271.2
2020,1298.3
2021,1466.3
2022,638.8000000000001
2023,495.92
2024,352.89
2025,597.4200000000001
2026,1180.1999999999998
2027,551.8
2028,102.05
2029,807.4
2030,526.15
2031,149.22
2032,1266.6000000000001
2033,812.3
2034,1169.5
2035,484.97
2036,289.64
2037,1.45571
2038,1496.3000000000002
2039,1321.8999999999999
2040,613.6
2041,293.48
2042,0.0
2043,117.26
2044,0.0
2045,579.36
2046,1153.6999999999998
2047,976.5999999999999
2048,902.0999999999999
2049,99.64099999999999
2050,271.58
2051,648.72
2052,391.34
2053,42.206999999999994
2054,44.845
2055,274.75
2056,186.68
2057,510.17
2058,956.9000000000001
2059,1964.4999999999998
2060,541.3499999999999
2061,453.3400000000001
2062,751.6
2063,1752.2
2064,1722.6
2065,376.58
2066,247.2
2067,482.90000000000003
2068,1144.3
2069,1375.6999999999998
2070,1252.0
2071,759.6000000000001
2072,228.35
2073,348.39
2074,7.422
2075,697.24
2076,861.5
2077,541.78
2078,1.1322100000000002
2079,88.73299999999999
2080,1031.3999999999999
2081,485.38
2082,114.36999999999998
2083,905.4
2084,333.15999999999997
2085,2600.6000000000004
2086,3036.7
2087,1652.1
2088,1239.2
2089,1677.4
2090,2042.7
2091,626.78
2092,641.25
2093,2572.8
2094,1244.8
2095,443.0
2096,100.9
2097,557.3000000000001
2098,1238.8
2099,3568.7
