,PUC
2019,1271.2
2020,1400.3
2021,569.94
2022,269.49
2023,462.31000000000006
2024,411.82000000000005
2025,850.6
2026,1263.8
2027,1170.3
2028,291.57
2029,1836.8000000000002
2030,1583.5
2031,1439.9
2032,633.78
2033,71.129
2034,1444.2
2035,1584.8000000000002
2036,1592.4
2037,868.8000000000001
2038,2363.7000000000003
2039,1158.4
2040,1189.3
2041,438.81999999999994
2042,1618.1000000000001
2043,944.0
2044,621.26
2045,2443.5
2046,1454.5
2047,820.4
2048,456.82000000000005
2049,584.0799999999999
2050,635.48
2051,502.62000000000006
2052,1151.8
2053,208.33999999999997
2054,628.52
2055,803.9999999999999
2056,2271.1
2057,3092.0
2058,2511.4999999999995
2059,1910.4999999999998
2060,2004.0
2061,819.0999999999999
2062,1196.5
2063,693.31
2064,1537.5
2065,1929.2
2066,2516.9
2067,2051.5
2068,1951.6
2069,1144.8
2070,947.8000000000001
2071,1384.1
2072,1372.1000000000001
2073,1627.1999999999998
2074,1171.0
2075,993.2
2076,1893.5
2077,2223.7
2078,1180.6
2079,2292.5
2080,1510.9
2081,1012.3
2082,1422.1
2083,1211.5000000000002
2084,2630.6000000000004
2085,980.3
2086,694.6199999999999
2087,1031.6
2088,573.29
2089,892.9000000000001
2090,1168.8
2091,1335.4
2092,1640.8
2093,1645.8999999999999
2094,1810.5000000000002
2095,1159.7
2096,866.0
2097,3951.9999999999995
2098,1509.1
2099,709.5699999999999
