date,PUC,Year
2019-12-31,2829.0,2019
2020-12-31,1312.0,2020
2021-12-31,955.3,2021
2022-12-31,2623.0,2022
2023-12-31,1692.0,2023
2024-12-31,2468.0,2024
2025-12-31,4664.0,2025
2026-12-31,1386.0,2026
2027-12-31,2917.0,2027
2028-12-31,3042.0,2028
2029-12-31,4033.0,2029
2030-12-31,3354.0,2030
2031-12-31,2801.0,2031
2032-12-31,2246.0,2032
2033-12-31,1379.0,2033
2034-12-31,2491.0,2034
2035-12-31,4830.0,2035
2036-12-31,2528.0,2036
2037-12-31,3681.0,2037
2038-12-31,2207.0,2038
2039-12-31,2490.0,2039
2040-12-31,2991.0,2040
2041-12-31,3827.0,2041
2042-12-31,1714.0,2042
2043-12-31,1788.0,2043
2044-12-31,4815.0,2044
2045-12-31,2030.0,2045
2046-12-31,2756.0,2046
2047-12-31,1558.0,2047
2048-12-31,3018.0,2048
2049-12-31,3130.0,2049
2050-12-31,1991.0,2050
2051-12-31,1598.0,2051
2052-12-31,1432.0,2052
2053-12-31,2291.0,2053
2054-12-31,4042.0,2054
2055-12-31,2808.0,2055
2056-12-31,3789.0,2056
2057-12-31,3027.0,2057
2058-12-31,2546.0,2058
2059-12-31,2210.0,2059
2060-12-31,2422.0,2060
2061-12-31,3261.0,2061
2062-12-31,2020.0,2062
2063-12-31,1665.0,2063
2064-12-31,6011.0,2064
2065-12-31,2761.0,2065
2066-12-31,2245.0,2066
2067-12-31,2795.0,2067
2068-12-31,2687.0,2068
2069-12-31,1518.0,2069
2070-12-31,2128.0,2070
2071-12-31,2929.0,2071
2072-12-31,3779.0,2072
2073-12-31,1870.0,2073
2074-12-31,1699.0,2074
2075-12-31,3821.0,2075
2076-12-31,3079.0,2076
2077-12-31,2064.0,2077
2078-12-31,2943.0,2078
2079-12-31,3354.0,2079
2080-12-31,1382.0,2080
2081-12-31,2931.0,2081
2082-12-31,3330.0,2082
2083-12-31,2668.0,2083
2084-12-31,2016.0,2084
2085-12-31,2021.0,2085
2086-12-31,2213.0,2086
2087-12-31,2539.0,2087
2088-12-31,825.2,2088
2089-12-31,4635.0,2089
2090-12-31,2556.0,2090
2091-12-31,4206.0,2091
2092-12-31,3022.0,2092
2093-12-31,3458.0,2093
2094-12-31,1650.0,2094
2095-12-31,2116.0,2095
2096-12-31,4321.0,2096
2097-12-31,4423.0,2097
2098-12-31,1916.0,2098
2099-12-31,1647.0,2099
