date,PUC
2019-12-31,2829.0
2020-12-31,4025.0
2021-12-31,967.7
2022-12-31,4589.0
2023-12-31,2959.0
2024-12-31,3135.0
2025-12-31,2285.0
2026-12-31,3712.0
2027-12-31,2907.0
2028-12-31,2210.0
2029-12-31,3045.0
2030-12-31,1537.0
2031-12-31,2570.0
2032-12-31,2496.0
2033-12-31,2902.0
2034-12-31,4155.0
2035-12-31,2096.0
2036-12-31,3773.0
2037-12-31,3312.0
2038-12-31,1849.0
2039-12-31,1903.0
2040-12-31,7245.0
2041-12-31,2311.0
2042-12-31,1195.0
2043-12-31,2835.0
2044-12-31,4348.0
2045-12-31,2937.0
2046-12-31,2482.0
2047-12-31,2982.0
2048-12-31,2880.0
2049-12-31,5417.0
2050-12-31,1576.0
2051-12-31,2511.0
2052-12-31,2564.0
2053-12-31,1481.0
2054-12-31,3371.0
2055-12-31,2319.0
2056-12-31,3162.0
2057-12-31,2788.0
2058-12-31,3982.0
2059-12-31,3306.0
2060-12-31,2998.0
2061-12-31,3551.0
2062-12-31,2751.0
2063-12-31,2406.0
2064-12-31,2811.0
2065-12-31,2445.0
2066-12-31,1785.0
2067-12-31,2860.0
2068-12-31,1332.0
2069-12-31,2650.0
2070-12-31,3042.0
2071-12-31,3051.0
2072-12-31,2352.0
2073-12-31,1566.0
2074-12-31,2017.0
2075-12-31,2029.0
2076-12-31,4213.0
2077-12-31,1459.0
2078-12-31,1452.0
2079-12-31,4346.0
2080-12-31,3278.0
2081-12-31,1070.0
2082-12-31,3923.0
2083-12-31,2351.0
2084-12-31,2404.0
2085-12-31,2258.0
2086-12-31,5848.0
2087-12-31,2877.0
2088-12-31,4523.0
2089-12-31,3317.0
2090-12-31,4562.0
2091-12-31,3593.0
2092-12-31,4146.0
2093-12-31,2700.0
2094-12-31,2631.0
2095-12-31,2542.0
2096-12-31,3186.0
2097-12-31,1884.0
2098-12-31,3490.0
2099-12-31,896.5
