date,PUC
2019-12-31,2829.0
2020-12-31,2570.0
2021-12-31,2174.0
2022-12-31,4455.0
2023-12-31,5510.0
2024-12-31,2019.0
2025-12-31,3038.0
2026-12-31,5285.0
2027-12-31,1709.0
2028-12-31,2788.0
2029-12-31,1584.0
2030-12-31,1949.0
2031-12-31,5851.0
2032-12-31,1824.0
2033-12-31,1662.0
2034-12-31,2879.0
2035-12-31,3918.0
2036-12-31,2439.0
2037-12-31,5088.0
2038-12-31,2141.0
2039-12-31,2505.0
2040-12-31,1998.0
2041-12-31,3870.0
2042-12-31,3636.0
2043-12-31,2454.0
2044-12-31,1743.0
2045-12-31,1800.0
2046-12-31,2243.0
2047-12-31,2183.0
2048-12-31,2616.0
2049-12-31,1801.0
2050-12-31,3712.0
2051-12-31,3726.0
2052-12-31,2039.0
2053-12-31,2672.0
2054-12-31,4943.0
2055-12-31,4791.0
2056-12-31,3798.0
2057-12-31,1781.0
2058-12-31,6385.0
2059-12-31,6634.0
2060-12-31,4635.0
2061-12-31,3774.0
2062-12-31,3416.0
2063-12-31,5195.0
2064-12-31,2690.0
2065-12-31,1819.0
2066-12-31,4637.0
2067-12-31,3403.0
2068-12-31,3435.0
2069-12-31,2567.0
2070-12-31,3847.0
2071-12-31,5869.0
2072-12-31,4315.0
2073-12-31,4668.0
2074-12-31,3865.0
2075-12-31,4170.0
2076-12-31,4501.0
2077-12-31,2595.0
2078-12-31,5894.0
2079-12-31,5561.0
2080-12-31,6012.0
2081-12-31,3730.0
2082-12-31,3642.0
2083-12-31,3488.0
2084-12-31,4237.0
2085-12-31,3519.0
2086-12-31,9410.0
2087-12-31,4242.0
2088-12-31,6949.0
2089-12-31,3941.0
2090-12-31,4301.0
2091-12-31,6600.0
2092-12-31,5763.0
2093-12-31,5611.0
2094-12-31,3814.0
2095-12-31,4877.0
2096-12-31,3584.0
2097-12-31,10800.0
2098-12-31,5116.0
2099-12-31,8249.0
