,PUC
2019,1271.2
2020,1937.9
2021,705.7800000000001
2022,547.68
2023,257.29999999999995
2024,1291.5
2025,878.4000000000001
2026,467.07000000000005
2027,179.0
2028,263.45
2029,0.0
2030,0.0
2031,41.514
2032,64.53099999999999
2033,8.2854
2034,0.0
2035,212.21
2036,65.042
2037,658.78
2038,229.31
2039,164.54000000000002
2040,557.12
2041,0.0
2042,0.0
2043,455.14000000000004
2044,231.86999999999998
2045,0.0
2046,269.0
2047,171.41
2048,308.4
2049,607.25
2050,306.91
2051,12.421200000000002
2052,544.8399999999999
2053,58.879
2054,4.16114
2055,347.85
2056,164.92999999999998
2057,176.88
2058,482.16999999999996
2059,179.54999999999998
2060,460.91999999999996
2061,586.66
2062,0.0
2063,0.0
2064,689.26
2065,1032.5
2066,821.8000000000001
2067,551.69
2068,383.59
2069,904.1
2070,252.9
2071,266.88
2072,231.41000000000003
2073,350.32
2074,601.89
2075,918.3999999999999
2076,32.606
2077,0.0
2078,0.0
2079,307.06
2080,1120.0
2081,502.77
2082,179.72999999999996
2083,274.13
2084,197.41
2085,300.14
2086,15.724200000000002
2087,134.99
2088,692.18
2089,611.8499999999999
2090,107.13999999999999
2091,899.8000000000001
2092,679.9399999999999
2093,614.86
2094,248.29
2095,678.43
2096,927.0
2097,898.7
2098,0.22852
2099,228.95
