date,PUC
2019-12-31,2829.0
2020-12-31,1822.0
2021-12-31,3959.0
2022-12-31,1917.0
2023-12-31,2849.0
2024-12-31,3105.0
2025-12-31,1528.0
2026-12-31,3010.0
2027-12-31,1879.0
2028-12-31,1533.0
2029-12-31,706.6
2030-12-31,1937.0
2031-12-31,1662.0
2032-12-31,1134.0
2033-12-31,3118.0
2034-12-31,1901.0
2035-12-31,914.9
2036-12-31,2559.0
2037-12-31,2522.0
2038-12-31,1439.0
2039-12-31,2350.0
2040-12-31,1551.0
2041-12-31,2009.0
2042-12-31,2303.0
2043-12-31,1270.0
2044-12-31,2687.0
2045-12-31,2548.0
2046-12-31,1759.0
2047-12-31,2422.0
2048-12-31,4225.0
2049-12-31,1618.0
2050-12-31,2294.0
2051-12-31,3175.0
2052-12-31,1443.0
2053-12-31,3579.0
2054-12-31,4221.0
2055-12-31,2530.0
2056-12-31,3893.0
2057-12-31,3753.0
2058-12-31,1242.0
2059-12-31,3255.0
2060-12-31,2169.0
2061-12-31,1527.0
2062-12-31,2976.0
2063-12-31,2938.0
2064-12-31,1837.0
2065-12-31,1424.0
2066-12-31,2381.0
2067-12-31,2310.0
2068-12-31,2481.0
2069-12-31,3585.0
2070-12-31,3833.0
2071-12-31,1479.0
2072-12-31,2272.0
2073-12-31,3657.0
2074-12-31,2646.0
2075-12-31,2007.0
2076-12-31,1205.0
2077-12-31,2103.0
2078-12-31,2567.0
2079-12-31,2071.0
2080-12-31,2436.0
2081-12-31,6519.0
2082-12-31,3131.0
2083-12-31,3451.0
2084-12-31,10580.0
2085-12-31,1127.0
2086-12-31,5372.0
2087-12-31,7462.0
2088-12-31,1734.0
2089-12-31,2493.0
2090-12-31,4222.0
2091-12-31,2078.0
2092-12-31,4969.0
2093-12-31,3584.0
2094-12-31,2098.0
2095-12-31,5462.0
2096-12-31,3545.0
2097-12-31,2104.0
2098-12-31,3195.0
2099-12-31,3309.0
