,PUC
2019,1271.2
2020,2275.9
2021,1175.7
2022,461.77
2023,246.66
2024,405.81999999999994
2025,623.08
2026,476.15
2027,1458.3999999999999
2028,1277.6000000000001
2029,1193.3
2030,636.08
2031,1458.8999999999999
2032,311.89
2033,68.377
2034,1090.6000000000001
2035,713.8299999999999
2036,832.3
2037,1398.5
2038,489.46000000000004
2039,1069.3999999999999
2040,760.0
2041,797.0
2042,805.9999999999999
2043,452.6
2044,553.97
2045,466.8299999999999
2046,369.95
2047,1211.9
2048,991.5
2049,1452.6
2050,872.1
2051,962.3000000000001
2052,591.7599999999999
2053,1710.5
2054,892.4999999999999
2055,1508.0
2056,423.62
2057,1218.0
2058,1010.6999999999998
2059,1794.3000000000002
2060,1278.5
2061,224.30999999999997
2062,517.5300000000001
2063,528.0600000000001
2064,122.30000000000001
2065,970.2999999999998
2066,1273.2
2067,521.23
2068,412.77000000000004
2069,408.28
2070,13.854999999999999
2071,551.36
2072,638.17
2073,39.998
2074,394.57
2075,680.78
2076,255.07999999999998
2077,1947.1999999999998
2078,2459.1
2079,1607.6000000000001
2080,1071.8
2081,1932.0
2082,954.0
2083,418.03
2084,342.84999999999997
2085,911.5999999999999
2086,1679.2
2087,562.23
2088,610.2
2089,910.3
2090,1061.5
2091,728.8000000000001
2092,1620.0
2093,1503.4
2094,1210.5
2095,873.2
2096,2018.5
2097,1054.5
2098,1005.8
2099,466.83
